Atribute|Description
SMR_VSA3|MOE (Molecular Operating Environment) MR (molar refractivity) VSA (Van der Waals surface area) Descriptor 3 ( 1.82 <= x < 2.24).
MID_N|Molecular ID on N atoms.
BIC1|1-ordered bonding information content.
AMID_N|Averaged molecular ID on N atoms.
SssNH|Sum of E-state indices of the (-NH-) group.
PEOE_VSA3|MOE (Molecular Operating Environment) Charge VSA (Van der Waals surface area) Descriptor 3 (-0.25 <= x < -0.20).
Xch-6dv|6-ordered Chi chain weighted by valence electrons.
AXp-6dv|6-ordered averaged Chi path weighted by valence electrons.
AXp-5d|5-ordered averaged Chi path weighted by sigma electrons,
EState_VSA4|E-State VSA (Van der Waals surface area) Descriptor 4 ( 0.72 <= x < 1.17).
PEOE_VSA10|MOE (Molecular Operating Environment) Charge VSA (Van der Waals surface area) Descriptor 10 ( 0.10 <= x < 0.15).
AATS3p|Averaged Moreau-Broto autocorrelation (describes how a property is distributed along the topological structure) of lag 3 (molecular graph by summing the products of atom weights of the terminal atoms of all the paths of the considered path length) weighted by polarizability.
SpMax_A|SpMax of adjacency matrix.
SaasN|Sum of E-state indices of the N in oxides.
SpMAD_Dt|Spectral mean absolute diviation from Detourn matrix.
AXp-4d|4-ordered averaged Chi path weighted by sigma electrons.
AXp-6d|6-ordered averaged Chi path weighted by sigma electrons.
Xch-5dv|5-ordered Chi chain weighted by valence electrons.
JGI4|4-ordered mean topological charge.
BalabanJ|The Balaban J index is a topological index which stands out for being able to differentiate between similar molecular structures, also known as degeneration tendency. The J index is determined from the distance matrix of the molecular structure (hydrogen is not taken into account).
FilterItLogS|Filter-it™ LogS.
MINaaCH|Minimum of (aaCH) group.
JGI3|3-ordered mean topological charge.
VSA_EState4|VSA (Van der Waals surface area) EState Descriptor 4 ( 5.41 <= x < 5.74).
NssNH|Number of (-NH-) group.
JGI5|5-ordered mean topological charge.
AATS3v|Averaged Moreau-Broto autocorrelation (describes how a property is distributed along the topological structure) of lag 3 (molecular graph by summing the products of atom weights of the terminal atoms of all the paths of the considered path length) weighted by vdw volume.
MATS3v|Moran coefficient of lag 3 (molecular graph by summing the products of atom weights of the terminal atoms of all the paths of the considered path length) weighted by vdw volume.
SlogP_VSA8|MOE (Molecular Operating Environment) logP VSA (Van der Waals surface area) Descriptor 8 ( 0.25 <= x < 0.30).
SpDiam_A|SpDiam of adjacency matrix.
SlogP_VSA10|MOE (Molecular Operating Environment) logP VSA (Van der Waals surface area) Descriptor 10 ( 0.40 <= x < 0.50).
SaaN|Sum of E-state indices of the N in aromatic ring.
SMR_VSA9|MOE (Molecular Operating Environment) MR (molar refractivity) VSA (Van der Waals surface area) Descriptor 9 ( 3.80 < x < 4.00).
AETA_beta_ns_d|Averaged delta contribution to valence electron mobile count.
AXp-3d|3-ordered averaged Chi path weighted by sigma electrons.
VSA_EState2|VSA (Van der Waals surface area) EState Descriptor 2 ( 4.78 <= x < 5.00).
AATS1i|Averaged Moreau-Broto autocorrelation (describes how a property is distributed along the topological structure) of lag 1 (molecular graph by summing the products of atom weights of the terminal atoms of all the paths of the considered path length) weighted by ionization potential.
VSA_EState1|VSA (Van der Waals surface area) EState Descriptor 1 (-inf < x < 4.78).
Xch-7dv|7-ordered Chi chain weighted by valence electrons.
GATS2i|Geary coefficient (a distance type function) of lag (molecular graph by summing the products of atom weights of the terminal atoms of all the paths of the considered path length) 2 weighted by ionization potential.
MOMI-Z|Moment of inertia (axis = Z).
FNSA3|Fractional charged partial negative surface area (version 3).
FNSA4|Fractional charged partial negative surface area (version 4).
RNCS|Relative negative charge surface area.
FPSA3|Fractional charged partial positive surface area (MORDRED version 3).
FNSA5|Fractional charged partial negative surface area (version 5).
PBF|Plane of the best fit descriptor.
PPSA3|Partial positive surface area (version 3).
RPCS|Relative positive charge surface area.
DPSA4|Difference in charged partial surface area (version 4).
DPSA5|Difference in charged partial surface area (version 5).
GeomRadius|Geometric radius.
PNSA5|Partial negative surface area (version 5).
MOMI-Y|Moment of inertia (axis = Y).
GeomShapeIndex|Geometrical shape index.
TPSA_x|Total polar surface area.
GRAV|Heavy atom gravitational index.
TASA|Total hydrophobic surface area.
PNSA4|Partial negative surface area (version 4).
Mor01se|3D-MoRSE weighted by sanderson EN (distance = 1).
WPSA3|Surface weighted charged partial positive surface area (version 3).
DPSA3|Difference in charged partial surface area (version 3).
FNSA2|Fractional charged partial negative surface area (version 2).
GeomDiameter|Geometric diameter.
GeomPetitjeanIndex|Geometric Petitjean index.
