molecula|SMR_VSA3|MID_N|BIC1|AMID_N|SssNH|PEOE_VSA3|Xch-6dv|AXp-6dv|AXp-5d|EState_VSA4|PEOE_VSA10|AATS3p|SpMax_A|SaasN|SpMAD_Dt|AXp-4d|AXp-6d|Xch-5dv|JGI4|BalabanJ|FilterItLogS|MINaaCH|JGI3|VSA_EState4|NssNH|JGI5|AATS3v|MATS3v|SlogP_VSA8|SpDiam_A|SlogP_VSA10|SaaN|SMR_VSA9|AETA_beta_ns_d|AXp-3d|VSA_EState2|AATS1i|VSA_EState1|Xch-7dv|GATS2i|MOMI-Z|FNSA3|FNSA4|RNCS|FPSA3|FNSA5|PBF|PPSA3|RPCS|DPSA4|DPSA5|GeomRadius|PNSA5|MOMI-Y|GeomShapeIndex|TPSA_x|GRAV|TASA|PNSA4|Mor01se|WPSA3|DPSA3|FNSA2|GeomDiameter|GeomPetitjeanIndex|MOMI-X|RASA|WPSA1|PNSA1|Mor01p|Mor01v|GRAVp|RPSA|PNSA3|WNSA1|WNSA5|DPSA1|WNSA4|WNSA3|Mor01m|Num. of Rotatable bonds|CYP2D6 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|molar_refractivity|Log Po/w iLOGP|Molecular Mass|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|heavy_atom_count|Log Po/w MLOGP|Log Po/w WLOGP|Fraction Csp3|hydrogen_bond_don0rs_count (using_Lipinski’s_definition)|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|CYP3A4 inhibitor|Log S (SILICOS-IT)|Consensus Log P|Log Kp (cm/s)|Solubility [Log S (Ali)] (mol/l)|P-gp substrate|Log S (Ali)|Veber filter|hydrogen_bond_acceptors_count (using_Lipinski’s_definition)|Solubility [Log S (ESOL)] (mg/ml)|Log S (ESOL)|Log Po/w XLOGP3|Solubility [Log S (ESOL)] (mol/l)|CYP1A2 inhibitor|Leadlikeness|Bioavailability Score|CYP2C19 inhibitor|Egan filter|CYP2C9 inhibitor|Brenk|BBB|Ghose filter|PAINS|log P|Lowest_Unoccupied_Molecular_Orbital_Energy|Area (grid)|HOMO-LUMO Energy Difference (Hartree)|Total Energy (water) (Hartree)|Oscillator Force (max. Transition)|E solv. Water  (Hartree)|Total Energy (gas phase) (Hartree)|Absorption Energy (HOMO-LUMO transition) (eV)|Gibbs Free Energy|Volume|Contribuition (max. transition)|Highest_Occupied_Molecular_Orbital_Energy|Oscillator Force (HOMO-LUMO transition)|Approximated area|Dipole (water)|Dipole (gas phase)|Contribution (HOMO-LUMO transition)|Wavelength (HOMO-LUMO transition) (nm)|Absorption Energy (max. Transition) (eV)|Wavelength (max. Transition) (nm)|Zero Point Energy|IC50|pIC50
1_a1 (SKF-104365)|14.53505669|6.4075748720000005|0.615079689|0.305122613|0.0|9.374393569|0.255621832|0.015423714|0.067617694|40.09928197|11.51114884|1.6200932119999998|2.527110816|2.196347317|18.81319931|0.104824788|0.041965318|0.161930639|0.0409444439999999|1.505354342|-4.791877768|1.485697279|0.043185764|3.704385393|0|0.018689236|222.1689699|0.0287276629999999|22.64523548|4.88992845|4.390415048|9.135823098|22.64523548|0.023809524|0.169619481|9.135823098|144.1027622|15.38334594|0.304101432|1.080802063|1551.362941|-0.067997692|-0.029524467|6.658828587|0.0133681239999999|-0.081192283|0.2405471019999999|6.18316314|63.42504103|19.24066156|46.32985169|5.2735884010000005|-37.55389489|1931.018423|0.71469847|86.42113499|4225.4765640000005|376.1092109|-13.65596178|539.0940527|2.859900586|37.63415922|-0.9743074|9.042613965|0.416807085|3341.981072|0.8131557509999999|62.09552368|328.2785628|297.2783688|262.5932934|1997.193006|0.186844249|-31.45099608|151.8387972|-17.369816|-194.0267797|-6.316296726|-14.547040099999998|291.54881560000007|2.0|1.0|2.97|17.0|3.93|81.72|2.68|297.35|56.01|0.000295|21.0|2.52|4.28|0.12|0.0|9.93e-07|0.0472|1.0|-6.0|3.27|-6.01|0.000159|1.0|-3.8|0.0|3.0|0.0287|-4.02|2.96|9.65e-05|1.0|0.0|0.55|1.0|0.0|1.0|0.0|1.0|0.0|0.0|3.45|-0.03482|491.18|-0.16142|-1279.084677|0.2178|0.02377006|-1279.060907|3.8901|-1279.017667|809.96|0.70081|-0.19624|0.2178|358.09|6.9338|4.5773|0.70081|318.72|3.8901|318.72|-1278.971649|1.6|5.7959
2_a1|14.53505669|6.4075748720000005|0.601907905|0.305122613|0.0|9.374393569|0.187862126|0.011919681|0.067617694|47.85603963|17.33555333|1.4370442680000002|2.527110816|2.233384354|18.81319931|0.104824788|0.041965318|0.1040569419999999|0.0409444439999999|1.505354342|-4.967361213|1.4925|0.043185764|3.772718726|0|0.018689236|201.1764999|0.069942596|22.64523548|4.88992845|4.390415048|9.182119394|22.64523548|0.023809524|0.169619481|9.182119394|145.1110422|15.4244982|0.218040456|1.069415204|1378.496713|-0.0622285999999999|-0.026492726|6.281701359|0.011282631|-0.077270452|0.220315042|5.135384136|84.54541681|17.36508791|43.24570924|5.2823820260000005|-35.17029414|1674.017947|0.6619695520000001|87.29479691|3920.383175|367.8635872|-12.05838656|600.3194296|2.337413146|33.45925305|-0.927245426|8.779158091000001|0.39830426|2917.820124|0.808210065|63.31006434|316.063804|299.6692382|271.07433510000004|1884.85038|0.191789935|-28.32386891|143.85909030000002|-16.00805425|-176.9692239|-5.488475744|-12.89184641|258.5623072|2.0|1.0|2.91|17.0|4.0|79.77|2.69|279.31|30.71|0.000185|21.0|2.49|4.12|0.18|0.0|6.64e-07|243.0|1.0|-6.18|3.21|-6.04|0.000871|1.0|-3.06|0.0|3.0|0.0466|-3.78|2.76|0.000167|1.0|0.0|0.55|1.0|0.0|0.0|0.0|1.0|0.0|0.0|3.31|-0.02966|489.42|-0.1686|-920.2093796|0.2991|0.024658671|-920.184721|4.0877|-920.123726|807.98|0.7007899999999999|-0.19826|0.2991|355.79|5.2754|3.5853|0.7007899999999999|303.31|4.0877|303.31|-920.078239|5.8|5.2366
6_a1|14.53505669|6.409542809|0.590385017|0.291342855|0.0|4.983978521|0.187862126|0.012208017|0.067337514|53.60555146|17.26784433|1.470127488|2.5276845530000003|2.325221088|19.08292918|0.106267183|0.0421690579999999|0.1040569419999999|0.039635417|1.476728264|-4.811264448|1.817058112|0.040645425|4.2144824210000005|0|0.020016835|204.1515204|0.0538287629999999|22.64523548|4.893937783|0.0|9.330333129|28.39474731|0.022727273|0.170999668|9.330333129|144.85923689999998|7.58449916|0.218881673|1.105142608|1383.161829|-0.057199415|-0.0238222729999999|64.63457366|0.021009352|-0.077422386|0.212044989|10.15161645|95.13138767|19.95772445|49.61122373|5.555887839|-37.41011914|2048.133784|0.7295841470000001|58.82435931|4061.042516|424.3707604|-11.51080589|735.8227331|4.905211525|37.79009463|-0.929068634|9.609375529|0.4218263379999999|3288.377646|0.8782596159999999|98.81715891|278.6873446000001|359.9965854|316.79112180000004|1956.144556|0.121740384|-27.63847818|134.6603648|-18.076387|-74.17956941|-5.56196523|-13.35477777|282.2204486|3.0|1.0|2.94|17.0|3.61|86.31|2.54|291.35|39.94|0.000277|22.0|1.75|3.57|0.22|0.0|9.51e-07|221.0|1.0|-6.02|2.82|-6.21|0.0007599999999999|1.0|-3.12|0.0|3.0|0.0613|-3.68|2.63|0.00021|1.0|0.0|0.55|1.0|0.0|0.0|0.0|1.0|0.0|0.0|2.81|-0.02214|527.41|-0.16784|-935.5024827|0.3399|0.027384499|-935.4750982|4.0635|-935.378591|875.29|0.69818|-0.1899799999999999|0.3399|405.23|8.0033|5.8386|0.69818|305.12|4.0635|305.12|-935.330989|5.1|5.2924
7_a1|14.53505669|6.413879736|0.616692884|0.278864336|0.0|4.983978521|0.218161301|0.011316327|0.065827279|59.35506329|11.51833249|1.48300706|2.538080078|2.307091837|22.12019663|0.104216506|0.040854899|0.133519724|0.035718954|1.353786161|-4.581638153|1.808747927|0.042052469|4.061375189|0|0.017277778|209.4347232|0.046248415|22.64523548|4.9206197760000006|0.0|9.347988867|34.14425914|0.0|0.1651134269999999|9.347988867|144.8697502|13.26300729|0.253469567|1.079616888|1466.924404|-0.083362936|-0.031040669|111.9204437|0.035937867|-0.098295453|0.289201649|17.31482297|404.7836105|24.78585294|61.72628137|5.07667644|-47.35863598|2156.679956|0.827584457|139.2595474|4519.238270000001|342.53930230000003|-14.95535873|714.3280789|8.342261787|57.47898976|-1.179545431|9.278054953|0.452829665|3389.00673|0.710959153|92.06678988|290.70916580000005|351.4191817|321.05107339999995|2150.215999|0.289040847|-40.16416679|140.0633417|-22.81733634|-99.61948195|-7.205474633|-19.35104936|310.2578925|2.0|1.0|3.09|17.0|3.43|85.88|2.83|305.33|49.17|0.000698|23.0|1.6|3.29|0.22|0.0|2.29e-06|213.0|1.0|-5.64|2.72|-6.4|0.000696|1.0|-3.16|0.0|4.0|0.0595|-3.71|2.48|0.000195|1.0|0.0|0.55|0.0|0.0|0.0|0.0|1.0|0.0|0.0|2.76|-0.02433|515.2|-0.16734|-1009.509475|0.2961|0.02860499|-1009.48087|4.0504|-1009.398029|864.85|0.69902|-0.19167|0.2961|365.53|6.5936|4575.0|0.69902|306.1|4.0504|306.1|-1009.350293|0.46|6.3372
8_a1 (SB-202620)|14.95193556|6.2181717260000005|0.560352506|0.230302657|0.0|14.16893075|0.12232703|0.009960629|0.0706209429999999|22.38428247|11.64162534|1.604016094|2.475845804|0.0|17.91561178|0.1119635019999999|0.044254719|0.02795085|0.037578348|1.405935622|-6.204629864|1.390545196|0.033564815|4.083350992|0|0.031637427|232.4594881|-0.100274034|33.90261496|4.814805348|4.390415048|8.721996775|33.90261496|0.018518519|0.179412262|23.0625802|144.72272790000002|13.31466888|0.133963709|1.023441983|1736.664204|-0.117682533|-0.041081545|208.2071465|0.015526845|-0.105271458|0.174628594|8.809217494|64.70432539|30.104091200000003|70.8721358|7.432247389|-59.72618401|5652.996432|0.839824062|199.1596945|5170.286136|368.1943149|-23.30777912|852.9540063|4.997944864|75.57687443|-1.684343335|13.67402758|0.4564697679999999|7293.874317|0.648967503|72.67014856|439.2679337|433.2550452|412.057031|2431.842132|0.351032497|-66.76765693|249.2204234|-33.88588996|-311.18185800000003|-13.22376193|-37.88089785|431.9669493|4.0|1.0|2.74|23.0|4.86|99.61|2.21|359.35|78.87|3.42e-06|27.0|2.78|5.06|0.0|2.0|9.53e-09|0.0041|0.0|-8.02|3.7|-5.94|1.14e-05|1.0|-4.94|0.0|5.0|0.00713|-4.7|3.6|1.98e-05|1.0|2.0|0.55|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.32|-0.0736899999999999|586.27|-0.13683|-1223.279021|0.5339|0.16177304|-1223.117248|3.4052|-1223.014114|977.87|0.7026600000000001|-0.2105199999999999|0.5339|460.4|5.5005|3.4563|0.7026600000000001|364.11|3.4052|364.11|-1222.9606720000002|0.4|6.3979
9_a1|14.95193556|6.2181717260000005|0.565063589|0.230302657|0.0|9.374393569|0.12232703|0.010407734|0.0706209429999999|28.07821046|11.64162534|1.601621314|2.475845804|0.0|17.91561178|0.1119635019999999|0.044254719|0.02795085|0.037578348|1.405935622|-7.168089215|1.418322974|0.033564815|4.81767198|0|0.031637427|229.2555462|-0.090254993|33.90261496|4.814805348|4.390415048|8.808165414|33.90261496|0.018518519|0.179412262|23.65569328|143.81379180000002|13.33507704|0.133963709|1.006085459|1739.0376789999998|-0.080888063|-0.031896718|63.73880199|0.011266799|-0.085722429|0.166794384|6.495805626|0.0|23.52578164|57.60218193|7.61577077|-49.42275468|5467.689605|0.826725116|141.093898|5063.330971|435.4501351|-18.38986221|918.7853325|3.745117974|53.13133578|-1.371558857|13.91191974|0.452572261|7111.170108|0.755276458|72.56698919|450.6785571|472.9447227|436.1830573|2387.143654|0.244723542|-46.63553015|259.836033|-28.49439431|-324.81308110000003|-10.60256533|-26.88743664|427.4483036|4.0|1.0|2.78|23.0|5.86|102.84|2.66|357.38|58.64|3.7100000000000003e-07|27.0|2.74|5.57|0.05|1.0|1.04e-09|0.00739|1.0|-8.98|4.12|-5.81|2.07e-05|1.0|-4.68|0.0|4.0|0.0057799999999999|-4.79|3.76|1.62e-05|1.0|2.0|0.55|1.0|0.0|1.0|0.0|0.0|0.0|0.0|5.6|-0.07602|600.6|-0.13413|-1187.226314|0.5409|0.03294951|-1187.193365|3343.0|-1187.065335|1007.04|0.70296|-0.21015|0.5409|487.19|6.4447|4.1623|0.70296|370.88|3343.0|370.88|-1187.011122|6.0|5.2218
10_a1|14.95193556|6.249735642999999|0.545277617|0.23147169|0.0|14.16893075|0.12232703|0.00983958|0.0706209429999999|11.12690298|11.64162534|1.578472555|2.475845804|0.0|17.91561178|0.1119635019999999|0.044254719|0.02795085|0.037578348|1.405935622|-6.204629864|1.3824827119999998|0.033564815|3.754191828|0|0.031637427|229.461129|-0.075365896|34.03309147|4.814805348|4.390415048|9.039809748|34.03309147|0.018518519|0.179412262|23.34332365|144.72272790000002|13.31058766|0.132144993|1.073783433|1768.2330920000002|-0.116648443|-0.045402319|212.8090837|0.014751098|-0.10949971|0.126889306|8.34295348|64.49041745|30.78628757|70.6564636|7.376231317999999|-61.93104798|5512.522181|0.850732895|186.6625065|5192.858899|378.9193385|-25.67872721|852.9540063|4.718623023|74.31719486|-1.861495069|13.65143394|0.459673515|7208.792848999999|0.669963758|53.06975793|471.7496996|433.2550452|412.057031|2432.447088|0.330036242|-65.97424138|266.8130655|-35.02707638|-377.9175542|-14.52342192|-37.31383317|431.9669493|4.0|1.0|3.0|23.0|4.86|99.61|2.18|359.35|78.87|3.42e-06|27.0|2.78|5.06|0.0|2.0|9.53e-09|0.00372|0.0|-8.02|3.7|-5.91|1.04e-05|1.0|-4.98|0.0|5.0|0.00673|-4.73|3.64|1.87e-05|1.0|2.0|0.55|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.81|-0.06802|585.51|-0.13576|-1223.159954|0.6754|0.03426532|-1223.125689|3.4067|-1223.022387|979.35|0.70345|-0.20378|0.6754|464.77|7807.0|5.3861|0.70345|363.94|3.4067|363.94|-1222.969096|1.5|5.8239
11_a1|14.95193556|6.257049055|0.593248114|0.2157603119999999|0.0|9.778515705|0.152626204|0.009688345|0.068753539|28.20868697|5.824404498|1.613866335|2.492061289|0.0|20.80758904|0.110195805|0.043005105|0.057413632|0.035620155|1.260876677|-5.809905887999999|1.5564237980000002|0.033514493|4.099207573|0|0.028130081|235.6658848|-0.100437605|34.03309147|4.853817463|0.0|9.234767467|45.53211513|0.0|0.174104875|23.68711525|144.5439569|10.90025445|0.167574105|1.054901007|1885.148133|-0.131972845|-0.048723884|274.39137789999995|0.034974992|-0.126108875|0.2027328789999999|20.62225192|84.40380304|38.20963621|89.80732824|7.43666407|-74.35738693|6462.241396|0.912918113|238.4902806|5798.645137|351.1382199|-28.7289904|987.9363704|12.15946748|98.43720241|-2.143850877|14.2257294|0.47723847|8189.414666|0.5955245029999999|86.26248287|443.3287834|495.0560271000001|473.185933|2697.640232|0.404475497|-77.81495049|261.3992858|-43.84323456|-297.0290662|-16.93943154|-45.88191258|498.0984214|4.0|1.0|3.25|23.0|4.28|105.71|2.31|385.37|97.33|1.29e-05|29.0|1.95|4.23|0.05|2.0|3.35e-08|0.00327|1.0|-7.47|3.22|-6.27|8.48e-06|1.0|-5.07|0.0|6.0|0.00838|-4.66|3.35|2.17e-05|1.0|1.0|0.55|1.0|0.0|1.0|0.0|0.0|0.0|0.0|5.26|-0.06546|614.86|-0.12916|-1312.462371|0.5573|0.03413353|-1312.4282380000002|3.1924|-1312.2963630000002|1036.18|0.68162|-0.19462|0.3201|471.76|7.1743|5.0526|0.69914|388.38|3.7383|331.66|-1312.241032|0.17|6.7696
12_a1|14.95193556|7.991578631|0.579607879|0.285413523|0.0|4.983978521|0.152626204|0.009704633|0.069155968|33.9581988|5.824404498|1.648965133|2.491273045|0.0|20.71002675|0.110257281|0.043294434|0.057413632|0.036382114|1.270783943|-6.536946029|1.750975531|0.029356061|4.790017758|0|0.0272708329999999|237.6548291|-0.097584401|34.03309147|4.852978103|0.0|9.304985182|51.60133645|0.0|0.1750202069999999|12.69444262|143.6934201|10.92810365|0.167574105|1.017634436|1825.150911|-0.0964711209999999|-0.039894864|133.6600817|0.033770552|-0.104724018|0.210514881|19.60151089|477.1158679|31.95435864|74.99749378|7.679719277999999|-60.78517756|5481.32199|0.867391557|136.3310784|5468.378562|444.1009824|-23.15625812|882.6347448999999|11.37734536|75.59644237|-1.675584287|14.34104294|0.46449367|7148.780329000001|0.765121385|92.76018383|420.61975880000006|473.040639|444.4860181|2592.245875|0.234878615|-55.99493147|244.1411934|-35.28166588|-260.8074567|-13.44063462|-32.50125347|449.6944484|3.0|1.0|3.29|23.0|4.87|103.47|2.72|366.37|83.82|2.3e-06|28.0|1.67|4.41|0.05|1.0|6.28e-09|0.00379|1.0|-8.2|3.44|-6.02|1.04e-05|1.0|-4.98|0.0|5.0|0.00649|-4.75|3.54|1.77e-05|1.0|2.0|0.55|1.0|0.0|1.0|0.0|0.0|0.0|0.0|3.67|-0.07042|607.42|-0.12874|-1216.12881|0.5867|0.0296752|-1216.099134|3.1744|-1215.975876|1018.84|0.69114|-0.19916|0.2821|482.51|10.1801|7.7454|0.69763|390.57|3734.0|332.04|-1215.922313|2.95|5.5302
13_a1|14.95193556|6.256519861|0.593884034|0.223447138|0.0|4.983978521|0.152626204|0.010049476|0.069155968|45.34605479|5.824404498|1.585620044|2.491273045|0.0|20.71002675|0.110257281|0.043294434|0.057413632|0.036382114|1.270783943|-6.27684606|1.759239994|0.029356061|5.135959116|0|0.0272708329999999|226.568423|-0.089906964|34.03309147|4.852978103|0.0|9.335393345|45.53211513|0.0|0.1750202069999999|12.74525894|144.7145245|10.94096525|0.173327071|1.043008223|1786.445642|-0.111667908|-0.040302516|148.7311076|0.033737733|-0.10668313|0.207843387|19.62059449|528.3795274|33.09282789|77.55889436|7.493979856|-62.04288975|5607.6899140000005|0.912824292|186.4137189|5456.353212|395.1486144|-23.43842502|1013.142542|11.41059871|84.56244352|-1.813613202|14.33466671|0.477212829|7237.273728|0.6794604670000001|98.66976133|411.8990734|505.2124255|467.9868168|2555.623166|0.320539533|-64.94184903|239.5449863|-36.08180773|-242.2358135|-13.63090514|-37.76773325|462.30279569999993|4.0|1.0|3.35|23.0|4.75|104.88|2.83|371.39|80.26|4.24e-06|28.0|1.74|3.87|0.09|2.0|1.14e-08|0.0192|1.0|-7.94|3.23|-6.48|5.16e-05|1.0|-4.29|0.0|5.0|17.0|-4.34|2.94|4.58e-05|1.0|1.0|0.55|1.0|0.0|1.0|0.0|0.0|0.0|0.0|3.17|-0.04962|613.52|-0.13921|-1238.395767|0.5339|0.0284695999999999|-1238.367298|3.4483|-1238.22919|1035.04|0.65363|-0.18883|0.3535|472.52|3.9446|2.7595|0.69782|359.55|4.0783|304.01|-1238.174491|0.26|6.585
