Atribute|Description
SddssS|Sum of sulfate groups.
NaaNH|Number of NH in aromatic ring
n9FaHRing|9-membered aromatic fused hetero ring count.
n9FaRing|9-membered aliphatic fused ring count
SaaNH|Sum of E-state indices of the NH in aromatic ring.
SssssC|Sum of E-state indices of Carbons with two resonable bonds.
NaasN|Number of N in oxides.
SRW09|Walk count (leg-9, only self returning walk).
nAHRing|Aromatic hetero ring count.
nARing|Aromatic ring count.
BCUTs-1l|First lowest eigenvalue of Burden matrix weighted by intrinsic state.
SaasN|Sum of E-state indices of the N in oxides.
MATS2c|Moran coefficient of lag 2 weighted by gasteiger charge.
AATSC1c|Averaged and centered Moreau-Broto autocorrelation of lag 1 weighted by gasteiger charge.
SRW07|Walk count (leg-7, only self returning walk).
AATSC1s|Averaged and centered Moreau-Broto autocorrelation of lag 1 weighted by intrinsic state.
n6HRing|6-membered hetero ring count.
JGI4|4-ordered mean topological charge.
MATS7i|Moran coefficient of lag 7 weighted by ionization potential.
SaaaC|Sum of E-state indices of the aaCa groups.
ATSC1c|Centered Moreau-Broto autocorrelation of lag 1 weighted by gasteiger charge.
AATSC1are|Averaged and centered Moreau-Broto autocorrelation of lag 1 weighted by Allred-Rocow EN.
MATS8i|Moran coefficient of lag 8 weighted by ionization potential.
BCUTi-1l|First lowest eigenvalue of Burden matrix weighted by ionization potential.
AATSC8d|Averaged and centered Moreau-Broto autocorrelation of lag 8 weighted by sigma electrons.
n5aRing|5-membered aliphatic hetero ring count.
n5aHRing|5-membered aromatic hetero ring count.
AATSC1pe|Averaged and centered Moreau-Broto autocorrelation of lag 1 weighted by Pauling EN
AATSC7i|Averaged and centered Moreau-Broto autocorrelation of lag 7 weighted by ionization potential.
MATS1i|Moran coefficient of lag 1 weighted by ionization potential.
AATSC1i|Averaged and centered Moreau-Broto autocorrelation of lag 1 weighted by ionization potential.
MATS1c|Moran coefficient of lag 1 weighted by Gasteiger charge.
n6aHRing|6-membered aromatic hetero ring count.
GATS1are|Geary coefficient of lag 1 weighted by Allred-Rocow EN.
BIC2|2-ordered bonding information content.
MATS8s|Moran coefficient of lag 8 weighted by intrinsic state.
MATS8d|Moran coefficient of lag 8 weighted by sigma electrons.
SIC2|2-ordered structural information content.
GATS1pe|Geary coefficient of lag 1 weighted by pauling EN.
nFaHRing|Aromatic fused hetero ring count.
RASA|Relative hydrophobic surface area.
FNSA3|Fractional charged partial negative surface area (version 3)
FNSA5|Fractional charged partial negative surface area (version 5)
PBF|Plane of the best fit descriptor.
FPSA3|Fractional charged partial positive surface area (MORDRED version 3).
PNSA3|Partial negative surface area (version 3).
PNSA5|Partial negative surface area (version 5).
PPSA3|Partial positive surface area (version 3).
