molecula|TASA|SRW09|nAHRing|SRW07|Solubility [Log S (Ali)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
15d_a10|590.402322|7.535296702|2|5.4161004020000005|0.0739|2.05|-1430.8144619999998|7.1612
12bg_a36|576.6383913|7.412764017000001|2|5.351858133|0.00372|4.42|-2152.13793|7.8239
6e_a31|380.0911673|7.773594467000001|1|5.733341277|0.000947|4.31|-1652.669408|6.4318
12bf_a36|437.4108773|7.412764017000001|2|5.351858133|0.0424|3.66|-1431.413697|8.2218
8h_a8|354.18563860000006|7.05012252|0|4.844187086|0.0023899999999999|7.71|-1361.651799|4.9359
47u_a18|516.6437614|7.03438793|1|4.844187086|0.000932|9.34|-1510.182477|5.7055
9r_a24|564.3096436000001|6.605297921|0|4.59511985|0.0383|1.82|-1294.486221|7.9586
41_a18|503.8398786|7.03438793|2|4.844187086|0.00125|7.34|-1454.374793|6433.0
19_a3|397.1650228|6.605297921|0|4.59511985|166.0|2.43|-929.2818523|7.6383
18_a15|511.4247108|0.0|0|0.0|0.000265|5.65|-1265.810138|6.8894
3d_a32|483.4133562|7.765993078999999|0|5.733341277|9.58e-05|3.42|-1672.758552|8.0915
8b_a8|342.0904577|7.535296702|1|5.4161004020000005|7.0|6.41|-1407.0843|5.2941
8e_a12|538.051884|6.803505258|1|4.727387819|0.0156|3.45|-1177.619013|6.2306
12as_a36|519.1478419|7.412764017000001|2|5.351858133|0.0653|4.84|-1385.601917|7.2291
7e_a8|495.8990914|7.05012252|0|4.844187086|0.000686|6.32|-1300.495519|4.4547
19b_a38|452.6479704|7.412764017000001|2|5.351858133|0.0238|3.66|-1431.414099|7.9172
7_a15|466.9990754|0.0|0|0.0|0.00516|2.78|-1184.385377|6644.0
12u_a36|586.1833819|7.412764017000001|2|5.351858133|0.0047799999999999|4.21|-1350.8981130000002|7.7959
12bh_a36|554.7010591|7.412764017000001|2|5.351858133|0.0117|3.79|-1311.589612|7.8539
