molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|BCUTs-1|SaasN|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|SIC2|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
35_a18|0.0|0|0|0|0.0|1.251175948|0.0|4.844187086|1|0.03531746|-0.069149293|0.0|-0.44784362|-7.44e-05|10.94702087|0|0.00113101|-0.078001173|-0.5009599889999999|0|0.737701788|0.774007861|0|-0.081822342|-0.084219749|0.3888901179999999|0.008853796|-62.06945887|6.525195505|118.7214377|146.8343246|-0.033440195|-45.74482543|0.874573807|-2.273933228|67.9315105|66.82777970000001|0.465531336|3038.429834|590.1597827|-1675.875389|-18.16338657|0.125426193|9.184536969|17.18442554|92.43836482|-1235.110287|1916.219506|1056.535856|5.862051629|1.0|1.0|3.0|18.0|-9.55|4.13|3.35|85.29|151.05|0.0|1.0|8.0|-6.06|36.0|3.0|480.6|0.0|-5.53|8.629999999999999e-07|2.96e-06|0.0|1.35e-07|3.2146|8.09|3.2146|-1532.976969|1400.62|385.69|385.69|657.07|-1532.557542|0.4981|-132.0|-0.18079|0.02600607|2.7788|24.0|7.6198
4S4k_a46|0.0|0|0|0|0.173180233|1.134637098|2.145043462|5.587248657999999|1|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|10.94631314|1|0.006050983|0.008544799|-0.3860697829999999|1|0.78837943|0.787615341|0|-0.089589915|-0.0860536609999999|0.199356973|0.007749296|-45.61628327|4.1078333030000005|172.7607401|57.39060501|-0.030477338|-24.18078772|0.8679099640000001|-1.46291223|49.42345536|51.59865384|0.461984953|2105.538282|472.7005375|-775.4768155|-8.564028983|0.132090036|5.523352655|10.26616763|70.01975807|-411.0733912|893.4991504000001|519.5743695|3.807172093|1.0|1.0|1.0|17.0|-6.61|4.26|4.77|50.94|100.96|0.0|1.0|2.0|-4.82|25.0|3.0|333.43|0.0|-4.83|1.5e-05|1.4800000000000002e-05|0.0|8.28e-05|5.2854|4.52|4.0774|-1053.415665|997.07|304.07|234.58|487.43|-1053.202208|0.0654|-0.17396|-0.1947|0.02628818|2.5693|197.0|6.7055
17d_a50|0.0|0|1|1|0.0|1.338814635|4.380250483|6.042632834|1|0.031990741|0.006071856|2.234730384|-0.140830095|0.012079|10.94500663|2|0.01245647|-0.200725906|-0.2294807539999999|1|0.754575205|0.789310938|1|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|-48.40178147|10.55016861|5.007868064|48.62532158|-0.025589979|-33.56790124|0.75405703|-1.535398758|57.5414543|41.18485076|0.445708152|2824.70142|644.9008302|-1064.839192|-12.30823045|0.24594297|6.996105516|12.62170017|170.5678813|-738.4938272999999|1412.14676|829.3813984|9.139672835|0.0|1.0|0.0|20.0|-7.07|4.0|4.29|51.77|133.19|0.0|1.0|6.0|-4.5|32.0|4.0|424.54|0.0|-4.88|3.17e-05|1.31e-05|0.0|3.63e-05|4.0506|3.41|4.0506|-1335.962757|1263.22|306.09|306.09|579.45|-1335.649722|0.1819|-0.16716|-0.19967|0.02625058|7.9942|74.0|7.1308
7g_a8|0.0|1|0|0|0.0|1.39137419|1.336155045|5.4161004020000005|0|0.0448526079999999|-0.030968098|0.0|-0.481134236|-0.00087806|10.9431888|1|0.0002620309999999|0.021974492|-0.418049442|0|0.627990269|0.79995525|0|-0.107714754|-0.1122315669999999|0.306360885|0.031841955|-67.26263865|19.08352484|144.290464|180.1699331|-0.045912914|-40.31185423|0.806738465|-2.020168201|78.41805331|83.63914665|0.470618047|2802.2242920000003|419.1502102|-1210.7274960000002|-16.4912131|0.193261535|7.588498875|14.3346384|115.825531|-725.6133762000001|1500.768277|509.2753308|11.15541466|1.0|1.0|1.0|23.0|-7.91|4.94|4.66|80.04|108.0|0.0|1.0|3.0|-5.78|30.0|5.0|399.37|0.0|-5.44|1.67e-06|3.59e-06|0.0|4.92e-06|3.7874|6.26|3.7874|-1374.4533210000002|1053.9|327.36|327.36|507.78|-1374.291597|0.5165|-0.15508|-0.22129|0.03974865|12.9547|21.03|4.6772
8b_a8|0.0|1|0|0|0.0|1.395658149|1.42474537|5.4161004020000005|1|0.040054466|0.019958073|0.0|-0.733216119|-0.0055544409999999|10.94650923|1|-0.003593429|0.049587543|-0.5058761820000001|1|0.758899977|0.8354024290000001|0|-0.130159955|-0.11627069|0.28604765|0.032440348|-71.23625346|19.87542051|172.84152849999998|270.5854753|-0.047457424|-43.64473805|0.781454722|-2.325413799|84.97574547|99.62129245|0.4835310479999999|2863.095568|342.0904577|-1424.7250689999998|-17.8141788|0.218545278|7.507665421|14.53652808|133.8974321|-872.8947609999999|1823.170337|589.263087|13.73949201|0.0|1.0|2.0|23.0|-7.13|3.65|3.03|112.23|114.18|0.0|1.0|4.0|-4.77|31.0|5.0|414.41|0.0|-4.43|1.6899999999999997e-05|3.69e-05|0.0|3.04e-05|4.5819|6.41|3.2992|-1407.052256|1098.17|375.8|270.59|488.56|-1406.829227|0.1515|-0.13807|-0.19921|0.03204403|7.4497|5.08|5.2941
2_a4|0.0|0|0|0|0.0|1.189716144|0.0|4.59511985|1|0.037777778|0.08246129|0.0|-0.269140683|-0.001386521|10.95268469|0|-0.0016168089999999|0.147657684|-0.3881618|1|0.930871261|0.847373823|0|-0.117395215|-0.105102755|0.442778552|0.006330673|-44.27948986|2.667094277|166.102249|108.4760726|-0.0379537729999999|-18.65482233|0.843107708|-1.366335816|48.93681624|52.12536246|0.3961813179999999|1623.668791|312.82106489999995|-575.6333682|-6.736463618999999|0.156892292|4.710383035|7.800989232999999|66.09827364|-242.5126903|682.7518749|284.26458360000004|4.657326379|0.0|1.0|2.0|12.0|-4.83|2.12|0.83|45.15|79.59|0.0|2.0|2.0|-2.18|19.0|4.0|253.3|0.0|-2.77|0.0066|0.00171|0.0|0.00374|5.8961|2.46|3.2230000000000003|-819.8996124|764.77|384.69|210.28|333.36|-819.771754|0.0008|-0.14614|-0.16226|0.033037353|3.0946|31.0|7.5086
21_a4|0.0|0|0|0|0.0|1.399863887|2.026698554|5.4161004020000005|1|0.042924837|0.019346682|0.0|-0.131928225|0.012362563|10.94593332|1|0.012094249|-0.063064908|-0.228430899|1|0.6952936|0.833191212|0|-0.0571545999999999|-0.076470465|0.239652988|0.020173071|-38.7880598|10.23237244|63.37635587|34.4171635|-0.028676424|-19.67444009|0.7231676229999999|-1.147056976|47.69702403|39.22285963|0.401240904|2045.488184|472.812128|-581.8208971|-7.377915035|0.276832377|5.961506745|9.956436217|140.4174905|-295.1166014|804.5450027|387.240586|8.908964226|1.0|1.0|0.0|17.0|-5.94|3.7|3.85|39.94|91.59|0.0|2.0|3.0|-3.88|23.0|3.0|303.36|0.0|-4.19|0.000133|6.51e-05|0.0|0.000352|5.1623|3.31|4.0245|-973.5481197|916.76|308.08|240.17|446.0|-973.400097|0.1457|-0.16632|-0.19588|0.020181098|2.9409|121.0|6.9172
12i_a36|0.0|1|0|0|-4.787087299|1.2401347459999998|0.0|5.351858133|2|0.0438779959999999|0.048138468|0.0|-0.929568494|-0.011700732|10.96020192|1|-0.007897954|-0.1187503719999999|-0.608318386|1|0.647732719|0.87043328|0|-0.0850745409999999|-0.117424873|0.332782117|0.01973953|-75.66036485|12.71877085|108.3973956|108.9148111|-0.045665229|-48.75024044|0.7691298590000001|-2.46592234|90.11282843|67.53484704|0.460246812|3231.030388|535.4151566|-1588.867662|-18.95842684|0.230870141|7.549683919|13.98728916|148.7565508|-1023.755049|2065.79896|672.4630346|14.45246358|1.0|1.0|2.0|17.0|-7.14|3.31|4.04|78.43|130.43|0.0|1.0|7.0|-5.2|34.0|8.0|465.43|0.0|-5.07|6.26e-06|8.6e-06|0.0|3.37e-05|5.2297|4.86|3.7496|-1645.171438|1172.5|330.66|237.08|504.47|-1644.954647|0.1516|-0.1541|-0.20475|0.03165678|6.6124|12.0|7.9208
5b_a40|0.0|0|0|0|0.0|0.604912077|1.616656116|6.167516491000001|0|0.044946237|-0.096549823|0.7222376540000001|-0.163148971|0.008515162|10.31198309|2|0.006372485|0.007986879|-0.389789991|0|0.537115914|0.88618123|1|-0.077031845|-0.091267779|0.313503463|0.019116586|-45.78637031|9.59023102|169.18694230000003|59.56617021|-0.036507111|-22.96968039|0.829018186|-1.095213344|52.08187888|48.2348504|0.477304896|2126.9310920000003|442.1045286|-549.4364437|-9.187872156|0.1709818139999999|6.521443259|12.47657231|85.77656597|-275.6361647|662.7555978999999|285.9136384|6.2955085660000005|1.0|0.0|0.0|14.0|-5.25|4.93|4.39|75.5|84.17|0.0|2.0|3.0|-5.43|21.0|3.0|338.21|0.0|-4.84|3.69e-06|1.44e-05|0.0|0.00191|3.9759|5.62|3.9759|-2096.767375|847.01|311.84|311.84|411.1|-2096.707754|0.3005|-0.15999|-0.23068|0.01471235|9.3069|64.0|7.1938
EW7203_a60|0.0|0|0|0|0.0|0.604984431|0.0|5.351858133|2|0.041767677|-0.092774356|0.0|-0.377182982|0.003099827|10.31162855|1|0.0036417359999999|-0.049287858|-0.458129101|1|0.80330079|0.8839272779999999|0|-0.076068195|-0.096226348|0.345488097|0.020156795|-62.23028092|13.03554647|80.48638339|73.67602619|-0.036566012|-40.24477665|0.766837077|-1.828300603|73.82739839|62.22940284|0.497298165|2913.880231|573.0312689|-1182.375337|-15.29301513|0.233162923|8.310125852|16.53092404|150.7881632|-764.6507562999999|1541.885979|666.0036144999999|11.59711747|1.0|1.0|2.0|17.0|-6.7|3.87|2.6|117.47|133.97|0.0|1.0|5.0|-5.74|31.0|4.0|425.51|0.0|-4.82|1.81e-06|1.53e-05|0.0|8.51e-05|5.0166|3.64|3.5192|-1667.993536|1166.44|352.3|247.15|546.85|-1667.78681|0.0448|-0.1446599999999999|-0.20654|0.03203878|2.5159|9.0|8.0334
