molecula|Class [Log S (SILICOS-IT)]|E solv. Water  (Hartree)|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|PAINS|MATS8i|Absorption Energy (max. Transition) (eV)|AATSC7i|GeomPetitjeanIndex|Log Po/w MLOGP|pIC50
12v_a36|1.0|0.03275089|1874.459798|679.7230552999999|0.0|0.0|0.0|-0.086194201|3.8847|0.123026459|0.461799225|1.72|7.8539
40_a47|1.0|0.02983032|1017.592517|388.178924|1.0|1.0|0.0|-0.038143308|4.0176|-0.130213023|0.4574577489999999|1.52|8.4
9i_a24|1.0|0.0239838|793.2611447|295.8603625|1.0|0.0|0.0|-0.087363979|4.6212|-0.140841749|0.468272544|0.67|7.0555
8_a47|1.0|0.03283575|1166.287236|559.4973856|1.0|0.0|0.0|-0.153669322|3.6696|-0.177626636|0.414302597|3.9|7.3
1a_a18 (SB-431542)|1.0|0.03494548|1640.78056|513.4628663999999|1.0|1.0|0.0|-0.029658865|3.8208|0.164429684|0.472443977|1.54|6.9031
28_a34|2.0|0.03680411|1284.466737|344.69029950000004|1.0|1.0|0.0|-0.15803127|4.2857|-0.33032879|0.454339954|0.88|5.4179
4q_a46|1.0|0.02185677|946.4377411|554.3688216|1.0|1.0|0.0|-0.155661124|4.5296|-0.019471024|0.487775649|1.75|6129.0
16b_a32|1.0|0.03900066|1392.342653|597.8890744|0.0|1.0|0.0|-0.018753196|3.6211|-0.023602065|0.414997448|0.41|7.7696
AKLKII_a46|1.0||713.5187596|314.0966684|1.0|0.0|0.0|0.156485495||-0.015805561|0.47999819|1.18|6.7423
13c_a5|1.0|0.03747691|1557.152554|656.208474|1.0|1.0|0.0|-0.098760742|4706.0|-0.017427549|0.46617977|1.16|6.9101
8b_a12|1.0|0.03936706|1365.645333|510.3677388|1.0|1.0|0.0|-0.036536396|4.2263|0.047425677|0.480938153|2.23|6.58
47c_a18|1.0|0.03115159|2522.390613|1167.054827|1.0|0.0|1.0|-0.058748345|3.1096|0.071793992|0.489290189|2.41|8.5229
12n_a36|1.0|0.03261661|2114.630173|805.2286932|0.0|0.0|0.0|-0.035989956|5.3573|0.048110172|0.454498749|0.84|7.8239
16_a4|1.0|0.01638524|710.807513|322.8922084|0.0|0.0|0.0|-0.148022089|4511.0|0.020218035|0.455802506|3.44|6.4647
8k_a46|1.0|0.04718819|1723.969585|865.6610153999999|0.0|1.0|0.0|-0.114070359|5.0379|-0.1017929319999999|0.4938768979999999|1.86|6.8327
