molecula|Wavelength (HOMO-LUMO transition) (nm)|MATS1c|n6aHRing|DPSA4|FPSA5|DPSA1|AATSC1c|PNSA3|PPSA3|AATSC8d|Log Po/w WLOGP|pIC50
20_a47|311.45|-0.5332051720000001|2|30.08893541|0.034758191|-103.815441|-0.011237762|-45.68149289|12.85623208|0.071506228|4.54|8.6
33_a47|296.13|-0.270498605|3|25.25333652|0.029580684|-82.22540944|-0.004263267|-32.1568697|11.96072985|0.0741098479999999|4.04|8.4
4_a18 (SD-208)|378.26|-0.564165402|1|29.9246699|0.035654206|-105.0785813|-0.012457606|-40.10670787|10.90456851|-0.056245435|4.44|7.0969
12as_a36|321.96|-0.4358775279999999|1|33.18163581|0.017444469|-361.3444194|-0.007672841|-55.75872553|12.95780416|-0.025398105|2.09|7.2291
18d_a30|357.49|-0.4624430539999999|1|30.62871675|0.016577694|-358.5765637|-0.0072724869999999|-49.44608411|11.29282624|-0.087019298|3.18|7.6737
15c_a10|337.75|-0.1742732839999999|2|25.30814911|0.023432886|-39.17102961|-0.002218445|-32.5870313|10.2013281|0.0123939039999999|2.97|7.0
47p_a18|387.01|-0.441700685|0|27.86610962|0.01090303|-471.4248324|-0.005394244|-51.14496913|5.913843751|-0.049428094|3.34|7.1938
12v_a36|334.77|-0.401336708|1|34.71221847|0.02867403|-167.9576969|-0.008411281|-51.4172081|17.85767346|-0.023932402|1.89|7.8539
12e_a36|337.84|-0.43688276|1|30.25577504|0.017716522|-332.11111980000004|-0.007100632|-44.83739063|12.12502373|-0.084051264|2.19|7.8539
12a_a36|338.0|-0.432975237|1|30.67992313|0.019102103|-313.5499672|-0.007471648|-46.76212019|12.03249549|-0.065913514|1.88|7.8861
14aa_a23|345.03|-0.4506138879999999|2|27.00633206|0.013786041|-404.0660854|-0.005050361|-35.51947393|12.26959478|-0.044957534|4.63|8451.0
47o_a18|385.04|-0.490807196|0|28.74706708|0.008265369|-541.4335917000001|-0.006476544|-56.13142962|6.313168526|-0.038296569|3.0|7.3279
4o_a46|286.64|-0.096073163|1|15.99310518|0.0108913189999999|-275.3254498|-0.000627744|-35.54402423|5.332434441|-0.06855792|4.94|6.7905
19l_a38|369.66|-0.4224000739999999|1|32.82593886|0.021129331|-307.64756780000005|-0.007360265|-51.6277901|14.19254029|-0.032264281|3.09|7.8633
11_a1|388.38|-0.563650254|1|38.20963621|0.02620284|-297.0290662|-0.018080197|-77.81495049|20.62225192|-0.044235537|4.23|6.7696
18d_a25|340.69|-0.292727912|2|27.92623037|0.014219928|-388.2927768|-0.0029605|-46.31109519|8.39885106|0.016982601|5.98|6.6345
26_a47|310.58|-0.5899218279999999|2|31.36429668|0.024619511|-252.9318822|-0.012090143|-57.01987795|12.13564316|0.0081426509999999|4.68|7.9
17g_a50|306.45|-0.213708251|1|23.06474408|0.013645282|-333.6136209|-0.002050512|-32.14758511|9.710172008|-0.1155555559999999|4.37|6.6091
