molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|GATS1pe|nFaHRing|FNSA5|PNSA3|PNSA5|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|P-gp substrate|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12f_a31|0.0|1|0|3.4780522210000004|0.0|7.765993078999999|1|1|0.0|0.034876922|-0.011835152|0|0.03703252|0.043286807|0.0|-0.698273995|10.31169747|-0.0164221939999999|2|0.000889251|0.068054139|-0.205011573|-0.551471017|0.805862937|0.8167107029999999|-0.029803241|0.7730604259999999|0|-0.118239376|-68.14417693|-82.48950216|159.84734269999998|208.6022728|-0.0337826789999999|-57.54866283|569.7325277000001|-1.891830012|97.53070764|87.41178754|0.482666192|-1319.832035|0.313117045|19.05849748|0.932987917|5845.744358|218.4455813|-920.7786053|0.021559868|1921.480254|1.0|16.0|6.43|117.37|1.53|3.0|117.78|0.0|1.0|10.0|-5.98|30.0|5.0|-6.19|426.53|0.0|0.0|4.01|-4.63|1.05e-06|0.0101|0.0|-0.03317|3.8305|5.39|3.8305|-1696.785527|-1696.741889|755.33|1258.6|0.2664|323.68|-1696.466804|0.2664|-0.15894|1.8803|-0.19211|-1696.53373|3.3538|0.13|6.8861
17_a12|0.0|0|0|0.0|0.0|6.823286122000001|1|1|0.0|0.132275232|-0.00864055|3|0.035816993|-0.210594127|0.0|-0.38018419|10.31157659|-0.070249784|1|-0.000651751|-0.3748198379999999|-0.202276514|-0.559137213|0.918713011|0.8198617429999999|-0.11976662|0.859088647|0|-0.096209886|-36.25249721|-50.13411606|69.36398419|73.93273708|-0.035198739|-26.12444199|0.0|-1.443148294|57.97616997|42.10235809|0.466056241|-752.0117408|0.213298781|10.61752641|0.8728564259999999|4866.339908|111.1480977|-391.8666299|0.015049295|955.9051425|0.0|17.0|4.51|78.41|2.47|0.0|103.12|0.0|1.0|3.0|-4.51|24.0|4.0|-6.07|333.41|0.0|1.0|3.14|-4.24|3.1e-05|0.0191|0.0|-0.06322|4.4014|2.87|3.7723|-1366.804178|-1366.776169|560.09|933.62|0.2213|281.69|-1366.638303|148.0|-0.15459|2128.0|-0.21781|-1366.689546|2.9806|16.0|7.7959
9h_a40|0.0|0|0|0.0|0.0|7.515889085|0|0|1.7679629630000002|0.014753178|-0.009041931|0|0.039444444|0.157606277|0.814591837|-0.343593366|10.31197223|-185.0|2|0.003099029|0.270048551|0.08305063|-0.503000695|0.778613709|0.740778143|-0.299768519|0.7528137909999999|1|-0.095803029|-46.04148264|-47.93581245|132.6583116|67.89350333|-0.041058441|-23.98506758|0.0|-1.437045429|53.60044379|52.2411122|0.482124665|-719.0371868|0.136115065|13.366649|0.930966649|4322.734135|68.10626265|-359.7760137|0.011321157|832.3298135|0.0|20.0|4.59|67.66|3.22|1.0|93.19|0.0|1.0|3.0|-5.65|23.0|3.0|-5.06|321.4|0.0|1.0|4.06|-5.12|2.23e-06|0.00244|0.0|-0.05991|4.2372|3.9|3.3675|-1293.174246|-1293.151333|526.38|868.84|0.3851|292.61|-1293.033723|0.2721|-0.14047|2.1413|-0.20038|-1293.083512|2841.0|3.98|5.4001
12g_a31|0.0|1|0|3.42813681|0.0|7.765993078999999|1|1|0.0|0.0716209459999999|-0.01500347|0|0.0388738739999999|0.045747231|0.0|-0.7501734859999999|10.31169877|-0.082116813|2|-0.0054114869999999|0.074878295|-0.081426376|-0.57758443|0.837044054|0.819234772|-0.1386819869999999|0.7983388929999999|0|-0.131126805|-78.87508829|-80.52794936|152.7424573|256.26669530000004|-0.039059048|-49.45404266|548.1594997999999|-1.835775276|95.97385383|97.88920296|0.470244801|-1127.391291|0.311351131|15.28679013|0.887664343|5398.678971|191.2078009|-692.3565973|0.02515117|1637.106139|1.0|16.0|5.19|131.36|0.86|1.0|103.26|0.0|1.0|7.0|-4.92|27.0|5.0|-6.86|384.45|0.0|0.0|2.9|-3.79|1.19e-05|0.0627|0.0|-0.03324|3.8349|4.17|3.8349|-1578.846191|-1578.800869|664.44|1090.41|265.0|323.3|-1578.605452|265.0|-0.15917|1.6279|-0.19241|-1578.66792|2.4038|0.11|6.9586
7a_a8|0.0|1|0|3.1730222510000003|0.0|7.535296702|1|1|1.4494883790000002|-0.11821781|-0.010269971|1|0.041123188|-0.017706371|0.0|-0.482688615|10.94671402|-0.019054799|1|0.002028046|-0.02923588|-0.032195997|-0.412963751|0.7168594159999999|0.764224152|-0.032562221|0.681200974|0|-0.101880506|-60.00793116|-59.83546383|145.3710976|165.38046830000002|-0.042647654|-35.14198015|71.85980901|-1.833849114|75.4573633|80.80201312|0.477611327|-1077.038349|0.266115601|14.73814865|0.914283468|5907.9340090000005|156.2924154|-632.5556427|0.0265990589999999|1467.585836|1.0|23.0|3.96|92.93|2.01|1.0|105.83|0.0|1.0|3.0|-4.86|29.0|5.0|-6.33|382.37|0.0|0.0|3.15|-4.64|1.36e-05|0.00874|0.0|-0.07616|4.5808|5.2|3.0704|-1291.313963|-1291.287017|605.72|1031.61|315.0|270.66|-1291.10235|0.1575|-0.12889|9.9646|-0.20505|-1291.156661|12.8748|24.73|4.6068
2_a33|0.0|1|1|3.396444161|0.0|7.765993078999999|0|0|0.0|0.047294725|-0.009168933|0|0.039958333|-0.049900189|2.112255684|-0.476784502|10.31100266|-0.05997501|3|-0.000810928|-0.0881938509999999|-0.148024156|-0.593915758|0.787714775|0.833090592|-0.096644295|0.753434785|1|-0.104047115|-49.13901703|-63.57699532|103.5201191|110.28338390000002|-0.031851158|-38.84811555|44.34034244|-1.56070672|75.44970552|60.41371259|0.4699986339999999|-953.6549298|0.297402265|11.60906093|0.8867875909999999|6067.635829|181.7248125|-582.7217333|0.019430318|1357.327077|1.0|19.0|6.7|140.04|1.33|2.0|115.28|1.0|1.0|7.0|-6.35|28.0|4.0|-6.17|411.54|1.0|0.0|3.98|-4.78|4.44e-07|0.0069|0.0|-0.04967|3.6281|5.11|3.6281|-1920.079174|-1920.049452|655.74|1128.98|0.2911|341.74|-1919.830424|0.2911|-0.15012|4.2519|-0.19979|-1919.890628|5539.0|6.0|8.2596
17b_a25|0.0|0|0|0.0|0.0|6.842683282|0|0|1.785120622|0.001256821|-0.004368141|2|0.042843137|-0.026412432|1.968416259|-0.266456625|10.93106294|0.016982601|1|0.005244553|-0.044260194|-0.073994564|-0.366585181|0.653180996|0.780221059|0.029728702|0.636746066|1|-0.079392561|-51.71860811|-60.19950116|99.61874923|89.34443096|-0.029249891|-45.64634114|87.61586206|-1.6672437880000002|73.52844745|63.75929319|0.476276266|-1264.189524|0.275133816|18.52147096|0.909403632|6674.061446|208.6205329|-958.573164|0.0175785369999999|1744.031591|1.0|27.0|4.88|96.49|2.0|2.0|135.78|0.0|0.0|7.0|-5.32|35.0|5.0|-6.53|458.51|0.0|0.0|3.78|-5.07|4.75e-06|0.00394|0.0|-0.05531|5.4236|5.89|3961.0|-1483.873254|-1483.830524|781.08|1329.35|0.4635|228.6|-1483.563965|0.1741|-0.16408|3.5074|-0.21939|-1483.630939|5.2142|101.0|6.9957
8h_a8|0.0|1|0|2.975382653|0.0|7.05012252|0|0|1.241306689|0.038482973|-0.010324979|0|0.046205674|0.008138299|0.0|-0.485274006|10.94341368|0.007079485|1|-0.007036544|0.021094825|0.254819201|-0.53822084|0.578166105|0.6971223040000001|0.010682683|0.56916135|0|-0.11302328|-72.14530885|-66.4523265|316.4918269|233.7669182|-0.048805507|-39.07081527|53.78973456|-2.147442322|70.94463092|78.73029948|0.451435543|-1262.594204|0.081684095|13.58738632|0.822939833|5956.417906000001|48.02637252|-742.3454901|0.00764059|1374.901814|0.0|23.0|4.69|80.88|4.11|2.0|105.27|0.0|1.0|4.0|-5.21|29.0|4.0|-5.98|391.37|0.0|0.0|4.01|-5.0|6.11e-06|0.00395|0.0|-0.06344|4801.0|7.71|3.7327|-1361.651799|-1361.618499|608.39|1029.51|0.3011|258.25|-1361.455676|272.0|-0.15475|3.4779|-0.21819|-1361.5113789999998|4.4356|11.59|4.9359
3_a20 (SB-525334)|0.0|1|0|3.502142227|-0.08980269|6.880384082000001|0|0|0.0|-0.048050965|-0.005492814|2|0.0526353279999999|0.001821898|1.728260385|-0.274640708|10.95053359|-0.119584218|1|0.0033523629999999|0.002992397|-0.277724429|-0.500412918|0.818922083|0.7186587|-0.17447922|0.7835436240000001|1|-0.0917096759999999|-34.52869143|-51.80299691|43.70154849|70.23182172|-0.029269046|-29.26136697|0.0|-1.375645142|58.45718743|41.49386505|0.457398769|-777.0449536|0.215089498|10.9543133|0.8429740729999999|4905.195832|121.495147|-438.9205046|0.0117802769999999|989.9790502999998|1.0|21.0|5.2|67.35|1.69|1.0|104.59|0.0|1.0|3.0|-4.85|26.0|4.0|-5.74|343.42|0.0|1.0|3.63|-4.73|1.42e-05|0.00647|0.0|-0.0671399999999999|4.9821|3.9|3.1728|-1086.585811|-1086.56485|605.71|1030.31|367.0|248.86|-1086.329436|0.1171|-0.13417|3.7291|-0.20131|-1086.383308|4.8164|162.0|6.7905
27b_a34|0.0|0|0|0.0|0.0|7.412764017000001|1|1|2.013418486|-0.056026127|-0.010183855|1|0.042739018|-0.106245942|0.0|-0.549928192|10.95430634|-0.027175221|1|0.001228116|-0.175834895|-0.322091086|-0.463926296|0.820914556|0.7722228729999999|-0.047542374|0.770240631|0|-0.109683855|-57.66200309|-72.21552354|150.83624440000003|142.58786569999998|-0.037292511|-47.54648562|540.9533124|-1.864625537|87.24055613|78.08618045|0.4072752529999999|-1227.6639|0.287687241|15.39406063|0.687123753|6032.666081|189.4124225|-808.2902556|0.022820627|1723.489976|1.0|23.0|3.94|84.99|1.83|2.0|116.33|0.0|1.0|5.0|-5.23|31.0|5.0|-6.14|409.44|0.0|0.0|3.46|-4.96|5.92e-06|0.00449|0.0|-0.04121|4.8168|4.33|4.0935|-1350.055377|-1350.018975|691.97|1174.68|0.3621|257.4|-1349.811401|0.0252|-0.1652799999999999|11.8546|-0.20649|-1349.873325|15.2147|0.65|6.1871
19b_a38|0.0|1|0|3.26554965|0.0|7.412764017000001|2|2|0.0|-0.122009545|-0.008652352|2|0.044392765|0.013765516|0.0|-0.467227005|10.96052467|-0.0697981979999999|1|-0.004358975|0.035216067|-0.250781298|-0.443325632|0.653741315|0.8295290000000001|-0.114123934|0.632625562|0|-0.11557289|-53.38447032|-71.73053105|120.3048789|168.00390359999997|-0.041606241|-44.51968852|0.0|-2.0803120280000003|84.49751102|67.31146923|0.478948837|-1291.149559|0.240363041|13.74014387|0.91919733|6518.872269|149.181772|-801.3543933999999|0.020570275|1699.692918|1.0|17.0|3.55|81.23|2.78|1.0|125.65|0.0|1.0|5.0|-4.25|31.0|5.0|-6.81|419.43|0.0|0.0|2.94|-4.33|5.68e-05|0.0196|0.0|-0.05031|5363.0|3.66|3.7509|-1431.414099|-1431.38073|646.81|1111.29|0.4634|231.18|-1431.18309|0.1945|-0.15414|5.5253|-0.20445|-1431.2418630000002|6.3396|12.0|7.9172
12_a47|0.0|1|1|2.903215905|0.0|6.605297921|0|0|0.0|-0.155854903|-0.005522244|2|0.036632997|0.001435849|1.555521837|-0.209845277|10.95005729|0.0295267039999999|1|-0.004332024|0.003417588|-0.015039637|-0.326846977|0.6505449670000001|0.8288334490000001|0.050943962|0.618808977|1|-0.091853238|-44.18983348|-47.83891561|63.89392714|112.4599133|-0.034116917|-24.91541818|0.0|-1.1940921|61.09751253|53.5720844|0.4792593739999999|-621.9059029|0.319276179|13.52358352|0.920341815|4816.005822|166.28511369999998|-323.9004363|0.025457205|913.5950352|1.0|21.0|4.19|66.49|2.6|0.0|91.63|0.0|1.0|3.0|-4.51|24.0|4.0|-5.94|339.75|0.0|1.0|3.37|-4.56|3.11e-05|0.00943|0.0|-0.0623|4.2907|3.01|3.9538|-1488.101254|-1488.064043|537.79|886.46|0.2306|288.96|-1487.974738|0.2241|-0.1633|2.1019|-0.2256|-1488.024564|3.5884|6.0|8.2
12bd_a36|0.0|1|0|3.497517322|0.0|7.412764017000001|2|2|0.0|-0.051990612|-0.006695407|2|0.04625323|0.025649557|0.0|-0.4017244129999999|10.94639828|-0.0288761339999999|1|0.0045625|0.042808724|-0.169994208|-0.436345273|0.902377067|0.78699829|-0.047786573|0.857993338|0|-0.099460046|-46.92083391|-65.65179884|83.92365468|110.578217|-0.035521445|-43.33557909|0.0|-1.989200921|75.7932235|58.63647911|0.475272043|-1313.035977|0.21755876|15.34283166|0.905749421|5957.939097|143.6066496|-866.7115819|0.015363883|1678.127264|1.0|17.0|3.76|69.2|2.45|1.0|133.68|0.0|1.0|5.0|-4.54|31.0|4.0|-6.38|409.49|0.0|1.0|2.42|-4.6|2.8600000000000004e-05|0.0102|0.0|-0.05236|3.8786|3.79|3544.0|-1311.591775|-1311.560669|706.26|1200.23|0.4467|319.66|-1311.291779|0.0058|-0.1459|5.7533|-0.19826|-1311.352257|7.6908|17.0|7.7696
