molecula|SddssS|SaaNH|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1c|MATS8s|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
5b_a40|0.0|0.0|1|0.604912077|-0.067567502|-0.0049439079999999|6.167516491000001|0.064329005|0.044946237|-0.096549823|0.7222376540000001|0.179058252|10.31198309|0.020344828|2|0.006372485|-0.389789991|-0.400500595|0.503365018|1|0.881264402|-0.091267779|0.313503463|0.019116586|-45.78637031|9.59023102|169.18694230000003|0.118735598|59.56617021|-0.036507111|4.811137897|49.25022097|-1.095213344|-19.38687321|-18.31454812|48.2348504|764.9528181|-9.187872156|0.1709818139999999|6.521443259|0.913161214|4813.179854|85.77656597|-275.6361647|22.09185326|0.012549086|-330.1175669|662.7555978999999|6.2955085660000005|0.0|1.0|0.0|0.0|0.0|2.82|0.21|4.93|4.39|75.5|1.0|84.17|1.0|3.83|-4.84|3.69e-06|0.00125|1.44e-05|4.14|0.0|5.65e-06|-0.07069|-2096.767375|515.23|311.84|311.84|0.59928|0.59928|0.3005|-0.15999|7.2947|-2096.757832|9.3069|7.1938|7.1938
12ap_a36|0.0|3.4417292610000003|0|1.2970441659999998|-0.06398791|-0.007719624|5.351858133|-0.010732275|0.042739018|0.066185994|0.0|-0.105824575|10.95430638|-0.042675894|1|0.001194592|-0.436880644|-0.025198947|0.8212311840000001|0|0.830587483|-0.106173763|0.27547717|0.0217479329999999|-69.6632787|14.26936622|82.56761031|0.1694125169999999|111.1558165|-0.037473093|9.36249036|0.0|-1.91112774|-35.56900768|-24.58703954|68.48007054|2328.307856|-16.13217554|0.262148114|8.766216204|0.86772056|6003.481614|172.00197649999998|-822.7409526|33.32245946|0.020575639|-312.1212186|1699.445432|13.50019441|0.0|0.0|1.0|0.0|2.0|0.0|0.13|2.75|1.76|92.99|1.0|128.47|0.0|1.66|-3.95|0.000101|0.0412|0.000113|2.4|0.0|2.21e-07|-0.06084|-1325.159466|691.41|319.54|252.39|0.59563|0.6929|0.3982|-0.15704|7.0249|-1325.0127220000002|9.6512|7.4949|7.4949
18c_a22|0.0|0.0|1|1.194229067|-0.191807441|-0.003749104|4.727387819|0.013131848|0.038137255|-0.044828537|1.642882533|0.009519672|10.31286086|0.006275578|1|0.005597023|-0.305378181|-0.032031791|0.6922232890000001|1|0.931073539|-0.076388478|0.5003904610000001|0.019843706|-52.84635017|13.72808419|30.63947336|0.068926461|47.68404831|-0.028825841|9.49723261|15.22791009|-1.52776956|-27.73804808|-19.94201893|53.82294919|2574.178324|-13.79609783|0.317309976|7.332936064|0.914766316|7101.057047|219.5183688|-731.1931848999999|29.21094233|0.0215181079999999|-252.7737494|1548.179944|14.88645273|1.0|1.0|1.0|1.0|1.0|3.3|0.08|5.36|4.98|124.4|1.0|136.36|1.0|3.72|-5.1|1.6e-06|0.000739|7.98e-06|3.5|0.0|3.4299999999999995e-10|-0.07207|-1783.5397829999995|707.08|333.1|219.25|0.4609|0.60449|0.0817|-0.15158|1.2938|-1783.340519|1.0733|7585.0|7585.0
9_a4|0.0|0.0|1|1.300485838|-0.211556011|-0.00136737|5.4161004020000005|0.016639331|0.040449735|-0.019160308|2.137757657|-0.091393763|10.92992723|-0.0454860859999999|1|0.009731833|-0.172904817|-0.151437311|0.58669472|1|0.937102792|-0.069566741|0.472497372|0.009037784|-37.85762102|4.918284148|13.6577411|0.062897208|34.22811902|-0.025885299|2.676487872|45.21212204|-1.113067849|-15.58475436|-14.08655666|33.55665428|2012.840082|-7.665782805|0.207109566|5.744374392999999|0.777625327|5387.230364999999|112.7072422|-329.6286606|17.76608225|0.010768243|-318.7769026|763.9415367|5.859985199|0.0|1.0|1.0|1.0|0.0|3.37|0.19|5.14|5.07|43.6|2.0|105.09|1.0|4.17|-5.15|1.73e-05|0.0062299999999999|7.06e-06|4.14|0.0|6.9e-09|-0.05256|-1489.533032|586.24|308.91|262.21|0.5182100000000001|0.6464|0.0584|-0.16948|4.4343|-1489.41872|5.4739|7.3188|7.3188
4_a18 (SD-208)|0.0|0.0|0|1.304335262|0.055002235|-0.012457606|0.0|-0.113324634|0.040864198|-0.020226647|0.0|-0.009648044|10.95382003|-0.056245435|0|-0.015153358|-0.564165402|-0.058455902|0.721664823|0|0.77909674|-0.099573708|0.115284206|0.0211761979999999|-51.27494074|10.90456851|103.6318511|0.22090326|113.7529353|-0.034985357|5.615248385|0.0|-1.2944582059999998|-20.652731600000003|-18.01551972|51.01127638|1822.914738|-9.276994128|0.397970979|6.239898178|0.831728055|5348.394288|204.9329964|-343.2487827|29.9246699|0.035654206|-105.0785813|1107.212786|18.35993987|1.0|1.0|1.0|1.0|1.0|2.54|0.0|3.54|4.44|76.48|1.0|92.87|1.0|3.11|-4.38|5.12e-05|18.0|4.14e-05|3.02|0.0|7.06e-09|-0.09992|-1542.276332|537.47|378.26|239.56|0.4646|0.69028|0.2316|-0.13588|3.4629|-1542.207472|5.2085|7.0969|7.0969
3j_a32|0.0|3.564417045|0|0.609420782|0.0053427669999999|-0.006580847|6.3044488020000005|-0.017889768|0.037373737|-0.029763115|2.248764828|-0.086191775|10.31100276|-0.052622352|3|0.001173363|-0.528541012|-0.020129489|0.7557114|1|0.865101945|-0.095013178|0.27811778|0.013773753|-50.46105839|7.315176208|47.55031019|0.134898055|71.64373163|-0.030815085|3.885056172|0.0|-1.140158136|-19.82606536|-16.36574867|44.64569478|1778.1826620000002|-8.691773249|0.251226|5.900829539|0.812452828|4866.613493|133.42496409999998|-321.5956102|21.85672669|0.015301673|-264.245436|808.6988876|8.126647477|1.0|1.0|1.0|1.0|1.0|3.0|0.24|6.68|4.93|110.94|1.0|95.74|1.0|4.09|-4.8|1.21e-06|0.0004089999999999|1.58e-05|3.89|0.0|2.03e-07|-0.05361|-1671.479105|564.55|354.42|354.42|0.7028|0.7028|0.3005|-0.14498|3.6238|-1671.402462|5.9266|8.0969|8.0969
8c_a12|0.0|0.0|0|1.283851303|0.1948786139999999|-0.0104125509999999|0.0|-0.055163114|0.038787879|-0.106633503|0.0|-0.036504737|10.95472932|-0.07003012|0|-0.00160589|-0.606245231|-0.10899871|0.845077891|0|0.840397446|-0.101988384|0.239216075|0.019604202|-52.04233846|10.00357546|83.24714315|0.159602554|81.4415307|-0.038245644|5.104595615|0.0|-1.529825767|-17.44675795|-19.51587692|44.19432689|1245.6132289999998|-9.958505349|0.235550168|5.670223821|0.8957467170000001|4610.945152|120.19586|-398.3402139|25.52931025|0.018855428|-269.8853937|1021.17241|9.621493319|1.0|0.0|0.0|1.0|1.0|2.24|0.11|2.81|1.59|63.06|0.0|98.07|1.0|2.23|-3.72|0.000339|107.0|0.0001899999999999|2.5|0.0|7.24e-08|-0.06706|-1022.750382|551.66|323.37|284.38|0.53657|0.67318|0.1355|-0.15571|1.7305|-1022.663298|2.4806|7.3979|7.3979
12as_a36|0.0|3.447017327|0|1.297043209|-0.051208473|-0.007672841|5.351858133|-0.073735973|0.041728395|0.096454203|0.0|-0.114290948|10.95347588|-0.025398105|1|0.0018565629999999|-0.4358775279999999|-0.0389138329999999|0.770400825|0|0.77043791|-0.109492809|0.291030086|0.019229943|-73.78005999|12.95780416|88.17694537|0.22956209|154.6869148|-0.037824788|8.731418812000001|0.0|-2.080363362|-37.57216725|-25.48765709|68.71652969|2365.632846|-17.17446921|0.231874606|8.768282531|0.834059821|6224.698969|156.2451686|-944.5958066|33.18163581|0.017444469|-361.3444194|1824.98997|11.75468972|0.0|0.0|1.0|0.0|2.0|0.0|0.17|3.16|2.09|86.27|1.0|133.95|0.0|1.84|-3.95|0.000154|0.0653|0.000112|2.36|0.0|1.29e-07|-0.05789|-1385.5651710000002|712.04|321.96|274.29|0.53815|0.68211|0.2402|-0.1563|4.8580000000000005|-1385.384524|6.8556|7.2291|7.2291
14h_a23|0.0|0.0|2|1.197963488|0.043538466|-0.005921293|5.351858133|0.006191846|0.04255787|0.0316908439999999|0.7290938920000001|-0.024318144|10.31321773|-0.034313725|2|0.009266617|-0.4460845129999999|0.143102066|0.669357479|1|0.923430574|-0.081058742|0.223157991|0.021982565|-54.6468131|14.81983413|41.34207782|0.076569426|51.620282|-0.033774476|9.990985411|86.83095818|-1.621174834|-29.00823506|-22.76950546|57.84834575|2371.16134|-15.35036053|0.246899416|7.833334036|0.924279155|6722.809649|166.45047749999998|-736.8173055999999|30.23434844|0.018981866|-341.2621515|1451.248725|12.79687369|0.0|1.0|1.0|1.0|1.0|3.2|0.04|3.4|3.89|128.81|1.0|125.0|0.0|3.23|-4.9|2.09e-06|0.0009109999999999|1.27e-05|3.3|0.0|3.39e-08|-0.08532|-1722.148272|699.86|337.93|306.09|0.67365|0.69933|0.2727|-0.15209|9.7146|-1721.99264|13.4823|8.3468|8.3468
16_a20|0.0|3.485659565|0|1.401259527|-0.014660441|-0.004705049|4.727387819|0.00695144|0.0388043479999999|0.126359252|2.013871268|-0.061975089|10.93301779|-0.062750442|1|0.001157852|-0.458484451|-0.085041518|0.724665638|1|0.915005572|-0.077793092|0.382481746|0.011604018|-51.18223058|7.634605066000001|69.28224942|0.084994428|55.92018945|-0.029561375|5.023018225|3.46788153|-1.47806874|-28.6288015|-19.44924762|51.14820251|2161.751186|-12.79619894|0.219891897|8.166385503999999|0.8673208|5896.394536|144.672972|-639.8099471|24.9314775|0.013439632|-368.5817657|1246.573875|8.84230625|1.0|1.0|1.0|1.0|1.0|3.13|0.08|6.38|5.46|78.25|2.0|121.69|1.0|4.37|-5.66|8.68e-07|0.000349|2.17e-06|4.69|0.0|3.0500000000000005e-11|-0.05909|-1275.8670960000002|686.59|347.26|207.2|0.32553|0.69524|0.1958|-0.1481299999999999|4.7315|-1275.6960869999998|6.5609|7585.0|7585.0
