molecula|Oscillator Force (max. Transition)|BIC2|GATS1are|Contribution (HOMO-LUMO transition)|FPSA3|AATSC1c|n6HRing|JGI4|Solubility [Log S (ESOL)] (mol/l)|FNSA4|MATS7i|AATSC1are|MATS8i|pIC50
8_a4|0.1687|0.813333185|0.619844116|0.57675|0.0103751219999999|-0.001277205|2|0.038726287|1.46e-05|-0.024598141|-0.072752231|0.010647563|-0.011835327|7.2676
6_a1|0.3399|0.798346291|0.781885145|0.69818|0.021009352|-0.005477033|1|0.039635417|0.00021|-0.0238222729999999|-0.114683042|0.005054086|-0.00983397|5.2924
12f_a40|0.4348|0.777316288|0.679527138|0.7029|0.021549915|-0.006206277|0|0.040501792|1.02e-06|-0.032879466|0.070099257|0.008525796|0.108909202|6.4202
7l_a46|0.2024|0.7746144629999999|0.659888413|0.68834|0.011594057|-0.00090473|2|0.04006734|0.0001889999999999|-0.022013621|-0.203375108|0.013150047|-0.074511843|5.7122
8a_a32|0.4315|0.845443342|0.788133615|0.70316|0.018321589|-0.010151321|0|0.04008547|1.02e-05|-0.035678106|-0.0281981579999999|-0.003484915|-0.020716518|7.3468
12o_a36|0.4075|0.799869816|0.859938421|0.67273|0.023402195|-0.0100574069999999|2|0.040770975|0.000227|-0.03541591|0.03842353|-0.00233752|-0.059733192|7.3979
8j_a46|0.1728|0.789844634|0.645146311|0.70121|0.008672342|-0.0017688329999999|2|0.043903904|1.47e-05|-0.02566383|-0.129276363|0.011852046|-0.174853546|5.9108
19f_a38|0.3205|0.819222745|0.724208473|0.7056100000000001|0.02107583|-0.007831113|2|0.041808786|6.77e-05|-0.037844587|-0.008118156|-0.002526241|0.035480177|7.1397
16_a20|0.3431|0.7478675859999999|0.7582110409999999|0.69524|0.011604018|-0.004705049|2|0.0388043479999999|2.17e-06|-0.029561375|0.126359252|8.23e-05|-0.061975089|7585.0
17d_a50|0.1819|0.748516466|0.754575205|0.66103|0.0152123589999999|-0.002166617|1|0.031990741|1.31e-05|-0.025589979|0.006071856|0.012079|-0.136180713|7.1308
14b_a50|0.1637|0.7887047979999999|0.74726683|0.64303|0.022423099|-0.003935732|2|0.030219907|1.6800000000000002e-05|-0.025558317|-0.068176984|0.010215823|0.037777505|5.1818
8d_a32|0.3018|0.825978584|0.825020753|0.7026100000000001|0.01593079|-0.010604502|0|0.0388738739999999|4.36e-05|-0.03346862|0.062782795|-0.006974711|-0.044765977|8.0809
14b_a3|0.2276|0.7809478329999999|0.882394075|0.70123|0.012828558|-0.009130444|3|0.039799383|0.000103|-0.036469822|-0.1551678719999999|-0.00603969|-0.008040839|6.4202
8c_a12|466.0|0.782864175|0.905486734|0.67318|0.019604202|-0.0104125509999999|3|0.038787879|0.0001899999999999|-0.038245644|-0.106633503|-0.004211843|-0.036504737|7.3979
19_a34|0.2189|0.8022000659999999|0.866604574|0.6897300000000001|0.039589023|-0.013066507|1|0.044107744|0.000704|-0.039656969|-0.189862762|-0.00802652|-0.143343425|6.0044
1_a6 (SB-431542)|0.5765|0.7462411859999999|0.838928085|0.69868|0.033020439|-0.015636898|1|0.035620155|5.660000000000001e-05|-0.0462988229999999|0.1008839219999999|-0.011639964|-0.029658865|5.8119
23_a10|0.2089|0.754150918|0.7338945809999999|0.67647|0.009615852|-0.00264793|2|0.036666667|2e-06|-0.02685653|-0.031558374|0.010305237|-0.000458688|6.1249
14ae_a23|0.3205|0.7830067820000001|0.7763406840000001|0.58144|0.03467374|-0.007539122|2|0.042903564|8.22e-06|-0.0269140239999999|0.026913008|0.008996289|-0.0174992419999999|8.6038
14a_a10|0.2835|0.7348225290000001|0.76857495|0.7047100000000001|0.0135610389999999|-0.002047597|3|0.035660377|1.58e-05|-0.018970051|0.027446544|0.011509975|-0.045759336|7.1308
4k_a46|0.2259|0.7477594870000001|0.78837943|0.68553|0.007038271|-0.0049602|1|0.0510113959999999|1.4800000000000002e-05|-0.0306644389999999|-0.104665424|0.006550513|-0.1149361969999999|7.0969
5_a27|0.2448|0.760083119|0.639413469|0.64548|0.01695771|-0.0063562359999999|2|0.048947368|9.78e-05|-0.030385206|-0.149034787|0.00991794|-0.125237927|8.5229
12az_a36|0.4383|0.812921349|0.884226781|0.70333|0.034771534|-0.009570959|2|0.040566449|7.13e-05|-0.033474609|0.078817323|0.000482522|-0.024018255|7.2366
13b_a6|0.7846|0.7788169070000001|0.850080948|0.7006600000000001|0.032036214|-0.011206134|1|0.042739018|1.02e-05|-0.0406496879999999|0.060593678|-0.00460563|-0.104663349|6.7595
12ax_a36|0.5236|0.836170906|0.884841888|0.69348|0.019128091|-0.007681676|2|0.043383838|6.55e-06|-0.038813619|0.075802407|-0.001012333|-0.057017299|7.9208
19j_a38|354.0|0.846765471|0.7163622890000001|0.69435|0.0250587|-0.007976154|2|0.04391253|7.55e-05|-0.038119963|0.105682345|-0.004442319|0.003554228|8.1146
47t_a18|0.5502|0.750103977|0.704602886|0.6895100000000001|0.014067024|-0.0128248239999999|0|0.03672956|1.7100000000000002e-05|-0.040580402|0.018018036|-0.006573438|-0.011641394|6.1068
14v_a23|348.0|0.787538583|0.598213287|0.6017100000000001|0.019811827|-0.014768546|2|0.047323232|1e-06|-0.042752869|0.055572317|-0.002390707|0.017156562|8.4001
3a_a12|0.3201|0.7038021990000001|0.943290857|0.66895|0.009433302|-0.007671441|2|0.032544803|8.8e-05|-0.034924502|-0.1231529169999999|-0.0025830939999999|-0.062973953|6.7122
6e_a31|0.5103|0.78240875|0.838789705|0.70391|0.032627586|-0.016012184|0|0.037803618|2.18e-05|-0.046541668|0.132664341|-0.011483229|-0.008757878|6.4318
12e_a31|0.3831|0.7761616020000001|0.7968154940000001|0.7006600000000001|0.02665413|-0.011519192|0|0.037098765|3.83e-06|-0.036652129|0.0113193469999999|-0.002475146|-0.107630327|6.7696
18b_a30|0.3576|0.822401103|0.80330079|0.67715|0.019880184|-0.006947027|2|0.041767677|1.57e-05|-0.036237883|-0.039831247|0.003099827|0.016709918|7.6003
