molecula|Brenk|MATS8s|Contribution (HOMO-LUMO transition)|nARing|DPSA4|FNSA3|FPSA3|Consensus Log P|AATSC1c|pIC50|RPSA|TPSA_x|Num. of Aromatic heavy atoms|pIC50
5g_a40|1.0|0.006643696|0.6563|1|31.38430965|-0.153687065|0.024937196|2.01|-0.016033575|6.9101|0.32227256|152.9506864|14.0|6.9101
14s_a23|1.0|0.096014944|0.60323|0|28.36177131|-0.055037441|0.019970955|4.01|-0.005854379|8.5482|0.07236376|46.42188642|26.0|8.5482
12q_a36|0.0|-0.017640538|0.6863199999999999|2|32.10617123|-0.07607684|0.018562763|2.34|-0.00761082|8.2218|0.17088073|110.4712541|17.0|8.2218
2_a47|0.0|0.115527282|0.69102|0|23.34938746|-0.083455669|0.008511123|3.58|-0.008527649|6.2|0.152675989|76.06154148|22.0|6.2
10_a15|0.0|0.0107135269999999|0.70313|0|25.50202895|-0.052826735|0.010485777|4.69|-0.006872984|8.1549|0.066863055|38.90530741|24.0|8.1549
12e_a30|0.0|0.002248768|0.68605|2|32.97692061|-0.07914783|0.024254701|2.57|-0.0077937519999999|7.9431|0.183296295|121.5880081|17.0|7.9431
8_a15|0.0|0.0937475619999999|0.70524|0|32.56759415|-0.071552706|0.0336657729999999|3.76|-0.009853404|6.9666|0.146103518|85.31489861|18.0|6.9666
12ae_a36|0.0|-0.0931249669999999|0.68591|2|39.62310606|-0.085851235|0.023873046|1.18|-0.009867085|7.8239|0.2837586789999999|211.4077529|17.0|7.8239
3b_a49|0.0|0.021506499|0.6632|1|25.77091035|-0.0883601469999999|0.013576151|2.38|-0.0057605869999999|7.6021|0.250895642|153.4719941|21.0|7.6021
24_a47|0.0|-0.005097239|0.6835|0|29.90471672|-0.075894947|0.021522987|3.31|-0.010774404|8.5|0.216050899|121.5922303|21.0|8.5
13b_a50|0.0|-0.041506802|0.63872|2|27.48170624|-0.051509874|0.019899348|3.99|-0.003876697|5.7375|0.093835987|67.07377798|20.0|5.7375
1j_a5|0.0|-0.084090414|0.6449|0|23.74961767|-0.073803258|0.019690225|3.19|-0.003981454|7.6198|0.152836128|82.09385267|23.0|7.6198
