molecula|n9FaHRing|BIC2|Class [Log S (SILICOS-IT)]|MATS8d|SaaNH|GeomDiameter|Consensus Log P|Mor01p|Solubility [Log S (Ali)] (mg/ml)|CYP2D6 inhibitor|SaaaC|BCUTi-1|Area (grid)|pIC50
17c_a50|1|0.774994313|1.0|-0.212611846|0.0|16.45688922|3.1|849.1345426000001|0.0698|1.0|2.193763306|10.94500663|746.5|7.1612
6_a27|0|0.787663648|1.0|0.1272522519999999|2.6137160880000003|9.500048379|2.71|373.9912084|0.0768|0.0|1.221528093|10.93737136|526.9|9.0
12b_a5|0|0.779793078|1.0|-0.033036296|0.0|16.16438947|1.44|727.8586176|2.0|1.0|0.0|10.94620104|669.05|7.3768
8e_a12|1|0.761892879|1.0|-0.051240735|0.0|11.80358346|3.12|561.9859171|0.0156|1.0|2.197856963|10.94458094|612.59|6.2306
1n_a5|0|0.77828693|1.0|-0.087019366|2.91912867|15.27080096|3.14|467.1194103|0.0193|1.0|0.0|10.94528897|607.15|7.5686
11b_a31|0|0.834596039|2.0|-0.074254978|3.248213341|12.96936635|2.69|397.3137532|0.00649|0.0|0.0|10.31169957|589.56|6.2757
4g_a49|0|0.7559263270000001|0.0|0.144740607|0.0|18.19125978|5.23|1714.878736|2.24e-05|0.0|3.4246879480000003|10.92777048|985.89|6.9747
7h_a8|0|0.7051689170000001|1.0|0.041366689|2.99743835|13.42380338|4.63|446.5544107|0.00078|0.0|0.0|10.94341365|593.53|4.9788
12u_a30|0|0.83236194|1.0|-0.105767484|0.0|14.01586754|3.59|685.6665849999999|0.000123|0.0|0.0|10.31162873|705.15|7.4647
12b_a32|1|0.838021287|1.0|-0.090027803|3.477905329|12.42841652|3.59|557.1050635|0.000505|1.0|2.153718992|10.31100269|663.89|7585.0
15a_a50|1|0.821868651|1.0|-0.207610131|0.0|14.65582885|2.76|569.5267957000001|0.0933|1.0|2.020652006|10.94500663|644.4|7.3872
25c_a34|0|0.80135608|2.0|-0.072907053|0.0|13.26192888|1.93|648.0187526000001|659.0|1.0|0.0|10.95957635|704.43|5.7496
13_a12|0|0.6809340620000001|1.0|0.039235452|0.0|11.36787272|3.22|327.9594923|0.0152|1.0|0.0|10.96083169|532.86|7.0315
5b_a40|0|0.817071232|2.0|0.029485257|0.0|12.47657231|3.83|285.9136384|0.00125|0.0|0.7222376540000001|10.31198309|515.23|7.1938
6e_a31|0|0.78240875|1.0|-0.072882794|3.402951625|14.40145519|3.27|536.6368656000001|0.000947|1.0|0.0|10.31165994|634.34|6.4318
14e_a25|0|0.776960216|1.0|0.018432983|0.0|16.63781964|3.02|811.3237836|0.00337|1.0|1.906869097|10.93106299|760.96|7.1249
23_a10|0|0.754150918|1.0|-0.043248272|0.0|17.02048484|4.5|930.6293092|0.00193|1.0|1.981673861|10.92966139|768.3|6.1249
36_a18|0|0.741135729|1.0|0.0059061|0.0|18.21710397|2.8|975.4099618|0.000975|1.0|0.0|10.94702093|769.73|7.4949
14x_a23|1|0.802520527|1.0|-0.035965909|0.0|14.62325432|4.06|597.2903597999999|0.0009369999999999|0.0|0.6753138120000001|10.31321817|675.21|8.4949
12ao_a36|0|0.82626942|1.0|-0.05785124|3.477902101|16.33039817|2.37|698.847203|0.0106|0.0|0.0|10.94919858|701.9|7.5229
13e_a6|0|0.765593573|0.0|-0.067328767|3.433539068|14.346067199999998|3.31|676.2770877|0.00323|1.0|1.643912856|10.95053349|713.3|7.9208
4_a4|0|0.77276149|1.0|-0.063012715|0.0|8.855289118|3.64|462.1867149|0.0248|1.0|2.183056868|10.92992837|566.84|7.1079
