molecula|Wavelength (HOMO-LUMO transition) (nm)|MATS1c|FPSA1|Gibbs Free Energy|CYP1A2 inhibitor|Mor01p|SRW07|CYP2C19 inhibitor|ATSC1c|n5aRing|DPSA5|AATSC1pe|pIC50
5f_a40|405.03|-0.4644854879999999|0.185606315|-1232.898044|1.0|269.0442248|6.167516491000001|1.0|-0.293556526|2|57.61052946|0.000706205|6.9508
12b_a30|352.16|-0.468842459|0.201479318|-1674.838225|0.0|618.6004214|5.351858133|1.0|-0.3897233479999999|1|73.02913136|0.002064369|8.1543
15_a3|334.44|-0.505519936|0.149672503|-1328.581677|0.0|402.781061|4.727387819|1.0|-0.289938297|0|60.30684851|-0.004459728|7.6021
47k_a18|400.63|-0.451417954|0.284695579|-1664.341238|0.0|1167.054827|4.844187086|1.0|-0.5135996820000001|0|84.23875372|0.00493127|7.5376
21a_a23|335.16|-0.484404194|0.157878617|-1669.0502720000002|0.0|666.0036144999999|5.4161004020000005|0.0|-0.3082571839999999|2|61.73864319|0.01180744|6.9914
12bh_a36|341.97|-0.43574839|0.216705778|-1311.356102|1.0|729.1873176|5.351858133|1.0|-0.401249012|1|76.46867897|0.0045625|7.8539
5d_a40|331.74|-0.399968083|0.188819426|-1276.797751|1.0|243.4287716|6.167516491000001|1.0|-0.1868684619999999|2|49.97858532|0.006642869|7.7212
4g_a46|280.74|-0.2455749539999999|0.1731389069999999|-1492.979142|1.0|568.1534007|5.587248657999999|1.0|-0.088529411|1|44.72726697|0.010608122|5.5615
13d_a5 (GW788388)|297.28|-0.3706975529999999|0.330817879|-1390.355751|1.0|723.0631751|4.59511985|0.0|-0.33442223|1|70.45205183|0.003668464|7.7447
12b_a50|315.44|-0.246831987|0.4268092529999999|-1006.550688|1.0|388.171611|5.82008293|1.0|-0.125985651|2|47.12729492|0.011790103|5.3242
8f_a8|355.5|-0.5373378529999999|0.09422952|-1361.510739|0.0|485.8626377000001|4.844187086|0.0|-0.485102985|1|67.4402386|-0.007036544|4.6428
13_a1|359.55|-0.485427571|0.291737016|-1238.22919|1.0|505.2124255|5.351858133|1.0|-0.597786194|1|77.55889436|-0.005924486|6585.0
47r_a18|391.06|-0.360670551|0.311925149|-1964.516246|0.0|1005.982493|4.844187086|1.0|-0.40455848|0|81.99788849|-0.0001597829999999|6.6364
12aa_a30|357.9|-0.394520145|0.369240427|-1804.582558|0.0|792.3440337000001|5.351858133|1.0|-0.539735362|1|91.51563481|0.005111479|8.1135
12at_a36|322.81|-0.48127276|0.325557803|-1460.61293|0.0|735.3783268|5.351858133|1.0|-0.653190113|1|95.60375457|0.000906224|7.1079
12ab_a30|355.06|-0.384942092|0.3960470239999999|-1804.589076|0.0|792.3440337000001|5.351858133|1.0|-0.520212725|1|92.49334877|0.005111479|7.7825
12k_a30|357.15|-0.4186541|0.291863802|-1690.094082|0.0|704.0353382000001|5.351858133|1.0|-0.44562817|1|80.03127603|0.0053380919999999|7.6144
1_a6 (SB-431542)|376.28|-0.567791164|0.2468003389999999|-1292.41452|1.0|513.4628663999999|5.351858133|1.0|-0.766207981|1|87.15852628|-0.008385698|5.8119
12g_a40|392.64|-0.512657141|0.147968773|-2172.988604|1.0|335.7078145|5.4161004020000005|1.0|-0.354104815|2|59.29860462|-0.003205145|6.1403
13b_a50|301.22|-0.319215353|0.299589696|1470.104535|0.0|900.2031356000001|5.82008293|1.0|-0.263615417|2|70.09526468|0.011379776|5.7375
12ar_a36|322.13|-0.4194638229999999|0.294408813|-1364.2977050000002|0.0|708.5476357999999|5.351858133|1.0|-0.40866901|1|82.17472548|0.002112069|7.6021
9o_a24|290.75|-0.38043264|0.331953623|-1387.945865|0.0|663.2688909|4.59511985|1.0|-0.387865233|1|66.24061038|0.002019902|6.3507
3i_a32|340.43|-0.537667101|0.22927653|-1891.790935|1.0|318.0257595|5.733341277|1.0|-0.4449120629999999|3|71.27609889|-0.0106761939999999|8.2366
34_a20|320.38|-0.4478820739999999|0.223585914|-1352.102407|1.0|712.1606951|4.727387819|1.0|-0.328567476|1|67.53437417|0.003149352|7.2147
20_a4|306.74|-0.211751813|0.356414753|-934.150871|1.0|338.71903330000004|5.4161004020000005|1.0|-0.124135414|1|46.45917085|0.012025268|6.1898
12n_a36|340.78|-0.5181211520000001|0.258248547|-1875.961945|0.0|805.2286932|5.351858133|0.0|-0.619926573|1|92.79755725|-0.001160331|7.8239
12j_a36|327.94|-0.436310965|0.224187058|-1670.245584|0.0|725.9470896|5.351858133|1.0|-0.41101009|1|80.59149538|0.003710345|8.0
4l_a46|278.36|-0.3888343979999999|0.116549199|-1092.53932|1.0|579.2365607|5.587248657999999|1.0|-0.255755434|1|51.66342604|0.006162668|7.0088
12s_a36|329.71|-0.434472457|0.245801617|-1272.061111|0.0|662.0530478999999|5.351858133|1.0|-0.4023692|1|76.34126108|0.003962098|8.0458
4c_a46|302.21|-0.421467037|0.159246215|-1245.176359|0.0|696.2528933|5.587248657999999|1.0|-0.300069396|1|60.67664538|0.010040825|5.6972
12e_a40|409.82|-0.520457262|0.209181178|-2248.206714|1.0|348.3847394|5.4161004020000005|1.0|-0.556620974|2|78.14505956|-0.014780739|5.9318
9g_a24|289.67|-0.079421802|0.518073552|-984.497752|0.0|341.3207334|5.283203728999999|0.0|-0.0425444|2|49.25777584|0.013119312|7.1675
3g_a32|349.68|-0.563371932|0.199259841|-1711.919273|1.0|475.3634141|5.733341277|1.0|-0.2816222539999999|3|60.55421302|0.002565215|7.8539
14n_a23|362.35|-0.404569286|0.313179459|-1744.244532|0.0|683.7405759|5.351858133|0.0|-0.376950283|2|72.09248208|0.010508236|9.2441
