molecula|Oscillator Force (max. Transition)|GeomRadius|Molecular Mass|MATS2c|PNSA3|DPSA1|pIC50|Dipole (water)|JGI4|Synthetic Accessibility|Log Po/w WLOGP|MATS1i|pIC50
8_a20 (IN-1130)|0.3782|8.005662608|420.47|0.063195236|-63.72828772|-328.593789|7.4437|5.4751|0.0396875|3.49|4.08|-0.049177437|7.4437
16c_a32|0.2955|6.313526111|399.49|0.191088217|-53.00702241|-220.3256617|8.3468|5.3459|0.03995614|3.5|4.21|-0.1260956869999999|8.3468
4g_a49|0.1389|9.28937554|663.73|-0.087219006|-61.24875669|-253.8168226|6.9747|4.5147|0.036761229|4.83|7.56|-0.038698906|6.9747
9_a3|0.2069|5.004834198999999|303.38|0.187952252|-44.74600478|-363.8118546|4.96|2.6661|0.034166667|3.1|4.62|0.083014843|4.96
19_a31|0.3205|7.0760696020000005|358.43|0.062492295|-53.25742146|-323.5878356|5.7447|2.4209|0.0427124179999999|3.44|4.33|-0.081398052|5.7447
10_a3|0.2124|5.031169383|305.36|0.190318474|-46.64544572|-191.3775649|5.1|9.3381|0.034166667|3.02|3.41|-0.0495219879999999|5.1
11_a4|151.0|6.850305797000001|372.49|-0.20567828|-31.35942689|-296.0029432|6.9586|5.3012|0.03617284|3.31|5.22|-0.0278843589999999|6.9586
12bg_a36|0.4409|7.549463377|450.32|-0.040957653|-51.74990566|-340.0625449|7.8239|9.3601|0.044197531|4.75|3.19|-0.101451485|7.8239
7_a3|0.1926|5.198046584|338.81|0.198126776|-51.18177092|-296.13678660000005|5.9901|3.9813|0.03757716|3.02|4.66|0.020589494|5.9901
14g_a23|0.3478|8.788027188|495.48|0.180361525|-51.82254036|-398.9771038|8.0|10245.0|0.0422736629999999|3.61|6.18|-0.0962526|8.0
2_a1|0.2991|5.2823820260000005|279.31|-0.049975995|-28.32386891|-176.9692239|5.2366|5.2754|0.0409444439999999|2.91|4.12|-0.145015842|5.2366
18_a47|0.4335|7.018342267|410.45|-0.141396999|-49.44908758|-291.6032324|8.6|5.3433|0.037919622|3.47|6.0|-0.02470455|8.6
3o_a32|0.2851|6.392329273|381.52|-0.022603806|-42.51640563|-328.7458915|6.6198|5.8476|0.035643275|3.47|4.2|-0.061774721|6.6198
13f_a6|901.0|9.050440345|417.47|-0.088329567|-49.2635105|-296.4599736|7.3768|13.9612|45.0|3.56|4.53|-0.126749697|7.3768
17_a4|0.2045|5.923504372999999|345.29|-0.188642713|-45.75108579|-373.0328031|6057.0|6.3221|0.043084795|3.31|6.26|-0.0179434139999999|6057.0
12ah_a36|0.6729|8.26712637|415.88|-0.050415481|-49.0084977|-347.5133554|7.9586|7.6265|0.043848238|4.73|2.54|-0.103922055|7.9586
IN1233_a59|0.2623|8.011984402000001|419.48|0.1160337319999999|-61.73167061|-413.6607749|7.4685|7.6059|0.0396875|3.48|4.69|0.001996439|7.4685
14ad_a23|0.4106|8.661363236|471.53|-0.1101542319999999|-42.29008971|-108.4705382|8.3595|6.7584|0.0444129979999999|3.73|4.03|-0.143336826|8.3595
6d_a40|0.3518|6.908972922999999|460.52|0.12627602|-73.59650182|-460.8148719|8.9208|10.9021|0.039160494|3.98|3.63|-0.025143559|8.9208
16b_a23|0.3456|9.472884487|489.57|0.031073244|-37.52431601|-354.1828792|7.0191|14.8849|0.037664609|4.19|4.1|-0.123524943|7.0191
