molecula|MATS8d|NaasN|Hydrogen bond acceptors count (using Lipinski’s definition)|GATS1pe|WNSA2|pIC50|Solubility [Log S (ESOL)] (mol/l)|MATS8i|n5aHRing|PNSA4|AATSC1i|pIC50
14_a4|0.204594017|1|3.0|0.500893739|-205.7538638|5.8794|0.000106|-0.08389836|1|-13.71135194|-0.039321879|5.8794
13m_a6|-0.031564227|0|5.0|0.82642394|-994.4232282|8.0|5.24e-05|0.054340057|1|-26.40980394|-0.118693789|8.0
14_a15|-0.028227917|0|4.0|0.7933685340000001|-715.9737342999999|7.5229|1.47e-06|-0.053931584|0|-21.0782518|-0.184255041|7.5229
LY580276_a4|0.019144144|1|3.0|0.518109998|-247.4345884|6757.0|6.18e-05|-0.172607392|1|-13.51117823|-0.042912895|6757.0
13b_a6|-0.11338525|0|5.0|0.8013954109999999|-874.0294667999999|6.7595|1.02e-05|-0.104663349|1|-26.65671602|-0.180339002|6.7595
19f_a38|-0.094149094|0|4.0|0.698414933|-772.2291966|7.1397|6.77e-05|0.035480177|1|-24.1763087|-0.217394466|7.1397
12e_a36|-0.144846626|0|4.0|0.856274847|-776.2438847|7.8539|5.05e-05|-0.0586405829999999|1|-23.02695694|-0.1763783589999999|7.8539
13l_a6|-0.1470289659999999|0|5.0|0.827754203|-1227.82747|6.4145|1.7100000000000002e-05|-0.037558466|1|-31.47586631|-0.073210645|6.4145
8g_a8|-0.0571942009999999|1|5.0|0.656457444|-925.1746152|5.3768|1.16e-05|-0.025002199|1|-32.12579035|0.162134281|5.3768
14b_a50|-0.076752616|2|5.0|0.71456262|-659.347336|5.1818|1.6800000000000002e-05|0.037777505|2|-16.75898192|-0.280243276|5.1818
13e_a6|-0.067328767|0|5.0|0.790249345|-750.3313497|7.9208|1.65e-05|0.0266218529999999|1|-22.01054293|-0.223618825|7.9208
12k_a30|-0.067714819|0|5.0|0.7933543279999999|-818.7944715|7.6144|1.19e-05|0.067265077|1|-23.31944323|-0.154412059|7.6144
47a_a18|0.089156939|0|5.0|0.792293789|-1802.576619|9.0|2.62e-06|-0.025401815|0|-29.70938001|-0.358939392|9.0
11_a3|-0.04179402|0|4.0|0.834020779|-289.1769972|7.3979|0.000197|0.044912659|1|-18.52584757|-0.0947326669999999|7.3979
8a_a50|-0.095292123|1|3.0|0.7135713840000001|-313.6562159|7.3279|7.48e-05|-0.150515325|2|-15.95574341|-0.11385159|7.3279
1o_a5|-0.016408975|0|4.0|0.650008224|-315.657463|7.4559|8.340000000000001e-05|-0.102739602|1|-15.45942012|0.06759341|7.4559
11_a47|0.07716247|0|5.0|0.686454722|-687.9851765999999|7.4|9.32e-07|0.081235787|0|-22.02062158|-0.079543257|7.4
15d_a10|0.0131101969999999|1|6.0|0.71456262|-513.0869954|7.1612|4.1200000000000005e-05|-0.140487312|1|-12.68949225|-0.280243276|7.1612
17a_a25|0.0114970419999999|1|4.0|0.659740852|-847.969248|7.6021|7.44e-06|-0.0688716509999999|1|-21.2306737|-0.07654898|7.6021
4S4k_a46|-0.141706595|1|3.0|0.784722915|-411.0733912|6.7055|1.4800000000000002e-05|-0.1149361969999999|1|-16.15576699|0.012963356|6.7055
22_a47|0.004104478|1|6.0|0.591185263|-497.3405809|9.0|4.16e-05|-0.075111395|1|-18.73063655|-0.277479519|9.0
12j_a36|-0.089459459|0|4.0|0.855081905|-874.1588982999999|8.0|3.09e-05|0.039869055|1|-24.51120192|-0.133106642|8.0
9a_a36|-0.1177413269999999|0|5.0|0.79302567|-731.0766269999999|7.8861|0.000102|-0.078488872|1|-24.40778806|-0.202876718|7.8861
12b_a36 (EW-7197)|-0.097861598|0||0.698414933|-765.6528642999999|8.1549||-0.098032695|1|-24.47552312|-0.217394466|8.1549
12bg_a36|-0.033696875|0|4.0|0.771220556|-869.5815023|7.8239|6.55e-06|-0.060117593|1|-25.35312333|-0.1716508239999999|7.8239
25_a12|-0.208172827|0|2.0|0.806844014|-369.8695347|7.6576|5.63e-06|-0.025245046|0|-17.31450713|-0.0861945369999999|7.6576
7l_a46|0.076724694|1|3.0|0.6539666829999999|-204.9507309|5.7122|0.0001889999999999|-0.074511843|1|-10.620390400000002|-0.143129469|5.7122
12c_a31|-0.098452311|0|5.0|0.770283733|-731.5771879|6.4202|6.94e-05|-0.094991098|2|-23.05449459|-0.223856622|6.4202
