molecula|SddssS|Approximated area|SaaNH|GeomDiameter|NaasN|BBB|DPSA2|pIC50|CYP3A4 inhibitor|log P|Log Po/w Silicos-IT Log P|Area (grid)|pIC50
14t_a23|0.0|534.86|0.0|14.13931199|2|0.0|1355.9136119999998|8.3979|1.0|3.79|3.88|692.08|8.3979
20_a4|0.0|402.27|0.0|9.58599918|1|1.0|755.8433223999999|6.1898|1.0|2.73|3.2|517.72|6.1898
12g_a36|0.0|657.02|3.5202147110000004|13.83075477|0|1.0|1797.1178149999998|7.8539|1.0|4.21|3.85|724.32|7.8539
3a_a49|0.0|449.68|0.0|12.49907878|1|0.0|1277.19098|7.1938|1.0|3.16|2.77|635.89|7.1938
12ap_a36|0.0|553.28|3.4417292610000003|16.37284224|0|0.0|1699.445432|7.4949|0.0|2.98|2.75|691.41|7.4949
8f_a8|0.0|477.92|2.939511291|13.81994609|1|0.0|1370.325626|4.6428|0.0|7.71|4.69|602.63|4.6428
12ae_a36|-3.3501500230000003|615.71|3.412870974|16.22570287|0|0.0|2298.140152|7.8239|0.0|6.24|1.28|754.15|7.8239
7h_a8|0.0|500.94|2.99743835|13.42380338|1|0.0|1086.29603|4.9788|0.0|6.81|5.52|593.53|4.9788
18_a31|0.0|541.33|3.281949877|12.84812443|0|0.0|1368.42913|6.8861|1.0|4.81|4.9|630.26|6.8861
15_a31|0.0|452.98|3.155574452|11.51842782|0|0.0|1309.458532|5.9586|1.0|3.9|4.12|556.68|5.9586
8f_a12|0.0|441.97|0.0|13.00131176|0|1.0|1140.340995|6.1898|1.0|4.19|4.99|606.97|6.1898
1o_a5|0.0|443.88|2.923171926|14.20898333|0|0.0|839.3293197999999|7.4559|1.0|2.66|4.48|561.04|7.4559
21_a34|0.0|530.93|0.0|13.65523159|1|0.0|1953.562249|5.4737|1.0|7.78|3.64|698.17|5.4737
12au_a36|-3.3109381210000004|618.65|3.422314661|17.67586495|0|0.0|2216.466823|7.3279|0.0|6.24|1.28|752.27|7.3279
4l_a46|0.0|526.77|0.0|9.833034117|1|1.0|981.9630347|7.0088|1.0|4.99|4.64|612.39|7.0088
1k_a5|0.0|398.63|2.9020229360000003|12.9461019|0|1.0|786.3865923|7.3188|1.0|3.1|4.88|533.8|7.3188
13a_a6|0.0|571.9|3.417162147|15.08351934|0|0.0|1757.246214|7.3372|1.0|4.04|4.98|695.29|7.3372
25d_a34|0.0|554.05|0.0|13.29135354|1|0.0|2006.828923|6.0223|1.0|6.05|3.05|706.21|6.0223
5_a15|0.0|629.67|0.0|15.1701491|0|0.0|2313.9572780000003|7.8861|1.0|4.36|4.92|737.16|7.8861
4S4l_a46|0.0|500.66|0.0|10.68377935|1|1.0|945.3491632|6.5834|1.0|4.99|4.64|583.76|6.5834
4a_a49|0.0|504.63|0.0|15.01791558|1|0.0|1408.727632|7.4949|1.0|3.34|3.4|660.19|7.4949
14a_a5|0.0|508.64|2.948727373|15.89694877|0|0.0|1605.23357|6.9508|1.0|4.3|4.56|692.8|6.9508
6g_a40|0.0|514.77|0.0|12.10032156|1|0.0|2095.424743|7.3279|1.0|7.38|3.43|669.8|7.3279
12bf_a36|0.0|517.66|3.31325137|14.37031118|0|1.0|1711.2011699999998|8.2218|0.0|3.66|3.55|670.85|8.2218
8a_a50|0.0|396.63|3.139870661|10.69309012|1|1.0|828.1354551|7.3279|1.0|2.69|3.63|548.47|7.3279
12o_a36|0.0|560.88|3.444418304|13.80895167|0|0.0|2181.407379|7.3979|0.0|4.5|2.38|728.07|7.3979
22_a47|0.0|466.95|0.0|12.91589555|1|0.0|1382.478891|9.0|1.0|4.4|3.07|605.12|9.0
19_a47|0.0|412.31|0.0|13.17443625|1|0.0|1361.067484|7.3|1.0|3.51|2.49|571.23|7.3
8_a27|0.0|374.88|2.599100867|9.642697094|1|1.0|818.753121|8.2218|0.0|3.96|2.98|507.76|8.2218
17a_a6|0.0|574.02|3.3685510360000004|16.13665395|0|0.0|1766.18975|7.6198|1.0|4.04|4.98|696.96|7.6198
12al_a36|0.0|554.23|3.469383582|16.15533063|0|0.0|1869.412355|7.3188|0.0|2.92|2.77|702.95|7.3188
12af_a36|0.0|589.48|3.448611715|15.59375751|0|0.0|2076.162883|7.8239|0.0|4.5|2.38|737.4|7.8239
2_a33|0.0|525.38|3.396444161|11.60906093|0|0.0|1357.327077|8.2596|1.0|5.11|6.7|655.74|8.2596
13h_a6|0.0|591.53|3.464247528|16.928040300000003|0|0.0|1658.40973|7.3279|1.0|3.83|5.41|738.61|7.3279
13m_a6|0.0|546.69|3.415695704|16.2526769|0|0.0|1936.888972|8.0|1.0|4.27|4.19|726.28|8.0
13c_a5|0.0|513.33|2.944180713|15.90846721|0|0.0|1557.152554|6.9101|1.0|3.99|4.23|676.53|6.9101
13_a4|0.0|429.36|0.0|9.917593683|1|1.0|619.8659446|5.3979|0.0|3.87|4.18|536.09|5.3979
6c_a31|0.0|524.56|3.423005244|14.63492011|0|0.0|1776.424619|6.4685|1.0|5.08|5.58|667.01|6.4685
5_a18 (BIBF0775)|0.0|691.68|0.0|18.98829281|0|1.0|1955.044427|7.4685|1.0|8.45|4.09|817.02|7.4685
12d_a40|0.0|435.41|0.0|14.88744155|1|0.0|804.9352200000001|7.7212|1.0|4.14|4.59|552.57|7.7212
