molecula|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|SssssC|Heavy atom count|nAHRing|FNSA3|CYP1A2 inhibitor|P-gp substrate|WPSA3|Log S (SILICOS-IT)|DPSA3|pIC50
47d_a18|2.0|159.67|1.0|0.0|39.0|1|-0.06394156|0.0|1.0|10.15469843|-8.83|64.59518279|8.0969
37_a18|1.0|151.14|1.0|0.0|36.0|2|-0.068500679|0.0|1.0|4.865006968|-8.82|56.74339533|7.4559
4j_a46|0.0|110.24|1.0|0.19521727|27.0|1|-0.05924408|1.0|1.0|5.205103062|-7.69|43.80358011|6.0942
11_a4|0.0|111.64|1.0|0.0|27.0|1|-0.054262142|1.0|1.0|3.118219598|-8.05|36.75497433|6.9586
12u_a30|0.0|137.3|1.0|0.0|31.0|2|-0.0773921259999999|1.0|1.0|6.982033926000001|-7.8|62.26136323|7.4647
18b_a25|1.0|138.56|1.0|0.0|34.0|0|-0.063132226|1.0|1.0|6.296086869|-9.84|53.27347337|7.2924
4_a4|0.0|100.08|1.0|0.0|25.0|1|-0.049768752|1.0|1.0|2.274995377|-7.57|30.05764711|7.1079
4p_a46|0.0|107.89|1.0|0.122217892|27.0|1|-0.0997229069999999|1.0|1.0|2.379548177|-7.05|60.7522985|6.4672
A8301_a51|1.0|129.04|1.0|0.0|31.0|0|-0.055295165|1.0|1.0|3.437697042|-9.38|41.20144811|7.9208
7c_a10|0.0|113.07|1.0|0.0|29.0|1|-0.05074318|1.0|1.0|9.377842892|-7.78|45.70671102|5.4191
13_a1|0.0|104.88|1.0|0.0|28.0|1|-0.111667908|1.0|1.0|11.41059871|-7.94|84.56244352|6585.0
47l_a18|1.0|139.63|1.0|0.0|34.0|1|-0.08034939|0.0|1.0|4.654446622|-9.37|63.6949231|7.4949
12p_a36|0.0|123.71|1.0|0.0|30.0|2|-0.082569108|0.0|1.0|8.006403882999999|-6.86|64.698131|8.0458
2_a27|0.0|92.58|2.0|0.0|24.0|0|-0.058444848|1.0|0.0|5.020172886|-5.84|39.39404027|7.8861
4k_a46|0.0|100.96|1.0|0.173180233|25.0|1|-0.091943864|1.0|1.0|2.052909907|-6.61|53.45751583|7.0969
34_a47|0.0|99.09|1.0|0.0|26.0|0|-0.061957581|1.0|1.0|6.048527453999999|-7.47|45.23285281|8.7
3_a27|0.0|97.71|2.0|0.0|25.0|0|-0.06145119|1.0|0.0|5.157668895|-5.89|41.78149261|8.3979
12l_a30|0.0|133.96|1.0|-4.712037416|34.0|2|-0.0905026719999999|0.0|1.0|7.548024079|-7.18|74.10578426|7.2154
22_a10|0.0|139.53|1.0|0.0|36.0|1|-0.053881447|0.0|1.0|10.14325785|-9.37|54.98945848|5.9586
12o_a36|0.0|138.06|1.0|0.0|33.0|2|-0.082048664|0.0|1.0|12.13767506|-6.93|75.94332024|7.3979
12f_a36|0.0|133.52|1.0|0.0|31.0|2|-0.071035495|0.0|1.0|7.769727312|-7.36|58.64442871|7.9586
11_a27|0.0|106.33|1.0|0.0|26.0|1|-0.079921166|0.0|1.0|4.524597532|-6.09|50.82822357|8301.0
12bg_a36|0.0|133.77|1.0|0.0|31.0|2|-0.075439837|1.0|1.0|9.22604612|-7.76|65.19942617|7.8239
47c_a18|2.0|154.77|1.0|0.0|38.0|1|-0.0715759629999999|0.0|1.0|10.25333491|-9.18|70.29678191|8.5229
4_a18 (SD-208)|0.0|92.87|1.0|0.0|25.0|2|-0.077885485|1.0|1.0|5.615248385|-8.15|51.01127638|7.0969
38_a18|1.0|160.66|0.0|0.0|38.0|2|-0.076974444|1.0|1.0|5.3122971560000005|-10.33|67.92930461|7041.0
4b_a49|0.0|112.36|1.0|0.0|30.0|1|-0.091725536|1.0|1.0|9.138717999|-7.05|71.30114509|7.1024
1e_a5|0.0|95.45|1.0|0.0|24.0|0|-0.06795194|1.0|1.0|2.317577542|-8.41|39.76196174|6719.0
12b_a30|0.0|127.24|1.0|0.0|30.0|2|-0.08354129|0.0|1.0|6.99318589|-6.9|64.06324295|8.1543
12t_a30|0.0|127.19|1.0|0.0|31.0|2|-0.090535776|0.0|1.0|7.981057356|-7.16|71.1605835|8.0496
3g_a32|0.0|102.55|1.0|-0.047725143|24.0|0|-0.070213101|1.0|1.0|3.683575459|-7.29|45.55465473|7.8539
12e_a36|0.0|128.72|1.0|0.0|30.0|2|-0.07049439|0.0|1.0|7.71202397|-6.97|56.96241436|7.8539
14aa_a23|1.0|130.22|1.0|0.0|32.0|0|-0.052155763|0.0|1.0|8.355923226|-8.16|47.78906871|8451.0
2_a1|0.0|79.77|1.0|0.0|21.0|1|-0.0622285999999999|1.0|1.0|2.337413146|-6.18|33.45925305|5.2366
5b_a50|0.0|96.89|2.0|0.0|24.0|1|-0.041157676|1.0|1.0|3.149876031|-5.86|27.10933752|4.9126
18c_a30|0.0|135.37|1.0|0.0|32.0|2|-0.105618255|0.0|1.0|8.826997739|-6.19|84.38908035|7.9208
22_a4|0.0|87.12|2.0|0.0|22.0|1|-0.09491995|1.0|1.0|2.47167963|-5.24|50.75888571|7.3279
14g_a23|1.0|126.97|1.0|-4.794439428|35.0|0|-0.072819606|0.0|0.0|9.289253982|-7.95|64.87554405|8.0
3d_a32|0.0|97.86|1.0|0.0|23.0|0|-0.06869526|1.0|1.0|4.22710649|-7.29|45.000975700000005|8.0915
16g_a32|0.0|121.56|1.0|0.0|30.0|0|-0.078387439|1.0|1.0|13.01585399|-8.16|75.43482709|7.9586
2_a4|0.0|79.59|2.0|0.0|19.0|1|-0.117395215|0.0|1.0|1.123639184|-4.83|52.12536246|7.5086
10_a47|0.0|106.43|1.0|0.0|27.0|0|-0.076311525|1.0|1.0|2.720890925|-8.85|45.89037038|7.9
18_a47|0.0|119.78|0.0|0.0|31.0|0|-0.078937385|1.0|1.0|5.784962137000001|-10.36|58.68383399|8.6
