molecula|NaaNH|WNSA4|NaasN|CYP1A2 inhibitor|Consensus Log P|RNCS|RPSA|PAINS|BCUTi-1|Lowest Unoccupied Molecular Orbital Energy|DPSA3|Log Po/w MLOGP|pIC50
14e_a23|0|-19.06744972|2|0.0|4.5|48.244071000000005|0.074607942|0.0|10.3132176|-0.08122|63.61519626|3.82|8.5214
1h_a5|1|-7.561719827|0|1.0|3.43|160.0744187|0.119359774|0.0|10.94466758|-0.04124|39.84574434|2.13|7.5528
9_a10|0|-14.37503199|1|0.0|3.07|86.66800495|0.130554786|0.0|10.92721632|-0.06118|50.72029356|1.81|6.7144
12q_a30|0|-21.2680622|0|0.0|3.42|82.72757145|0.154254173|0.0|10.31162828|-0.05105|69.60189582|2.82|7.4449
12al_a36|1|-15.28752554|0|0.0|1.81|114.2305891|0.198820783|1.0|10.96020817|-0.04998|68.94274882|1.72|7.3188
5d_a40|0|-7.94180214|1|1.0|3.1|181.4728912|0.245989948|0.0|10.31198333|-0.06796|49.66367051|2.25|7.7212
4_a47|0|-10.43683449|0|1.0|4.32|96.20929041|0.1257991219999999|0.0|10.93671044|-0.05606|46.69151766|3.1|7.5
26_a20|0|-14.92323356|1|1.0|3.66|299.8332395|0.20662747|0.0|10.93106273|-0.05097|66.82118688|2.47|6.8827
9d_a40|0|-8.395657932|1|1.0|4.63|108.1468558|0.058372388|0.0|10.3119722|-0.06906|36.6245851|4.07|6.9706
17a_a22|0|-14.39939974|1|0.0|2.25|286.3611391|0.140522986|0.0|10.94643739|-0.15124|58.9027164|2.01|7.0862
12a_a30|0|-14.47983299|0|0.0|2.63|85.47365107|0.163785284|0.0|10.31162903|-0.05184|57.83766054|2.82|7.9469
47a_a18|0|-24.3591435|0|0.0|2.02|100.7293848|0.2212091389999999|0.0|10.35082811|-0.05191|79.51543089|1.85|9.0
12av_a36|1|-17.07826447|0|0.0|1.47|99.2415672|0.247552267|0.0|10.96037173|-0.05307|72.40871507|1.49|7.4089
7g_a8|1|-16.4912131|1|1.0|4.14|144.290464|0.300623857|0.0|10.9431888|-0.06621|83.63914665|3.4|4.6772
7a_a8|1|-14.71059634|1|1.0|3.15|145.3710976|0.281589625|0.0|10.94671402|-0.07616|80.80201312|2.01|4.6068
19_a15|0|-14.14482104|0|1.0|2.88|61.63983265|0.308930877|0.0|10.31928434|-0.0372399999999999|57.75275299|1.64|7.1427
8m_a46|0|-9.04821721|1|1.0|3.53|166.8508795|0.123789645|0.0|10.94650201|-0.01818|52.0671834|2.62|6.6402
17a_a6|1|-17.887155899999996|0|1.0|3.59|157.13173490000003|0.2469173469999999|0.0|10.94948984|-0.05753|83.46070738|1.7|7.6198
7e_a8|1|-13.39444718|1|1.0|4.31|86.03149870000001|0.170843962|0.0|10.94332434|-0.0697|64.40615805|3.54|4.4547
3_a3|0|-7.290134722999999|0|1.0|3.23|228.5396864|0.246193521|0.0|10.31154314|-0.0637|54.67064981|1.41|5.93
15c_a22|0|-15.66586856|1|0.0|2.98|36.22825261|0.133414786|0.0|10.9464374|-0.07399|66.26407672|1.08|6.1325
12c_a5|1|-9.702606135|0|0.0|3.31|143.44655559999998|0.158907079|0.0|10.9455378|-0.04565|57.39441476|1.57|7.3279
12v_a30|0|-17.2408622|0|1.0|3.59|82.09302037|0.1498787969999999|0.0|10.31162873|-0.0563|62.89402328|3.79|7.6596
12p_a36|1|-15.4629378|0|0.0|2.15|83.24921731|0.251561167|0.0|10.96052769|-0.0552299999999999|64.698131|2.4|8.0458
7_a47|0|-11.52827882|0|1.0|4.89|103.5602725|0.152677268|0.0|10.93671034|-0.05297|50.85512286|3.69|7.6
8a_a12|0|-9.077610683|0|1.0|3.1|46.32568673|0.107343574|0.0|10.95472846|-0.06246|36.0527909|2.89|6.7011
20_a4|0|-6.32818424|1|1.0|2.97|63.27373076|0.081852712|0.0|10.9459449|-0.03048|40.20507689|2.09|6.1898
A7701_a51|1|-6.485314917999999|0|1.0|3.12|146.2104641|0.134885227|0.0|10.93031118||36.39998243|1.98|7.6021
8g_a8|1|-19.68456628|1|0.0|3.5|171.26571059999998|0.466064505|0.0|10.94318883|-0.05849|102.8541256|3.01|5.3768
25c_a34|0|-14.01190479|1|0.0|1.93|183.6812574|0.316768377|0.0|10.95957635|-0.03272|88.25954175|1.0|5.7496
12y_a36|1|-16.49293906|0|0.0|2.37|114.430624|0.16295867|0.0|10.94917392|-0.05002|64.53055627|2.38|7.9208
14b_a23|0|-14.74314679|2|0.0|3.78|40.76245006|0.153740341|0.0|10.31321824|-0.07803|54.274732400000005|3.4|8.3536
15c_a10|0|-9.275357237|1|0.0|3.1|65.41494073|0.095541483|0.0|10.92970798|-0.04724|42.7883594|1.74|7.0
23_a10|0|-13.47382337|1|1.0|4.5|72.17779806|0.084791355|0.0|10.92966139|-53.0|41.98112956|2.99|6.1249
47t_a18|0|-18.17831387|0|0.0|2.15|280.622476|0.32796681|0.0|10.94702032|-0.06822|89.19655162|1.64|6.1068
14_a1|1|-16.24082222|0|1.0|2.85|161.1772893|0.406829129|0.0|10.94959842|-0.05962|94.53410059|1.54|7.0269
16b_a23|0|-17.24735864|2|0.0|2.9|7.971529518|0.071420236|0.0|10.31321583|-0.07352|51.31875369|3.14|7.0191
12b_a30|0|-15.50462119|0|0.0|2.92|86.84905288|0.235262423|0.0|10.31162898|-0.05351|64.06324295|3.2|8.1543
6e_a31|1|-17.30478148|0|1.0|3.27|159.9587946|0.376659006|0.0|10.31165994|-0.05426|94.88738762|1.36|6.4318
12b_a5|0|-8.135654442|0|0.0|1.44|138.67264319999998|0.172386307|0.0|10.94620104|-0.10395|52.20772716|1.54|7.3768
3k_a32|1|-9.40163104|0|1.0|4.75|80.0971996|0.122251759|0.0|10.31100271|-0.05321|47.07915023|2.41|8.0605
15_a31|1|-11.75113151|0|1.0|2.27|141.1489667|0.4328912239999999|0.0|10.31169996|-0.04192|82.24348203|0.41|5.9586
4d_a46|0|-7.419891252999999|1|1.0|4.11|8.241078584|0.063942042|0.0|10.96333164|-0.0396399999999999|35.70643728|2.84|6.2865
