molecula|Oscillator Force (max. Transition)|Class [Log S (SILICOS-IT)]|FPSA5|PNSA3|pIC50|JGI4|PAINS|WPSA3|MATS8i|CYP3A4 inhibitor|DPSA5|AATSC1pe|Total Energy (gas phase) (Hartree)|pIC50
8_a20 (IN-1130)|0.3782|1.0|0.018957805|-63.72828772|7.4437|0.0396875|0.0|6.93243166|-0.019554464|1.0|77.31081766|-0.004654742|-1368.372708|7.4437
5d_a40|0.4493|2.0|0.014630084|-39.55506228|7.7212|0.044526749|0.0|4.638915105|0.2078052269999999|0.0|49.97858532|0.006642869|-1276.817151|7.7212
12au_a36|809.0|1.0|0.023021031|-64.86748076|7.3279|0.044036281|0.0|11.16356587|-0.023640632|0.0|95.91776213|-0.001160331|-1876.156196|7.3279
5b_a40|0.3005|2.0|0.012549086|-38.64461938|7.1938|0.044946237|0.0|4.811137897|0.179058252|0.0|52.08187888|0.006372485|-2096.767375|7.1938
33_a20|0.6157|1.0|0.013564844|-38.58254635|7.4685|0.0388043479999999|0.0|5.46110745|-0.061975089|1.0|54.60811436|0.008780074|-1275.823229|7.4685
3b_a12|0.5013|1.0|0.0166212889999999|-33.57216667|7.3098|0.0375|0.0|2.816328871|-0.065558712|1.0|54.77629766|-0.003019113|-1410.947421|7.3098
IN1166_a11|0.3425|0.0|0.021531291|-51.07061499|7.9318|0.044021739|0.0|9.546719887|0.0266218529999999|1.0|76.76995134|-0.001446486|-1347.256659|7.9318
19d_a38|0.3167|1.0|0.022660131|-74.84120843|7.9586|0.04572104|0.0|9.98319831|-0.0555594909999999|0.0|94.84426896|-0.00835812|-1500.850957|7.9586
1h_a5|0.3333|1.0|0.01585373|-35.25675213|7.5528|0.026339869|0.0|2.393400474|-0.1197834419999999|1.0|44.51475742|0.007357977|-990.6032645|7.5528
11_a47|0.2321|0.0|0.0128657439999999|-50.01659041|7.4|0.033931624|0.0|3.175899139|0.081235787|1.0|66.9895812|-0.00580273|-1396.145101|7.4
2_a47|0.2143|1.0|0.016376351|-41.57671973|6.2|0.027058824|0.0|2.112397382|0.107297513|1.0|55.81329383|-0.006079384|-1010.505024|6.2
8a_a8|0.2035|1.0|0.025786572|-78.93428863|4.9454|0.040243056|0.0|12.33026525|0.010118884|0.0|86.57328508|-0.005306541|-1367.744724|4.9454
3a_a32|0.2719|1.0|0.0236593529999999|-37.30101542|8.5686|0.03382716|0.0|4.811337463|0.102212031|1.0|55.87310101|-0.001223394|-1554.768725|8.5686
15_a31|348.0|2.0|0.03396368|-61.76522754|5.9586|0.038809524|0.0|10.88541717|-0.070065105|1.0|88.05886218|-0.007631228|-1460.861851|5.9586
