molecula|Contribuition (max. transition)|Absorption Energy (max. Transition) (eV)|nARing|PBF|Dipole (water)|Solubility [Log S (SILICOS-IT)] (mol/l)|ATSC1c|Synthetic Accessibility|MATS8i|AATSC8d|n5aRing|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
15_a31|0.5241899999999999|4569.0|1|0.287991212|7.5831|2.19e-06|-0.775463115|3.31|-0.070065105|-0.074455342|2|4569.0|5.9586
8d_a8|0.62361|4.6765|0|0.377028311|7.5674|2.38e-08|-0.633521883|3.61|-0.077977198|-0.117111249|1|3.2963|4.7303
10_a4|0.4662|4.9674|1|0.43000216|2.2386|8.51e-09|-0.159792527|3.46|-0.122141977|-0.090413559|1|3.6465|7.0555
14g_a23|0.56658|3.7042|0|0.297855753|10245.0|1.12e-08|-0.803522236|3.61|-0.031968899|-0.030586527|2|3.7042|8.0
11_a4|0.4444|4907.0|1|0.4523305489999999|5.3012|8.89e-09|-0.056016567|3.31|-0.073554945|-0.0043410079999999|1|3.78|6.9586
8k_a46|0.41618|5.0379|1|0.400181795|3.8107|2.17e-09|-0.397337564|3.94|-0.114070359|-0.038125|1|4.1034|6.8327
12ax_a36|0.39564|5.2372|2|0.375647684|6.0402|1.74e-08|-0.414810497|4.74|-0.057017299|-0.034663063|1|3.8889|7.9208
16a_a10|332.0|5.6019|1|0.3637074329999999|4.6574|3.18e-09|-0.152205915|4.11|0.014886502|-0.0048530629999999|1|3.8718|7.3279
18_a47|0.4659|4.2668|0|0.454324931|5.3433|4.34e-11|-0.2342475789999999|3.47|0.018164141|-0.016728205|1|4.2222|8.6
14e_a23|0.63922|3.7033|0|0.267882223|5.5469|5.94e-09|-0.4787294729999999|3.54|0.021081733|-0.009871698|2|3.7033|8.5214
12o_a30|0.3493699999999999|5.1935|2|0.402022325|6.8632|6.03e-08|-0.364378536|4.63|0.019094532|-0.087019298|1|3.4817|7.8097
11b_a50|0.53885|4.6471|1|0.229754094|3.7922|1.35e-06|-0.13377846|3.44|-0.218953127|-0.133073229|2|3.9863|5.7696
10_a1|0.70345|3.4067|0|0.126889306|7807.0|9.53e-09|-0.621976404|3.0|-0.020225596|0.010430299|1|3.4067|5.8239
3m_a32|0.7026600000000001|3.5749|1|0.317009723|8.0755|4.190000000000001e-08|-0.3082152019999999|3.51|-0.084132138|-0.078038283|3|3.5749|7.6383
3d_a49|0.3523699999999999|5.1844|1|0.464410121|2.3278|7.1e-07|-0.173318804|3.29|-0.068390038|0.017871379|1|3.8907|5.6308
12d_a31|0.7006600000000001|3.8477|1|0.3996192999999999|3.3585|2.3500000000000002e-08|-0.697102094|3.76|-0.085780934|-0.032270224|2|3.8477|6.2924
12_a4|0.63967|4.8592|1|0.636722126|10.1971|1.45e-08|-0.113938738|3.41|-0.093414896|0.028152112|1|3.8083|5032.0
21_a47|0.68296|3917.0|0|0.3188717339999999|4.9172|1.98e-08|-0.511216716|3.29|-0.004063946|0.057225853|1|3917.0|8.3
18b_a30|0.67715|3.5256|2|0.413791511|6.5037|2e-07|-0.375139476|4.78|0.016709918|-0.051413084|1|3.5256|7.6003
17_a4|0.47353|4.3363|1|0.332034943|6.3221|2.74e-07|-0.25315101|3.31|-0.3948966229999999|-0.094767116|1|4.3363|6057.0
11a_a5|0.6735|4.4033|1|0.369563711|3.6525|1.18e-10|-0.185262487|3.53|-0.1301505359999999|-0.02394636|1|4.0938|7.0915
12bc_a36|0.35775|5.2189|2|0.326764696|9.2445|1.74e-08|-0.413738077|4.73|-0.079009683|-0.027636036|1|3.8696|8.0969
19f_a38|0.38086|5.3197|2|0.488059925|7.1655|1.4e-07|-0.4228801179999999|4.82|0.035480177|-0.054832432|1|3.4422|7.1397
9i_a24|0.58977|4.6212|0|0.379687415|9.2818|8.95e-07|-0.190487553|2.76|-0.087363979|-0.00532872|2|4.1459|7.0555
1b_a5|0.5153800000000001|4789.0|0|0.341795323|4.3687|4.99e-09|-0.111923619|2.75|0.001241264|-0.028797464|1|4.6481|7.2291
5_a4|0.60407|4.8582|1|0.431132276|3.1619|1.09e-08|-0.0607990979999999|3.27|-0.050389825|-0.134215501|1|4.0239|7.1487
27_a47|0.40976|4.9358|1|0.337815064|5.2214|1.5e-09|-0.207000956|3.37|0.0427469459999999|0.013336016|1|3.8125|5.6
16i_a32|0.70222|3.6176|0|0.5368697929999999|4.0568|4.01e-08|-0.7748511779999999|3.75|-0.104899053|0.006037736|3|3.6176|8.2596
8b_a31|0.70036|3.8582|1|0.281200674|5.6001|1.86e-06|-0.57242407|3.4|-0.211457443|-0.069423138|2|3.8582|5.6576
