molecula|WNSA4|Approximated area|Class [Log S (SILICOS-IT)]|MATS8s|Num. of Rotatable bonds|n9FaRing|nAHRing|Highest Occupied Molecular Orbital Energy|Log S (ESOL)|pIC50|Solubility [Log S (ESOL)] (mol/l)|Log S (SILICOS-IT)|pIC50
3k_a32|-9.40163104|452.36|1.0|-0.127713677|3.0|1|0|-0.19988|-5.61|8.0605|2.47e-06|-7.23|8.0605
2_a49|-7.34284831|371.96|1.0|0.084099874|2.0|0|1|-0.19923|-3.89|7.2291|0.000129|-6.82|7.2291
8_a20 (IN-1130)|-15.66851008|517.94|1.0|-0.1221465319999999|5.0|0|0|-0.20636|-4.55|7.4437|2.82e-05|-9.63|7.4437
8h_a8|-16.87148841|480.09|1.0|0.111824921|4.0|0|0|-0.21819|-5.0|4.9359|1.01e-05|-7.95|4.9359
8_a10|-8.951462413|416.69|1.0|-0.015871527|4.0|0|1|-0.21789|-4.62|6279.0|2.4100000000000003e-05|-7.6|6279.0
6a_a31|-15.56795422|447.66|1.0|-0.07385392|4.0|0|1|-0.19843|-4.34|5.9586|4.55e-05|-6.96|5.9586
12a_a40|-8.792513441|429.21|1.0|0.023863832|2.0|0|0|-0.2091|-5.95|5.7501|1.13e-06|-7.21|5.7501
12a_a50|-6.048985111|394.52|2.0|-0.030758487|2.0|1|1|-0.20172|-3.84|7.1249|0.000144|-5.49|7.1249
12ap_a36|-16.13217554|553.28|1.0|-0.025198947|5.0|0|2|-0.21788|-3.95|7.4949|0.000113|-6.66|7.4949
12t_a36|-15.94144641|562.72|1.0|-0.009662203|6.0|0|2|-0.2039|-4.57|8.0969|2.6600000000000003e-05|-7.36|8.0969
12o_a36|-18.36865355|560.88|1.0|0.141570244|7.0|0|2|-0.21151|-3.64|7.3979|0.000227|-6.93|7.3979
18_a31|-13.87749294|541.33|1.0|0.022160691|7.0|0|0|-0.19914|-3.62|6.8861|0.000241|-6.54|6.8861
16_a20|-12.79619894|554.41|0.0|-0.085041518|4.0|0|0|-0.20722|-5.66|7585.0|2.17e-06|-10.52|7585.0
4b_a49|-11.62716177|509.78|1.0|0.005818676|6.0|0|1|-0.22366|-3.88|7.1024|0.000132|-7.05|7.1024
16b_a32|-14.19159402|567.01|1.0|0.056127969|7.0|1|0|-0.2094099999999999|-4.55|7.7696|2.84e-05|-7.6|7.7696
12i _a30|-15.95200773|542.74|1.0|-0.029080032|5.0|0|2|-0.2041|-5.44|7.8013|3.61e-06|-7.22|7.8013
17_a12|-9.557722681|419.49|1.0|-0.043392747|3.0|0|1|-0.21781|-4.24|7.7959|5.7100000000000006e-05|-7.16|7.7959
6b_a40|-22.2507658|552.01|2.0|0.003163118|5.0|0|1|-0.21904|-6.18|7.5229|6.55e-07|-5.21|7.5229
11a_a50|-7.104987834|437.9|2.0|-0.158172459|2.0|1|1|-0.2005299999999999|-4.16|7.2291|6.97e-05|-5.87|7.2291
2_a33|-11.89228027|525.38|1.0|-0.0212158239999999|7.0|1|0|-0.19979|-4.78|8.2596|1.6800000000000002e-05|-7.67|8.2596
12au_a36|-19.68626738|618.65|1.0|-0.021932444|7.0|0|2|-0.2087099999999999|-3.72|7.3279|0.0001889999999999|-6.87|7.3279
