molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|SaaaC|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
14a_a23|0.0|0|1|1|0.0|7.423568444|0|1.197964042|3.39397765|0.050806184|-0.0246126279999999|2|0.042992424|0.757767133|-0.071842463|0.011363191|-0.073893976|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|-0.123790952|1|-0.08032517|0.225448915|-35.20994211|12.33442989|38.57988954|0.081322962|-0.0341809229999999|80.54176247|0.7807587890000001|-1.606503401|-22.26638099|-21.61564087|0.462434482|-1015.935121|2173.7139190000003|7.668841725|14.2658736|0.8602383659999999|6269.28943|-642.4662212000001|27.68542751|0.016707951|-355.0975547|0.0|1.0|1.0|1.0|1.0|2.86|0.05|26.0|3.36|105.02|3.03|2.0|1.0|120.28|0.0|5.0|-5.47|30.0|4.0|-6.27|0.0|0.0|3.37|3.38e-06|0.0045299999999999|3.58|0.0|-0.07379|-1629.928331|665.5|1134.02|0.3764|516.58|0.6289100000000001|-0.2238099999999999|0.0216412|8.3962|8.5498|8.5498
36_a18|0.0|0|0|0|0.0|7.03438793|2|1.25117638|0.0|0.050448408|-0.020339784|1|0.036625514|0.0|0.003321395|0.000825855|-0.079721028|-0.12139648|-0.493920601|0|0.7343989059999999|0.741135729|0.0059061|0|-0.079805761|0.3847791889999999|-55.38202488|6.722004572|110.8288932|0.195706133|-0.031922305|83.34177364|0.812056067|-2.074949798|-39.43509046|-22.73046122|0.4751830729999999|-1477.479979|1547.485543|9.560644525|18.21710397|0.905426346|6799.65027|-1052.048147|27.99124609|0.0123136069999999|-444.4026478999999|1.0|0.0|1.0|1.0|3.0|0.0|0.28|18.0|3.73|85.29|3.13|2.0|1.0|146.24|0.0|7.0|-5.68|35.0|3.0|-6.18|0.0|1.0|2.8|2.09e-06|0.00242|4.18|0.0|-0.04991|-1493.686737|769.73|1350.57|0.4674|636.33|0.69372|-0.18124|0.02564498|2.7547|7.4949|7.4949
13l_a6|0.0|1|0|0|3.433158672|7.412764017000001|1|1.4242139390000002|0.0|0.03093879|-0.132667824|1|0.0408037829999999|0.0|-0.086595185|-0.006280295|-0.045794891|-0.073210645|-0.564860904|1|0.8694295409999999|0.7908110340000001|-0.1470289659999999|0|-0.126521431|0.210844002|-82.24617981|20.90615311|182.8275745|0.3569010139999999|-0.0451862259999999|118.3485042|0.793671137|-2.53042863|-57.29112645|-31.47586631|0.4257335779999999|-1762.648513|3127.831037|8.810095892|15.34147837|0.7413520309999999|6462.086665999999|-1227.82747|39.65857501|0.018273048|-409.1314702|1.0|1.0|1.0|1.0|3.0|2.22|0.16|23.0|4.55|115.15|1.39|1.0|0.0|124.98|0.0|7.0|-5.49|33.0|5.0|-6.59|0.0|1.0|3.07|3.26e-06|0.0075599999999999|3.39|0.0|-0.04885|-1465.865882|735.52|1249.13|0.3115|578.91|0.7002|-0.19447|0.03092407|8.9893|6.4145|6.4145
2_a49|0.0|0|0|0|0.0|7.535296702|1|1.3438506419999998|2.12788659|-0.084499704|-0.03981057|2|0.038726287|1.999073077|0.005918367|0.004580676|0.032521855|0.055400364|-0.320124905|2|0.802447754|0.79056501|0.00991453|1|-0.079176085|0.41397907|-44.066695|5.634353797999999|226.4450566|0.18651986|-0.028277173|0.0|0.7154059890000001|-1.187641272|-22.45560511|-14.409545199999998|0.454163307|-605.2008985|1550.010086|5.667936413|10.38394173|0.8320497920000001|4874.364109|-308.399629|20.14177325|0.017498253|-219.534132|1.0|0.0|1.0|1.0|1.0|2.5|0.15|21.0|3.28|69.62|1.88|0.0|1.0|99.52|0.0|2.0|-3.53|25.0|3.0|-6.57|1.0|1.0|2.76|0.000292|0.0421|2.43|0.0|-0.04372|-1046.018455|553.52|941.6|0.2988|371.96|0.34449|-0.19923|0.0366366999999999|6.7117|7.2291|7.2291
12d_a40|0.0|0|0|0|0.0|7.515889085|0|0.60499064|1.753432382|0.1028826769999999|-0.107711573|0|0.043185185|0.794852923|-0.166080871|-0.002126898|0.127299624|0.224167029|-0.552689736|0|0.809398262|0.7769829840000001|-0.254735308|1|-0.091630294|0.0913543|-50.68561427|6.204226377|207.39648|0.159568585|-0.038873458|60.80168183|0.844283549|-1.282824111|-26.85139526|-20.59374436|0.470893531|-679.5935638999999|643.5166227999999|7.877041626|14.88744155|0.8899787840000001|5101.479206|-360.0239567|24.39197636|0.01245259|-364.7778083|0.0|1.0|1.0|1.0|1.0|2.94|0.0|20.0|4.59|84.45|3.76|2.0|1.0|96.16|0.0|2.0|-6.25|23.0|2.0|-5.13|0.0|1.0|4.21|5.58e-07|0.000942|4.75|0.0|-0.07765|-2153.197255|552.57|910.58|0.2584|435.41|0.55983|-0.19369|0.0164339|1.9961|7.7212|7.7212
12w_a36|0.0|1|0|0|3.3131307480000003|7.412764017000001|2|1.24014105|0.0|0.081390556|-0.297354748|2|0.041555556|0.0|-0.010726574|-0.007897954|-0.1187503719999999|-0.3344729369999999|-0.604676196|1|0.647732719|0.828393514|-0.016393443|0|-0.111267166|0.532980165|-62.34080876|15.15285952|112.947763|0.171636756|-0.041210062|0.780959767|0.70536279|-2.225343322|-44.76031023|-29.58856606|0.4672300679999999|-1597.782567|2602.5207|8.365472166|15.701847400000002|0.8769828040000001|7418.252264|-1147.197876|41.94801097|0.0273396629999999|-294.8983941|0.0|1.0|1.0|0.0|2.0|0.0|0.17|17.0|3.31|78.43|2.04|2.0|0.0|130.43|0.0|7.0|-5.2|34.0|8.0|-6.4|0.0|0.0|2.65|6.26e-06|4.0|3.86|0.0|-0.05326|-1645.202839|712.88|1198.72|0.4508|552.55|0.69466|-0.21034|0.0328886|7.0746|7.6383|7.6383
12k_a36|0.0|1|0|0|3.483171769|7.412764017000001|2|1.297043952|0.0|-0.076124222|-0.063399056|2|0.039061728|0.0|-0.058284869|0.003724542|-0.095253274|-0.1619981409999999|-0.4373676689999999|1|0.90500247|0.811903388|-0.102077284|0|-0.101946803|0.367754573|-49.87227128|11.90012613|46.79001927|0.157229536|-0.037758075|0.0|0.7806817009999999|-2.038936068|-32.84907515|-24.86988906|0.478908312|-1342.974009|2294.707886|7.241602627000001|13.89698356|0.919048073|6027.033337|-884.5687799000001|31.85663123|0.016847116|-369.7499256|0.0|0.0|1.0|0.0|2.0|0.0|0.12|17.0|3.62|69.2|2.38|1.0|0.0|133.84|0.0|6.0|-4.58|31.0|4.0|-6.34|1.0|0.0|2.37|2.6e-05|0.0115|3.45|0.0|-0.0497|-1310.3453949999998|697.92|1186.08|0.3116|530.51|0.5249199999999999|-0.20023|0.03274587|7.3988|7.8539|7.8539
12f_a40|0.0|0|0|0|0.0|7.515889085|0|0.604990261|1.768354671|-0.03356339|-0.015621373|0|0.040501792|0.807254372|-0.172869148|0.006841832|-0.033224348|-0.054891771|-0.397377446|0|0.679527138|0.777316288|-0.271493213|1|-0.082198664|3.43e-05|-37.02024147|11.90644165|62.72992556|0.090006088|-0.032879466|61.55859085|0.7314440520000001|-1.150781297|-20.45387851|-18.16607804|0.490421149|-635.8127312999999|628.5604981|8.404802652999999|16.49362536|0.962404834|5326.217734000001|-351.2898849|24.83590915|0.0201199619999999|-255.7481174|0.0|1.0|0.0|0.0|0.0|3.61|0.06|20.0|5.35|67.66|3.99|2.0|0.0|98.25|0.0|3.0|-6.58|24.0|3.0|-4.76|0.0|1.0|4.76|2.66e-07|0.0003819999999999|5.4|0.0|-0.07761|-2212.359379|572.63|951.55|0.4348|487.85|0.6679999999999999|-0.19526|0.01077929|4.8562|6.4202|6.4202
14ac_a23|0.0|0|1|1|0.0|7.423568444|0|1.1979507740000002|2.7104403130000003|0.0763230759999999|-0.4422550999999999|2|0.048351548|0.544211741|0.043387326|-0.004445662|-0.069765112|-0.287952039|-0.562985112|2|0.5562570379999999|0.7797862459999999|0.054652466|1|-0.097100967|0.300389872|-66.72452104|12.70997824|57.45545019|0.068856366|-0.043970249|0.327656318|0.8077820920000001|-2.330423202|-50.3831402|-33.20157553|0.489147172|-1759.6835030000002|3417.45156|8.122941134|15.90074614|0.95751094|9203.543798|-1328.722623|41.10214358|0.019122137|-464.8074813999999|0.0|1.0|1.0|1.0|1.0|3.34|0.12|26.0|5.52|105.02|4.6|2.0|1.0|130.29|0.0|7.0|-7.31|38.0|10.0|-5.84|0.0|0.0|5.43|4.92e-08|0.000123|5.35|0.0|-0.08813|-2304.001319|751.54|1285.58|0.3209|627.76|0.6408|-0.23868|0.02262555|8.6341|8.3851|8.3851
8_a4|0.0|0|0|0|0.0|7.535296702|1|1.304250488|2.126514848|-0.208165266|0.03148225|2|0.038726287|1.987684188|0.05775266|0.009595591|-0.048133994|-0.078942941|-0.150276481|2|0.619844116|0.813333185|0.097165358|1|-0.065595042|0.546157592|-27.90231822|5.362918401|11.02158946|0.074867554|-0.024598141|37.17889653|0.7261541020000001|-0.983925625|-14.42275611|-12.71482105|0.428884426|-508.5928419|1737.932042|5.695730546|9.972991122|0.750959081|5162.482272|-262.8925116|17.50981094|0.0148422489999999|-233.7988862|1.0|1.0|1.0|1.0|0.0|3.19|0.15|21.0|4.63|43.6|2.93|1.0|0.0|100.13|0.0|2.0|-4.35|25.0|3.0|-5.76|1.0|1.0|3.85|4.49e-05|0.00506|3.74|0.0|-0.05864|-1450.239105|561.6|949.09|0.1687|391.01|0.30471|-0.22685|0.0252645|5.7488|7.2676|7.2676
