molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|SRW09|SaasN|MATS2c|AATSC1s|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GRAV|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
9s_a24|0.0|1|0|2.9568988810000003|0.0|6.605297921|0.0|-0.222173285|-0.00570386|-0.050919714|0.0|0.006748865|-0.060407836|10.96129902|0.013901071|1|-0.204128966|-0.359715589|0.799076569|0.773544454|0.030228027|0.748077475|0|0.8833498320000001|-0.049825449|0.016792118|-39.48555839|10.42725806|33.24649431|0.116650168|72.43525688|-0.019465646|0.445160769|-0.953816666|-19.21235005|61.19761205|41.36694069|0.47085169|2747.809842|548.5261887|969.5210193|0.554839231|5767.9102490000005|0.03496522|68.10609672|604.8829955|21.71205366|0.0|1.0|1.0|1.0|1.0|3.43|2.78|0.04|29.0|-8.11|4.29|1.0|0.0|115.67|1.0|4.0|-3.36|30.0|4.0|-7.2|393.44|0.0|0.0|0.0|0.000434|171.0|8.71e-05|0.0|0.0|3.04e-06|-0.03597|1.82|654.28|1121.42|464.24|0.69475|-1270.738032|-0.14462|-1270.796154|7.0312|7.4949
11_a33|0.0|1|1|3.221176304|0.0|7.686621335|0.0|-0.151505631|-0.039406316|0.055664124|1.979284901|-0.003303432|0.143981643|10.31100126|-0.008908194|3|-0.122478641|-0.232296883|0.8389087140000001|0.85401347|0.003391835|0.781083337|1|0.857287241|-0.070841241|0.033701864|-50.94714637|16.37099833|45.43139569|0.142712759|69.3240686|-0.030847481|0.552878386|-1.048814353|-16.71585694|68.11455221|50.78279943|0.4673066279999999|2220.315582|416.4353629|979.349175|0.447121614|4880.001461|0.035341374|-51.37234937|335.4799765|17.16740584|1.0|1.0|1.0|1.0|1.0|3.19|2.31|0.13|19.0|-6.23|4.13|0.0|0.0|89.77|1.0|3.0|-5.48|22.0|4.0|-5.97|328.41|0.0|0.0|1.0|3.32e-06|0.00109|4.13e-05|0.0|0.0|0.000194|-0.05806|1.93|506.55|858.89|353.74|0.70381|-1669.202327|-0.19938|-1669.251123|4.5998|8.3188
12c_a36|0.0|1|0|3.447900368|0.0|7.412764017000001|0.0|-0.087096843|-0.04162109|0.085843909|0.0|0.0005016269999999|-0.0621599059999999|10.95982545|-0.056994595|1|-0.103922055|-0.177407665|0.8941919290000001|0.819222745|-0.033217921|0.8065052890000001|0|0.840733512|-0.073370864|0.019582215|-67.84435546|12.5779546|60.79111287|0.159266488|102.2992907|-0.038024893|0.75500974|-1.901244658|-30.27053327|80.22754474|59.70517794|0.473610011|2785.47514|540.0159387|2365.641348|0.24499026|6256.172329|0.019278991|-327.5932797|629.5017194000001|12.38318928|1.0|0.0|0.0|0.0|2.0|4.74|0.0|0.14|17.0|-7.18|2.54|1.0|0.0|128.76|1.0|5.0|-4.44|30.0|4.0|-6.49|415.88|0.0|1.0|1.0|3.64e-05|0.0151|2.55e-05|0.0|0.0|2.77e-05|-0.04992|3.79|672.74|1137.55|322.58|0.68913|-1692.312906|-0.2082699999999999|-1692.3713309999998|6.6973|8.0458
12c_a5|0.0|1|0|2.977832018|0.0|6.605297921|0.0|-0.212798523|0.020594766|-0.086795626|0.0|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|-0.01261147|-0.020144382|0.808899433|0.797601178|0.05430631|0.782051277|0|0.841092921|-0.070873852|0.016374249|-43.47195613|10.77147171|143.44655559999998|0.158907079|104.5338363|-0.022421317|0.583585895|-1.25559373|-30.6699685|59.40070647|57.39441476|0.4609383929999999|2697.345008|553.2961182|2045.184304|0.416414105|5877.765289|0.024214085|-109.9706106|735.3048881|15.92875034|0.0|1.0|0.0|1.0|2.0|3.27|2.78|0.24|23.0|-9.31|4.32|1.0|0.0|121.26|1.0|6.0|-4.09|31.0|5.0|-6.79|411.5|0.0|0.0|0.0|8.159999999999999e-05|0.0336|4.64e-05|0.0|0.0|2.03e-07|-0.04565|2.06|694.24|1200.02|309.06|0.52074|-1316.244961|-0.21128|-1316.305277|3.5993|7.3279
4i_a46|0.0|0|0|0.0|0.19654443|7.825245291|2.184105962|-0.167244168|-0.018872727|-0.088884176|0.0|0.012211602|-0.160741899|10.94638684|-0.125773054|1|-0.060809732|-0.091288438|0.7204791309999999|0.749522825|-0.0656636|0.7172344890000001|0|0.940780437|-0.058565229|0.015663081|-42.48203383|8.847405392999999|67.51603424|0.0592195629999999|33.45060163|-0.025069479|0.763831778|-1.278543436|-18.68604171|49.04951810000001|41.92840157|0.406629719|2200.19132|531.4066842|2253.484644|0.2361682219999999|4893.587424|0.011626803|-298.0546045|579.2365607|6.567484272000001|1.0|0.0|1.0|1.0|0.0|3.88|3.5|0.36|17.0|-7.3|5.07|1.0|0.0|105.43|1.0|3.0|-4.94|26.0|3.0|-5.31|347.45|0.0|1.0|1.0|1.16e-05|0.00403|9.13e-06|0.0|0.0|1.75e-05|-0.01646|4.46|611.74|1058.5|280.31|0.41877|-1092.473422|-0.20084|-1092.528145|3.8696|6.2132
19k_a38|0.0|1|0|3.218103741|0.0|7.412764017000001|0.0|0.0100827|-0.17467835|0.098947776|0.0|-0.011156837|0.016990252|10.95446448|-0.0184136539999999|1|-0.060668296|-0.128079012|0.7581164340000001|0.853092207|0.04833864|0.730686013|0|0.658700057|-0.112748779|0.0232707939999999|-80.54577161|14.76615358|157.4834779|0.341299943|216.567059|-0.044662847|0.75964689|-2.411793744|-45.3966925|94.38036132|86.30929885|0.4769127179999999|3055.355167|417.968819|2929.493496|0.24035311|7091.215492|0.021802691|-329.5105352|686.8472757999999|13.8345897|0.0|0.0|0.0|0.0|4.0|4.89|2.2|0.13|17.0|-6.41|1.65|1.0|0.0|133.79|1.0|6.0|-3.87|33.0|5.0|-7.84|444.46|0.0|0.0|0.0|0.000134|0.0594|0.0002399999999999|0.0|0.0|0.000175|-0.05534|4.13|677.64|1172.22|350.45|0.38269|-1500.618667|-0.20102|-1500.680373|12.5022|7.9666
1l_a5|0.0|1|0|2.964063799|0.0|6.605297921|0.0|-0.244609612|-0.0052651969999999|-0.111303801|0.0|0.008244856|-0.019865028|10.94421389|-0.05139414|1|0.0271820189999999|0.043915678|0.7245669790000001|0.7656671279999999|-0.174469948|0.71872376|0|0.890289002|-0.068685233|0.0078543119999999|-38.27406105|4.43679678|167.86839980000002|0.109710998|61.974288|-0.026512937|0.769406114|-1.219595099|-21.91725365|45.64819758|43.23617395|0.47265823|2227.730859|502.9124512|903.1631908|0.230593886|4665.793689|0.013054186|-304.3678822|518.5792364|7.374136537999999|1.0|1.0|0.0|1.0|1.0|2.98|2.67|0.14|23.0|-8.83|5.32|1.0|0.0|105.07|1.0|4.0|-5.04|26.0|3.0|-5.4|340.42|0.0|1.0|1.0|9.06e-06|0.00308|1.04e-05|0.0|0.0|5.02e-07|-0.04149|3.89|609.85|1033.47|283.95|0.45892|-1069.047151|-0.21939|-1069.101032|3.3694|7.4949
12ap_a36|0.0|1|0|3.4417292610000003|0.0|7.412764017000001|0.0|-0.06398791|-0.010732275|0.066185994|0.0|-0.000143196|-0.105824575|10.95430638|-0.042675894|1|-0.098598933|-0.175397741|0.8707354620000001|0.832758813|-0.025198947|0.8212311840000001|0|0.830587483|-0.082622504|0.0217479329999999|-69.6632787|14.26936622|82.56761031|0.1694125169999999|111.1558165|-0.037473093|0.737851886|-1.91112774|-35.56900768|83.16347311|68.48007054|0.464588|2843.18721|544.9693552|2328.307856|0.262148114|6003.481614|0.020575639|-312.1212186|642.3830552000001|13.50019441|1.0|0.0|0.0|0.0|2.0|4.78|0.0|0.13|17.0|-6.66|1.76|1.0|0.0|128.47|1.0|5.0|-3.99|31.0|5.0|-7.08|406.44|0.0|0.0|0.0|0.000101|0.0412|0.000113|0.0|0.0|8.97e-05|-0.06084|2.98|691.41|1160.79|319.54|0.59563|-1324.95298|-0.21788|-1325.0127220000002|9.6512|7.4949
8a_a32|0.0|1|1|3.217128449|0.0|7.773594467000001|0.0|-0.0755556459999999|-0.056633919|-0.0281981579999999|2.059960334|-0.003484915|-0.020716518|10.31100269|-0.128684642|3|-0.0852122769999999|-0.1534110109999999|0.788133615|0.845443342|-0.184419911|0.7507116140000001|1|0.814553726|-0.083474428|0.018321589|-68.61558335|11.48993376|73.64907732|0.185446274|116.298071|-0.035678106|0.7490845290000001|-1.641192863|-32.82934751|79.73671389|63.83886888|0.480024324|2574.085885|510.8273411|3312.822051|0.250915471|5659.295213|0.017733503|-312.4144752|557.1050635|11.12113054|1.0|1.0|1.0|1.0|2.0|3.48|3.67|0.26|19.0|-7.65|4.65|2.0|0.0|110.69|1.0|7.0|-6.82|27.0|4.0|-5.76|397.52|1.0|0.0|1.0|1.5199999999999998e-07|6.03e-05|1.02e-05|0.0|0.0|8.86e-06|-0.06166|4.98|667.29|1110.23|348.07|0.70316|-1880.536478|-0.2061599999999999|-1880.595748|7.6703|7.3468
15_a47|0.0|1|1|2.9226792460000004|0.0|6.605297921|0.0|-0.164258919|-0.072588375|-0.130885389|1.56205245|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|1|-0.007670908|-0.017562097|0.644280611|0.830688568|-0.131424138|0.614613723|1|0.791753677|-0.084413593|0.016669157|-48.36220049|8.917011222000001|61.0548099|0.208246323|111.3994409|-0.033307714|0.711630105|-1.265693121|-24.15592798|59.79410145|54.07328082|0.477646539|2327.320914|423.5412927|869.1027727|0.288369895|5075.773767000001|0.021370407|-226.4191275|383.4213189|11.43190096|1.0|1.0|0.0|1.0|2.0|2.89|2.1|0.06|21.0|-8.49|5.28|2.0|0.0|96.6|1.0|3.0|-4.89|25.0|4.0|-5.76|353.78|0.0|0.0|1.0|1.29e-05|0.00455|1.41e-05|0.0|0.0|1.14e-06|-0.0591799999999999|3.33|552.16|930.51|305.43|0.67203|-1527.265523|-0.2268|-1527.316555|3.7709|7.8
