molecula|SddssS|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|PNSA4|DPSA3|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
17_a4|0.0|0|-4.533317957|1|1|1|1.219995452|1.690442177|-0.006491052|5.4161004020000005|-0.319716072|1|-0.01849014|-0.3948966229999999|-0.094767116|1|1|0.002155864|-0.073733221|-0.0179434139999999|-0.07155304|-0.392770755|1|0.772721853|0.0147116789999999|-0.12969185|0.8347553529999999|0|0.888791225|-0.0887214819999999|0.332034943|0.01061251|-46.06264282|5.472562628|17.08736223|57.34712812|-0.042181562|-23.75316417|2.822041259|-1.5185362180000002|-23.59250328|-21.75180355|51.22364842|458.3237652|0.138303414|5.923504372999999|10.65499029|0.798764653|5322.773303|25.24299609|-373.0328031|908.7478594|319.5521911|0.0|0.0|0.0|0.0|4.59|6.26|1.0|85.09|0.0|1.0|3.0|-5.56|345.29|1.0|1.0|-4.81|4.39e-05|0.0152|0.00532|0.0|0.0|2.74e-07|4.44|-1255.994721|527.39|873.5|285.92|0.2045|413.28|0.47353|0.2045|4.8197|-0.21745|0.02636403|-1255.932407|877.0|6057.0
14ac_a23|0.0|1|-9.994971573|2|0|0|1.1979507740000002|2.7104403130000003|-0.011656739|5.351858133|-0.4422550999999999|2|0.016532702|0.0518788009999999|0.043387326|2|2|-0.004445662|0.068237909|-0.069765112|-0.287952039|-0.562985112|2|0.7797862459999999|0.1374474|0.054652466|0.834426845|1|0.931143634|-0.0883661019999999|0.300389872|0.016832361|-73.32014595|12.70997824|57.45545019|51.99287907|-0.043970249|-55.36344264|9.597200637|-2.330423202|-50.3831402|-33.20157553|79.43449928|703.0989434999999|0.192217908|8.122941134|15.90074614|0.95751094|9203.543798|41.10214358|-464.8074813999999|2178.41361|718.3324686000001|0.0|1.0|1.0|1.0|5.52|8.36|2.0|130.29|0.0|1.0|7.0|-5.84|547.48|1.0|0.0|-6.65|4.92e-08|2.69e-05|0.000123|0.0|2.0|9.25e-10|4.93|-2304.001319|751.54|1285.58|341.32|0.3209|627.76|0.6408|0.2391|6.3004|-0.23868|0.02262555|-2303.819891|4.0|8.3851
47a_a18|0.0|0|0.0|0|1|1|0.403918489|0.0|-0.006027559|4.844187086|-0.18843247|0|0.043161338|-0.025401815|0.052572636|0|0|-0.000633273|0.066507683|-0.232940071|-0.358939392|-0.369841706|0|0.766261502|-0.008965701|0.089156939|0.7991211029999999|0|0.778790861|-0.082855697|0.371382587|0.014124484|-81.42570819|11.58086543|100.7293848|181.3725215|-0.036234741|-66.76209701|9.49531639|-2.681370849|-55.70051708|-29.70938001|79.51543089|638.5417107999999|0.2063806289999999|10.20255289|19.74153879|0.934960691|8405.670404|37.435301|-481.4854016|2770.212274|1225.939287|1.0|1.0|1.0|3.0|0.48|3.35|3.0|158.24|1.0|1.0|12.0|-6.49|547.67|0.0|0.0|-5.58|1.8100000000000002e-07|9.9e-05|0.00143|0.0|1.0|5.4e-09|8.82|-2098.807018|874.47|1536.87|388.09|0.6094|813.01|0.69508|0.6094|2.6271|-0.18291|0.0339441|-2098.359766|1.0|9.0
14q_a23|0.0|1|0.0|2|0|0|1.19796338|3.292130907|-0.0101981219999999|5.351858133|-0.130330047|2|0.064903564|-0.058543701|-0.056324491|2|2|0.002496501|0.121109106|-0.017918675|-0.033435987|-0.573130981|2|0.808928963|0.067394607|-0.089657283|0.871119857|1|0.773194598|-0.08960718|0.227948491|0.02158178|-66.16349731|14.81701129|350.836102|155.7136729|-0.039682061|-45.42467289|10.17264683|-2.023785094|-42.23665548|-27.24379301|76.3369885|530.8381985000001|0.222659101|8.732265278|16.53853737|0.893957277|6982.066379000001|35.04742005|-380.8178266000001|1787.418422|693.3423458|0.0|1.0|0.0|2.0|2.57|3.12|1.0|128.38|1.0|1.0|6.0|-7.33|454.51|1.0|0.0|-4.39|6.11e-06|0.00278|0.0183|0.0|0.0|1.11e-07|4.19|-1798.645459|714.22|1222.17|340.33|0.4943|554.59|0.5949|0.4943|8375.0|-0.23013|0.03458552|-1798.433122|16.0|7.8069
9b_a36|0.0|0|0.0|0|2|2|0.62670079|0.0|-0.0058276019999999|5.351858133|-0.023369916|2|0.082806042|-0.077361324|-0.06502499|1|1|0.005458948|0.146828453|-0.053309522|-0.094526372|-0.4060950789999999|1|0.7885597609999999|-0.034830997|-0.1177413269999999|0.842671963|0|0.8453794609999999|-0.074181597|0.2602997|0.017007854|-61.73294817|10.68084402|67.12293326|97.10089515|-0.036110824|-38.76797062|6.707514535|-1.769430355|-29.25555061|-22.67740953|57.26650122|530.8939077|0.21757783|7.549264797|13.80758516|0.828997331|5838.085413000001|28.98359786|-354.7193098|1420.196295|620.9195447000001|0.0|1.0|0.0|1.0|3.6|2.76|1.0|126.17|0.0|1.0|5.0|-6.46|398.48|0.0|0.0|-4.43|2.49e-05|0.00992|0.0148|0.0|0.0|2.3100000000000002e-07|3.82|-1575.7800140000002|666.01|1127.85|321.74|0.5392|514.45|0.69763|0.5392|6.2846|-0.20979|0.02803905|-1575.616432|21.0|7.6778
13m_a6|0.0|0|0.0|0|0|0|1.429020166|0.0|-0.010840005|4.727387819|-0.135152403|2|0.021526267|0.054340057|-0.018628955|1|1|-0.00687003|0.037052986|-0.068956229|-0.118693789|-0.568024162|2|0.7767360059999999|0.156982046|-0.031564227|0.832753533|1|0.715612461|-0.0989137669999999|0.429009107|0.01858251|-75.05944278|12.95736535|91.22689385|198.3000783|-0.0378750189999999|-52.33806464|9.035018118|-2.045251|-48.09294654|-26.40980394|81.92876874|498.9881336|0.263701|8.435961541000001|16.2526769|0.926594475|6412.592679|35.8683143|-329.5370141|1936.888972|724.3873672999999|1.0|1.0|1.0|3.0|4.19|3.76|1.0|127.2|0.0|1.0|6.0|-7.23|435.48|0.0|1.0|-4.28|2.27e-05|0.00987|0.0228|0.0|0.0|2.1499999999999998e-10|4.27|-1423.762467|726.28|1231.54|371.67|275.0|546.69|0.66475|0.1924|4.2913|-0.20954|0.04955777|-1423.511471|0.01|8.0
14_a4|0.0|0|0.0|1|1|1|1.399909181|1.947126795|-0.001935612|5.4161004020000005|-0.04986736|1|-0.0135414919999999|-0.08389836|0.117232935|1|1|0.008943549|-0.031578333|-0.016862096|-0.039321879|-0.199315317|1|0.77505994|0.158051825|0.204594017|0.843811017|0|0.8510382459999999|-0.065776751|0.218112446|0.013047382|-32.31961528|5.933038407000001|12.12963775|67.73740575|-0.03015272|-14.69670456|2.697931638|-0.995039765|-13.60128622|-13.71135194|35.84371234|386.9927769|0.231542789|5.304461808|8.859498364|0.6701974079999999|3944.638539|17.84270058|-244.1511936|588.8091192|280.2639278|0.0|0.0|0.0|0.0|3.59|4.09|0.0|80.09|0.0|2.0|2.0|-5.8|277.3|0.0|1.0|-3.97|0.000396|0.11|0.0295|0.0|0.0|1.95e-06|3.22|-918.9507745|475.32|794.51|293.02|0.1864|353.16|0.53298|0.1067|2.3797|-0.2102|0.020300099|-918.896242|1.32|5.8794
13_a15|0.0|0|0.0|0|1|1|1.4356889940000002|0.0|-0.006348913|0.0|-0.031457366|3|-0.006938727|-0.031047852|0.005149745|0|0|0.003766915|-0.010882979|-0.173728081|-0.272482143|-0.357554652|2|0.729838386|0.008210506|0.009456191|0.7784213259999999|0|0.8854875790000001|-0.068526782|0.708462114|0.016196467|-61.86632281|10.21906987|142.67217639999998|72.25096855|-0.033811561|-39.03420883|6.447664726|-1.961070565|-27.279882500000003|-21.33321476|53.45565817|558.6934137000001|0.244716567|5.21465994|10.07307988|0.931684902|7196.400881999999|28.24531009|-322.1392954|1638.227985|830.7967967000001|1.0|1.0|0.0|1.0|4.33|6.69|2.0|138.24|0.0|1.0|6.0|-5.26|448.52|1.0|0.0|-6.1|4.77e-07|0.000214|0.000357|0.0|0.0|1.27e-09|5.04|-1450.756042|674.36|1231.11|482.03|208.0|549.33|0.63827|0.0003|3.5479|-0.15229|0.02844037|-1450.462642|6.0|8.2218
17a_a10|0.0|0|0.0|1|2|2|1.3438501040000002|2.118111229|-0.004333189|5.4161004020000005|0.021150127|3|-0.082914437|-0.093735748|0.031632653|1|1|0.01029375|-0.132166258|-0.225935253|-0.360142554|-0.275154041|2|0.76281504|0.029106767|0.054069767|0.8044827790000001|1|0.8538249840000001|-0.055423599|0.463842217|0.020088947|-58.46202420000001|14.20303963|51.96456548|103.34686|-0.023625536|-41.33310046|10.04165819|-1.488408763|-27.70403316|-16.70343549|53.38795048|603.6608262999999|0.4352739579999999|8.621193279|16.96492079|0.967815851|7078.918870999999|29.57794442|-91.52361858|1863.410498|911.2106544|1.0|1.0|1.0|0.0|3.31|2.5|1.0|142.16|0.0|1.0|6.0|-7.43|468.55|0.0|0.0|-4.32|0.00021|0.0986|0.0222|0.0|0.0|4.74e-08|3.95|-1524.557372|767.6|1326.24|310.84|0.2142|603.73|0.32889|0.0867|4.1012|-0.21203|0.03725238|-1524.252023|49.0|7.3098
7a_a8|0.0|0|0.0|1|1|1|1.4000287219999998|1.4494883790000002|-0.010269971|5.4161004020000005|-0.0407248439999999|1|-0.017706371|0.004607684|-0.019054799|1|1|0.002028046|-0.02923588|-0.019499132|-0.032195997|-0.412963751|1|0.764224152|0.033708575|-0.032562221|0.831914523|0|0.718410375|-0.102174163|0.238462711|0.035405618|-59.83546383|20.79408196|145.3710976|165.38046830000002|-0.042647654|-35.14198015|12.2125771|-1.833849114|-35.24327197|-25.04740346|80.80201312|421.9297638000001|0.266115601|7.699041907000001|14.73814865|0.914283468|5907.9340090000005|34.12990316|-274.7254012|1467.585836|488.0169522|0.0|1.0|1.0|1.0|3.96|3.49|1.0|105.83|0.0|1.0|3.0|-6.33|382.37|0.0|1.0|-4.64|1.36e-05|0.00522|0.00874|0.0|0.0|5.3600000000000004e-08|5.2|-1291.313963|605.72|1031.61|403.8|315.0|494.48|0.61257|0.1575|9.9646|-0.20505|0.0269461|-1291.156661|24.73|4.6068
