molecula|SaaNH|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
9a_a36|3.4090209280000003|0.0|7.412764017000001|2|2|0.0|-0.109305298|5.351858133|2|0.040166667|0.095192109|0.0034852859999999|10.96066876|-0.06502499|1|1|0.00484375|0.160672128|-0.12019672|0.7885597609999999|-0.1177413269999999|0.842671963|0.79302567|-0.073689118|0.204819754|0.0236784079999999|-45.04449811|-66.44342306|49.52042402|-0.039929147|-40.61536816|8.847677483|0.7638345870000001|-27.53468726|78.37175688|-24.40778806|59.5185754|0.453098452|505.25728260000005|-1195.981615|2167.77208|-14.91993116|0.236165413|7.546661564|0.828482664|144.36259840000002|-731.0766269999999|31.95428497|0.019513779|-322.5522826|1565.759963|578.2841135|1.0|0.0|1.0|4.69|0.0|-6.28|3.04|2.04|0.0|120.94|0.0|1.0|5.0|29.0|-6.74|382.42|1.0|0.0|1.95|-3.99|0.0753|0.000102|2.66|0.0|0.0|0.0002009999999999|-0.05044|3.8677|3.8677|-1252.802159|648.41|1092.66|320.56|320.56|495.18|0.68682|0.4811|5.7274|-0.20969|0.02701893|-1252.636005|7.4992|7.8861
5_a18 (BIBF0775)|0.0|0.0|7.03438793|2|2|0.0|0.0160123|4.844187086|1|0.035478927|-0.0366107389999999|0.002526619|10.94702058|-0.022817602|0|0|0.0036739159999999|-0.054916741|-0.144352593|0.7395978390000001|-0.040022105|0.774859029|0.7061155790000001|-0.068989967|0.420002762|0.008501088|-52.09190866|-59.08151918|10.36586529|-0.029755876|-44.61038661|4.846666751|0.8159410579999999|-39.33277643|67.25977848|-22.46761997|58.5107823|0.483962172|636.6978809999999|-1595.201018|1645.395714|-16.96451322|0.184058942|9.798677372|0.937842434|138.97646310000002|-1204.480438|27.535837|0.010831199|-477.1120625|1955.044427|1140.896548|0.0|1.0|2.0|4.42|0.0|-9.21|4.09|3.69|1.0|155.95|0.0|1.0|8.0|37.0|-5.96|494.63|1.0|0.0|3.2|-5.72|0.000425|1.91e-06|4.73|0.0|0.0|3.06e-07|-0.04938|3.2027|3.2027|-1572.313227|817.02|1446.02|378.13|378.13|691.68|0.69298|0.4825|2.3389|-0.18092|0.02305362|-1571.914419|2.8009|7.4685
5d_a40|0.0|0.0|8.149890544|0|1|1.601200869|-0.071479892|6.167516491000001|0|0.044526749|-0.1031436519999999|0.007200253|10.31198333|0.029272031|2|2|0.006642869|-0.259985037|-0.0038660009999999|0.8092726020000001|0.0451110059999999|0.877722972|0.483934049|-0.086193996|0.049855551|0.022027556|-39.55506228|-43.26473143|181.4728912|-0.0377110779999999|-19.85450535|4.638915105|0.8111805740000001|-18.15211073|49.97858532|-17.30589257|49.66367051|0.479931934|346.0207917|-519.1767771000001|511.3769101|-7.94180214|0.188819426|6.288958592999999|0.922825231|86.65063178|-238.2540642|21.3342049|0.014630084|-285.606135|640.0261471|243.4287716|1.0|0.0|0.0|3.02|2.56|-4.32|4.08|3.64|1.0|74.11|0.0|2.0|3.0|20.0|-5.94|287.31|1.0|1.0|3.1|-3.82|17.0|0.000152|2.98|0.0|0.0|0.0137|-0.06796|3.7374|3.7374|-1276.833831|473.48|765.69|331.74|331.74|365.74|0.69613|0.4493|7.0422|-0.2164699999999999|0.01667985|-1276.797751|9.2439|7.7212
12r_a30|0.0|0.0|7.412764017000001|2|2|0.0|-0.015167821|5.351858133|2|0.043383838|-0.093079817|-0.002544958|10.31162892|-0.0646674999999999|1|1|-0.001131023|-0.247439715|-0.0546637159999999|0.83236194|-0.105767484|0.889479916|0.591758164|-0.090229387|0.451652492|0.019137908|-58.32042638|-71.0931422|90.4724548|-0.040404659|-45.9515743|7.995393191000001|0.790065337|-37.69583567|82.06195604|-26.11584816|70.6903535|0.464481911|465.8474777|-1279.67656|2433.580273|-16.88017015|0.209934663|7.467190577999999|0.867350555|135.6928105|-827.1283373|33.05530181|0.016970201|-374.9717191|1619.709789|616.2856203|1.0|0.0|1.0|4.66|0.0|-7.16|4.67|3.74|0.0|127.19|0.0|1.0|5.0|31.0|-6.06|434.46|0.0|0.0|3.21|-5.17|0.00141|6.71e-06|4.07|0.0|0.0|3e-05|-0.05244|5067.0|3.5111|-1774.236548|679.64|1141.54|353.12|244.69|516.03|0.68476|0.1522|5.2021|-0.20138|0.03388131|-1774.070699|6.5511|7.5317
13n_a6|3.425442623|0.0|6.842683282|0|0|0.0|0.030890422|4.727387819|2|0.04393617|0.058267173|-0.0093684169999999|10.95053349|-0.033224059|1|1|-0.00687003|0.100294804|-0.068956229|0.7767360059999999|-0.056293641|0.832753533|0.82642394|-0.100363599|0.307384948|0.017758385|-68.88015714|-75.07706271|90.97854097|-0.038490115|-51.52585133|8.36448634|0.748967057|-47.27287681|88.73738138|-26.41600355|81.06784641|0.47066442|486.5239262|-1426.464192|2535.307313|-18.12946621|0.251032943|8.872063579|0.889160748|172.28545730000002|-978.9911754|35.2699138|0.019904118|-341.7352549|1904.575345|724.3873672999999|1.0|1.0|3.0|3.55|1.9|-9.67|4.19|3.76|0.0|127.2|0.0|1.0|6.0|33.0|-7.23|435.48|0.0|1.0|2.62|-4.28|0.00987|5.24e-05|2.43|0.0|0.0|9.35e-08|-0.07131|4.8185|3.3510000000000004|-1423.765005|727.69|1232.6|369.99|257.31|548.09|0.64027|0.1945|7.1946|-0.20994|0.05026727|-1423.514154|10.1967|7.1249
2_a47|0.0|0.0|0.0|0|0|0.0|-0.002024001|0.0|2|0.027058824|-0.004557357|-0.007479445|10.93671092|-0.013580367|0|0|-0.006079384|-0.007299676|-0.017113434|0.671819147|-0.0253134039999999|0.728066943|0.875463345|-0.083455669|0.482748996|0.008511123|-41.57671973|-47.65477123|99.5619537|-0.036790752|-23.74109633|2.112397382|0.784978115|-20.71307621|55.81329383|-18.32875817|45.81686991|0.433425706|422.1277419|-714.8215685|1242.745585|-9.131190896|0.215021885|5.308758149|0.764993595|107.1215986|-356.116445|23.34938746|0.016376351|-283.9460863|910.626111|392.6099255|1.0|1.0|2.0|2.58|2.54|-7.82|3.7|4.75|0.0|96.54|0.0|1.0|3.0|24.0|-5.0|313.35|1.0|1.0|3.58|-5.11|0.00109|7.75e-06|4.52|0.0|0.0|4.73e-06|-0.05285|3.7181|3.7181|-1010.540464|536.13|902.07|333.46|333.46|371.19|0.69102|0.2143|2.1266|-0.20731|0.03544055|-1010.412694|3.1004|6.2
14o_a23|0.0|-4.758526534|7.423568444|0|0|3.133942289|0.18835477|5.351858133|2|0.046090147|0.135737344|-0.002390707|10.3132174|-0.049105045|2|2|-0.0004039459999999|0.416392114|-0.0962526|0.802854174|-0.072078004|0.861597051|0.575188253|-0.072435569|0.328340215|0.018054548|-51.49843925|-66.92857564|110.3941788|-0.042454824|-47.58321438|9.125801389|0.800301554|-36.61307972|80.64694246|-30.18347529|64.33441296|0.48945652|642.7588542000001|-1539.35724|2297.392496|-21.45909668|0.199698446|9.016411722|0.958697036|141.97663490000002|-1094.413931|37.71512766|0.019295686|-427.001863|1923.471511|676.4530574|0.0|1.0|1.0|3.55|3.62|-7.95|3.97|6.18|1.0|126.97|0.0|1.0|7.0|35.0|-5.94|495.48|0.0|0.0|4.31|-6.0|6.38e-05|1e-06|4.76|0.0|0.0|5.57e-06|-0.08059|3.6989|3.6989|-2042.184285|729.11|1236.72|335.19|335.19|582.89|0.58581|385.0|5.9294|-0.23229|0.02299729|-2042.000938|8.3591|8.4815
13_a12|0.0|0.0|0.0|0|0|0.0|0.202052156|0.0|2|0.037948718|-0.21832579|0.000830398|10.96083169|0.021322992|0|0|0.002279068|-0.362308767|-0.169387652|0.6809340620000001|0.039235452|0.7300173240000001|0.804066411|-0.058167326|0.122164874|0.008188151|-28.51381164|-45.33566159|64.74666684|-0.034993718|-22.2236882|1.96760628|0.8829921740000001|-13.97756285|48.99243638|-17.15403411|32.52766981|0.466560112|441.2142447|-634.6992622|664.9830294|-8.408963103|0.117007826|6.06407675|0.874625469|57.35761558|-311.13163480000003|19.42716439|0.0074597119999999|-375.4880089|718.8050825|327.9594923|1.0|1.0|1.0|2.7|2.64|-7.14|3.63|3.9|0.0|84.74|0.0|1.0|3.0|21.0|-5.49|276.34|1.0|1.0|3.22|-4.2|0.0152|6.3e-05|3.51|0.0|0.0|2.01e-05|-0.04445|4.5363|3.9329|-876.3661620999999|532.86|867.79|315.25|273.31|437.91|0.64974|0.0155|1.3023|-0.20903|0.0290811829999999|-876.258343|1.5686|7.0315
1_a15|0.0|0.0|0.0|0|0|0.0|-0.22215316|0.0|2|0.0381893|0.06459652|0.001244652|10.95880609|-0.000905902|0|0|0.003816011|0.096086011|-0.1816819589999999|0.705825714|-0.001544849|0.74357498|0.795437721|-0.068077117|0.7100707390000001|0.026214985|-44.01415991|-72.24770503|121.3844816|-0.031142386|-46.71058649|10.95802135|0.605927517|-28.45664402|90.40184737|-20.13460632|60.96303497|0.437969049|566.1848585|-1228.210985|2855.495631|-13.01770443|0.394072483|6.580146251|0.77926144|254.7811976|-794.0799704|33.22939752|0.0280791829999999|-136.9714493|2026.993248|851.7423982|1.0|1.0|1.0|3.91|4.18|-10.02|5.46|6.32|0.0|132.94|0.0|0.0|8.0|34.0|-5.38|457.52|0.0|0.0|4.68|-5.97|0.00013|1.08e-06|5.23|0.0|0.0|4.36e-08|-0.04142|4.3834|3.2188|-1510.136281|697.35|1271.06|385.18|282.85|598.34|0.70553|0.0061|1.2218|-0.17792|0.01894559|-1509.851127|2.3261|7.3565
18_a15|0.0|0.0|0.0|0|0|0.0|-0.020185809|0.0|2|0.037948718|-0.094812415|-0.001044324|10.95986315|0.002685285|0|0|0.000539978|-0.190640601|-0.072506962|0.7162974740000001|0.004699248|0.765450925|0.645117465|-0.067562078|0.819442071|0.007146033|-41.31992544|-55.48918283|40.37881101|-0.035181092|-33.93632895|2.672871589|0.867430881|-25.27062952|60.86009645|-21.51621375|45.69032922|0.415796832|511.4247108|-1054.294474|2510.854462|-13.15898469|0.132569119|5.990767063|0.711733271|81.07723009|-644.79025|24.80452821|0.008781964|-449.4301265|1215.421882|590.2470602999999|1.0|1.0|1.0|3.37|3.75|-9.98|5.68|6.86|0.0|113.42|0.0|1.0|5.0|29.0|-4.8|385.43|0.0|1.0|5.06|-5.93|0.000265|1.18e-06|5.42|0.0|0.0|4.01e-08|-0.03581|4543.0|3.8232|-1265.810138|650.53|1110.18|324.29|272.91|535.02|0.70427|0.0066|4.2476|-0.19371|0.03989594|-1265.614679|6.5864|6.8894
