molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|AATSC1s|MATS7i|SaaaC|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
12s_a30|0|0|0|0.0|0.0|0|2|2|0.604984545|-0.095120438|-0.0601024909999999|0.0|-0.035768573|1|-0.001131023|-0.1597740919999999|-0.0546637159999999|-0.446807335|1|-0.080971844|0.591758164|0|0.706713791|-0.103647048|0.019324097|-58.75255278|12.51292194|89.91581294|189.9114627|-0.040189672|8.102485674|0.790481833|-1.969293912|-38.04400919|78.38074776|-26.02399668|71.26547471|0.467381416|457.6180044|-1275.175837|2368.4646620000003|0.209518167|15.14544373|0.877516163|6639.7334200000005|-825.7139305|32.92168852|0.017398791|616.2856203|1.0|1.0|0.0|0.14|17.0|4.67|3.74|3.58|2.0|0.0|127.19|0.0|1.0|-5.49|434.46|0.0|3.21|-5.17|3.24e-06|0.00141|4.07|0.0|3e-05|-0.0551|5.0438|3.5348|-1774.236634|-1774.202623|677.35|350.75|0.2148|0.43338|0.68458|-1774.01033|0.1576|-0.14985|3.0335|-0.20495|3.9579|7.0|8129.0
12az_a36|1|0|0|3.465535084|0.0|0|2|2|1.297042831|-0.040156368|0.078817323|0.0|-0.024018255|1|0.002872872|0.129156742|-0.176729938|-0.387734368|1|-0.021825174|0.8350231859999999|0|0.819163613|-0.10786263|0.034771534|-50.28669997|24.36575918|60.11023222|126.71905359999998|-0.033474609|17.0740303|0.583865006|-1.941527339|-35.23783652|99.82512582|-23.45695404|74.65245915|0.462897841|574.0196415|-1360.503334|2455.7577530000003|0.416134994|15.73229538|0.861843195|6700.839465|-953.3573311|40.17530387|0.034594361|766.4854363|0.0|1.0|1.0|0.21|17.0|2.83|1.9|1.42|1.0|0.0|136.74|0.0|1.0|-4.11|441.49|0.0|1.75|-4.15|7.75e-05|0.0342|2.62|0.0|7.11e-05|-0.04967|3.8863|3.6095|-1461.990465|-1461.962459|737.12|343.5|0.4383|0.69385|0.70333|-1461.686269|0.0146|-0.14879|6.3778|-0.19846|7.821000000000001|58.0|7.2366
15_a47|1|1|1|2.9226792460000004|0.0|0|0|0|1.304329657|-0.072588375|-0.130885389|1.56205245|0.086682657|1|-0.002377481|-0.299654464|-0.007670908|-0.332654104|2|0.081171071|0.614613723|1|0.791753677|-0.0904066519999999|0.016669157|-45.1562696|8.917011222000001|61.0548099|111.3994409|-0.033307714|4.770072524|0.711630105|-1.265693121|-24.15592798|59.79410145|-17.81765281|54.07328082|0.477646539|423.5412927|-677.0708068|869.1027727|0.288369895|13.37174753|0.914412511|5075.773767000001|-362.1927541|25.03780079|0.021370407|383.4213189|0.0|1.0|1.0|0.06|21.0|4.69|5.28|2.83|2.0|0.0|96.6|0.0|1.0|-4.89|353.78|1.0|3.74|-4.85|1.29e-05|0.00455|3.8|0.0|1.14e-06|-0.0591799999999999|4.3312|4.0594|-1527.4104|-1527.376145|552.16|305.43|0.2828|0.67203|0.68008|-1527.265523|0.0759|-0.16762|2.2271|-0.2268|3.7709|16.0|7.8
11b_a50|0|1|1|0.0|0.0|2|1|1|1.3979498330000002|-0.014702942|-0.007722567|2.114272566|-0.218953127|2|0.012037198|-0.013155246|-0.162848233|-0.266743077|1|-0.20645662|0.667956827|1|0.931316325|-0.069841183|0.019455771|-23.23499995|10.1501574|7.949039772000001|35.832562100000004|-0.02494328|5.295379767|0.642051995|-1.047617742|-12.12179711|47.72173991|-13.01301376|33.38515735|0.42907551|485.8716402|-546.5465781|1650.235214|0.357948005|9.979494111|0.751545111|4884.730303|-285.1356465|20.26785036|0.021631609|439.9973344|1.0|1.0|1.0|0.15|20.0|3.09|3.73|2.25|0.0|0.0|99.65|0.0|2.0|-3.58|327.38|1.0|2.96|-4.16|0.000263|0.0862|2.9|0.0|0.000441|-0.02817|4.6471|3.9863|-1045.98235|-1045.961211|560.06|311.03|195.0|0.53885|0.64477|-1045.798634|0.0711|-0.16684|2.7805|-0.19501|3.7922|1.7|5.7696
12c_a36|1|0|0|3.447900368|0.0|0|2|2|1.29696741|-0.04162109|0.085843909|0.0|-0.0621599059999999|1|0.0010871589999999|0.146546059|-0.103922055|-0.4423430339999999|1|-0.097861598|0.8065052890000001|0|0.840733512|-0.105624703|0.019582215|-47.12722334|12.5779546|60.79111287|102.2992907|-0.038024893|8.079011794|0.75500974|-1.901244658|-30.27053327|80.22754474|-24.42396797|59.70517794|0.473610011|540.0159387|-1221.198398|2365.641348|0.24499026|12.86584957|0.899732176|6256.172329|-784.3943293|32.34920911|0.019278991|629.5017194000001|0.0|1.0|0.0|0.14|17.0|3.35|2.54|2.51|1.0|0.0|128.76|0.0|1.0|-4.44|415.88|1.0|2.34|-4.59|3.64e-05|0.0151|3.31|0.0|2.77e-05|-0.04992|3.8436|3.8436|-1692.540795|-1692.511019|672.74|322.58|0.3927|0.68913|0.68913|-1692.312906|0.3927|-0.15835|4.9812|-0.2082699999999999|6.6973|9.0|8.0458
12ay_a36|1|0|0|3.50559949|0.0|0|2|2|1.2970434|-0.043778345|0.1012005419999999|0.0|0.012286423|1|0.0045625|0.1689021819999999|-0.101854847|-0.438622276|1|-0.111814717|0.857993338|0|0.829406408|-0.098945129|0.018016934|-48.12939044|11.67851857|126.7858133|110.578217|-0.035337546|7.569978132|0.778164805|-1.978902589|-31.1973159|74.29343346|-22.90568368|59.80790901|0.4530143439999999|537.618563|-1282.718286|3238.138932|0.221835195|11.82248632|0.828201506|6204.216872999999|-831.4538627999999|29.43551742|0.015670425|729.1873176|0.0|1.0|0.0|0.21|17.0|3.76|2.5|2.45|1.0|0.0|133.68|0.0|1.0|-4.54|409.49|1.0|2.42|-4.6|2.8600000000000004e-05|0.0117|3.41|0.0|1.86e-05|-0.0526|3.9348|3.6561|-1311.576473|-1311.547668|674.33|339.12|0.2939|0.6727|0.6914|-1311.282556|0.1464|-0.15056|6.2579|-0.2031599999999999|9.1844|18.0|7.7447
9g_a24|1|0|0|2.931798469|0.0|1|0|0|1.427608366|0.001126633|-0.162313932|0.0|0.070915465|2|0.013119312|-0.292600863|-0.0273623029999999|-0.079421802|2|-0.045107345|0.657503038|0|0.8671367529999999|-0.065668047|0.01876163|-32.080056199999994|9.283063574|174.88817269999998|65.73938109|-0.021297745|4.593165278|0.4819264479999999|-0.788016565|-15.87288497|49.25777584|-10.53790724|41.36311977|0.427531635|429.0504306|-389.9025677|1196.910121|0.518073552|10.69818114|0.746821416|4355.725609|-192.9198181|21.8662148|0.033884884|341.3207334|0.0|1.0|1.0|0.06|22.0|2.91|2.93|0.64|0.0|0.0|87.53|0.0|1.0|-2.49|302.33|0.0|1.93|-3.09|0.00323|977.0|1.37|0.0|0.000113|-0.03585|5.2521|4.2802|-984.5891383|-984.5565078|524.03|289.67|0.2444|0.4227399999999999|0.64993|-984.447764|0.1023|-0.17806|2.9691|-0.21391|4.4131|68.0|7.1675
8f_a8|1|0|0|2.939511291|0.0|1|0|0|1.394802091|-0.249095464|0.0587545909999999|0.0|-0.08540947|1|-0.007036544|0.152294451|0.09830823|-0.5373378529999999|0|0.010682683|0.56916135|0|0.5968139689999999|-0.1064257719999999|0.013566221|-71.22071405|7.91086576|317.0847898|235.1097364|-0.048375351|4.613060521|0.90577048|-2.128515439|-41.53091131|67.4402386|-28.20910228|79.13157981|0.456995667|348.0199311|-1241.2005|1892.066521|0.09422952|13.81994609|0.8416059290000001|5948.547713|-723.7808349999999|31.14376424|0.009226445|485.8626377000001|0.0|0.0|0.0|0.0|23.0|4.69|4.72|4.11|2.0|0.0|105.27|0.0|1.0|-5.21|391.37|0.0|4.04|-5.0|6.11e-06|0.0023899999999999|3.82|0.0|4.43e-06|-0.0675299999999999|4.7027|3.4876|-1361.658484|-1361.626748|602.63|355.5|0.3188|0.55661|0.69925|-1361.455053|0.1659|-0.14532|5.8283|-0.21285|7.8014|22.76|4.6428
47g_a18|0|0|0|0.0|0.0|0|1|1|1.251175676|-0.034211867|-0.048472184|0.0|0.033759227|0|0.00531392|-0.071877686|-0.264839041|-0.4138670829999999|0|-0.014370598|0.745431271|0|0.834424154|-0.08547236|0.013404131|-55.35188184|11.37505183|111.5517627|140.5114492|-0.029212072|9.653129118|0.731870777|-2.307753726|-46.97287277|86.33162323|-24.79003275|66.72693367|0.4913566339999999|708.1114197|-1958.412588|2268.439188|0.268129223|20.32265524|0.966014041|7870.887027|-1661.953709|33.87214455|0.016259076|1347.416568|0.0|1.0|1.0|0.34|18.0|3.22|3.6|2.79|3.0|2.0|164.47|1.0|1.0|-6.11|541.68|0.0|2.83|-5.52|7.76e-07|0.000421|4.52|1.0|3.27e-07|-0.04413|3.0965|3.0965|-1743.375845|-1743.346243|905.71|400.4|0.5955|0.69828|0.69828|-1742.7686640000002|0.5955|-0.12789|4966.0|-0.17202|5.9864|9.0|8.0458
17f_a50|0|1|1|0.0|0.0|2|1|1|1.349854916|0.022892513|-0.167275895|2.187498662|-0.028989535|2|0.0129274519999999|-0.275290802|-0.247590736|-0.204651539|1|-0.2257632789999999|0.7241275009999999|1|0.911458734|-0.074859564|0.016414675|-29.10566644|10.09339793|6.382846132999999|54.44410182|-0.026836447|6.206439227000001|0.721122105|-1.422331714|-17.89709978|55.9791334|-16.50175503|39.19906437|0.472769049|560.4567739|-874.5930167000001|1929.981543|0.278877895|13.65716648|0.896702|5579.97966|-537.7880119|22.88344084|0.01617809|652.6793116|1.0|1.0|1.0|0.26|20.0|2.87|3.83|2.09|1.0|0.0|116.81|0.0|1.0|-3.58|384.48|1.0|2.92|-4.12|0.000266|102.0|2.83|0.0|0.00016|-0.0336399999999999|4.0664|4.0664|-1219.2481369999998|-1219.220465|653.63|304.9|0.1708|0.6573899999999999|0.6573899999999999|-1218.966516|0.1708|-0.16784|6.1931|-0.20148|8.312999999999999|398.0|6.4001
