molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|MATS8s|FPSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
3q_a32|0.0|1|1|3.4364803|0.0|0|0|0|0.609420748|0.0|-0.008072705|-0.04718311|-0.419780649|0.000773658|-0.022925245|10.31100266|-0.098400506|3|3|0.002487149|0.0492355779999999|-0.167040501|-0.295228244|-0.5448044360000001|0.751733573|0.010109949|0.018527744|-60.46462749|11.43581616|0.15006201|92.62226328|-0.027989085|7.058489861|0.6349739010000001|-25.7550561|-17.27560785|53.16288420000001|0.46136998|2649.276311|524.6043311000001|-846.5047848999999|-10.6629646|0.365026099|6.428518903|11.93494358|0.856561949|225.3038157|-522.4852655000001|27.20679986|0.022526037|-166.61896299999998|1333.133193|13.90366881|0.0|1.0|3.57|3.34|-7.31|6.43|4.72|1.33|1.0|0.0|115.37|0.0|7.0|-5.91|28.0|411.54|0.0|1.0|-4.62|0.000508|0.0|0.0|2.01e-05|-0.04968|5.15|3.6236|-1920.042674|666.16|342.16|0.2897|342.16|549.78|0.70216|0.70216|0.2897|4.1362|0.02381444|5.2657|28.0|7.5528|7.5528
EW7203_a60|0.0|0|0|0.0|0.0|0|2|2|0.604984431|0.0|-0.00698487|0.0075638519999999|-0.377182982|0.003099827|0.03824498|10.31162855|-0.051413084|1|1|0.0036417359999999|-0.1696249719999999|-0.049287858|-0.090115975|-0.458129101|0.80330079|0.002441966|0.020156795|-62.23028092|13.03554647|0.113924842|73.67602619|-0.036566012|8.430183|0.766837077|-31.81402579|-23.64750675|62.22940284|0.497298165|2913.880231|573.0312689|-1182.375337|-15.29301513|0.233162923|8.310125852|16.53092404|0.989250745|150.7881632|-764.6507562999999|30.83771958|0.01793256|-345.1309687|1541.885979|11.59711747|0.0|2.0|4.75|3.21|-6.7|3.87|2.6|2.17|2.0|0.0|133.97|0.0|5.0|-5.74|31.0|425.51|0.0|0.0|-4.82|0.000768|0.0|0.0|8.51e-05|-0.06188|3.64|3.5192|-1667.993536|678.83|352.3|0.2385|247.15|546.85|0.40883|0.69857|0.0448|1.7676|0.03203878|2.5159|9.0|8.0334|8.0334
17_a3|0.0|0|0|0.0|0.0|0|0|0|0.605019885|0.0|-0.009450704|-0.118246266|-0.349676046|-0.007540435|-0.041723219|10.31163036|-0.0510707059999999|1|1|-0.006696449|-0.027542873|0.020589494|0.036673175|-0.633373061|0.881253042|0.1789147639999999|0.010321361|-48.88298017|5.251911643|0.1969243769999999|100.2028184|-0.039557272|2.672377884|0.840062179|-25.54439812|-20.12828595|55.45324083|0.4383349039999999|2196.728425|408.6362608|-684.3617224|-10.24205849|0.159937821|6.2477303310000005|11.12358659|0.780420408|81.38261354|-348.2299886|23.96047156|0.012803096|-346.0738521|814.6560331000001|6.514715538|1.0|1.0|3.13|2.65|-7.48|4.96|4.66|2.37|1.0|0.0|95.5|0.0|2.0|-5.53|23.0|338.81|0.0|1.0|-4.93|1.0|0.0|0.0|1.11e-05|-0.0720399999999999|3.57|3.2102|-1731.72355|537.32|386.22|0.4062|386.22|393.58|0.69481|0.69481|0.4062|3.8077|0.02878063|4.8815|23.0|7.6383|7.6383
14h_a23|0.0|1|1|0.0|0.0|2|0|0|1.197963488|3.309480899|-0.005921293|0.006191846|-0.307907256|0.009895793|-0.024318144|10.31321773|-0.034313725|2|2|0.009266617|0.060820238|-0.0686282459999999|-0.131709531|-0.4460845129999999|0.708395022|0.143102066|0.021982565|-54.6468131|14.81983413|0.076569426|51.620282|-0.033774476|9.990985411|0.753100584|-29.00823506|-22.76950546|57.84834575|0.48032488|3010.418229|622.5428245|-1092.936262|-15.35036053|0.246899416|7.833334036|15.0735214|0.924279155|166.45047749999998|-736.8173055999999|30.23434844|0.018981866|-341.2621515|1451.248725|12.79687369|0.0|1.0|3.47|3.2|-7.47|3.4|3.89|2.39|1.0|1.0|125.0|0.0|5.0|-5.68|32.0|436.49|0.0|0.0|-4.9|0.0009109999999999|0.0|0.0|1.4800000000000002e-05|-0.08532|3.29|3.6689|-1722.148272|699.86|337.93|0.3424|306.09|569.53|0.67365|0.69933|0.2727|9.7146|0.02796857|13.4823|5.0|8.3468|8.3468
1c_a5|0.0|0|0|2.955525321|0.0|0|0|0|1.424607938|0.0|-0.001983746|-0.006491037|-0.085301064|0.008031558|-0.228971551|10.9433337|-0.058823529|1|1|0.007357977|-0.133677441|0.034752304|0.0578378779999999|-0.20172074|0.71274658|0.128385959|0.008349498|-35.99212225|4.27195187|0.11368581|58.16640976|-0.0281385329999999|2.185709046|0.753027268|-17.81716094|-14.3968489|39.09545876|0.476413155|2105.8969850000003|453.4753671|-575.8739559999999|-7.366029352999999|0.246972732|6.063350238|11.580409800000002|0.909902834|126.3615674|-294.64117410000006|19.11862892|0.0153811389999999|-258.918642|764.7451566000001|7.869633359|1.0|1.0|2.78|2.09|-8.41|4.99|4.51|2.13|0.0|0.0|95.45|0.0|3.0|-4.25|24.0|312.37|1.0|1.0|-4.45|0.0174|0.0|0.0|1.21e-06|-0.03965|3.17|4.5088|-990.5931502|556.84|274.99|271.0|254.15|410.52|0.4444899999999999|0.53838|0.1076|1.7105|0.029157178|2.6801|3981.0|5.4|5.4
16b_a32|-3.3094926630000003|1|1|3.2902303|0.0|0|0|0|0.2980105389999999|0.0|-0.008469352|-0.3723824429999999|-0.423467596|-0.008277865|-0.018753196|10.31100078|-0.0657820279999999|3|3|-0.00180101|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0.745820612|0.056127969|0.015808858|-69.39772428|10.12961779|0.253462496|162.40756509999997|-0.0345657579999999|6.490611388|0.7476362679999999|-36.42406481|-22.14820988|66.97508778|0.414997448|3037.795494|478.3482386|-1040.965864|-14.19159402|0.252363732|6.466656381|11.05406524|0.709394251|161.7035261|-667.0049190000001|29.62431176|0.017136832|-317.3487516|1392.342653|10.98052464|0.0|2.0|3.71|2.48|-7.6|5.4|4.88|0.41|1.0|0.0|114.43|1.0|7.0|-6.28|28.0|433.57|0.0|1.0|-4.55|0.000225|0.0|0.0|1.1e-05|-0.05946|6.37|3.6211|-2315.951437|676.92|342.39|0.2849|342.39|567.01|0.70233|0.70233|0.2849|4.4055|0.03900066|7.0093|17.0|7.7696|7.7696
6c_a31|0.0|0|0|3.423005244|0.0|0|1|1|0.6101347220000001|0.0|-0.015192833|-0.151732713|-0.790027307|-0.009477764|-0.00219333|10.31169965|-0.107687565|2|2|-0.00668344|0.2301743489999999|-0.0055763209999999|-0.009333123|-0.582545668|0.831901219|-0.078059285|0.03173578|-79.97295595|20.09112958|0.358802727|227.1490414|-0.044739967|12.71919216|0.7653239190000001|-48.45681657|-28.32375523|96.63311186|0.4463376229999999|2837.949799|405.9259734|-1359.540251|-17.93106176|0.234676081|8.102804662|14.63492011|0.8061548709999999|148.5675636|-860.6909647|37.00884624|0.0212421629999999|-335.9398876|1776.424619|13.44788285|1.0|2.0|3.67|3.13|-7.72|5.58|4.26|1.58|2.0|0.0|114.5|0.0|5.0|-6.09|30.0|418.47|0.0|1.0|-4.94|0.000343|0.0|0.0|7.9e-06|-0.0581799999999999|5.08|3.2974|-1691.948653|667.01|376.01|0.5028|376.01|524.56|0.7014699999999999|0.7014699999999999|0.5028|5.9253|0.03620884|8.8847|0.34|6.4685|6.4685
15_a3|0.0|0|0|0.0|0.0|0|1|1|0.619596467|0.0|-0.006742751|-0.092127078|-0.289938297|-0.006419472|0.126641951|10.33806279|0.021805556|0|0|-0.004459728|-0.325227172|-0.022386155|-0.039798975|-0.505519936|0.968837995|-0.103599654|0.007901554|-55.08588323|4.04445331|0.221091166|113.1667185|-0.037667|2.070175472|0.850327497|-24.19332693|-19.28005913|51.31038923|0.461565365|2116.88728|398.6887321|-771.2023653|-9.868603355|0.149672503|5.371119692000001|9.975434973|0.85723565|76.61068671|-394.7441342|22.67368656|0.010200078|-358.6340772|906.9474625|5.220965278|1.0|1.0|4.12|0.0|-5.78|2.21|1.56|0.96|0.0|0.0|94.29|0.0|2.0|-2.77|23.0|321.4|0.0|0.0|-3.02|547.0|0.0|0.0|0.000535|-0.06319|2.33|3.7072|-1328.665275|553.81|334.44|0.4107|206.37|398.12|0.2843199999999999|0.67902|0.0173|1.9539|0.0228507|2.3271|25.0|7.6021|7.6021
12c_a36|0.0|0|0|3.447900368|0.0|0|2|2|1.29696741|0.0|-0.007667703|-0.04162109|-0.414055975|0.0005016269999999|-0.0621599059999999|10.95982545|-0.056994595|1|1|0.0010871589999999|0.146546059|-0.103922055|-0.177407665|-0.4423430339999999|0.8941919290000001|-0.033217921|0.019582215|-67.84435546|12.5779546|0.159266488|102.2992907|-0.038024893|8.079011794|0.75500974|-30.27053327|-24.42396797|59.70517794|0.473610011|2785.47514|540.0159387|-1221.198398|-15.68788659|0.24499026|6.772454418|12.86584957|0.899732176|157.3609748|-784.3943293|32.34920911|0.019278991|-327.5932797|1617.460455|12.38318928|0.0|2.0|4.74|0.0|-7.18|3.35|2.54|2.51|1.0|0.0|128.76|0.0|5.0|-4.44|30.0|415.88|1.0|1.0|-4.59|0.0151|0.0|0.0|2.77e-05|-0.04992|3.79|3.8436|-1692.511019|672.74|322.58|0.3927|322.58|509.61|0.68913|0.68913|0.3927|4.9812|0.02977602|6.6973|9.0|8.0458|8.0458
5_a27|0.0|0|0|0.0|0.0|2|0|0|1.4026035369999998|3.2927747860000003|-0.0063562359999999|-0.068518519|-0.286030638|0.00991794|-0.125237927|10.93772408|-0.013448351|1|1|0.010329671|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|0.639413469|0.180356685|0.01695771|-44.83538435|8.936508815|0.146821224|77.37301579999999|-0.030385206|4.709432444|0.741481472|-15.54640123|-16.01263727|38.43699603|0.439066197|2273.906133|449.6149323|-672.5307653|-8.438466859|0.258518528|6.160679036|10.98289851|0.7827415529999999|136.2361487|-354.41560810000004|21.59546513|0.016479312|-254.5156507|907.0095354|8.684398894|0.0|0.0|3.07|3.11|-6.22|2.94|2.8|2.66|0.0|0.0|97.55|0.0|2.0|-3.61|25.0|331.37|1.0|1.0|-4.01|0.0821|0.0|0.0|0.0002|-0.04554|4.9|4.0989|-1083.124207|566.68|302.48|0.2448|302.48|463.87|0.64548|0.64548|0.2448|2.3781|0.01903872|3.5632|3.0|8.5229|8.5229
