molecula|SddssS|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA5|PBF|PNSA3|PPSA3|RPSA|TPSA_x|WNSA5|RPCS|FNSA1|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomRadius|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
16a_a32|0.0|1|3.357452523|0|7.765993078999999|0|0|0.6094207620000001|0.205693867|-0.0848387459999999|0|0.03995614|-0.053745649|-0.008098765|10.31100271|-0.058518519|3|3|-0.005552127|-0.0999399409999999|-0.107321286|-0.707456102|0|0.859696525|0.8567078770000001|-0.098258706|0.909908319|0.81143469|0.756542831|-0.119471489|0.283324612|-56.2527503|12.86051026|0.2434571689999999|151.5123947|-46.27170107|66.13699638|0.6968200370000001|69.11326055|0.450892763|2615.514164|2992.60858|0.303179963|7.183246604|188.6800971|-647.803815|33.19592405|0.023475264|-244.9767673|532.685565|14.6095244|1.0|0.0|1.0|3.53|2.66|19.0|-7.3|3.79|152.07|0.88|1.0|0.0|108.86|1.0|1.0|7.0|-5.49|4.0|0.0|1.0|-4.04|9.14e-05|0.0364|2.65|0.0|0.0|5.04e-08|-0.0567299999999999|3.6314|3.6314|-1896.81177|664.67|341.42|341.42|535.63|0.70245|0.70245|-1896.589348|1.3736|-0.20718|0.04088655|-1896.649286|1.8274|7.9586
47l_a18|0.0|0|0.0|0|7.03438793|1|1|1.251176792|0.0340353029999999|-0.0603838109999999|0|0.035308642|-0.0057783619999999|-0.00046896|10.94702063|-0.056270425|0|0|0.000787517|-0.008768679|-0.103458566|-0.4925232479999999|0|0.7452092359999999|0.7435044540000001|-0.0973326269999999|0.781148177|0.733228144|0.803473313|-0.083884237|0.2820044969999999|-57.15119372|6.543729374|0.196526687|139.7861865|-42.43906517|51.44279524|0.796109347|63.6949231|0.4897655489999999|2852.093627|1427.032023|0.203890653|9.423637134|145.02405359999997|-1018.537564|28.10487315|0.012890098|-421.235376|931.8364349|9.168513486|1.0|1.0|1.0|4.17|0.0|18.0|-9.37|3.19|85.29|2.94|3.0|1.0|139.63|0.0|1.0|9.0|-5.26|3.0|0.0|0.0|-4.84|1.4499999999999998e-05|0.0066099999999999|3.78|0.0|0.0|4.26e-10|-0.0520399999999999|3.2026|3.2026|-1455.5758039999998|764.74|387.13|387.13|667.5|0.69291|0.69291|-1455.165122|2.4594|-0.18344|0.02606651|-1455.233431|3.3864|7.4949
GW6604_a52|0.0|0|2.944144148|0|6.605297921|0|0|1.427583999|-0.277102285|-0.005328809|2|0.021346801|-0.0778992459999999|0.007746755|10.94914378|-0.028376521|1|1|0.0070554269999999|-0.131886693|0.039867344|-0.201462112|2|0.709088617|0.693399445|-0.057466653|0.7550228990000001|0.689009112|0.87346455|-0.072069252|0.38374044|-35.51891876|4.459510077|0.12653545|62.55188751|-17.61190876|0.2386028039999999|0.73529506|39.97842884|0.4597869779999999|2044.612273|799.8313017999999|0.26470494|6.2973559020000005|130.8549791|-264.17863140000003|19.64292268|0.01768964|-232.6328342|359.1060668|8.744745933999999|1.0|1.0|1.0|2.68|1.76|23.0|-8.03|4.2|54.46|1.91|0.0|0.0|90.49|0.0|1.0|3.0|-3.87|3.0|1.0|1.0|-4.16|6.929999999999999e-05|0.0207|3.06|0.0|0.0|9.31e-09|||||||||||||||||6.9706
12ak_a36|0.0|0|3.501132553|0|7.412764017000001|2|2|1.270373882|-0.052930979|-0.0407717229999999|2|0.041728395|0.12041792|0.0042553209999999|10.95268014|-0.015708652|1|1|0.005035022|0.198260132|-0.099596099|-0.439326642|1|0.901715152|0.815627016|-0.0265703679999999|0.860939187|0.860667615|0.848705143|-0.091761476|0.537460657|-49.87483724|14.3700664|0.151294857|109.0807368|-47.69888026|25.9007405|0.737439195|64.24490364|0.423822657|2830.816014|2735.7986920000003|0.262560805|7.98672125|189.3013851|-1001.676485|31.93194362|0.018055095|-342.3783571000001|799.5563855|13.01738243|1.0|0.0|1.0|5.05|0.0|17.0|-7.38|3.01|69.2|2.66|2.0|0.0|138.33|0.0|1.0|6.0|-4.95|4.0|1.0|1.0|-4.86|1.39e-05|0.00589|3.8|0.0|0.0|4.2e-08|-0.04929|3.8734|3.6895|-1350.900117|730.3|336.05|320.09|584.05|0.69463|0.7034699999999999|-1350.57563|6.3682|-0.20204|0.03471045|-1350.637958|8.5394|7.3372
9_a3|0.0|0|0.0|0|6.823286122000001|0|0|0.605017128|0.187952252|-0.100592457|1|0.034166667|-0.126542538|-0.004918099|10.31162238|0.023606557|1|1|-0.003863265|-0.216450234|0.083014843|-0.614170287|1|0.923357627|0.6729843740000001|0.042154567|0.7327715159999999|0.865283439|0.84649775|-0.083555008|0.506753484|-44.74600478|3.469130065|0.15350225|72.17854599|-18.47392835|72.50764604|0.886859678|48.21513485|0.413418346|2017.0704920000005|1383.145159|0.1131403219999999|5.004834198999999|53.19989715|-295.5828535|20.25176593|0.008976383|-363.8118546|349.6957191|4.220799781|1.0|1.0|1.0|3.1|2.44|21.0|-7.26|4.62|80.04|2.42|1.0|0.0|92.69|0.0|1.0|2.0|-5.53|2.0|0.0|1.0|-4.9|1.25e-05|0.00379|4.14|0.0|0.0|5.5e-08|-0.03999|5.8185|3.7356|-1256.087705|512.44|331.9|213.09|350.27|0.3639699999999999|0.6724600000000001|-1255.9558029999998|2.0863|-0.19833|0.0242342|-1256.002529|2.6661|4.96
37_a18|0.0|0|0.0|0|7.03438793|2|2|1.251176176|-0.0013530679999999|-0.018808538|1|0.036746032|-0.018268775|0.002300582|10.94702064|-0.011713125|0|0|0.003512954|-0.0276034839999999|-0.1483628609999999|-0.44541772|0|0.7100921609999999|0.725028151|-0.020149364|0.761336899|0.699483099|0.831783747|-0.074857954|0.385121249|-50.09028298|6.653112344|0.168216253|123.0060763|-40.02719655|60.1335413|0.7648766029999999|56.74339533|0.488368082|3055.795406|1571.7484060000002|0.2351233969999999|9.460456975|171.9311063|-1040.70711|27.36337253|0.0142451319999999|-387.3755475|1056.535856|10.41657856|0.0|1.0|1.0|4.31|0.0|18.0|-8.82|3.3|76.5|3.33|2.0|1.0|151.14|0.0|1.0|7.0|-5.68|3.0|1.0|0.0|-5.47|3.35e-06|0.00161|4.36|0.0|0.0|1.51e-09|-0.04925|3.2127|3.2127|-1532.997117|794.5|385.91|385.91|673.45|0.69305|0.69305|-1532.553949|2.2872|-0.18119|0.02274574|-1532.622404|3.0375|7.4559
12u_a36|0.0|0|3.508898495|0|7.412764017000001|2|2|1.270259304|-0.054501792|-0.0407717229999999|2|0.042560386|0.033763276|0.0042553209999999|10.95266014|-0.010669561|1|1|0.005035022|0.055588998|-0.099596099|-0.438988314|1|0.901715152|0.8101678720000001|-0.018047007|0.855176759|0.860667615|0.842227829|-0.0969881059999999|0.3765068079999999|-50.53295452|12.27663887|0.157772171|109.8080843|-46.98143813|5.944854912|0.77938748|62.80959338|0.486156325|2831.106839|2455.7556010000003|0.22061252|7.65672775|153.5444314|-986.6102007|30.82735404|0.015171583|-388.9026034|799.5563855|10.55929252|1.0|0.0|1.0|5.05|0.0|17.0|-7.38|3.01|69.2|2.66|2.0|0.0|138.33|0.0|1.0|6.0|-4.95|4.0|1.0|1.0|-4.86|1.39e-05|0.00589|3.8|0.0|0.0|4.2e-08|-53.0|3.8847|3675.0|-1350.8981130000002|739.12|337.37|319.16|590.18|0.69258|0.70272|-1350.575382|5.8702|-0.20409|0.03260752|-1350.638138|7.8877|7.7959
11g_a5|0.0|0|2.9590700880000003|1|7.139660336|0|0|1.388236041|-0.204002571|0.009272269|2|0.020943152|-0.083337229|0.00599982|10.94877951|-0.007175378|2|2|0.006964153|-0.14133011|-0.137739838|-0.267507083|2|0.777565622|0.814159231|-0.01453517|0.8737292720000001|0.73551511|0.837943738|-0.076326887|0.396049407|-44.19305139|15.25675|0.1620562619999999|106.4990972|-32.96383785|0.0|0.543581314|59.4498014|0.485790997|2823.738452|935.4227938|0.456418686|9.342496899|299.94631180000005|-560.3852433999999|30.75897687|0.03204398|-57.28097817|648.1198739|21.05845771|1.0|1.0|1.0|3.17|2.34|28.0|-9.04|4.48|81.51|1.06|1.0|0.0|118.35|0.0|1.0|7.0|-4.12|5.0|0.0|0.0|-4.31|4.88e-05|0.0199|2.75|0.0|0.0|9.229999999999999e-10|-0.04322|4.5106|4.2083|-1330.189793|693.48|294.62|274.87|542.13|0.56924|0.63081|-1329.927772|3.2282|-0.2146199999999999|0.04557484|-1329.988893|4314.0|7.5229
5_a27|0.0|0|0.0|2|6.823286122000001|0|0|1.4026035369999998|0.126882432|-0.068518519|2|0.048947368|-0.149034787|0.00991794|10.93772408|-0.013448351|1|1|0.010329671|-0.250776983|-0.2030237389999999|-0.4982037479999999|2|0.639413469|0.760083119|-0.020087122|0.8149212259999999|0.614205449|0.8531787759999999|-0.085078576|0.333977277|-29.50048722|8.936508815|0.146821224|77.37301579999999|-23.6277072|56.35994804|0.741481472|38.43699603|0.439066197|2273.906133|1254.531539|0.258518528|6.160679036|136.2361487|-354.41560810000004|21.59546513|0.016479312|-254.5156507|424.8821143|8.684398894|0.0|0.0|1.0|3.07|3.11|21.0|-6.22|2.8|65.6|2.66|0.0|0.0|97.55|0.0|1.0|2.0|-3.61|4.0|1.0|1.0|-4.01|9.78e-05|0.0324|2.58|0.0|0.0|6.04e-07|-0.04554|4.0989|4.0989|-1083.143246|566.68|302.48|302.48|463.87|0.64548|0.64548|-1082.967639|2.3781|-0.21506|0.01903872|-1083.019748|3.5632|8.5229
9c_a31|0.0|0|3.410619646|0|7.765993078999999|1|1|0.610135804|0.031715924|-0.055520387|0|0.03482906|-0.0384827639999999|-0.003618466|10.311698300000002|-0.062737615|2|2|-0.000813398|-0.062065125|-0.138799714|-0.546598398|0|0.8083148840000001|0.842823186|-0.108617754|0.8856644770000001|0.770283733|0.6746901059999999|-0.128097622|0.287455956|-65.84728287|19.30758668|0.325309894|207.3144829|-52.02424796|552.8237349999999|0.670716706|85.15486955|0.4558841429999999|2592.448925|2242.189942|0.329283294|8.188627935|209.8466636|-728.3394714|34.07943198|0.024456662|-217.5897278|583.9691392000001|15.58581614|1.0|1.0|1.0|3.66|3.09|16.0|-7.24|3.7|117.37|1.08|2.0|0.0|108.16|0.0|1.0|8.0|-5.23|5.0|0.0|1.0|-4.16|6.94e-05|0.0277|3.1|0.0|0.0|5.79e-08|-0.03249|3849.0|3849.0|-1618.157698|691.3|322.12|322.12|588.58|0.7007399999999999|0.7007399999999999|-1617.892493|1.3617|-0.19224|0.04177078|-1617.9568470000002|2.2323|6.3768
