molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|JGI4|SaaaC|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|BIC2|MATS8d|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3a_a49|0|0.0|1|7.535296702|1|2.09865947|-0.006374689|-0.072328354|0.0355787039999999|1.819785|1|1|0.000521532|-0.074886415|-0.421478185|0.8145214209999999|0.008391259|0.7476073409999999|-0.088484274|0.526915193|0.016205613|-55.30832478|-0.030698626|-30.35026007|5.558553447|59.40691577|0.689774813|64.2037853|-17.97906469|2599.121578|426.893216|-880.9741697000001|1793.526571|6.566343333|12.49907878|5792.106924000001|181.6875706|26.06512204|0.021141449|-222.2883651|0.0|1.0|0.0|1.0|2.0|3.25|2.11|0.18|21.0|2.77|1.04|1.0|0.0|0.0|1.0|5.0|-3.06|-7.67|0.0|0.0|1.0|2.02|-3.3|0.000878|0.3379999999999999|193.0|1.38|0.0|0.0|6.52e-08|-0.05732|5.1647|3.16|-1254.012043|-1253.973708|635.89|1082.21|320.04|0.3467|0.53794|0.66614|-1253.756918|0.0793|-0.15978|3801.0|-0.2171|0.03833529|-1253.8126619999998|4.2593|64.0|7.1938|7.1938
11c_a5|0|0.0|0|6.605297921|0|0.0|-0.004590583|-0.050049777|0.027388889|0.0|1|1|0.005383056|-0.138950411|-0.269653478|0.8020105409999999|-0.044126759|0.658307423|-0.0873419269999999|0.389427402|0.01785211|-47.99592739|-0.0322785379999999|-32.31269264|6.604499968|4.089828494|0.707039635|66.02857181|-19.63310772|2497.685314|489.4652669|-903.1229552|926.234805|8.88462927|16.09582374|5202.741647999999|178.1902995|27.76804404|0.021214793|-251.8596984|1.0|1.0|1.0|1.0|1.0|2.96|2.14|0.09|23.0|4.79|1.13|1.0|0.0|0.0|1.0|6.0|-4.13|-6.59|0.0|0.0|1.0|3.0|-4.1|7.38e-05|0.0273|0.0294|2.78|0.0|0.0|3.4000000000000003e-09|-0.04315|4.5035|4.53|-1218.492067|-1218.454079|636.14|1071.71|294.59|0.5327|0.60118|0.6267699999999999|-1218.278135|0.2186|-0.1713299999999999|2.5278|-0.21448|0.03798847|-1218.336116|3.3827|25.0|7.6021|7.6021
14e_a23|1|-4.45581912|2|7.423568444|0|3.052208981|-0.008865361|-0.272389934|0.044241453|0.650989437|2|2|0.001951778|0.072830644|-0.5232404310000001|0.791790895|-0.014216155|0.5415996160000001|-0.089453046|0.267882223|0.018022127|-51.07141556|-0.03935934|-43.33511299|8.73073591|0.5612316039999999|0.796525872|74.75779594|-27.39493099|3255.313968|644.0923882999999|-1369.74655|2428.874279|8.020794334|15.89643482|7663.17288|141.6222839|34.39302091|0.017954325|-412.7765217|0.0|0.0|1.0|1.0|1.0|3.54|3.62|0.09|26.0|4.42|3.82|2.0|1.0|0.0|1.0|6.0|-6.38|-6.06|1.0|0.0|0.0|4.5|-5.79|4.1200000000000004e-07|0.000198|0.000773|4.46|0.0|0.0|5.94e-09|-0.08122|3.7033|4.2|-1966.96594|-1966.943431|706.39|1209.58|334.8|0.3178|0.63922|0.63922|-1966.720803|0.3178|-153.0|3.7696|-0.2342199999999999|0.02250947|-1966.785007|5.5469|3.0|8.5214|8.5214
15c_a10|0|0.0|1|7.535296702|2|2.154210861|-0.002218445|0.040869377|0.034807692|2.063253638|1|1|0.012271987|-0.101214571|-0.1742732839999999|0.7351096359999999|0.022187689|0.733973277|-0.072537853|0.418835517|0.014703076|-32.5870313|-0.019267867|-34.91899195|7.077912953999999|136.2098503|0.528228415|66.5866765|-13.36848349|3012.018586|627.5338454|-855.5829431|1817.047455|8.639636218|15.6886947|6673.826433|327.3258326|25.30814911|0.023432886|-39.17102961|0.0|1.0|1.0|1.0|0.0|3.85|4.09|0.37|21.0|3.77|1.74|1.0|0.0|0.0|1.0|6.0|-3.85|-6.99|0.0|1.0|0.0|3.1|-4.57|0.0001419999999999|0.0646|0.0122|2.94|0.0|0.0|1.6100000000000002e-08|-0.04724|5.5913|2.2|-1450.241475|-1450.500669|762.21|1318.35|337.75|0.3939999999999999|-0.26999|0.70511|-1450.139335|0.0|-0.14739|2.4256|-0.19463|-0.25919486|-1450.201574|4.8283|0.1|7.0|7.0
GW6604_a52|0|0.0|0|6.605297921|0|0.0|-0.002149879|-0.005328809|0.021346801|0.0|1|1|0.0070554269999999|-0.131886693|-0.201462112|0.693399445|-0.057466653|0.689009112|-0.072069252|0.38374044|0.009021088|-35.51891876|-0.029217264|-17.61190876|2.204526664|0.2386028039999999|0.73529506|44.37166117|-14.44334401|2044.612273|431.7909048|-534.4037285|799.8313017999999|6.2973559020000005|11.6571716|4168.525878|130.8549791|19.64292268|0.01768964|-232.6328342|1.0|1.0|0.0|1.0|1.0|2.68|1.76|0.0|23.0|4.49|1.91|0.0|0.0|0.0|1.0|3.0|-3.87|-5.95|0.0|1.0|1.0|3.08|-4.16|0.000135|0.0402|0.0207|3.06|0.0|0.0|9.31e-09||||||||||||||||||||107.0|6.9706|6.9706
32_a47|1|0.0|1|6.842683282|1|1.998170616|-0.003573735|0.000921003|0.035568182|1.6507707980000002|1|1|0.002350172|-0.0274939029999999|-0.2749014|0.810444864|-0.078006445|0.634406338|-0.0726950079999999|0.266433793|0.019295804|-41.57905445|-0.026060474|-37.74862456|10.01980854|44.50423685|0.64116122|68.76811937|-18.77935151|2808.210157|613.6886524|-995.3056298|2255.632049|8.656942728999999|15.53902041|6235.398576|258.5816152|29.28959351|0.022735861|-203.4434306|1.0|1.0|0.0|1.0|2.0|3.35|3.67|0.26|21.0|4.18|3.11|2.0|0.0|0.0|1.0|5.0|-4.81|-6.34|0.0|0.0|1.0|3.94|-5.05|1.5399999999999998e-05|0.00674|0.0038799999999999|3.7|0.0|0.0|1.5e-09|-0.05682|4.9046|2.97|-1778.127634|-1778.0970140000002|692.49|1184.76|336.65|0.2969|0.48011|0.68986|-1777.843462|0.2839|-0.1509599999999999|4.8234|-0.20778|0.03062031|-1777.90286|6.3139|0.1|7.0|7.0
8_a47|0|0.0|0|7.252053952000001|0|0.0|-0.007835945|-0.099564745|0.0363475179999999|1.335354131|0|0|-0.007648516|-0.177626636|-0.4497577479999999|0.7847248109999999|-0.223459904|0.659210804|-0.091482011|0.517797505|0.008687692|-44.09728708|-0.035797309|-30.83488674|2.928269795|0.0|0.819702033|60.62152862|-20.78278301|2621.772106|493.3419136|-956.0080185|2217.264922|6.492934319|11.08581716|6219.278078|104.6752861|25.35407034|0.012935553|-371.2177396|1.0|1.0|0.0|1.0|2.0|3.02|3.21|0.13|22.0|5.67|3.9|2.0|0.0|0.0|1.0|4.0|-6.59|-4.79|1.0|0.0|1.0|5.03|-6.19|2.56e-07|0.000104|0.000263|5.61|0.0|0.0|5.62e-10|-0.05495|3.6696|4.91|-1686.068471|-1686.0356350000002|621.06|1071.62|337.87|0.2249|0.6877800000000001|0.6877800000000001|-1685.8518170000002|0.2249|-0.15357|3585.0|-0.2085199999999999|0.03283575|-1685.908004|4.6281|0.05|7.3|7.3
9h_a24|0|0.0|1|7.153833802|0|1.726213624|-0.002864393|2.01e-05|0.023854167|0.0|2|2|0.012380829|0.144624936|-0.207206943|0.78742035|-0.004960317|0.656172477|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-0.026280957|-15.35662744|4.123788393|1.773520599|0.572371258|47.51520531|-12.42226332|2062.34011|417.7355164|-422.3569529|768.1954692|5.805547147|11.11300329|4170.098082|202.1279819|21.70315707|0.031789952|-68.41568372|1.0|0.0|0.0|1.0|1.0|2.84|1.96|0.0|22.0|2.42|1.07|0.0|0.0|0.0|1.0|3.0|-2.83|-6.85|0.0|1.0|1.0|1.97|-3.24|0.00147|423.0|166.0|1.7|0.0|0.0|8.95e-07|-0.0435399999999999|5.1739|1.16|-945.2642633|-945.2337612|506.68|831.92|285.43|0.3844|0.54606|0.61928|-945.153352|0.0073|-0.18239|5.6654|-0.22593|0.0305020989999999|-945.200628|7.7741|77.0|7.1135|7.1135
3f_a32|1|0.0|0|7.773594467000001|0|0.0|-0.00611496|-0.0434359079999999|0.042380952|2.227330929|3|3|0.002565215|-0.112493266|-0.5487283829999999|0.820782305|-0.1743238839999999|0.786074011|-0.097374443|0.3217719189999999|0.011897886|-41.40131823|-0.030139709|-30.95210106|3.78194259|0.0|0.78919828|61.47296003|-16.99267001|2273.466801|492.7734095|-713.6921402|2130.756016|6.153728636|10.89495051|4993.667711|118.8493262|21.53155987|0.011659458|-326.0981041|1.0|1.0|1.0|1.0|1.0|3.9|3.31|0.28|19.0|7.18|2.18|2.0|0.0|0.0|1.0|4.0|-6.89|-5.03|0.0|0.0|1.0|4.63|-5.4|1.28e-07|4.53e-05|0.0014|4.83|0.0|0.0|4.89e-08|-0.05315|3.5569|3.92|-1712.0610190000002|-1712.034952|604.9|1006.92|348.58|293.0|0.70255|0.70255|-1711.863611|293.0|-0.1474599999999999|3.4678|-0.2006099999999999|0.02606687|-1711.9193289999998|5.7161|9.0|8.0458|8.0458
7f_a8|0|0.0|1|7.05012252|0|1.2793830309999998|-0.005338193|-0.073219554|0.044814815|0.0|1|1|0.00084936|0.09329746|-0.381574707|0.7051689170000001|0.041366689|0.507325475|-0.08790841|0.3155671539999999|0.0138113419999999|-52.28313554|-0.040738044|-28.45850692|4.471132824|55.49953831|0.880922225|55.85651025|-23.17880348|2534.956113|438.23883319999993|-950.3309426|1854.738581|7.704280774|14.04331892|5662.145174|67.75191165|26.31197491|0.010262531|-433.4681077|1.0|0.0|1.0|0.0|1.0|3.14|3.23|0.0|23.0|5.52|4.27|2.0|0.0|0.0|1.0|3.0|-5.68|-5.27|0.0|0.0|1.0|4.63|-5.5|2.09e-06|0.00078|0.00118|4.66|0.0|1.0|3.5e-09|-0.07492|3.8187|6.81|-1285.196168|-1285.168078|584.99|991.61|356.17|0.3536|0.7024199999999999|0.6987399999999999|-1285.017838|0.1502|-0.14506|8.7098|-0.21998|0.02809022|-1285.071664|11.6137|35.65|4.4479|4.4479
