molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|ATSC1c|MATS8i|AATSC8d|AATSC7i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|IC50|pIC50
15c_a22|0.0|0|0|0|0.0|1|6.842683282|0|1.42291727|-0.134137693|4.727387819|-0.018518519|-0.298463715|-0.023927419|0.006275578|-0.047249795|-0.364626967|2|0.667111824|0.773044788|0.010828071|0.8353837409999999|1|0.8665852140000001|-0.067475429|0.615901609|0.024561528|-48.58045253|-57.66130245|36.22825261|0.133414786|-0.0302219629999999|-41.51455167|12.731723|78.22334636|-1.60176404|75.52188549|66.26407672|0.462157867|3079.491787|2092.620825|0.338224886|8.626398368|16.03890406|0.859281634|6882.442370999999|243.5126145|32.87972244|0.0248073129999999|-232.9472639|1742.625289|731.8178649|17.86058304|0.0|1.0|1.0|0.08|-9.28|109.38|1.08|0.0|128.77|0.0|6.0|-4.86|34.0|-6.96|0.0|2.98|-4.62|1.39e-05|0.00618|0.0107|2.9|0.0|5.269999999999997e-10|4.79|3674.0|-1460.602657|-1460.571156|715.42|1241.07|337.46|0.5082|575.8|0.30831|0.0694|-0.15408|-1460.387718|737.0|6.1325
12t_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.60498454|0.073057637|5.351858133|-0.097216874|-0.411045472|-0.0682882559999999|-0.04950715|-0.158448053|-0.464720444|1|0.609043558|0.83236194|-0.080971844|0.889479916|0|0.696413582|-0.090535776|0.408290036|0.018862708|-58.89093185|-65.79920855|88.42093081|0.303586418|-0.037159417|-42.80050261|7.981057356|0.0|-1.82081145|78.8278828|71.1605835|0.445760296|2976.648597|2479.787504|0.254294117|7.957774504|14.358001500000002|0.804273481|6617.834146|165.4110479|32.41376848|0.020029588|-319.6492937|1588.274656|616.2856203|13.02867425|1.0|1.0|0.0|0.14|-7.16|81.65|3.58|0.0|127.19|0.0|5.0|-5.49|31.0|-6.06|0.0|3.21|-5.17|3.24e-06|0.00141|0.00291|4.07|0.0|6.900000000000002e-08|4.32|3.5457|-1774.2421780000002|-1774.208418|677.85|1139.2|349.67|0.2094|527.87|0.33647|0.1561|-0.15029|-1774.077985|9.0|8.0496
12al_a36|0.0|1|0|0|3.469383582|0|7.412764017000001|2|1.297043737|-0.06777947|5.351858133|-0.04314418|-0.4908576189999999|-0.074215038|-0.031635802|0.172830414|-0.404703593|1|0.8913597320000001|0.8344566859999999|-0.055405405|0.885733922|0|0.801179217|-0.077842923|0.2689491989999999|0.026927826|-51.22331485|-69.69632923|114.2305891|0.198820783|-0.035305316|-45.86257662|11.65999569|0.0|-1.906487074|86.77628559|68.94274882|0.456856406|2843.740855|2244.88081|0.328915355|8.774664332|16.15533063|0.841133748|6049.668466|216.4375922|34.61874732|0.025956027|-225.1591357|1869.412355|679.7230552999999|17.07995636|1.0|1.0|0.0|0.17|-6.69|78.43|1.72|0.0|130.24|0.0|6.0|-3.95|31.0|-6.93|0.0|1.81|-4.07|0.000113|0.0464|35.0|2.65|1.0|2.03e-07|2.92|3.5511|-1347.479819|-1347.445127|702.95|1181.84|349.14|0.4466|554.23|0.6945399999999999|0.0095|-0.14558|-1347.257936|48.0|7.3188
12e_a40|0.0|0|0|0|0.0|1|7.515889085|0|0.604990524|0.061944605|5.4161004020000005|-0.262526337|-0.556620974|0.130516751|-0.192362496|0.292184471|-0.520457262|0|0.889386453|0.788800541|-0.279310345|0.858770467|1|0.7798787840000001|-0.132226452|0.284429447|0.015096495|-71.78145688|-66.68049019|206.0119599|0.220121216|-0.048387621|-36.19867792|4.4490161310000005|0.0|-1.596791495|78.14505956|79.97685498|0.491465612|2391.0322170000004|694.2415706|0.209181178|8.014314957|15.75963228|0.966435355|5478.52313|113.5576846|33.21629575|0.021118537|-315.75223450000004|1096.13776|348.3847394|11.46456937|1.0|0.0|0.0|0.0|-6.04|98.89|2.93|0.0|95.8|0.0|2.0|-6.53|24.0|-5.26|0.0|3.98|-5.64|2.98e-07|0.000113|0.00086|4.72|0.0|9.14e-07|4.66|3.0253|-2248.276958|-2248.244231|552.91|918.38|409.82|0.4494|445.12|0.6826|284.0|-0.12616|-2248.206714|1.17|5.9318
15b_a10|0.0|0|0|0|0.0|1|7.535296702|1|1.3438370730000002|-0.197213588|5.4161004020000005|0.024214591|-0.149607679|-0.082365722|-0.058911857|-0.175869992|-0.195505087|2|0.744213612|0.791078367|-0.104250125|0.83320417|1|0.921918974|-0.046334564|0.697099355|0.015973068|-31.76194123|-50.44100799|43.96642219|0.078081026|-0.024105015|-34.57687319|7.505718446|118.6253241|-1.398090862|62.53159836|42.7113409|0.414077981|2716.468606|2603.829652|0.329763626|6.6940006620000005|11.42472965|0.706711759|6105.426726|226.0501037|24.65365821|0.017637846|-233.3911134|1429.912176|766.4127559|12.09059037|0.0|1.0|1.0|0.32|-8.18|56.07|2.14|0.0|123.73|0.0|7.0|-4.35|31.0|-6.34|0.0|3.66|-4.64|4.46e-05|0.0185|0.00943|3.49|0.0|6.609999999999999e-09|2.74|3.7625|-1317.766641|-1317.736865|721.17|1231.3|329.52|0.3575|587.53|0.46711|0.1595|-0.15579|-1317.4913390000002|85.0|7.0706
9_a3|0.0|0|0|0|0.0|0|6.823286122000001|0|0.605017128|0.187952252|4.727387819|-0.100592457|-0.298197887|0.065373003|0.023606557|-0.216450234|-0.614170287|1|0.923357627|0.6729843740000001|0.042154567|0.7327715159999999|0|0.84649775|-0.095161413|0.506753484|0.007377805|-44.74600478|-39.28853824|223.4501605|0.15350225|-0.038196575|-18.47392835|1.6312253680000002|72.50764604|-1.336880133|43.50933802|48.21513485|0.413418346|2017.0704920000005|1383.145159|0.1131403219999999|5.004834198999999|8.532203772|0.704792493|4430.929894|53.19989715|20.25176593|0.008976383|-363.8118546|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|0.0|-7.26|80.04|2.42|0.0|92.69|0.0|2.0|-5.53|22.0|-5.21|0.0|3.7|-4.9|2.96e-06|0.000899|0.00379|4.14|0.0|5.5e-08|3.28|3.7356|-1256.087705|-1256.0634710000002|512.44|857.36|331.9|0.2069|350.27|0.3639699999999999|0.1127|-0.15834|-1256.002529|10965.0|4.96
22_a10|0.0|0|0|0|0.0|1|7.535296702|1|1.343837143|-0.067641834|5.4161004020000005|-0.017163935|-0.332316729|0.01204992|-0.020475007|-0.042831367|-0.356699217|2|0.670763832|0.747363443|-0.033474297|0.79665945|1|0.8698299140000001|-0.053881447|0.775071808|0.016720696|-41.96631248|-50.61577509|75.58376652|0.130170086|-0.022372463|-39.42279832|10.14325785|60.10354816|-1.3647202319999998|71.13124588|54.98945848|0.422182297|3241.833491|2668.5420940000004|0.435676666|8.84228648|15.30289992|0.730649641|7414.102179|339.3328129|30.87787063|0.026340252|-100.1982412|1883.550109|916.8601445|20.51547079|1.0|1.0|1.0|0.17|-9.37|73.14|2.8|0.0|139.53|0.0|6.0|-5.34|36.0|-6.29|0.0|4.26|-5.53|4.55e-06|0.00217|0.0014|4.1|0.0|4.27e-10|5.65|3.8517|-1544.237634|-1544.203968|770.92|1339.48|321.89|0.2624|602.93|0.4483899999999999|0.1922|-0.16095|-1543.959333|1.1|5.9586
11_a47|0.0|0|0|0|0.0|0|0.0|0|1.381898438|0.035230036|0.0|-0.156077888|-0.427212659|0.081235787|0.046339015|-0.120383371|-0.451384505|3|0.702719047|0.715054643|0.07716247|0.770028429|1|0.796863393|-0.08164597|0.572646116|0.008462682|-50.01659041|-59.10798423|119.4035378|0.203136607|-0.035945973|-36.20974614|3.175899139|1.882633323|-1.833244617|66.9895812|55.20085753|0.4686568239999999|2842.168734|2201.328597|0.183391205|5.966142027|11.22841564|0.8820228529999999|6736.717611|112.34605729999998|26.96593732|0.0128657439999999|-387.9111844|1375.2628029999998|670.2339441|7.881596968999999|1.0|1.0|1.0|0.04|-10.55|70.93|3.0|0.0|124.7|0.0|4.0|-6.29|32.0|-5.28|1.0|4.69|-6.03|5.110000000000001e-07|0.000216|0.000394|5.06|0.0|2.81e-11|4.84|3.7253|-1396.184699|-1396.145101|654.49|1146.42|332.82|0.2321|549.52|0.6915399999999999|0.2321|-0.1546|-1395.980918|0.04|7.4
8_a10|0.0|0|0|0|0.0|1|7.535296702|1|1.3430438530000002|-0.075368755|5.4161004020000005|-0.012055162|-0.296880569|-0.15615298|-0.106100115|-0.000504277|-0.368590322|2|0.6357042860000001|0.809386132|-0.167376069|0.864927472|1|0.874843982|-0.059655303|0.597912185|0.015758182|-32.63117642|-47.16908772|32.98071169999999|0.125156018|-0.029917593|-25.80127401|4.714910465|9.35593124|-1.465962037|56.7864899|41.25082928|0.431797417|2612.274447|1899.542278|0.277350551|6.112185271|10.75705296|0.7599356820000001|6289.86818|151.7094758|22.64553798|0.017582236|-243.5764486|1109.631361|583.7217118|9.617402178|0.0|1.0|1.0|0.22|-7.6|69.9|2.46|0.0|111.36|0.0|4.0|-4.52|29.0|-6.25|0.0|3.55|-4.62|3.05e-05|0.0117|0.00926|3.37|0.0|2.49e-08|4.58|3684.0|-1257.84172|-1257.819281|594.63|1047.58|336.55|0.1596|416.69|0.41583|0.0916|-0.15556|-1257.648047|526.0|6279.0
14c_a22|0.0|0|0|0|0.0|1|6.842683282|0|1.42291727|-0.134137693|4.727387819|-0.018518519|-0.298463715|-0.023927419|0.006275578|-0.047249795|-0.364626967|2|0.667111824|0.773044788|0.010828071|0.8353837409999999|1|0.866576459|-0.067475189|0.6160012029999999|0.024569649|-48.57709197|-57.64986681|36.22825261|0.133423541|-0.030217952|-41.50359456|12.73426132|78.22334636|-1.60155147|75.5139152|66.26540251|0.462147828|3079.4894480000003|2092.7515510000003|0.33831271|8.626337592|16.03849168|0.8592469290000001|6882.45|243.5598613|32.87756477|0.024813755|-232.8055235|1742.5109329999998|731.8178649|17.86404838|0.0|1.0|1.0|0.08|-9.28|109.38|1.08|0.0|128.77|0.0|6.0|-4.86|34.0|-6.96|0.0|2.98|-4.62|1.39e-05|0.00618|0.0107|2.9|0.0|5.269999999999997e-10|4.79|3.6741|-1460.602657|-1460.571156|715.52|1241.55|337.45|0.5079|575.8|0.3078|0.0694|-0.15408|-1460.38772|153.0|6.8153
