molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
16_a20|0|3.485659565|0.0|0|6.842683282|0|-0.014660441|-0.004705049|0.00695144|2|0.126359252|2.013871268|10.93301779|-0.062750442|1|1|0.001157852|0.211127741|-0.117308016|-0.458484451|2|0.7478675859999999|0.809440795|0.724665638|1|0.915005572|-0.066137353|0.382481746|0.011604018|69.28224942|0.084994428|55.92018945|-0.029561375|-33.67420774|3.46788153|0.780108103|-28.6288015|60.02453683|51.14820251|2722.728332|602.0075202|-972.4623811|2161.751186|-12.79619894|15.24926152|0.8673208|5896.394536|144.672972|-639.8099471|24.9314775|0.013439632|-368.5817657|1246.573875|1.0|1.0|3.5|3.13|0.08|27.0|-10.52|6.38|5.46|0.0|121.69|0.0|0.0|-6.06|31.0|4.0|401.46|0.0|1.0|4.37|8.68e-07|2.17e-06|0.0008699999999999|4.69|0.0|3.0500000000000005e-11|1.22e-08|-0.05909|5.9837|4.45|3.5704|-1275.8670960000002|686.59|1174.61|347.26|0.3431|0.32553|0.69524|4.7315|-0.20722|0.03385502|-1275.6960869999998|26.0|7585.0
11_a15|0|0.0|0.0|0|0.0|1|-0.1758968389999999|-0.0064953419999999|-0.029665252|3|-0.036023137|0.0|10.95979791|0.023543401|0|0|0.003766915|-0.056500144|-0.272482143|-0.363940085|2|0.718800243|0.76664841|0.796300317|0|0.8945381259999999|-0.064429158|0.632319408|0.018519054|143.8088883|0.105461874|72.27026771|-0.033606127|-45.76619542|0.0|0.739315684|-30.25595097|79.1792768|56.84224275|3022.859488|613.0036107000001|-1335.705238|2565.707165|-15.7814467|11.76226306|0.8869452090000001|7002.915718000001|178.640152|-915.3239085|31.14961732|0.018086221|-327.9935744|1806.677804|1.0|0.0|4.1|4.25|0.07|24.0|-8.9|4.33|6.69|0.0|138.24|0.0|1.0|-6.32|34.0|4.0|448.52|0.0|0.0|4.62|4.77e-07|7.970000000000001e-07|0.000357|5.32|0.0|1.27e-09|5.7e-07|-0.03877|4.7106|5.04|2.9595|-1450.705737|739.57|1284.85|418.94|0.2657|0.58935|0.70577|812.0|-0.16011|0.03503399|-1450.457814|739.0|6.1314
21_a47|1|0.0|0.0|1|6.86171134|0|0.072733799|-0.010650348|-0.13650463|2|-0.034419528|1.028199909|10.95058272|0.057225853|1|1|-0.004332497|-0.090969103|-0.277479519|-0.5406500129999999|2|0.826796636|0.8856299320000001|0.591185263|1|0.70582155|-0.082614966|0.3188717339999999|0.022739546|34.75044485|0.29417845|166.049938|-0.033866638|-30.34731959|47.95893876|0.6448452960000001|-26.32173133|70.10126935|59.46768095|2691.697803|398.4031618|-860.2257893999999|1402.202743|-10.79015808|13.17102891|0.862591353|6103.311635|200.4681737|-485.55711339999993|29.64451905|0.028943339|-163.5167523|1334.003357|1.0|1.0|3.29|3.32|0.1|21.0|-7.7|2.94|4.93|0.0|104.49|0.0|1.0|-4.44|29.0|6.0|394.38|0.0|1.0|3.43|3.6e-05|4.84e-05|0.0191|3.0|0.0|1.98e-08|7.8e-06|-0.06339|3917.0|4.43|3917.0|-1375.028093|583.37|1014.33|316.53|0.2249|0.68296|0.68296|3.6767|-0.2249699999999999|0.03299607|-1374.914223|5.0|8.3
11_a47|0|0.0|0.0|0|0.0|0|0.035230036|-0.007767503|-0.156077888|3|-0.0586047379999999|1.311097861|10.93671007|0.046339015|0|0|-0.00580273|-0.120383371|-0.079543257|-0.451384505|3|0.715054643|0.770028429|0.686454722|1|0.796863393|-0.08164597|0.572646116|0.008462682|119.4035378|0.203136607|124.4421556|-0.035945973|-36.20974614|1.882633323|0.816608795|-30.64032829|66.9895812|55.20085753|2842.168734|488.1611434|-1123.0517|2201.328597|-13.48990542|11.22841564|0.8820228529999999|6736.717611|112.34605729999998|-687.9851765999999|26.96593732|0.0128657439999999|-387.9111844|1375.2628029999998|0.0|1.0|3.28|3.15|0.04|28.0|-10.55|5.58|6.68|0.0|124.7|0.0|0.0|-6.29|32.0|5.0|422.45|0.0|1.0|4.69|5.110000000000001e-07|9.32e-07|0.000394|5.06|0.0|2.81e-11|1.19e-08|-0.05094|3.7253|4.84|3.7253|-1396.145101|654.49|1146.42|332.82|0.2321|0.6915399999999999|0.6915399999999999|2.9142|-0.20554|0.03959805|-1395.980918|0.04|7.4
IN1166_a11|0|3.433539068|0.0|0|6.842683282|0|-0.089778965|-0.006882528|-0.008507023|2|0.018376555|1.643912856|10.95053349|-0.037793156|1|1|-0.001446486|0.032420935|-0.223618825|-0.462344944|2|0.765593573|0.827254552|0.790249345|1|0.863273559|-0.073965061|0.551933595|0.0200246639999999|112.0066065|0.136726441|94.40543077|-0.031642539|-42.74230509|20.83871871|0.694302821|-35.26269962|76.76995134|64.89703387|2865.055175|596.0640225999999|-1114.258549|2953.475057|-15.08551944|12.63334911|0.8639230290000001|6310.825439|211.0745642|-769.3614916|31.46783535|0.021531291|-268.3203251|1604.859603|1.0|1.0|3.51|2.79|0.08|27.0|-10.18|5.01|4.53|0.0|123.82|0.0|0.0|-5.11|32.0|5.0|417.47|0.0|1.0|3.31|7.74e-06|1.65e-05|0.00688|3.27|0.0|6.59e-11|2.75e-08|-0.07275|4.9857|3.36|3.2827|-1347.256659|704.48|1198.36|377.7|0.3425|0.4358399999999999|0.6998300000000001|3365.0|-0.21098|0.04189898|-1347.073528|12.0|7.9318
8_a10|0|0.0|0.0|1|7.535296702|1|-0.075368755|-0.00560152|-0.012055162|2|-0.000315856|1.546251312|10.92578782|-0.106100115|1|1|0.009056935|-0.000504277|-0.132343104|-0.368590322|2|0.809386132|0.864927472|0.616731847|1|0.874843982|-0.059655303|0.597912185|0.015758182|32.98071169999999|0.125156018|68.45976606|-0.029917593|-25.80127401|9.35593124|0.722649449|-17.849103399999997|56.7864899|41.25082928|2612.274447|478.5356341|-801.8744912000001|1899.542278|-8.951462413|10.75705296|0.7599356820000001|6289.86818|151.7094758|-438.6216583|22.64553798|0.017582236|-243.5764486|1109.631361|1.0|1.0|3.42|3.27|0.22|21.0|-7.6|4.46|4.2|0.0|111.36|0.0|1.0|-4.52|29.0|5.0|384.43|1.0|1.0|3.55|3.05e-05|2.4100000000000003e-05|0.00926|3.37|0.0|2.49e-08|9.59e-06|-0.0623299999999999|4.6964|4.58|3684.0|-1257.819281|594.63|1047.58|336.55|0.1596|0.41583|0.68815|1.2052|-0.21789|0.02243902|-1257.648047|526.0|6279.0
8_a15|0|0.0|0.0|0|0.0|0|-0.208657545|-0.009853404|-0.044406425|1|0.155304204|0.0|10.95880707|-0.014489333|0|0|0.003160815|0.225620047|-0.295062413|-0.342749125|1|0.7059441040000001|0.742680335|0.8105478740000001|0|0.853896482|-0.071552706|0.381651497|0.0336657729999999|104.8781037|0.146103518|85.31489861|-0.028969856|-40.33569847|55.99586988|0.519427411|-24.39801408|89.80283608|61.44071008|2393.276181|498.6196971|-828.9085544|1919.535904|-9.878130237|9.984825987|0.638601279|5306.2234530000005|280.62296039999995|-484.0283816000001|32.56759415|0.035495625|-22.68867482|1595.8121130000002|1.0|1.0|3.14|3.76|0.19|18.0|-7.57|3.9|4.95|0.0|104.74|0.0|1.0|-5.25|27.0|5.0|366.41|1.0|1.0|3.76|5.63e-06|1.53e-05|0.00562|4.24|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|3.7426|-1223.687714|598.84|1050.15|331.28|251.0|0.5128|0.70524|1.1415|-0.18303|0.01719864|-1223.523393|108.0|6.9666
2_a20 (SB-505124)|0|3.485765306|-0.09011519|0|7.434257382|1|-0.006955944|-0.010175551|-0.076310057|1|0.013612077|0.0|10.95129567|-0.137383329|1|1|0.003789399|0.02072518|-0.229461916|-0.520284161|1|0.725030162|0.765632979|0.790275077|0|0.7694360659999999|-0.083565835|0.214264156|0.02856542|122.8758934|0.230563934|126.8667205|-0.0382594189999999|-35.52365346|441.9400248|0.831919306|-25.30121848|70.87109323|61.69969596|2195.369524|423.3785776|-968.3950117|1709.9571620000002|-11.58380004|11.3574908|0.908167636|4762.83693|92.48561162|-532.854802|25.30541763|0.011470204|-365.2740749|1164.049211|1.0|1.0|3.4|3.1|0.3|17.0|-7.22|5.16|4.47|0.0|97.55|0.0|1.0|-5.24|25.0|4.0|335.4|1.0|1.0|3.81|5.72e-06|1.22e-05|0.0040799999999999|4.27|0.0|6.070000000000002e-08|2.03e-05|-0.03717|3.6404|4.57|3.6404|-1089.358727|593.8|995.68|340.58|0.3267|0.69947|0.69947|2.5584|-0.18645|0.01305739|-1089.201587|169.0|6.7721
47g_a18|0|0.0|0.0|0|7.03438793|1|-0.005500039|-0.005817448|-0.034211867|0|-0.048472184|0.0|10.94702253|-0.008224928|0|0|0.00531392|-0.071877686|-0.3927204379999999|-0.4138670829999999|0|0.750610215|0.780474694|0.745431271|0|0.834424154|-0.065225536|0.413435809|0.013404131|111.5517627|0.165575846|140.5114492|-0.029212072|-61.55384106|47.07867403|0.731870777|-46.97287277|86.33162323|66.72693367|3367.0578530000003|708.1114197|-1958.412588|2268.439188|-21.03738872|20.32265524|0.966014041|7870.887027|227.5405903|-1661.953709|33.87214455|0.016259076|-393.5416883|2675.8994190000003|0.0|1.0|4.87|0.0|0.34|18.0|-9.22|3.22|3.6|2.0|164.47|1.0|1.0|-6.11|40.0|4.0|541.68|0.0|0.0|2.83|7.76e-07|3.01e-06|0.00163|4.52|1.0|6.04e-10|3.27e-07|-0.04413|3.0965|8.13|3.0965|-1743.346243|905.71|1604.37|400.4|0.5955|0.69828|0.69828|4966.0|-0.17202|0.02960182|-1742.847918|9.0|8.0458
12o_a36|0|3.444418304|0.0|0|7.412764017000001|2|0.01340619|-0.0100574069999999|-0.079716275|2|0.03842353|0.0|10.96036596|-0.010904454|1|1|-0.000472698|0.065221584|-0.213993335|-0.5110239679999999|1|0.799869816|0.848816593|0.817582774|0|0.7592112809999999|-0.082048664|0.514457955|0.023402195|55.47133795|0.2407887189999999|173.4105814|-0.03541591|-55.10596064|112.1259723|0.666462845|-42.554984000000005|95.66406176|75.94332024|3009.981519|546.7667677000001|-1453.826968|2778.220342|-18.36865355|13.80895167|0.885724665|6622.134304|240.2059039|-1047.013252|38.27030489|0.026586303|-239.7655413|2181.407379|0.0|0.0|4.97|0.0|0.17|17.0|-6.93|2.38|1.65|0.0|138.06|0.0|1.0|-3.54|33.0|5.0|438.48|0.0|0.0|1.47|0.000292|0.000227|0.0997|1.85|0.0|1.1800000000000001e-07|5.18e-05|-0.05456|5.1927|4.5|3.8726|-1440.926241|728.07|1240.51|320.16|0.4075|0.36719|0.67273|4.9237|-0.21151|0.04371335|-1440.734965|0.04|7.3979
