molecula|SddssS|SaaNH|NaasN|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|FPSA5|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
28_a20|0.0|0.0|1|0|1.417203216|-0.013841559|-0.006492092|4.727387819|3|0.0396875|0.091462964|-0.363557127|0.002234763|0.0313932529999999|-0.039965901|1|0.155263557|-0.016955137|-0.028782305|-0.447096101|3|0.755701837|-0.104458316|-0.06654421|0.812553182|0.690655217|0.014682607|-57.59898971|-60.85602167|318.7453661|0.218249263|145.66665480000003|-0.035068957|-40.6172876|6.540604536|88.39175809|0.773641727|-1.823585765|71.98460956|67.39863895|2865.917291|521.7658603|-1217.120433|2449.815677|0.226358273|7.587188177000001|0.8826648009999999|151.0788711|0.016673728|684.5377542|0.0|1.0|1.0|3.45|27.0|-8.8|4.01|99.58|1.73|1.0|0.0|122.8|1.0|5.0|-4.42|-6.96|420.47|0.0|0.0|-4.43|0.0159|3.72e-05|2.68|6.590000000000001e-07|-0.06242|4.64|3.5798|-1368.32781|1198.32|346.35|0.2354|-1368.085242|0.0153|-0.15572|3.5284|0.03534166|4.7428|255.0|6.5935
14_a15|0.0|0.0|0|0|1.43568901|-0.058775738|-0.006678826|0.0|2|0.037073171|-0.033982971|-0.374014235|0.001740635|-0.053931584|-0.015736888|0|-0.051908601|-0.120626133|-0.184255041|-0.3848940629999999|2|0.719993769|-0.021648026|-0.028227917|0.7651878809999999|0.7933685340000001|0.014672137|-40.89540491|-58.79722871|92.51564418|0.112910954|72.36402409|-0.032888795|-37.68282812|6.026520371|2.923143027|0.770309725|-1.743106111|68.59458198|50.29869851|2612.691478|568.5306056|-1117.1473460000002|2731.841165|0.229690275|6.040010666000001|0.685538423|147.2072638|0.015286995|673.7288405|1.0|1.0|1.0|3.56|24.0|-9.82|6.3|56.27|2.87|2.0|0.0|119.95|1.0|6.0|-6.22|-4.97|397.47|1.0|0.0|-5.83|0.0002379999999999|1.47e-06|5.29|5.99e-08|-0.0338199999999999|5.16|3.6209|-1281.0669369999998|1177.14|342.41|0.3131|-1280.809256|0.0054|-0.14997|3.3596|0.03885834|5.0894|0.03|7.5229
8c_a32|0.0|3.46252244|0|0|0.609420757|0.080016722|-0.0093793719999999|5.733341277|0|0.036711712|-0.026467635|-0.459589251|-0.003484915|-0.026048985|-0.0682721729999999|3|-0.047650724|-0.0852122769999999|-0.1534110109999999|-0.578242111|0|0.845443342|-0.024032462|-0.11492754|0.8966299409999999|0.7507116140000001|0.016240436|-46.47597924|-58.93213925|126.6561213|0.198252488|119.85432240000002|-0.027548799|-35.6276568|5.935643221|78.19443734|0.600684883|-1.267244762|74.36515033|56.29419869|2571.62241|484.6996147|-766.1178102000001|3038.837633|0.399315117|7.079719717000001|0.8100952690000001|241.4075262|0.025527931|557.1050635|1.0|1.0|1.0|3.46|19.0|-7.65|4.19|140.04|1.1|1.0|0.0|110.47|1.0|7.0|-5.82|-6.45|397.52|1.0|0.0|-4.39|0.000597|4.11e-05|3.21|8.86e-06|-0.04161|4.28|3.5673|-1880.733377|1090.0|347.56|0.3272|-1880.537558|0.3272|-0.14712|8.4922|0.03115673|10.2656|37.0|7.4318
12av_a36|0.0|3.4520047430000003|0|2|1.297042752|0.049150854|-0.009925128|5.351858133|2|0.04250591|0.06882889|-0.605432791|-0.00233752|-0.021036176|-0.039627578|1|0.1168328169999999|-0.126068378|-0.213993335|-0.507136551|1|0.8076780109999999|-0.018133027|-0.067408377|0.8571025990000001|0.817582774|0.021666882|-57.31621925|-73.55299094|99.2415672|0.247552267|172.4374372|-0.035197712|-51.2347934|10.51297704|124.9387725|0.671916917|-2.006269572|91.5101903|72.40871507|3011.024457|524.1323793|-1397.506828|2354.591519|0.328083083|8.975655204|0.965363947|228.5327731|0.025779468|757.7532208|0.0|1.0|0.0|4.96|17.0|-6.93|1.65|98.3|1.49|1.0|0.0|138.06|1.0|7.0|-3.54|-7.66|438.48|0.0|0.0|-3.64|128.0|0.000227|1.85|5.18e-05|-0.05307|4.5|3.4402|-1440.945099|1247.28|360.39|0.6698|-1440.67411|0.0027|-0.14122|4.7666|0.04308001|6.1075|39.0|7.4089
8_a10|0.0|0.0|1|1|1.3430438530000002|-0.075368755|-0.00560152|5.4161004020000005|2|0.035828092|-0.000315856|-0.296880569|0.0087730469999999|-0.15615298|-0.106100115|1|-0.000504277|-0.082893697|-0.132343104|-0.368590322|2|0.809386132|-0.015871527|-0.167376069|0.864927472|0.616731847|0.015758182|-32.63117642|-47.16908772|32.98071169999999|0.125156018|68.45976606|-0.029917593|-25.80127401|4.714910465|9.35593124|0.722649449|-1.465962037|56.7864899|41.25082928|2612.274447|478.5356341|-801.8744912000001|1899.542278|0.277350551|6.112185271|0.7599356820000001|151.7094758|0.017582236|583.7217118|0.0|1.0|1.0|3.42|21.0|-7.6|4.2|69.9|2.46|1.0|0.0|111.36|1.0|4.0|-4.52|-6.25|384.43|0.0|1.0|-4.62|0.0117|2.4100000000000003e-05|3.37|9.59e-06|-0.0623299999999999|4.58|3684.0|-1257.819281|1047.58|336.55|0.1596|-1257.59269|0.0916|-0.15556|1.2052|0.02243902|1.5482|526.0|6279.0
4_a27|0.0|0.0|2|0|1.4008954130000002|0.082486268|-0.006181204|4.727387819|2|0.0456410259999999|-0.273119343|-0.278154179|0.00991794|0.13397347|-0.01660383|1|-0.459570857|-0.2030237389999999|-0.341622797|-0.480852615|2|0.7853766809999999|-0.07759915|-0.024800302|0.842039655|0.614205449|0.0201467639999999|-29.89961815|-40.79296366|8.590238252999999|0.1473956619999999|76.31512503|-0.0281385239999999|-21.12083948|5.40078803|58.27512057|0.682485674|-1.181818|51.33640873|40.33074472|2273.715366|441.4418013|-611.8944548999999|1213.060761|0.317514326|6.01592535|0.799110312|164.3952417|0.020363697|424.8821143|0.0|0.0|1.0|3.11|21.0|-6.22|2.8|65.6|2.66|0.0|0.0|97.55|1.0|2.0|-3.57|-6.51|331.37|0.0|1.0|-3.99|0.0882|0.000102|2.55|0.0002|-0.0449899999999999|4.63|4.1288|-1083.119531|946.77|300.29|0.2002|-1082.963712|0.1741|-0.17034|2.7371|0.01877181|3.9202|4.0|8.3979
19g_a38|0.0|3.229090845|0|2|1.297044182|-0.077355838|-0.008497058|5.351858133|2|0.042419753|-0.037579797|-0.458841138|-0.006877664|-0.009881824|-0.046735135|1|-0.096139701|-0.098027247|-0.250781298|-0.438254637|1|0.836170906|-0.063110203|-0.076414544|0.892249657|0.632625562|0.022953686|-54.62049927|-72.29378538|137.56612280000002|0.279993731|177.181631|-0.038842708|-45.74791999|9.191644336|18.41027014|0.719941993|-1.942135378|86.78105144|69.14572278|2897.384301|455.6240763999999|-1228.994351|2506.378649|0.280058007|6.327835378|0.836356715|177.2223055|0.0228937029999999|593.6088758|1.0|1.0|1.0|4.82|17.0|-7.12|3.11|81.23|2.78|1.0|0.0|125.65|1.0|5.0|-4.25|-6.81|419.43|0.0|0.0|-4.33|0.0238|4.67e-05|2.88|3.19e-05|-0.05479|3.66|3.6887|-1431.386981|1104.29|336.12|0.2285|-1431.186566|0.0962|-0.15269|5.0677|0.03244515|6.1765|42.0|7.3778
IN1166_a11|0.0|3.433539068|0|0|1.429020445|-0.089778965|-0.006882528|4.727387819|2|0.044021739|0.018376555|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|1|0.032420935|-0.126749697|-0.223618825|-0.462344944|2|0.765593573|0.102257199|-0.067328767|0.827254552|0.790249345|0.0200246639999999|-51.07061499|-61.90325275|112.0066065|0.136726441|94.40543077|-0.031642539|-42.74230509|9.546719887|20.83871871|0.694302821|-1.6137695069999998|76.76995134|64.89703387|2865.055175|596.0640225999999|-1114.258549|2953.475057|0.305697179|6.777827685|0.8639230290000001|211.0745642|0.021531291|676.2770877|1.0|1.0|1.0|3.51|27.0|-10.18|4.53|103.17|0.92|1.0|0.0|123.82|0.0|5.0|-5.11|-6.52|417.47|0.0|0.0|-4.78|0.00323|1.65e-05|3.27|2.75e-08|-0.07275|3.36|3.2827|-1347.256659|1198.36|377.7|0.3425|-1347.012407|0.1239|-0.13823|3365.0|0.04189898|4.3481|12.0|7.9318
24_a20|0.0|0.0|1|0|1.40648755|-0.217098257|-0.001547029|4.727387819|2|0.03625|0.087887688|-0.083539572|0.009265667|-0.060940703|-0.04104|1|0.1468474119999999|-0.036258691|-0.060582944|-0.188335708|2|0.74131936|0.070857143|-0.07179846|0.802353442|0.607038752|0.012814211|-38.76683848|-42.82548904|12.83518119|0.047972705|30.27049276|-0.02714795|-27.02262995|5.102023479|406.1522673|0.771032243|-1.357397496|51.30386873|46.85253003|2736.601949|600.7235847000001|-856.5097809|1961.887639|0.228967757|6.852820269|0.844319927|144.47729840000002|0.013436544|664.4562602999999|1.0|1.0|1.0|3.4|27.0|-9.32|4.78|80.28|1.86|2.0|0.0|119.42|1.0|4.0|-4.89|-6.26|402.45|0.0|0.0|-4.93|0.00519|1.17e-05|3.52|1.94e-07|-0.06748|3.74|3.5876|-1291.867578|1169.35|345.59|0.2495|-1291.647083|0.0108|-0.15687|3.6107|0.02922392|4.3906|318.0|6.4976
20_a31|0.0|3.3852303|0|0|0.609420757|0.0469387759999999|-0.009722467|5.733341277|0|0.03995614|-0.013040402|-0.476400874|-0.003484915|-0.020082435|-0.078213611|3|-0.023477148|-0.0852122769999999|-0.1534110109999999|-0.594513619|0|0.8602874540000001|0.028036914|-0.131662689|0.912372776|0.7507116140000001|0.019334605|-53.79798102|-69.0542431|64.42171513|0.2045729339999999|128.1960117|-0.033537774|-43.27297051|7.592555532|75.10345696|0.710707042|-1.542737604|81.35171021|65.91404723|2576.1287230000003|498.4558574|-966.7594033|1758.762093|0.289292958|8.289864307|0.86775525|181.2859728|0.019624081|557.1050635|1.0|1.0|1.0|3.46|19.0|-7.65|4.38|140.04|1.1|1.0|0.0|110.47|1.0|7.0|-5.91|-6.39|397.52|1.0|0.0|-4.44|0.000493|3.66e-05|3.29|8.86e-06|-0.06065|4.78|3.5381|-1880.734655|1113.19|350.43|0.2011|-1880.538664|0.2011|-0.1483|3.7403|0.0336943|4.9218|8.0|8.0862
