molecula|NaaNH|n9FaHRing|SaaNH|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GRAV|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
4c_a49|0|0|0.0|7.535296702|1.343847672|2.102052126|-0.048954892|-0.0057600559999999|-0.044371138|0.03583878|1.78683516|0.001379959|-0.102999091|10.92777281|0.006194124|1|0.00202792|-0.163476035|-0.001005604|-0.001647802|-0.412652341|2|0.7745214140000001|0.7796063109999999|0.010868461|0.826523164|0.752601535|1|0.76159824|-0.086290519|0.407675441|0.012079228|-55.59622798|7.782541015|153.60017230000005|-0.029809452|5.014223225|-36.42732137|66.77901229|64.32113331|0.473304159|2719.702873|490.6910965|-1056.328332|1683.872161|-12.37423857|0.275946172|8.474369008|6046.668361|-680.5831211|0.0173567219999999|-288.71184960000005|707.2397315000001|11.182784300000002|1.0|1.0|3.49|21.0|-7.97|3.19|98.72|1.47|1.0|0.0|0.0|7.0|31.0|-7.53|-3.58|0.13|109.0|1.81|0.0|-0.0623299999999999|-1332.647233|-1332.607539|705.55|325.7|0.4164199999999999|0.67789|-1332.336755|0.0821|3.4931|-0.22158|-1332.398001|255.0|6.5935
13i_a6|1|0|3.399318783|7.412764017000001|1.430639411|0.0|0.0359494989999999|-0.0149593219999999|-0.154502515|0.042560386|0.0|-0.011017781|0.034304189|10.95129557|-0.032549318|1|-0.007703306|0.057038772|-0.045418125|-0.073507141|-0.560601136|1|0.8744720490000001|0.7771558909999999|-0.054229558|0.8287956870000001|0.830577798|0|0.624046118|-0.129526268|0.221116773|0.031178586|-86.83156133|20.90143854|252.0312146|-0.046433945|14.01186473|-54.13430283|100.2320567|101.6533459|0.429711323|2906.257489|418.3467934|-1649.799665|2880.134143|-20.86772478|0.216402237|8.294136887|6306.951561999999|-1105.989413|0.019989461|-380.2354072|673.8038326000001|13.40049533|1.0|1.0|3.59|23.0|-8.5|3.54|115.15|1.18|1.0|0.0|0.0|6.0|32.0|-6.81|-4.48|0.00398|14.0|2.95|0.0|-0.0481399999999999|-1426.549926|-1426.518007|703.43|348.14|0.7004600000000001|0.70517|-1426.269916|19.0|7.8342|-0.19454|-1426.332492|21.0|7.6778
32_a47|0|1|0.0|6.842683282|1.216307925|1.998170616|-0.1746026239999999|-0.003573735|0.000921003|0.035568182|1.6507707980000002|0.001861676|-0.026022099|10.95005715|-0.044598914|1|0.002350172|-0.0274939029999999|-0.077485193|-0.157688306|-0.2749014|2|0.6636125860000001|0.810444864|-0.078006445|0.858292442|0.634406338|1|0.851627782|-0.0726950079999999|0.266433793|0.019295804|-52.38450683|13.90468487|106.9180086|-0.026060474|10.01980854|-29.9621436|68.76811937|55.48373932|0.44289006|2808.210157|613.6886524|-995.3056298|2255.632049|-13.53252578|0.35883878|8.656942728999999|6235.398576|-717.2238666000001|0.022735861|-203.4434306|682.9868225|16.38361254|1.0|0.0|3.35|21.0|-8.82|5.07|67.66|3.11|2.0|0.0|0.0|5.0|31.0|-6.34|-5.05|0.00674|0.0038799999999999|3.7|0.0|-0.05682|-1778.127634|-1778.0970140000002|692.49|336.65|0.48011|0.68986|-1777.843462|0.2839|4.8234|-0.20778|-1777.90286|0.1|7.0
37_a18|0|0|0.0|7.03438793|1.251176176|0.0|-0.0013530679999999|-0.005351023|-0.018808538|0.036746032|0.0|0.002300582|-0.034593342|10.94702064|-0.011713125|0|0.003512954|-0.0276034839999999|-0.1483628609999999|-0.224171123|-0.44541772|0|0.7100921609999999|0.725028151|-0.020149364|0.761336899|0.699483099|0|0.831783747|-0.074857954|0.385121249|0.009098426|-54.7389628|6.653112344|123.0060763|-0.0286221589999999|4.865006968|-36.62790634|65.15554136|56.74339533|0.488368082|3055.795406|608.2316837999999|-1423.213033|1571.7484060000002|-15.30451633|0.2351233969999999|9.460456975|7035.839448000001|-1040.70711|0.0142451319999999|-387.3755475|1056.535856|10.41657856|0.0|0.0|4.31|18.0|-8.82|3.3|76.5|3.33|2.0|1.0|0.0|7.0|36.0|-6.14|-5.47|0.000999|0.00161|4.36|0.0|-0.04925|-1532.997117|-1532.974371|794.5|385.91|0.69305|0.69305|-1532.553949|499.0|2.2872|-0.18119|-1532.622404|35.0|7.4559
13a_a5|1|0|2.931642415|6.605297921|1.393002748|0.0|-0.154076582|-0.006081807|-0.033436214|0.023989899|0.0|0.002355511|-0.139517787|10.94530369|-0.025324157|1|0.003196482|-0.012798693|-0.035005746|-0.0569177229999999|-0.367284642|2|0.746303189|0.8045357209999999|-0.048575318|0.857293078|0.720100768|0|0.7667501609999999|-0.0839257009999999|0.470564031|0.016739606|-54.03141848|10.77696869|150.1663914|-0.0279752339999999|6.938219155|-36.90128585|72.13276165|68.09484712|0.460877309|2657.14588|493.6342317|-918.5341141|1314.232685|-11.59515363|0.401208461|8.571729592999999|5628.9694|-591.3528349999999|0.02811638|-127.2041084|620.5697596|18.10134317|1.0|1.0|3.07|23.0|-8.9|3.58|92.79|0.95|2.0|0.0|0.0|8.0|30.0|-7.18|-3.74|0.0675|0.0734|2.19|0.0|-0.05534|-1313.167422|-1313.126035|688.18|294.45|0.41806|0.50037|-1312.907813|0.1992|3.3414|-0.22898|-1312.968936|91.0|7041.0
36_a18|0|0|0.0|7.03438793|1.25117638|0.0|0.050448408|-0.006407141|-0.020339784|0.036625514|0.0|-0.000451777|-0.0077246719999999|10.94702093|0.003321395|0|0.000825855|-0.079553246|-0.079721028|-0.12139648|-0.493920601|0|0.7343989059999999|0.741135729|0.0059061|0.780206307|0.721836103|0|0.804293867|-0.079805761|0.3847791889999999|0.009440278|-56.82615305|6.722004572|139.3536816|-0.031922305|4.786442152|-39.43509046|65.59412783|62.10402945|0.4751830729999999|2979.013751|572.70209|-1477.479979|1547.485543|-16.1853561|0.187943933|9.560644525|6799.65027|-1052.048147|0.0123136069999999|-444.4026478999999|975.4099618|8.767974776|1.0|0.0|4.19|18.0|-9.16|2.96|85.29|3.13|2.0|1.0|0.0|7.0|35.0|-6.18|-5.28|0.000975|0.00242|4.18|0.0|-0.04991|-1493.686737|-1493.661092|769.73|388.57|0.69372|0.69372|-1493.266344|0.4674|1.9944|-0.18124|-1493.333297|32.0|7.4949
7f_a8|1|0|2.961566988|7.05012252|1.394802504|1.2793830309999998|-0.139912829|-0.005338193|-0.073219554|0.044814815|0.0|0.00112124|-0.087673259|10.94343485|0.0260356679999999|1|0.00084936|0.09329746|0.052081992|0.141285105|-0.381574707|0|0.515235986|0.7051689170000001|0.041366689|0.7677336090000001|0.507325475|0|0.770229267|-0.08790841|0.3155671539999999|0.0138113419999999|-50.01741803|7.858266077000001|130.7330978|-0.040738044|4.471132824|-29.74763659|55.85651025|60.14140162|0.4513917389999999|2534.956113|438.23883319999993|-950.3309426|1854.738581|-13.18808857|0.119077775|7.704280774|5662.145174|-540.7116315000001|0.010262531|-433.4681077|446.5544107|5.839092213|1.0|1.0|3.14|23.0|-8.46|5.49|61.58|4.27|2.0|0.0|0.0|3.0|28.0|-5.27|-5.5|0.00078|0.00118|4.66|1.0|-0.07492|-1285.196168|-1285.168078|584.99|356.17|0.7024199999999999|0.6987399999999999|-1285.017838|0.1502|8.7098|-0.21998|-1285.071664|35.65|4.4479
22_a47|0|1|0.0|6.86171134|1.408617385|1.202720059|0.048272293|-0.010579222|-0.150248628|0.043695652|1.016903613|-0.006808306|-0.075111395|10.95023117|0.002716049|1|-0.004332497|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.612295986|0.831122912|0.004104478|0.890264057|0.591185263|1|0.698649132|-0.089280419|0.573087958|0.022154032|-52.67991531|13.07198749|177.81209280000002|-0.031744149|7.713126784|-28.11203407|71.28682035|60.71546178|0.4614909829999999|2692.510471|412.2379505|-842.8786448999999|1494.441201|-11.05201291|0.390313552|6.9553262170000005|6107.923371|-497.3405809|0.031534452|-129.440987|482.9384172|18.60690504|0.0|1.0|3.31|21.0|-7.69|4.85|84.73|2.97|1.0|0.0|0.0|5.0|29.0|-6.58|-4.38|0.0142|0.0164|3.0|0.0|-0.0612399999999999|-1375.05033|-1375.021925|605.12|308.65|0.50316|0.68312|-1374.857521|0.0799|4.2485|-0.22828|-1374.914437|1.0|9.0
11_a3|0|0|0.0|6.823286122000001|0.605020608|0.0|0.119431379|-0.01008647|-0.127546771|0.042795699|1.710245969|-0.008037672|0.044912659|10.31163053|-0.023103765|1|-0.005959152|-0.194041982|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|0.724492061|-0.04179402|0.793311683|0.834020779|1|0.777803048|-0.099420732|0.175996916|0.014376713|-47.02715152|6.800350988|105.101718|-0.0391657429999999|3.216644354|-21.37603754|57.08178682|51.99171876|0.4680759679999999|2097.896727|367.9098016|-611.3529698|1105.41974|-8.76293931|0.2475152639999999|5.475372235|4487.967272999999|-289.1769972|0.021256639|-238.8563772|311.6695405|10.0546353|0.0|1.0|3.19|21.0|-6.51|3.41|105.82|0.8|0.0|0.0|0.0|2.0|22.0|-6.59|-3.71|0.0256|0.0601|2.22|0.0|-69.0|-1288.195105|-1288.165162|508.58|384.66|0.6966600000000001|0.6966600000000001|-1288.058926|0.4441|3.3694|-0.20018|-1288.10577|0.04|7.3979
12c_a31|1|0|3.387641566|7.765993078999999|0.6101358029999999|0.0|0.046986783|-0.013026643|-0.055520387|0.040982906|0.0|-0.003618466|-0.094991098|10.311698300000002|-0.056866055|2|-0.000813398|-0.048694677|-0.138799714|-0.223856622|-0.54466023|0|0.8083148840000001|0.842823186|-0.098452311|0.8856644770000001|0.770283733|0|0.665463503|-0.129736755|0.343619017|0.030543026|-82.33748068|19.38414321|212.313715|-0.036326291|12.30215386|-42.14855504|97.28775086|85.79638585|0.448512808|2592.4503010000003|422.3366652|-1152.7247289999998|1894.297124|-14.63154376|0.3182913|8.091269314|5676.394271|-731.5771879|0.023556702|-230.6429907|583.9691392000001|14.95027019|1.0|1.0|3.69|16.0|-7.24|3.7|117.37|1.08|2.0|0.0|0.0|8.0|28.0|-6.53|-4.16|0.00233|0.0277|3.1|0.0|-0.0338399999999999|-1618.1530810000002|-1618.112841|679.71|323.48|0.7007399999999999|0.7007399999999999|-1617.888981|0.2625|1.6786|-0.19288|-1617.951882|0.38|6.4202
