molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|BCUTs-1|SaasN|AATSC1s|n6HRing|JGI4|SaaaC|MATS8i|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|RNCS|RPSA|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
14s_a23|0|1|1|0.0|7.423568444|1.197958333|3.336763335|-0.022580082|2|0.045277778|0.740898446|-0.044305947|2|2|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|2|0.722187957|0.7837821840000001|0.096014944|-0.1050445769999999|0.846632079|0.659570836|1|-0.080500435|30.34480575|0.07236376|-33.12848261|8.218681552|82.55990607|0.7748161659999999|-1.610008704|62.75905983|-21.9751589|48.11843993|0.470919749|595.0854952000001|-1032.832468|-14.09722664|0.2251838339999999|14.26730044|-662.5696522999999|28.36177131|0.017330177|-352.5931977|633.3278634|11.11743642|0.0|1.0|1.0|3.45|3.66|26.0|-7.99|4.67|105.02|3.51|2.0|1.0|125.29|0.0|1.0|-6.13|4.0|445.93|0.0|0.0|0.0|2.83e-06|0.00126|4.21|1.02e-08|4.55e-06|3.6828|-2089.521231|668.66|1164.32|336.66|0.3669|528.82|0.60323|-0.1515|4.7032|-0.22933|0.02112956|-2089.352478|6.4428|3.0|8.5482|8.5482
18_a4|0|0|0|0.0|7.535296702|1.3998285519999998|1.904090136|-0.164169913|1|0.042924837|0.0|-0.200683549|1|1|0.108754635|0.006968314|0.015390457|-0.319213511|1|0.624748358|0.793041267|0.102914528|-0.105846349|0.8547339420000001|0.615655659|0|-0.085817825|203.5264327|0.224403961|-20.88721799|4.306590617|0.0|0.769438308|-1.287267373|50.98777224|-17.16400317|55.21809494|0.405586004|382.6371479|-635.0681172000001|-8.467791078|0.2305616919999999|10.31843368|-313.3082699|22.30718562|0.0175331289999999|-265.85258480000005|337.0066459|8.649897756|1.0|0.0|1.0|3.32|2.56|17.0|-5.53|3.43|50.94|2.2|0.0|0.0|86.22|0.0|2.0|-2.95|4.0|307.32|0.0|1.0|1.0|0.000312|0.0959|2.24|2.96e-06|0.0009109999999999|4.2045|-1033.480025|523.81|870.74|294.88|0.2083|404.27|0.57777|-0.17345|2.7878|-0.20883|0.02525528|-1033.398285|3498.0|2.62|5.5817|5.5817
3k_a32|1|1|1|3.644417045|7.97831097|0.609420759|0.0|-0.001250803|0|0.0381981979999999|2.256213388|-0.0902541999999999|3|3|-0.084055305|-0.050938823|-0.090775221|-0.5265375529999999|0|0.816196288|0.779649252|-0.127713677|-0.129124455|0.8306695270000001|0.7681279190000001|1|-0.090839907|80.0971996|0.122251759|-28.87643819|3.930238317|0.0|0.78057227|-1.271758703|58.16707081|-16.67514938|47.07915023|0.472646737|494.8840288|-717.0314235000001|-9.40163104|0.21942773|11.6688363|-404.2701347|21.36272325|0.012327787|-316.3794102|506.658189|6.9505405620000005|1.0|1.0|1.0|3.47|3.48|19.0|-7.23|5.78|110.94|2.41|2.0|0.0|105.36|0.0|1.0|-7.04|3.0|366.5|0.0|0.0|1.0|2.47e-06|0.000904|4.97|5.86e-08|2.15e-05|3.5363|-1750.164914|611.65|1022.89|350.6|0.3082|452.36|0.70268|-0.14667|3.2233|-0.19988|0.02654958|-1750.0122420000002|5689.0|9.0|8.0605|8.0605
41_a18|0|0|0|0.0|7.03438793|1.251176562|0.0|-0.059936864|1|0.038034188|0.0|0.022493846|0|0|-0.137860739|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.759941674|0.733589101|-0.032217299|0.037097204|0.774395455|0.745631286|0|-0.089139464|347.42621339999994|0.2650611539999999|-41.89408289|4.488448275|93.99687836|0.903239484|-2.317626057|65.83786886|-25.62671923|76.49358329|0.487248278|503.8398786|-1588.856592|-17.56848637|0.0967605159999999|17.13823195|-1089.246155|28.37200951|0.006896617|-552.8844577000001|897.5188662|4.727999916|1.0|0.0|3.0|4.07|0.0|18.0|-8.38|2.7|99.28|2.94|2.0|1.0|141.34|0.0|1.0|-5.56|3.0|452.55|0.0|0.0|1.0|9.49e-06|0.0042899999999999|3.78|4.18e-09|1.89e-06|3.2123|-1454.374793|736.59|1294.52|385.97|482.0|576.83|0.69308|-0.1319|2.0934|-0.1814599999999999|0.0280471999999999|-1454.045308|2721.0|369.0|6433.0|6433.0
22_a4|0|0|0|0.0|7.535296702|1.399866564|1.987636054|-0.115883451|1|0.044357639|0.0|-0.2078428719999999|1|1|0.00771584|0.021636871|0.034720243|-0.3877007|1|0.774689758|0.7797803109999999|0.086940934|-0.037423832|0.8404413829999999|0.755510052|0|-0.089955967|162.9809584|0.138796849|-20.77508795|2.47167963|0.0|0.8444670409999999|-1.349339509|48.65880447|-17.52572365|50.75888571|0.4359219589999999|413.8681986|-648.451775|-8.422332951|0.155532959|9.742413394|-311.62631919999995|20.75359108|0.011296354|-331.080892|338.71903330000004|5.428686137000001|1.0|0.0|1.0|3.3|2.2|17.0|-5.24|3.54|50.94|2.09|0.0|0.0|87.12|0.0|2.0|-3.77|3.0|289.33|0.0|1.0|1.0|0.000104|0.0301|3.03|5.77e-06|0.0016699999999999|4.0537|-934.2706743999998|519.39|860.77|305.85|0.1675|400.29|0.65771|-0.16754|3.5548|-198.0|0.030263407|-934.171365|5.4110000000000005|47.0|7.3279|7.3279
12al_a36|1|0|0|3.469383582|7.412764017000001|1.297043737|0.0|-0.04314418|2|0.042739018|0.0|-0.074215038|1|1|0.172830414|-0.1430106119999999|-0.239932418|-0.404703593|1|0.8913597320000001|0.8344566859999999|0.125005134|-0.055405405|0.885733922|0.84179881|0|-0.105915949|114.2305891|0.198820783|-45.86257662|11.65999569|0.0|0.671084645|-1.906487074|86.77628559|-23.23210974|68.94274882|0.456856406|527.2034213000001|-1254.533926|-15.28752554|0.328915355|16.15533063|-825.5263792000001|34.61874732|0.025956027|-225.1591357|679.7230552999999|17.07995636|0.0|0.0|2.0|4.81|0.0|17.0|-6.69|1.89|78.43|1.72|1.0|0.0|130.24|0.0|1.0|-3.95|5.0|411.46|0.0|0.0|0.0|8.499999999999999e-05|35.0|2.65|2.03e-07|8.340000000000001e-05|3.5511|-1347.479819|702.95|1181.84|349.14|0.4466|554.23|0.70417|-0.14558|6.4473|-0.1955599999999999|0.03469224|-1347.257936|8.1781|48.0|7.3188|7.3188
22_a47|0|1|1|0.0|6.86171134|1.408617385|1.202720059|-0.150248628|2|0.043695652|1.016903613|-0.075111395|1|1|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|0.612295986|0.831122912|-0.077787113|0.004104478|0.890264057|0.591185263|1|-0.089280419|12.19999546|0.301350868|-31.08378631|7.713126784|54.21581266|0.6096864479999999|-1.42848671|71.28682035|-18.73063655|60.71546178|0.4614909829999999|412.2379505|-842.8786448999999|-11.05201291|0.390313552|12.91589555|-497.3405809|30.72175314|0.031534452|-129.440987|482.9384172|18.60690504|1.0|1.0|2.0|3.31|3.16|21.0|-7.69|4.85|84.73|2.97|1.0|0.0|104.64|0.0|1.0|-4.44|6.0|394.38|0.0|0.0|1.0|4.16e-05|0.0164|3.0|2.06e-08|8.11e-06|4017.0|-1375.05033|605.12|1027.32|308.65|0.3367|466.95|0.68312|-0.16704|4.2485|-0.22828|0.02840507|-1374.914437|5.7009|1.0|9.0|9.0
13g_a6|1|0|0|3.457632039|6.842683282|1.424099171|0.0|0.004767264|2|0.043020833|1.648997541|0.073394284|1|1|0.061423911|-0.12414699|-0.215607882|-0.46487852|2|0.836982172|0.774238891|0.095969451|-0.144664763|0.832753533|0.789769968|1|-0.091949419|68.57626488|0.128027951|-44.57717132|8.550546653|0.0|0.7357333540000001|-1.747038966|76.50577593|-22.52633766|63.95581946|0.444443571|607.1336751|-1216.422234|-15.68456028|0.264266646|14.34268783|-846.9662551000001|30.61752948|0.017929016|-328.2712049|744.1359788|12.48355309|1.0|1.0|2.0|3.61|2.34|27.0|-10.57|4.79|103.17|1.13|2.0|0.0|128.63|0.0|0.0|-5.56|5.0|431.49|0.0|0.0|1.0|8.8e-06|0.0038|3.7|2.67e-11|1.15e-08|3.2472|-1386.611265|739.55|1253.71|381.82|0.8442|592.49|0.7034100000000001|-0.1327|10.1708|-0.20806|0.03802398|-1386.364067|13.3225|119.0|6.9245|6.9245
12ao_a36|1|0|0|3.477902101|7.412764017000001|1.297043885|0.0|-0.065314765|2|0.042739018|0.0|-0.113963585|1|1|0.1523047569999999|-0.095253274|-0.1619981409999999|-0.435820128|1|0.90500247|0.82626942|0.040831815|-0.05785124|0.8800240009999999|0.856135378|0|-0.1019516769999999|85.17634667|0.167417241|-44.63177966|7.785557064|0.0|0.7820981779999999|-2.039033535|78.51108393|-24.98362913|63.28698809|0.462968912|550.8740683|-1349.115973|-16.53028876|0.217901822|16.33039817|-892.6355932|31.9443643|0.016708791|-373.2975961|698.847203|11.05528527|0.0|0.0|2.0|4.87|0.0|17.0|-7.01|2.42|69.2|2.38|1.0|0.0|133.84|0.0|1.0|-4.58|4.0|407.47|0.0|1.0|0.0|2.82e-05|0.0115|3.45|9.66e-08|3.94e-05|3.4743|-1310.361099|701.9|1190.17|356.86|0.6249|548.59|0.7045|-0.14207|5.4691|-0.19662|0.03244719|-1310.138396|7.447999999999999|0.03|7.5229|7.5229
19_a34|0|0|0|0.0|7.412764017000001|1.438829424|1.898101852|-0.169170251|1|0.044107744|0.0|-0.143343425|1|1|-0.29861864|-0.255220734|-0.401414514|-0.469568766|1|0.866604574|0.8022000659999999|0.08178394|-0.0235903339999999|0.8582665429999999|0.818710955|0|-0.1255804019999999|131.5318459|0.360097548|-31.24772528|9.850795895|470.4453529|0.662289492|-1.506964829|77.38527508|-19.78189027|76.05407906|0.467358389|319.1993829|-751.7118302|-9.86770272|0.3377105079999999|10.31797048|-374.9727034|29.86894781|0.029554695|-161.90813300000002|337.9440349|14.74262256|1.0|0.0|1.0|3.07|2.77|17.0|-5.03|2.31|69.4|1.08|0.0|0.0|83.95|0.0|2.0|-2.73|5.0|309.32|0.0|1.0|1.0|0.000704|218.0|1.66|9.42e-06|0.00291|4.1721|-1046.606458|538.96|882.87|297.18|0.2189|421.62|0.6897300000000001|-0.1735|3.4272|-0.20251|0.03168624|-1046.509891|5.0441|0.99|6.0044|6.0044
