molecula|SddssS|SaaNH|SssssC|nAHRing|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|FNSA5|PBF|FPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
14s_a23|0.0|0.0|0.0|0|3.336763335|-0.005854379|5.351858133|-0.022580082|0.045277778|0.049317519|0.740898446|-0.298573309|0.010682694|-0.044305947|10.31321812|2|0.009263715|-0.13187015|-0.457212212|0.7837821840000001|-0.1050445769999999|0.846632079|0.659570836|-0.080500435|0.2387634619999999|0.019970955|30.34480575|0.07236376|46.42188642|-33.12848261|8.218681552|82.55990607|0.7748161659999999|-1.610008704|-22.64965286|-21.9751589|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|2316.634024|-14.09722664|0.2251838339999999|7.548546899|14.26730044|6938.271179|144.457092|-662.5696522999999|-352.5931977|1333.003252|633.3278634|0.0|1.0|1.0|3.45|0.05|26.0|-7.99|4.0|105.02|1.0|0.0|1.0|-6.03|445.93|0.0|0.0|7.49e-07|0.000334|0.0|0.0|1.02e-08|3.6828|4.1|3.6828|668.66|336.66|0.3669|336.66|528.82|-2089.2914530000003|-0.1515|-0.22933|0.02112956|6.4428|3.0|8.5482|8.5482
14q_a23|0.0|0.0|0.0|0|3.292130907|-0.0101981219999999|5.351858133|-0.130330047|0.044138322|0.064903564|0.720966302|-0.5608967029999999|0.002243702|-0.058543701|10.31321757|2|0.002496501|-0.033435987|-0.573130981|0.808928963|-0.089657283|0.871119857|0.7333675390000001|-0.096370719|0.227948491|0.02158178|350.836102|0.226805402|155.7136729|-45.42467289|10.17264683|97.13675614|0.777340899|-2.023785094|-42.23665548|-27.24379301|76.3369885|0.472004985|3097.399651|530.8381985000001|2213.1193780000003|-18.70427707|0.222659101|8.732265278|16.53853737|6982.066379000001|152.86702240000002|-953.9181308|-380.8178266000001|1787.418422|693.3423458|0.0|0.0|2.0|3.52|0.04|26.0|-6.96|2.57|148.11|1.0|1.0|1.0|-7.33|454.51|1.0|0.0|6.11e-06|0.00278|0.0|0.0|1.11e-07|3.6431|4.19|3.6431|714.22|340.33|0.4943|340.33|554.59|-1798.3704079999998|-0.14854|-0.23013|0.03458552|12.0503|16.0|7.8069|7.8069
15c_a22|0.0|0.0|0.0|0|1.596256692|-0.005236206|4.727387819|-0.018518519|0.038137255|-0.026986769|1.568396937|-0.298463715|0.003784292|-0.023927419|10.9464374|1|0.004362505|-0.160566657|-0.364626967|0.773044788|0.010828071|0.8353837409999999|0.639264982|-0.080088202|0.615901609|0.024561528|36.22825261|0.133414786|96.05497587|-41.51455167|12.731723|78.22334636|0.661775114|-1.60176404|-34.97658951|-21.75898206|66.26407672|0.462157867|3079.491787|623.9175171|2092.620825|-15.66586856|0.338224886|8.626398368|16.03890406|6882.442370999999|243.5126145|-830.2910335|-232.9472639|1742.625289|731.8178649|0.0|1.0|1.0|3.49|0.08|27.0|-9.28|3.9|109.38|0.0|0.0|1.0|-6.96|445.48|0.0|0.0|1.39e-05|0.00618|0.0|0.0|5.269999999999997e-10|5.7361|4.79|3674.0|715.42|337.46|0.5082|216.15|575.8|-1460.324493|-0.15408|-0.22807|0.03150096|9.0393|737.0|6.1325|6.1325
4m_a46|0.0|0.0|0.16407746|1|2.12888511|-0.000686578|5.587248657999999|0.051308728|0.041865079|-0.302054595|0.0|-0.0329557579999999|0.011122528|-0.142061192|10.94319657|1|0.010359417|-0.029022201|-0.098201489|0.747676221|0.011235955|0.7975218959999999|0.626578283|-0.0672468|0.373463876|0.010905551|6.161736337000001|0.051026123|26.89046601|-18.67596877|3.028720082|35.77391986|0.733236381|-1.008702005|-18.69640205|-11.81288911|41.22460182|0.463006576|2133.331634|500.1036387|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|9.923886653|4750.325312|140.5828543|-280.1395315|-245.828396|724.9776792|486.9589609|1.0|1.0|0.0|3.59|0.29|17.0|-6.88|4.25|54.5|0.0|0.0|1.0|-5.68|328.41|0.0|1.0|2.99e-05|0.00981|0.0|0.0|1.31e-07|6.0419|3.45|4.3476|558.63|285.18|0.2465|205.21|468.63|-1030.929791|-0.18308|-0.23116|0.02920209|5.2326|1288.0|5.8901|5.8901
9_a4|0.0|0.0|0.0|1|2.130445484|-0.00136737|5.4161004020000005|0.016639331|0.040449735|-0.019160308|2.137757657|-0.064266379|0.010709527|-0.091393763|10.92992723|1|0.009731833|-0.076824065|-0.172904817|0.801082857|-0.072130166|0.861113198|0.58669472|-0.069566741|0.472497372|0.009037784|13.6577411|0.062897208|34.22811902|-20.60179129|2.676487872|45.21212204|0.792890434|-1.113067849|-15.58475436|-14.08655666|33.55665428|0.43745176|2359.945586|509.9632679|2012.840082|-7.665782805|0.207109566|5.744374392999999|10.21134541|5387.230364999999|112.7072422|-329.6286606|-318.7769026|763.9415367|489.7528555|1.0|1.0|0.0|3.18|0.19|21.0|-8.16|5.14|43.6|0.0|0.0|1.0|-5.56|360.84|0.0|1.0|1.73e-05|0.0062299999999999|0.0|0.0|6.9e-09|4.7284|3.87|4.0137|586.24|308.91|0.1217|262.21|430.12|-1489.36688|-0.16948|-0.22204|0.02116575|5.4739|48.0|7.3188|7.3188
2_a4|0.0|0.0|0.0|1|0.0|-0.00708265|4.59511985|-0.103346554|0.037777778|0.08246129|0.0|-0.269140683|-0.001386521|0.090707854|10.95268469|0|-0.0016168089999999|0.228655117|-0.3881618|0.802438682|0.1355918559999999|0.847373823|0.912872667|-0.105102755|0.442778552|0.006330673|166.102249|0.257481153|108.4760726|-18.65482233|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|-15.98981578|52.12536246|0.3961813179999999|1623.668791|312.82106489999995|910.3327882|-6.736463618999999|0.156892292|4.710383035|7.800989232999999|3396.86527|66.09827364|-242.5126903|-289.1005902|682.7518749|284.26458360000004|0.0|0.0|2.0|3.33|0.27|12.0|-4.83|2.12|45.15|0.0|0.0|2.0|-6.69|253.3|0.0|1.0|0.0066|1.67|0.0|0.0|1.4800000000000002e-05|5.8961|2.46|3.2230000000000003|458.73|384.69|0.1315|210.28|333.36|-819.771754|-0.14614|-0.16226|0.033037353|3.0946|31.0|7.5086|7.5086
12z_a36|0.0|3.435113772|0.0|2|0.0|-0.007671785|5.351858133|-0.010732275|0.041767677|0.037307819|0.0|-0.421948174|-0.000143196|-0.010881947|10.95429182|1|0.001194592|-0.175397741|-0.433580807|0.826316772|-0.0533649729999999|0.886776351|0.8212311840000001|-0.102674964|0.492335362|0.023371488|114.3931487|0.165209595|109.572766|-45.16471514|10.28066212|15.59091678|0.712682362|-1.848149347|-35.89088901|-24.03445318|69.61568586|0.4577848329999999|2841.692299|553.6621150000001|2451.657399|-15.940487699999998|0.287317638|8.016303367999999|14.78435842|6146.834385|190.5590792|-812.9648725|-282.1167226|1719.920651|642.3830552000001|1.0|0.0|2.0|4.76|0.13|17.0|-6.66|2.75|92.99|0.0|0.0|1.0|-7.08|406.44|0.0|0.0|0.000101|0.0412|0.0|0.0|2.21e-07|3.8969|2.98|3.8969|686.33|318.16|0.4423|318.16|539.36|-1324.951498|-0.1575|-0.2139199999999999|0.03845474|6.5892|5.0|8301.0|8301.0
21c _a23|0.0|0.0|0.0|0|3.311482916|-0.009944003|5.4161004020000005|-0.135572353|0.043130342|0.0645437059999999|0.731360766|-0.576752175|0.003456487|-0.092608459|10.3132171|2|0.0035741379999999|-0.036896213|-0.596546056|0.782543953|-0.060079444|0.838980345|0.7301130229999999|-0.098699133|0.2571258939999999|0.014036138|323.3651097|0.209403563|148.8448086|-49.86692499|7.09164338|94.32302529|0.834557275|-2.171380929|-42.26586935|-28.58195193|69.43902929|0.468609427|3161.1237530000003|561.9588018|2628.628799|-20.31615463|0.165442725|8.945789862|16.83467928|7227.157398|117.597286|-1097.07235|-475.6090385|1849.394223|762.0576580000001|0.0|1.0|2.0|3.68|0.08|26.0|-7.33|3.1|148.11|1.0|1.0|1.0|-7.13|468.53|1.0|0.0|2.35e-06|0.0011|0.0|0.0|4.69e-08|3.6649|4.47|3.6649|747.88|338.3|0.3329999999999999|338.3|587.02|-1837.67081|-0.15089|-0.22981|0.03257532|8.3979|67.0|7.1752|7.1752
9a_a40|0.0|0.0|0.0|0|1.865740741|-0.003680068|5.4161004020000005|-0.020455825|0.0397333329999999|0.168990628|0.921628874|-0.136162501|0.01310675|0.157704751|10.31197235|2|0.011966382|0.016958188|-0.449508498|0.690568477|-0.2990540869999999|0.749764251|0.61091688|-0.072887601|0.002467659|0.011033601|109.9916614|0.062399815|30.17155594|-17.0405052|2.579562688|51.49564873|0.868476591|-1.093314022|-14.03449109|-15.54821024|34.36063715|0.493941591|1971.148912|453.3484005|336.39741360000005|-7.51786994|0.131523409|6.749223592000001|13.33684703|3991.317015|63.59419322|-255.607578|-356.33157|608.6970611|323.79254|1.0|1.0|0.0|3.26|0.06|20.0|-6.4|4.58|58.43|0.0|0.0|1.0|-4.85|291.37|0.0|1.0|3.24e-06|0.000944|0.0|0.0|4.02e-07|4.7066|4.07|3.3192|515.96|373.53|0.4746|263.42|411.01|-1217.825264|-0.13808|-0.20303|0.01109672|5.09|214.0|6.6696|6.6696
12aa_a36|0.0|3.4172704080000003|0.0|2|0.0|-0.011588438|5.351858133|-0.135770278|0.042560386|0.03597264|0.0|-0.672129428|-0.006653538|0.010538281|10.95446449|1|-0.004569485|-0.090926893|-0.53315493|0.833911317|-0.023185884|0.888163057|0.849217847|-0.117270578|0.4679233379999999|0.023617545|132.3194611|0.3110547589999999|212.7097172|-54.83906299|11.04423694|109.0001157|0.731335741|-2.228140982|-49.88002793|-28.21625599|89.09222754|0.44829258|2928.7759760000004|471.12395210000005|2418.848273|-19.29522587|0.2686642589999999|8.05947774|14.60824604|6438.603019|183.7216658|-1041.942197|-316.3903377|2083.417693|689.2886595|0.0|0.0|3.0|4.83|0.13|17.0|-6.14|1.92|112.29|0.0|0.0|1.0|-7.79|424.46|0.0|0.0|0.000304|129.0|0.0|0.0|7.19e-07|3.8899|3.88|3.8899|701.99|318.73|0.4446|318.73|520.19|-1401.389257|-0.15718|-0.20829|0.04550032|4.7433|9.0|8.0458|8.0458
