molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12v_a36|1|0|0|3.468871488|0.0|0|7.412764017000001|2|1.297043692|-0.077763989|-0.008411281|5.351858133|-0.04314418|2|0.041767677|0.073329354|-0.487854327|-0.086194201|10.96020642|1|0.003077071|-0.1430106119999999|-0.239932418|1|0.8913597320000001|0.024751559|-0.041914045|0.84179881|0|-0.105200486|0.027145269|-51.4172081|-69.20675352|113.7463918|0.197708661|-0.033118671|-45.52806671|0.462992841|-33.82511043|-21.78731129|69.27488156|2846.057239|527.7920397|-1176.51481|2328.221818|8.456596706000001|15.71271745|0.8580426609999999|244.9490697|34.71221847|0.02867403|-167.9576969|1874.459798|18.86337805|1.0|0.0|0.0|1.0|0.0|2.0|0.17|-6.69|1.89|78.43|1.72|1.0|0.0|130.24|0.0|-3.95|31.0|-6.93|411.46|0.0|0.0|-4.07|0.0464|35.0|0.0|0.0|2.03e-07|-0.05219|3.8847|2.65|3.7035|-1347.442792|334.77|0.4247|319.16|502.83|-1347.2000369999998|-0.15185|6.1869|-0.20404|0.03275089|14.0|7.8539|7.8539
4_a38 (LY-2157299)|0|0|0|0.0|0.0|1|7.535296702|1|1.343847059|0.050460026|-0.00638266|5.4161004020000005|-0.080432741|2|0.041252955|-0.0501467259999999|-0.325515636|-0.159241692|10.9277672|1|0.003107816|0.028964355|0.0481706809999999|2|0.702976795|-0.041794304|-0.032369326|0.6848692759999999|1|-0.089446059|0.01243241|-52.90108631|-51.11565158|260.7739337|0.2456862269999999|-0.03235283|-29.21101111|71.22674185|-30.23133173|-18.48863993|60.00582329|2501.945802|431.0669496|-868.9660769|1686.693134|6.54753874|12.76426621|0.949475478|122.2274724|23.51893991|0.01379043|-327.0140711|1105.390176|7.880803302999999|0.0|1.0|1.0|1.0|1.0|1.0|0.18|-7.13|3.51|86.69|1.84|1.0|0.0|108.18|0.0|-3.85|28.0|-6.86|369.42|0.0|0.0|-3.99|52.0|0.0375|0.0|0.0|7.45e-08|-0.06|4.65|3.95|3.78|-1198.64695|327.69|0.2|266.68|449.44|-1198.442536|-0.16|5.9043|-0.22|0.03652312|69.0|7.1586|7.1586
14a_a5|1|0|0|2.948727373|0.0|0|6.605297921|1|1.226142247|-0.056730193|-0.0053665219999999|4.59511985|-0.005002101|3|0.027375887|-0.132625457|-0.316624785|-0.086229994|10.9488747|1|0.003668464|-0.010147323|-0.016337128|2|0.7333482170000001|0.144729708|0.047169811|0.71006207|0|-0.078681402|0.0173669719999999|-54.69145586|-53.20786056|134.62273080000003|0.209074444|-0.0271808479999999|-35.98151967|55.04914434|-36.98479273|-18.38089729|66.43577392|2836.468636|534.8590069|-1010.949351|1315.573182|8.424031251|15.89694877|0.88709518|250.3569601|29.18606491|0.024411136|-175.53051609999997|1605.23357|16.50789498|0.0|1.0|1.0|1.0|1.0|2.0|0.2|-8.84|4.38|92.79|1.37|1.0|0.0|123.0|0.0|-4.15|32.0|-7.08|425.48|0.0|0.0|-4.22|0.0304|0.0256|0.0|0.0|1.45e-09|-0.0507699999999999|4.1501|4.3|4.1501|-1390.546425|298.75|0.5853|298.75|508.64|-1390.29207|-0.1676|2.7115|-0.2183699999999999|0.04629687|112.0|6.9508|6.9508
4q_a46|0|0|0|0.0|0.09591943|1|7.832410927000001|1|1.131262631|-0.2520920439999999|-0.001250008|5.587248657999999|0.004704245|2|0.0462962959999999|-0.012611536|-0.066250447|-0.155661124|10.96363644|1|0.012222698|-0.1214838219999999|-0.187559576|2|0.716317772|-0.15266708|-0.121752717|0.703627625|0|-0.070035423|0.014510206|-29.12008262|-39.09149156|38.31894407|0.086449996|-0.021010627|-21.81959712|72.14599138|-16.25388148|-11.72744747|37.21920695|2234.596293|509.9138517|-586.3723734|1491.412605|6.038093227999999|11.78798551|0.952269544|212.350744|18.92875482|0.018430997|-133.46593529999998|946.4377411|10.28758193|1.0|1.0|1.0|1.0|1.0|0.0|0.38|-6.94|4.09|52.83|1.75|0.0|0.0|102.63|0.0|-3.41|26.0|-6.54|348.44|0.0|1.0|-3.89|135.0|0.0449|0.0|0.0|1.14e-07|-0.03042|4.5296|2.57|4.5296|-1108.729426|273.72|0.1432|273.72|510.13|-1108.511662|-0.1903|2.7026|-0.2207199999999999|0.02185677|743.0|6129.0|6129.0
18c_a22|0|0|0|0.0|0.0|1|6.842683282|0|1.194229067|-0.191807441|-0.003749104|4.727387819|0.013131848|2|0.038137255|-0.044828537|-0.213698903|0.009519672|10.31286086|1|0.005597023|-0.078828791|-0.143402172|2|0.7290394929999999|-0.032031791|0.010828071|0.6922232890000001|1|-0.076388478|0.019843706|-40.094865000000006|-52.84635017|30.63947336|0.068926461|-0.028825841|-36.55965924|15.22791009|-27.73804808|-19.94201893|53.82294919|3090.601885|644.1264387|-1056.927003|2574.178324|7.332936064|14.04085897|0.914766316|219.5183688|29.21094233|0.0215181079999999|-252.7737494|1548.179944|14.88645273|1.0|1.0|1.0|1.0|1.0|1.0|0.08|-9.46|4.98|124.4|1.47|1.0|1.0|136.36|0.0|-5.8|34.0|-6.63|461.54|0.0|0.0|-5.1|0.000739|0.0036799999999999|0.0|0.0|3.4299999999999995e-10|-0.07207|5655.0|3.5|3.7222|-1783.5397829999995|333.1|0.2996|219.25|583.88|-1783.277296|-0.15158|1.2938|-0.22365|0.02279458|26.0|7585.0|7585.0
17f_a50|0|1|1|0.0|0.0|2|7.934155233999999|1|1.349854916|-0.2208117919999999|-0.002205848|5.82008293|0.022892513|1|0.03135101|-0.167275895|-0.125733326|-0.028989535|10.94501702|2|0.0129274519999999|-0.247590736|-0.407467272|1|0.758335704|-0.132153434|-0.2257632789999999|0.7241275009999999|1|-0.074859564|0.016414675|-29.10566644|-46.03121141|6.382846132999999|0.088541266|-0.026836447|-28.30463221|82.90209608|-17.89709978|-16.50175503|39.19906437|2582.272632|560.4567739|-874.5930167000001|1929.981543|7.200480876|13.65716648|0.896702|171.48226169999998|22.88344084|0.01617809|-271.9363523|1212.822364|9.947921993|1.0|1.0|1.0|1.0|1.0|0.0|0.26|-6.38|3.83|51.77|2.09|1.0|0.0|116.81|0.0|-3.58|29.0|-6.64|384.48|0.0|1.0|-4.12|102.0|0.0291|0.0|0.0|4.15e-07|-0.0336399999999999|4.0664|2.5|4.0664|-1219.220465|304.9|0.1708|304.9|564.52|-1218.966516|-0.16784|6.1931|-0.20148|0.0276719|398.0|6.4001|6.4001
12ac_a36|1|0|0|3.4419617660000004|0.0|0|7.412764017000001|2|1.297043188|-0.050997272|-0.007639626|5.351858133|-0.073735973|2|0.042560386|0.03586247|-0.450737917|-0.046730704|10.95345846|1|0.0018565629999999|-0.098698552|-0.166354116|1|0.8058720979999999|0.135371136|-0.020272679|0.770400825|0|-0.104391657|0.021508835|-55.68500110000001|-72.4798052|118.0445703|0.220326632|-0.036062573|-50.32319912|20.70356046|-38.66245764|-25.03847816|70.61872461|2902.588755|541.3322795|-1377.116299|2455.459827|8.126831024|14.63702516|0.801074136|186.3198219|34.22211444|0.020208014|-321.66684580000003|1882.216294|14.03055543|1.0|0.0|0.0|1.0|0.0|2.0|0.17|-6.89|2.09|86.27|1.59|1.0|0.0|133.95|0.0|-3.81|32.0|-7.21|423.47|0.0|0.0|-3.95|0.0653|0.0476|0.0|0.0|1.29e-07|-0.0527399999999999|3.8843|4.84|3.8594|-1385.566143|321.25|0.3302|319.2|554.84|-1385.3211789999998|-0.15675|4.0208|-0.20949|0.03998989|13.0|7.8861|7.8861
4e_a46|0|0|0|0.0|0.092094405|1|7.825245291|1|0.300205548|0.1369980459999999|-0.005995748|5.587248657999999|-0.370202917|2|0.041636905|-0.08224348|-0.4017151029999999|-0.058626723|10.31928077|1|0.002688298|-0.030065705|-0.049530834|2|0.738134189|0.075271624|-0.076733489|0.69063113|0|-0.084780904|0.010671173|-63.39469142|-64.33855433|105.0139519|0.246284959|-0.030951758|-48.825259|20.27041189|-48.10898007|-23.48867857|71.49283399|3411.457836|571.9794684|-1479.78675|3129.575458|7.906917146|15.06943449|0.905854609|155.48860530000002|29.54149986|0.0125621839999999|-447.9030518999999|1861.114491|9.533193534|1.0|0.0|0.0|1.0|1.0|2.0|0.27|-8.81|5.93|124.17|2.06|2.0|0.0|137.28|0.0|-6.08|35.0|-6.6|488.6|1.0|0.0|-5.41|0.000405|0.00191|0.0|0.0|1.56e-09|-0.03893|4.2446|8.03|4.1773|-1884.564974|296.81|0.4814|292.1|655.69|-1884.255802|-0.17112|1.9941|-0.21005|0.04805633|154.0|6.8125|6.8125
3c_a49|0|0|0|0.0|0.0|1|7.535296702|1|1.343850149|0.034009672|-0.004876919|5.4161004020000005|-0.016347266|2|0.036335697|-0.04696024|-0.248722888|-0.05815918|10.92976555|1|0.006470561|-0.0612829229999999|-0.101919761|2|0.666785606|0.005559828|0.0211518929999999|0.64702083|1|-0.074135885|0.0148240689999999|-41.0524769|-42.3959176|89.34479838|0.203663616|-0.0252377479999999|-24.24485565|77.29181095|-23.47658531|-14.4326528|49.52988301|2521.794855|455.3990518|-678.3346816000001|1667.1178220000002|6.567311051|12.60874968|0.919925763|207.4607002|22.64931248|0.021783913|-156.9462939|1064.517686|12.45751629|0.0|1.0|1.0|1.0|1.0|1.0|0.18|-7.54|3.87|72.7|1.84|1.0|0.0|109.43|0.0|-3.45|28.0|-6.93|369.42|0.0|1.0|-3.86|0.13|0.0505|0.0|0.0|2.89e-08|-0.0606|5.1584|3.99|3842.0|-1198.634822|322.71|0.4321|240.36|456.22|-1198.430306|-0.15853|3.6122|-0.21913|0.03394942|87.0|7.0605|7.0605
33_a47|0|1|1|0.0|0.0|1|6.823286122000001|0|1.409403453|-0.229935275|-0.004263267|4.727387819|-0.085712613|3|0.034691358|-0.11544858|-0.183320497|-0.033554816|10.98214099|1|0.003634698|-0.147591116|-0.338113214|3|0.63155995|0.065468525|0.1186944519999999|0.607650682|1|-0.083739854|0.022346992|-32.1568697|-44.81989209|30.94680001|0.1802998689999999|-0.0272154529999999|-23.98884914|0.0|-17.2112484|-14.56646493|44.11759955|2311.28828|438.726241|-582.6585971|787.797733|6.979305126|12.94292541|0.854471925|226.5011607|25.25333652|0.029580684|-82.22540944|1010.133461|15.83240237|0.0|1.0|1.0|1.0|1.0|1.0|0.11|-7.08|4.04|68.52|1.52|0.0|0.0|94.28|0.0|-3.26|25.0|-6.78|334.35|0.0|1.0|-3.72|183.0|0.0643|0.0|0.0|8.339999999999999e-08|-0.05462|4.1869|2.06|4.1869|-1123.135036|296.13|0.2566|296.13|423.52|-1122.992964|-0.15985|4.5647|-0.21447|0.02924367|4.0|8.4|8.4
