molecula|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
11f_a5|1|0|0|6.605297921|1|1|0.0|-0.0037371509999999|0.022233547|3|-0.083432989|0.00722997|10.94877949|-0.0080939669999999|1|1|0.008309782|-0.1323098|-0.128153787|-0.203228986|-0.230681941|2|0.785419245|0.756843253|-0.016518403|0.800575032|0.750555185|0|-0.068361657|-0.074612137|0.0221464629999999|-47.57801621|-51.92819555|70.39517801|0.152643862|106.23633909999998|-0.022252743|0.5109475960000001|-1.268406334|-33.11311829|-15.48735657|62.99140465|0.463183664|2853.401015|1125.122028|-10.77881574|5969.213977|-614.3924972|0.030351311|-15.23851001|1727.7296760000002|21.12375879|0.0|1.0|1.0|1.0|1.0|1.0|3.35|0.24|23.0|-8.67|4.61|3.53|1.03|0.0|1.0|-3.95|32.0|-6.99|0.0|1.0|2.95|-4.26|0.000112|5.479999999999999e-05|0.0|0.0|-0.03862|4.4523|4.1356|-1391.7602960000002|1239.35|278.47|0.6593600000000001|0.64937|-0.1691|2.1313|-0.20772|0.03804804|-1391.50739|12.0|7.9208
7g_a8|1|0|1|7.535296702|1|1|1.336155045|-0.01002363|-0.067360394|0|-0.030968098|-0.00087806|10.9431888|-0.027717137|1|1|0.0002620309999999|-0.065174707|0.021974492|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|-0.044866536|0.79995525|0.606087461|0|-0.107714754|-0.1122315669999999|0.031841955|-64.55562181|-67.26263865|144.290464|0.300623857|180.1699331|-0.045912914|0.806738465|-2.020168201|-38.68948451|-27.51653399|83.63914665|0.470618047|2802.2242920000003|2079.55195|-16.4912131|6293.364606|-725.6133762000001|0.018613449|-367.6690814|1500.768277|11.15541466|1.0|0.0|1.0|1.0|0.0|1.0|3.29|0.04|23.0|-7.91|4.94|4.66|3.4|0.0|1.0|-5.78|30.0|-5.63|0.0|0.0|4.14|-5.44|1.67e-06|3.59e-06|0.0|0.0|-0.06621|3.7874|3.7874|-1374.493069|1053.9|327.36|0.62073|0.62073|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|21.03|4.6772
19e_a38|1|0|0|7.412764017000001|2|2|0.0|-0.007550899|-0.10490608|2|0.021678225|-0.001197042|10.94917392|-0.038386106|1|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|1|0.723755855|0.839953955|-0.064035403|0.89459881|0.700181525|0|-0.083623427|-0.10214405|0.02118651|-56.34606212|-68.82539051|118.734325|0.223437407|150.553721|-0.03783113|0.749190974|-2.042881001|-37.96637911|-25.49088538|70.62168376|0.4655978389999999|2920.436229|3426.997928|-17.17594064|6531.762734|-927.5007945|0.020114756|-335.8133169|1837.325672|13.55346651|1.0|0.0|1.0|1.0|1.0|3.0|4.96|0.12|17.0|-7.28|4.03|3.09|2.75|0.0|1.0|-4.94|32.0|-6.39|0.0|0.0|3.3|-4.72|1.15e-05|1.89e-05|0.0|0.0|-0.05139|5.2322|3.8587|-1409.582478|1183.12|236.96|0.41961|0.58509|-0.15584|5.8426|-0.20723|0.03483011|-1409.37733|0.01|8.0083
4S4l_a46|0|0|1|7.825245291|1|1|2.155247543|-0.004736212|-0.075241716|1|-0.067419714|0.0066560469999999|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0|-0.090807851|-0.084663086|0.007140583|-49.45536962|-46.10883478|178.19783940000002|0.105217893|57.30330315|-0.029881089|0.877939134|-1.523935543|-26.93416438|-16.27370639|53.34424204|0.469439238|2166.052483|1744.8220399999998|-8.862913904|4920.211524|-452.0086091|0.006420439|-411.6630752|945.3491632|3.496670823|1.0|1.0|1.0|1.0|1.0|1.0|3.92|0.36|17.0|-7.0|4.64|5.02|3.06|0.0|1.0|-5.28|26.0|-5.23|0.0|1.0|4.08|-5.11|5.25e-06|7.78e-06|0.0|0.0|-0.02015|5.2929|4.1414|-1092.753999|1040.96|234.25|0.57885|0.6763600000000001|-0.17632|2.5083|-0.19647|0.02696794|-1092.543641|261.0|6.5834
3_a47|0|0|0|0.0|0|0|0.0|-0.008740449|-0.130414103|2|-0.013350303|-0.008828261|10.93671092|0.013073797|0|0|-0.007967014|-0.021029826|-0.015388793|-0.024240921|-0.457330633|2|0.900251233|0.720319618|0.022804181|0.780628097|0.815682427|1|-0.083129079|-0.0948001|0.008609292|-43.59237092|-49.71258151|98.29790989|0.145272519|76.18000386|-0.036461577|0.7849694909999999|-1.422001494|-22.85956767|-19.12022366|48.10703|0.403777634|2243.894237|1280.146703|-10.02652614|5022.029588|-391.0345195|0.016230658|-298.8724505|949.95886|8.511255722000001|1.0|1.0|0.0|1.0|1.0|2.0|2.59|0.0|22.0|-8.42|4.32|5.4|2.88|0.0|1.0|-5.54|25.0|-5.16|0.0|1.0|4.02|-5.35|2.86e-06|4.49e-06|0.0|0.0|-0.05717|5.6998|3.7284|-1470.137664|941.44|217.52|0.52977|0.69138|-0.15473|4.0226|-0.2119|0.03619487|-1470.0192869999998|316.0|6.5
1l_a5|1|0|0|6.605297921|0|0|0.0|-0.00183668|-0.0052651969999999|2|-0.111303801|0.008244856|10.94421389|-0.05139414|1|1|0.007613233|-0.179824092|0.0271820189999999|0.043915678|-0.21108114|2|0.7245669790000001|0.7656671279999999|-0.091849662|0.818803517|0.71872376|0|-0.068685233|-0.067755283|0.0078543119999999|-38.79937717|-38.27406105|167.86839980000002|0.109710998|61.974288|-0.026512937|0.769406114|-1.219595099|-21.91725365|-14.9768065|43.23617395|0.47265823|2227.730859|903.1631908|-8.460199385|4665.793689|-389.1691717|0.013054186|-304.3678822|895.4089219|7.374136537999999|1.0|1.0|0.0|1.0|1.0|1.0|2.98|0.14|23.0|-8.83|5.56|5.32|2.57|0.0|1.0|-5.04|26.0|-5.4|0.0|1.0|4.06|-4.98|9.06e-06|1.04e-05|0.0|0.0|-0.04149|4.6403|4.3664|-1069.261615|1033.47|267.19|0.45892|0.57392|-0.1779|2.1987|-0.21939|0.03182983|-1069.101032|32.0|7.4949
9a_a36|1|0|0|7.412764017000001|2|2|0.0|-0.007853595|-0.046964839|2|0.095192109|0.0034852859999999|10.96066876|-0.06502499|1|1|0.00484375|0.160672128|-0.12019672|-0.202876718|-0.398235589|1|0.839235677|0.7885597609999999|-0.1177413269999999|0.842671963|0.79302567|0|-0.073689118|-0.10869601|0.0236784079999999|-45.04449811|-66.44342306|49.52042402|0.1734403769999999|106.0201967|-0.039929147|0.7638345870000001|-1.956528182|-27.53468726|-24.40778806|59.5185754|0.453098452|2682.572663|2167.77208|-14.91993116|5693.562367|-731.0766269999999|0.019513779|-322.5522826|1565.759963|11.92833382|1.0|0.0|0.0|1.0|0.0|1.0|4.69|0.14|17.0|-6.28|3.04|2.04|2.02|0.0|1.0|-3.71|29.0|-6.74|0.0|1.0|1.95|-3.99|0.000197|0.000102|0.0|0.0|-0.05044|3.8677|3.8677|-1252.802159|1092.66|320.56|0.68682|0.68682|-0.15925|5.7274|-0.20969|0.02701893|-1252.636005|13.0|7.8861
18_a47|1|1|0|6.605297921|0|0|0.0|-0.004337918|-0.06345679|3|-0.026357805|0.0008454789999999|10.93838451|-0.016728205|1|1|0.0015586929999999|-0.056674151|-0.02470455|-0.053119347|-0.322800033|3|0.646771311|0.792196273|-0.027351545|0.851462739|0.630969651|1|-0.078937385|-0.084415066|0.014741763|-49.44908758|-52.88049505|70.55642796|0.222175975|139.1786571|-0.0303894239999999|0.7327484470000001|-1.5194711930000002|-30.97660579|-19.03697822|58.68383399|0.432077184|2800.3745940000003|2184.962887|-11.9254166|6261.441874|-596.2708299|0.017318402|-291.6032324|1299.011844|10.84884165|1.0|1.0|0.0|1.0|1.0|2.0|3.47|0.08|27.0|-10.36|5.53|6.0|2.63|0.0|0.0|-5.5|31.0|-5.87|1.0|0.0|4.16|-5.37|3.13e-06|4.29e-06|0.0|0.0|-0.04964|4.2668|4.2222|-1354.221126|1130.76|290.58|0.4659|0.63359|-0.17349|3.4464|-0.22313|0.04031146|-1354.037606|3.0|8.6
16_a47|1|1|0|6.605297921|0|0|0.0|-0.0056780519999999|-0.1246612469999999|2|-0.08282926|-0.005688938|10.95023129|0.0506476009999999|1|1|-0.004153659|-0.236994128|-0.02006804|-0.0574194159999999|-0.3379683979999999|2|0.591929006|0.812131575|0.081171071|0.87782381|0.57616624|1|-0.093207587|-0.092995116|0.0186711289999999|-48.30620628|-48.19609034|63.13219447|0.308139547|159.6978638|-0.034261359|0.697929921|-1.301931629|-25.03540372|-17.75645434|57.9827944|0.473257697|2315.178558|833.8646097|-9.202544293|4952.972679|-349.69668310000003|0.0234786339999999|-205.1602001|966.7808252999998|12.16814835|1.0|1.0|0.0|1.0|1.0|2.0|2.93|0.06|21.0|-8.17|4.47|5.19|2.72|0.0|1.0|-4.34|25.0|-6.04|0.0|0.0|3.52|-4.42|4.56e-05|3.84e-05|0.0|0.0|-0.05717|4.4393|4.0806|-1167.046301|894.43|279.29|0.59209|0.6743899999999999|-0.16851|2.3795|-0.22568|0.03384512|-1166.951551|1.0|9.0
12b_a5|0|0|0|6.605297921|2|2|0.0|-0.001991527|0.023224044|3|-0.021265946|0.0068803119999999|10.94620104|-0.016614746|0|0|0.00751901|-0.033279992|-0.070406884|-0.110182753|-0.1708042239999999|2|0.8417504029999999|0.779793078|-0.033036296|0.819417554|0.8121510009999999|0|-0.066227158|-0.068586754|0.016556707|-41.76622313|-43.25430513|138.67264319999998|0.172386307|108.7155967|-0.020455699|0.530379611|-1.165974822|-26.33991037|-12.90040679|52.20772716|0.480419002|2602.046823|1071.500538|-8.135654442|5501.255679|-463.7323032|0.025810077|-38.31786425|1386.409228|16.27715102|0.0|1.0|0.0|1.0|1.0|1.0|4.05|0.33|18.0|-7.67|3.29|0.72|1.54|0.0|1.0|-2.3|30.0|-7.57|0.0|1.0|1.44|-3.45|0.00503|0.000359|0.0|0.0|-0.10395|4.6156|1.4454|-1276.928859|1149.51|268.62|0.42949|0.70615|-0.06212|5.7174|-0.16607|0.03447919|-1276.9984029999998|42.0|7.3768
