molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1i|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
18_a20|0.0|1|0|0|3.463603867|0.0|0|1.400923654|0.0|4.727387819|-0.12050413|2|0.163548857|1.983673343|-0.005614194|-0.011236836|10.93301779|1|0.003282792|0.7602869659999999|-0.107446431|-0.090732503|0.778639593|1|-0.095227339|0.356461863|-61.73239771|-63.36348363|318.5587088|0.23863824|158.7879106|-0.035934845|-42.1615378|82.70867776|0.8109110409999999|-1.904546783|-41.07622672|-23.91074854|0.483668611|2809.844943|506.6038164|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|125.81822920000002|-843.230756|8.954638548|1.0|1.0|1.0|2.0|3.48|2.76|27.0|4.69|97.55|2.0|0.0|125.07|0.0|0.0|5.0|-5.59|32.0|4.0|-6.13|419.48|1.0|3.78|2.54e-06|0.00107|6.91e-06|3.85|0.0|0.0|9.93e-11|4.17e-08|-0.05604|5.9778|5.35|3.5355|-1352.364724|-1352.32685|703.24|0.2991|207.41|531.11|0.6953699999999999|0.2011|5.3978|-1352.135304|8.0505|34.0|7.4685|7.4685
14c_a23|0.0|0|1|1|0.0|0.0|0|1.197962449|3.349976042|5.351858133|-0.024758731|2|0.04174584|0.743546646|0.010682694|-0.047853455|10.31321813|2|-0.13187015|0.793551289|0.1114214519999999|-0.077808321|0.659570836|1|-0.0800086929999999|0.2273163289999999|-37.73933093|-53.17009158|38.43627129|0.077064961|51.21382308|-0.034046252|-35.33439343|81.41541733|0.7834075309999999|-1.600173862|-25.07982076|-22.62557089|0.459622824|2955.304496|613.3401089|0.2165924689999999|7.832948614|14.49533577|0.8505592829999999|143.9373772|-706.6878684999999|10.88903141|0.0|0.0|1.0|1.0|3.4|3.6|26.0|4.67|105.02|2.0|1.0|125.29|0.0|1.0|5.0|-6.13|31.0|4.0|-6.03|445.93|0.0|4.0|7.49e-07|0.000334|2.83e-06|4.21|0.0|0.0|1.02e-08|4.55e-06|-0.0795299999999999|3.7031|4.1|3.7031|-2089.523959|-2089.501598|693.64|356.0|334.81|549.86|0.56781|356.0|7.2704|-2089.354057|10.369000000000002|2.0|8.6253|8.6253
17a_a6|0.0|1|0|0|3.3685510360000004|0.0|1|1.424257628|0.0|5.351858133|-0.0265090529999999|1|0.04129257|0.0|-0.00460563|0.078798543|10.94948984|1|-0.180339002|0.7722228729999999|0.08716369|-0.106323149|0.8013954109999999|0|-0.109388399|0.350977745|-63.02857512|-71.75703418|157.13173490000003|0.2469173469999999|161.9738174|-0.041567592|-47.07146289|554.1936506|0.77193498|-2.078379577|-41.34573382|-27.26767299|0.483320982|2816.084228|494.010135|0.22806502|8.337470517|16.13665395|0.935437602|149.60699319999998|-894.3577948999999|12.99374518|1.0|1.0|1.0|2.0|3.52|2.88|23.0|4.32|95.85|2.0|0.0|116.79|0.0|1.0|5.0|-5.81|31.0|5.0|-5.89|409.44|1.0|3.59|1.56e-06|0.000637|6.69e-06|4.09|0.0|0.0|9.77e-10|4e-07|-0.05753|3.5421|4.04|2.9753|-1350.102634|-1350.078838|696.96|0.3933|350.03|574.02|0.7024|0.0101|4.1627|-1349.892285|5604.0|24.0|7.6198|7.6198
9_a27|0.0|1|0|0|2.627701427|0.0|0|1.391067068|1.830911754|4.727387819|-0.050617284|2|-0.152086653|1.233610009|0.00611794|-0.051160217|10.93740461|1|-0.171520296|0.8214321609999999|0.017503266|-0.071974951|0.654138816|1|-0.088404481|0.36853691|-40.3551562|-45.58003501|128.27738490000002|0.2011355289999999|103.702486|-0.033677898|-23.50038785|65.12542467|0.7892801540000001|-1.414471696|-20.80651808|-17.36382286|0.466349763|2256.4955670000004|411.8826346|0.210719846|5.03925321|9.442988795|0.873886547|108.6440173|-376.0062056|7.488512291|1.0|0.0|1.0|1.0|3.12|2.62|21.0|3.04|76.46|0.0|0.0|97.46|0.0|1.0|3.0|-4.06|25.0|4.0|-6.33|331.37|1.0|2.99|8.66e-05|0.0287|8.28e-05|2.8|0.0|0.0|8.69e-08|2.88e-05|-0.0471|5.5421|4.67|4.1673|-1083.143348|-1083.118736|549.64|0.1982|223.71|425.08|0.59444|134.0|2.7456|-1083.017359|4.0436|2.0|8699.0|8699.0
5_a47|0.0|0|0|0|0.0|0.0|0|1.304329328|0.0|0.0|-0.188550227|2|0.003858593|1.284688504|-0.012670377|-0.002627182|10.9367109|0|-0.0428873159999999|0.795032176|0.065981732|0.0743193|0.675164258|1|-0.1001981959999999|0.526509524|-46.33853208|-52.90420509|104.9032216|0.192042245|101.3974575|-0.038537768|-27.93318665|0.0|0.781571204|-1.502972943|-24.46654029|-20.34777119|0.4736061789999999|2368.870941|426.5981263000001|0.218428796|5.861037845|11.13432113|0.8997183470000001|115.3294396|-418.9977997|9.240842159|1.0|1.0|1.0|2.0|2.67|2.79|22.0|5.96|58.04|2.0|0.0|101.51|0.0|1.0|3.0|-5.65|26.0|4.0|-5.19|365.79|1.0|4.29|2.25e-06|0.000824|3.18e-06|4.7|0.0|0.0|2.07e-09|7.590000000000001e-07|-0.05535|3.7083|4.37|3.7083|-1569.369195|-1569.333281|561.61|0.2108|334.35|401.16|0.69291|0.2108|2.9121|-1569.258939|3.8816|0.02|7.7|7.7
8f_a12|0.0|0|1|1|0.0|0.0|1|0.609895166|0.0|4.59511985|-0.062406088|2|-0.013400998|2.177023629|-0.002596875|0.028505422|10.31134658|1|-0.125424286|0.7475224290000001|-0.13747286|-0.042014638|0.8409290840000001|1|-0.098932601|0.285353468|-41.27611074|-56.220383|83.13642146|0.130176823|73.97552223|-0.03822396|-31.9483307|0.0|0.8381234340000001|-1.6818542230000002|-23.45595611|-21.72151161|0.460344828|2541.921472|494.2940092|0.161876566|7.016225129|13.00131176|0.853035146|91.98952021|-543.1216218999999|6.836832748|1.0|1.0|1.0|1.0|4.09|3.26|21.0|3.41|78.41|2.0|0.0|115.66|0.0|1.0|3.0|-5.7|27.0|4.0|-5.47|369.44|1.0|3.82|1.99e-06|0.000735|5.72e-06|4.34|0.0|0.0|3.79e-09|1.4e-06|-0.06179|4.1744|4.19|3.6536|-1481.146454|-1481.115891|606.97|312.0|297.01|441.97|0.65098|0.2466|0.9092|-1481.008909|1.4701|646.0|6.1898|6.1898
13n_a6|0.0|1|0|0|3.425442623|0.0|0|1.4290206230000002|0.0|4.727387819|-0.135152403|2|0.058267173|1.628408574|-0.0093684169999999|-0.06507689|10.95053349|1|-0.118693789|0.7767360059999999|-0.064779873|-0.056293641|0.82642394|1|-0.109392959|0.307384948|-68.88015714|-75.07706271|90.97854097|0.29109784|199.7822434|-0.038490115|-51.52585133|103.012404|0.748967057|-2.078466222|-47.27287681|-26.41600355|0.47066442|2952.259627|486.5239262|0.251032943|8.872063579|16.76075427|0.889160748|172.28545730000002|-978.9911754|13.66031867|1.0|1.0|1.0|3.0|3.55|1.9|27.0|3.76|122.47|1.0|0.0|127.2|0.0|1.0|6.0|-4.64|33.0|5.0|-7.23|435.48|1.0|2.62|2.27e-05|0.00987|5.24e-05|2.43|0.0|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|4.27|3.3510000000000004|-1423.765005|-1423.714738|727.69|0.9117|257.31|548.09|0.64027|0.1945|7.1946|-1423.514154|10.1967|75.0|7.1249|7.1249
1_a3|0.0|0|0|0|0.0|0.0|1|0.6195934120000001|0.0|4.727387819|-0.073036903|2|-0.004409693|2.194605012|-0.006610844|0.038572075|10.33805862|0|0.08803837|0.7905285390000001|-0.126299711|0.057919092|0.943582278|1|-0.0925710269999999|0.521474118|-45.44133321|-42.54530997|289.8942564|0.2237487219999999|102.8341051|-0.034105115|-19.55367089|0.0|0.7920857179999999|-1.295994381|-20.88467272|-15.67458788|0.4490711529999999|2012.9704|356.76228530000003|0.207914282|4.984064981|9.046658216|0.8151164259999999|95.55665364|-273.7513925|6.514493077999999|1.0|1.0|1.0|1.0|3.83|0.0|16.0|1.85|77.1|0.0|0.0|91.52|0.0|2.0|2.0|-3.07|22.0|4.0|-6.87|306.38|0.0|1.5|0.0008529999999999|261.0|0.000503|1.83|0.0|0.0|1.69e-06|0.000518|-53.0|5.8805|2.08|3.8645|-1273.316428|-1273.290432|496.09|0.1775|210.84|316.61|0.68912|0.0096|2.2332|-1273.22339|3.4319|724.0|6.1403|6.1403
3_a27|0.0|0|0|0|0.0|0.0|0|1.402697639|3.127072625|4.59511985|-0.096132106|2|-0.172132163|1.177265999|0.009082086|0.042659548|10.93782973|1|-0.341338963|0.810053853|0.136381755|0.038685745|0.610158103|1|-0.086153958|0.397733752|-31.82136336|-44.61323499|10.71226495|0.137884078|71.40072181|-0.032307734|-23.10213938|57.97805043|0.733853752|-1.292309364|-16.47810502|-16.72996312|0.44566003|2294.213272|446.4308003|0.266146248|6.457886343999999|11.64968556|0.803947133|137.8189165|-346.53209080000005|9.707911187|1.0|0.0|1.0|0.0|3.03|3.11|21.0|2.94|65.6|0.0|0.0|97.71|0.0|2.0|3.0|-3.7|25.0|4.0|-6.41|329.36|1.0|2.74|0.0002|0.0658|0.000103|2.67|0.0|0.0|1.29e-06|0.000423|-0.05512|5.5045|4.92|3962.0|-1081.905135|-1081.88481|547.92|0.2305|225.24|425.72|0.6734600000000001|0.2208|2.7811|-1081.794829|4.1551|4.0|8.3979|8.3979
1_a6 (SB-431542)|0.0|1|0|0|3.3674017380000003|0.0|1|1.430935835|0.0|5.351858133|-0.175408303|1|0.1008839219999999|0.0|-0.011639964|-0.029658865|10.94959842|1|-0.033765606|0.7462411859999999|-0.08530265|-0.083341531|0.795744863|0|-0.122555709|0.210050443|-74.98172333|-72.69619778|160.410387|0.405958714|240.8019609|-0.0462988229999999|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|-27.46300805|0.472445176|2678.823231|352.3666367|0.2468003389999999|7.523839331|14.26172029|0.895537592|146.3942108|-733.0587287000001|14.4623285|1.0|1.0|1.0|2.0|3.25|2.35|23.0|3.63|103.12|1.0|0.0|106.85|0.0|1.0|4.0|-4.52|29.0|5.0|-6.73|384.39|1.0|2.85|3.03e-05|0.0116|5.660000000000001e-05|2.7|0.0|0.0|2.03e-08|7.81e-06|-0.05971|3.8208|4.57|3295.0|-1292.588032|-1292.553086|619.92|0.5765|324.5|464.07|0.69868|0.3346|6.0113|-1292.41452|8.8611|1542.0|5.8119|5.8119
