molecula|SddssS|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|RPSA|WNSA5|WPSA3|RPCS|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
17_a47|0.0|1|3.011740664|0|0|1.4168589319999998|0.0|-0.181485377|-0.019259259|0.031802469|-0.105849578|-0.2032813319999999|0.0042378929999999|0.075303828|1|0.004477366|-0.180898239|-0.0184347939999999|-0.031505291|-0.3004189439999999|0.75807704|-0.010871607|0.814790949|0.7666613659999999|1|0.852282407|-0.07185129|-0.082994667|-50.62550618|7.87914003|68.64478326|0.147717593|-30.88080199|4.806157636|0.0|60.33408274|-18.22518223|51.70735256|2672.497352|519.8795281|-911.2591113|1573.836082|0.2542482339999999|7.055517075|13.10144249|0.8569074879999999|5854.9736840000005|155.087622|24.43867122|0.0159160889999999|1221.9335609999998|9.708576558|1.0|1.0|1.0|3.44|0.08|27.0|-10.1|5.12|5.44|2.26|0.0|4.0|30.0|4.0|-5.83|0.0|1.0|3.85|3.98e-06|6.11e-06|0.0024|4.03|7.96e-11|3.12e-08|-0.04873|-1254.985125|-1254.943823|656.78|1127.7|289.79|0.6844100000000001|0.4308|-0.17606|0.04130125|5.6949|5.0|8.3|8.3
17_a12|0.0|0|0.0|0|1|0.610029543|0.0|0.132275232|-0.058347964|0.035816993|-0.210594127|-0.38018419|-0.002523977|-0.072956553|1|-0.000651751|-0.3748198379999999|-0.113649923|-0.202276514|-0.559137213|0.8198617429999999|-0.11976662|0.87653892|0.859088647|0|0.858119365|-0.069570363|-0.096209886|-50.13411606|5.849860887999999|69.36398419|0.141880635|-26.12444199|3.048310481|0.0|57.97616997|-18.34174978|42.10235809|2246.161353|447.1583691000001|-752.0117408|1470.257187|0.213298781|5.669161963|10.61752641|0.8728564259999999|4866.339908|111.1480977|23.31475957|0.015049295|955.9051425|7.842053909|1.0|1.0|0.0|4.13|0.17|17.0|-7.16|4.51|2.56|2.47|0.0|3.0|24.0|4.0|-6.07|1.0|1.0|3.14|3.1e-05|5.7100000000000006e-05|0.0191|3.19|6.97e-08|2.32e-05|-0.06322|-1366.804178|-1366.776169|560.09|933.62|281.69|0.62783|148.0|-0.15459|0.02800938|2.9806|16.0|7.7959|7.7959
12bc_a36|0.0|0|3.43846811|0|2|1.284647662|0.0|-0.058020733|-0.042515909|0.04625323|0.068351685|-0.413738077|-0.001012333|-0.079009683|1|-0.00097037|0.115647623|-0.101451485|-0.1716508239999999|-0.442519304|0.836170906|-0.045186455|0.892249657|0.771220556|0|0.834305498|-0.077192869|-0.107107992|-71.97763346|12.2593899|83.35308244|0.165694502|-48.36968394|8.238431664|0.0|83.97121855|-25.91194805|64.13376391|2927.476132|560.6615736|-1295.597402|2623.395239|0.22853193|8.273766079|15.54183457|0.878447423|6587.689277|153.57572439999998|33.5878425|0.017847333|1679.392125|11.99358509|1.0|0.0|1.0|4.73|0.14|17.0|-7.76|3.99|3.19|2.99|0.0|5.0|31.0|4.0|-6.26|1.0|1.0|2.82|8.27e-06|6.55e-06|0.00295|3.93|1.74e-08|7.83e-06|-0.05828|-2152.134749|-2152.100551|705.12|1188.37|237.57|0.69094|0.3478|-0.15671|0.03419831|9.2445|8.0|8.0969|8.0969
12j_a36|0.0|0|3.502198129|0|2|0.6293514410000001|0.0|-0.084183025|-0.0446165029999999|0.039061728|0.091496219|-0.41101009|0.00285431|0.039869055|1|0.003710345|0.161289379|-0.07550872|-0.133106642|-0.436310965|0.820041835|-0.089459459|0.87043328|0.855081905|0|0.852586292|-0.069970795|-0.105480639|-69.66341599|11.99396966|26.39145693|0.147413708|-46.00836307|7.921272637|2.098786266|80.59149538|-24.51120192|58.20533756|2881.20453|563.0803357000001|-1323.6049039999998|2536.987511|0.224187058|7.483427579|13.78874575|0.8425708820000001|6352.018345|148.06163930000002|31.59421634|0.016546717|1706.0876829999995|10.92807939|1.0|0.0|1.0|4.86|0.17|17.0|-7.05|3.33|2.61|2.51|0.0|6.0|31.0|4.0|-6.64|0.0|0.0|2.33|1.4300000000000002e-05|3.09e-05|0.0132|3.19|8.95e-08|3.83e-05|-0.05098|-1670.448063|-1670.420129|694.28|1198.96|238.1|0.69967|98.0|-0.15495|0.02793415|8.5953|0.01|8.0|8.0
12ag_a36|0.0|0|3.408828027|0|2|1.297044434|0.0|-0.042092217|-0.084341564|0.043848238|0.063109409|-0.436614203|-0.002526241|0.0070889269999999|1|-0.000673716|0.135431487|-0.101303149|-0.217394466|-0.445549431|0.835013502|-0.0861053359999999|0.8910146309999999|0.698414933|0|0.7468300940000001|-0.082492792|-0.1081585809999999|-68.21579593|12.70005599|85.84609192|0.253169906|-43.02381535|8.009946323|0.0|80.40643223|-24.55768654|64.72839664|2773.9654530000003|471.0269757|-1227.884327|2305.164626|0.2411026289999999|7.849377942|15.13240062|0.927847116|5906.879919|152.06382680000002|32.35969377|0.019328689|1617.984688|12.1906363|1.0|0.0|1.0|4.72|0.14|17.0|-6.86|3.13|2.44|2.4|0.0|5.0|30.0|5.0|-6.76|1.0|0.0|2.15|0.000129|6.96e-05|0.0278|2.78|1.4e-07|5.58e-05|-0.05486|-1332.185403|-1332.151245|658.68|1112.68|318.79|0.7024699999999999|0.0191|-0.15227|0.03415856|7.5405|17.0|7.7696|7.7696
21_a34|0.0|0|0.0|1|2|1.425532331|1.88614418|0.026135784|-0.091664226|0.036880342|-0.125881566|-0.7020096440000001|-0.001643445|-0.004734657|1|0.00130996|-0.201539853|-0.254686357|-0.407759867|-0.514364527|0.740092842|-0.015568862|0.796991578|0.660871869|0|0.676390843|-0.09533089|-0.117789944|-79.03896823|22.9240533|168.9671187|0.323609157|-53.03643341|15.38241267|77.34839362|95.12565978|-27.89610644|86.89263143|3115.110331|453.8692584|-1422.701428|2429.6035|0.271739906|7.253455092999999|13.65523159|0.882583047|7048.305909000001|182.341897|38.30514214|0.023973624|1953.562249|16.08669155|0.0|0.0|1.0|3.43|0.12|23.0|-7.68|3.64|3.23|1.72|0.0|4.0|33.0|6.0|-6.83|0.0|0.0|3.03|3.14e-05|1.94e-05|0.0085|3.02|2.07e-08|9.06e-06|-0.07534|-1483.3359380000002|-1483.305698|698.17|1182.6|288.26|0.69292|0.0002|-0.13338|0.03023936|7.9399|3.36|5.4737|5.4737
34_a20|0.0|0|0.0|1|0|1.416932073|1.877209467|0.0305860929999999|-0.104520106|0.0396875|0.199191385|-0.328567476|0.003085806|-0.046356705|1|0.003149352|0.327535029|0.0346782989999999|0.057022334|-0.4478820739999999|0.74801464|-0.090732503|0.80310139|0.690530489|1|0.7966571459999999|-0.0851907119999999|-0.085459595|-57.49912174|8.766605631000001|297.5548445|0.203342854|-38.68669181|5.898367836|80.66541842|67.53437417|-21.69778179|66.0848174|2825.042137|536.0086996|-1149.982435|2319.742032|0.223585914|7.940146766|14.7802149|0.8614536140000001|6211.26199|150.43359099999998|27.94614651|0.01491516|1481.145765|10.03525243|1.0|1.0|1.0|3.43|0.08|27.0|-9.18|4.5|4.62|2.47|0.0|5.0|32.0|4.0|-6.28|0.0|1.0|3.63|7.27e-06|9.51e-06|0.00399|3.63|6.64e-10|2.780000000000001e-07|-0.05181|-1352.31921|-1352.2836220000002|711.19|1205.64|229.04|0.68845|0.0766|-0.16103|0.03558836|5.4994|61.0|7.2147|7.2147
13j_a6|0.0|0|3.409065702|0|1|1.430640326|0.0|0.0353600779999999|-0.154502515|0.041728395|0.07522656|-0.855284356|-0.011017781|-0.0951246069999999|1|-0.007703306|0.121750719|-0.045418125|-0.073507141|-0.562698347|0.783333463|-0.079161042|0.8353837409999999|0.830577798|0|0.6229641429999999|-0.120219472|-0.129511589|-86.54032868|20.78979124|180.6709018|0.377035857|-57.82670518|13.89184843|114.6910805|99.85109065|-31.02389141|101.1210779|2907.3053210000003|416.2679342|-1644.266245|2634.320708|0.215833159|8.741405506|15.43329684|0.765539515|6276.316063|144.22085800000002|39.56287079|0.0199201689999999|2096.832152|13.31076198|1.0|1.0|1.0|3.56|0.12|23.0|-8.5|4.16|3.54|1.18|0.0|6.0|32.0|5.0|-6.81|0.0|1.0|2.82|9.32e-06|3.28e-05|14.0|2.95|3.18e-09|1.36e-06|-0.0488899999999999|-1426.5532050000002|-1426.520775|712.52|1196.6|339.64|0.7045100000000001|0.0259|-0.14602|0.03242949|10.9731|262.0|6.5817|6.5817
9_a10|0.0|0|0.0|1|1|1.377786667|1.998759814|-0.096384071|-0.032199235|0.03590535|-0.048732912|-0.285441469|0.007316125|-0.1189611519999999|1|0.007847998|-0.079150788|-0.1475423119999999|-0.239634564|-0.362724972|0.791322552|-0.169389445|0.837889476|0.692424727|1|0.8694452140000001|-0.057690053|-0.084348428|-59.80726117|9.815155744|86.66800495|0.130554786|-42.40634438|6.959437141|59.95939417|71.07688871|-20.27364785|50.72029356|2904.874289|616.4802143999999|-1196.145223|2284.568215|0.26870822|8.765421221|16.02210901|0.827876677|6606.83687|190.5275895|27.72306267|0.015893979|1635.660698|11.26962754|1.0|1.0|1.0|4.0|0.23|21.0|-7.93|3.69|3.68|1.81|0.0|7.0|33.0|5.0|-6.87|1.0|0.0|3.07|5.920000000000001e-05|3.64e-05|16.0|2.97|1.17e-08|5.14e-06|-0.06118|-1410.041793|-1410.005954|740.24|1278.57|222.72|0.68962|0.0041|-0.15045|0.03583924|4942.0|193.0|6.7144|6.7144
19c_a38|0.0|0|3.332128134|0|2|1.297043851|0.0|-0.085545751|-0.04575843|0.04508642|0.02192428|-0.449745181|-0.004442319|-0.0725602509999999|1|-0.002443797|0.04814981|-0.09493054|-0.20848518|-0.434836855|0.846765471|-0.071918235|0.908721232|0.6885713729999999|0|0.7591916240000001|-0.0918007669999999|-0.108301657|-68.18641054|15.30924906|139.1570837|0.240808376|-42.92996714|9.638658988|4.848162625|82.74311399|-24.06579196|73.10674676|2967.98627|477.9848537|-1227.35539|2660.812979|0.281292809|6.97753104|13.36189552|0.914989047|6618.350708|177.10114030000005|33.48483537|0.023120664|1707.726604|14.55670345|1.0|0.0|1.0|4.84|0.13|17.0|-6.92|3.17|2.42|1.76|0.0|5.0|32.0|5.0|-7.13|0.0|0.0|2.57|4.46e-05|7.55e-05|0.0322|2.5|1.2099999999999998e-07|5.14e-05|-0.05691|-1424.42734|-1424.3899310000002|652.09|1138.6|210.74|0.6279899999999999|0.1417|-0.15612|0.03740877|3.2846|9.0|8.0348|8.0348
