molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC7i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|pIC50|pIC50
17_a3|0.0|0|0|0|0.0|0|0|0.605019885|0.0|0.188373421|-0.009450704|-0.118246266|-0.015463451|-0.349676046|-0.007540435|-0.041723219|10.31163036|1|-0.027542873|-0.633373061|2|0.881253042|0.1789147639999999|0.838125715|0.773152968|1|0.803075623|-0.098658557|0.225087454|-48.88298017|0.1969243769999999|100.2028184|-0.039557272|-24.87357062|76.17242478|2196.728425|-684.3617224|-10.24205849|0.159937821|6.2477303310000005|11.12358659|0.780420408|4839.543958|23.96047156|0.012803096|-346.0738521|814.6560331000001|353.7528308|6.514715538|1.0|1.0|1.0|3.13|2.65|21.0|-7.48|4.96|4.66|92.93|1.0|95.5|2.0|23.0|3.0|0.0|0.0|-4.93|1.18e-05|0.00399|0.0|3.28e-08|1.11e-05|3.57|3.2102|-1731.75233|-1731.72355|537.32|891.3|0.4062|386.22|393.58|0.69481|0.69481|-1731.6147670000005|3.8077|-0.20359|7.6383|7.6383
5_a4|0.0|0|0|0|0.0|1|1|1.343864516|2.166832955|-0.196773454|-0.001215982|0.02257929|0.012532807|-0.0607990979999999|0.011630756|-0.050389825|10.92992834|1|0.0202481919999999|-0.164263889|2|0.655087104|-0.165454845|0.820886786|0.650346601|1|0.943148502|-0.050732198|0.431132276|-36.64215945|0.056851498|30.54859623|-0.025201292|-19.68930579|46.53110402|2282.291204|-622.9167106000001|-7.276482574|0.192648413|5.758733969|9.823391314|0.7058248159999999|5059.243919|16.77294978|0.009538616|-330.3047347|771.5556899000001|518.5792364|5.125482045|1.0|1.0|1.0|3.27|3.08|21.0|-7.96|4.89|4.67|43.6|1.0|104.89|3.0|26.0|3.0|0.0|1.0|-4.84|1.4499999999999998e-05|0.0049299999999999|0.0|1.09e-08|3.71e-06|3.71|4.0239|-1069.27374|-1069.251223|595.55|1013.0|0.1106|255.2|421.24|0.60407|0.6019899999999999|-1069.051141|2.7859|-0.21857|7.1487|7.1487
4i_a46|0.0|0|0|0|0.19654443|1|1|1.1346370959999998|2.184105962|-0.167244168|-0.002360192|-0.018872727|-0.088884176|-0.127450387|0.012211602|-0.160741899|10.94638684|1|-0.133434195|-0.22302552|1|0.7204791309999999|-0.0656636|0.786754478|0.7172344890000001|0|0.940780437|-0.058565229|0.263514985|-42.48203383|0.0592195629999999|33.45060163|-0.025069479|-23.99628633|70.55661087|2200.19132|-722.1945751000001|-7.998762108999999|0.2361682219999999|6.218233741000001|10.47951666|0.685288314|4893.587424|18.53900079|0.011626803|-298.0546045|945.4890404|579.2365607|6.567484272000001|1.0|1.0|1.0|3.88|3.5|17.0|-7.3|4.79|5.07|39.94|1.0|105.43|3.0|26.0|3.0|0.0|1.0|-5.04|9.13e-06|0.00317|0.0|5.04e-08|1.75e-05|4.46|4.4232|-1092.730494|-1092.70435|611.74|1058.5|0.2805|229.66|546.24|0.41877|0.69035|-1092.473422|2.8538|-0.20084|6.2132|6.2132
15a_a22|0.0|0|0|0|0.0|1|0|1.4229176680000002|1.646649187|-0.136588366|-0.0050042229999999|-0.052476637|0.021482585|-0.280236463|0.005288335|-0.057308195|10.9464374|1|0.036467904|-0.360663314|2|0.6819423609999999|-0.09744639|0.794858486|0.655865336|1|0.86664032|-0.061755825|0.410151945|-55.4621036|0.13335968|90.52525878|-0.031425179|-37.6479704|65.53409434|2884.815511|-1109.242072|-14.47998862|0.297264929|8.157552588|14.6895113|0.800725296|6322.278103000001|30.3550786|0.0216014629999999|-275.2352849|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|3.42|2.86|27.0|-9.21|3.87|4.31|85.59|1.0|124.05|6.0|32.0|5.0|0.0|0.0|-4.68|2.1e-05|0.00881|0.0|6.1e-10|2.56e-07|4.98|3.6496|-1368.35331|-1368.321775|696.57|1189.31|312.0|245.14|541.27|0.41078|0.69076|-1368.0755869999998|5.2588|-0.21285|6.8447|6.8447
11c_a31|0.0|1|0|0|0.0|0|1|0.6101368770000001|0.0|0.069254998|-0.0184155389999999|-0.141329185|-0.031640011|-0.847114804|-0.011679927|-0.137912959|10.31169916|2|-0.0512371409999999|-0.572548808|0|0.825336018|0.013528742|0.8906705429999999|0.787929678|0|0.564143263|-0.138002689|0.3608415239999999|-82.24513417|0.435856737|255.2562173|-0.042457317|-48.16624372|70.98337779|2470.585429|-1069.186744|-14.56188764|0.323910768|7.259183801|13.95917988|0.922968238|5329.481371|36.77740577|0.029155542|-206.2506659|1581.428448|449.7512005|17.07472346|1.0|1.0|1.0|3.51|2.66|16.0|-5.84|5.04|3.64|125.57|1.0|97.32|6.0|26.0|6.0|0.0|0.0|-3.98|0.000105|39.0|0.0|1.45e-06|0.000537|4.47|3.8551|-1559.3980869999998|-1559.353434|622.22|1022.77|0.2627|321.61|512.9|0.7005899999999999|0.7005899999999999|-1559.194237|5289.0|-0.19526|6.8861|6.8861
12w_a30|0.0|0|0|0|0.0|0|2|0.604983445|0.0|0.063514061|-0.007019432|-0.0316452179999999|-0.0999572419999999|-0.372029919|0.002431329|0.028815747|10.31162873|1|-0.173643543|-0.477636454|1|0.8149999040000001|-0.032835151|0.889479916|0.711738503|0|0.8522163970000001|-0.076611264|0.4274948739999999|-65.85056003|0.147783603|101.3366249|-0.037237182|-45.15435649|0.0|2999.810425|-1251.160641|-17.50883211|0.192202301|8.063690539|14.70077638|0.8230829059999999|6888.291006999999|31.60926388|0.014471302|-422.1196298|1548.85393|685.6665849999999|9.923109661|1.0|1.0|1.0|4.63|0.0|17.0|-7.8|5.11|3.92|81.65|2.0|137.3|5.0|31.0|4.0|0.0|0.0|-6.04|9.14e-07|0.0004269999999999|0.0|1.58e-08|7.39e-06|5.08|3.5585|-2494.966575|-2494.932002|716.83|1211.28|0.2639|244.87|577.06|0.31353|0.68423|-2494.743475|2.4229|-0.20755|7821.0|7821.0
12s_a36|0.0|1|0|0|0.0|0|2|1.297044029|0.0|-0.057853364|-0.007059109|-0.045035034|0.037454164|-0.4023692|0.002951176|0.0056370119999999|10.95352614|1|0.063448144|-0.434472457|1|0.90414347|-0.118671653|0.856677627|0.856274847|0|0.8303378090000001|-0.07216709|0.4314309979999999|-64.57958827|0.169662191|109.5085883|-0.035868226|-41.6829437|10.23927133|2710.355028|-1227.012177|-14.94294208|0.245801617|7.545963801|13.98635088|0.853487672|5890.905249|30.69639722|0.018222417|-328.1450742|1626.909053|662.0530478999999|11.76167282|1.0|0.0|1.0|4.85|0.0|17.0|-6.97|3.24|2.19|69.2|1.0|128.72|5.0|30.0|4.0|0.0|1.0|-4.3|5.05e-05|0.02|0.0|1.08e-07|4.270000000000001e-05|3.48|3.7604|-1272.270833|-1272.236664|683.24|1150.67|0.4501|319.95|523.72|0.6843600000000001|0.6928|-1272.00109|6.6068|-0.20467|8.0458|8.0458
12az_a36|0.0|1|0|0|0.0|0|2|1.297042831|0.0|-0.196183836|-0.009570959|-0.040156368|0.078817323|-0.593399474|0.000482522|-0.024018255|10.95957115|1|0.129156742|-0.387734368|1|0.884226781|-0.061924322|0.858971809|0.8350231859999999|0|0.819163613|-0.071762413|0.411597359|-75.58351856|0.180836387|126.71905359999998|-0.033474609|-52.96429617|8.104966044|3039.528467|-1360.503334|-16.43719536|0.416134994|8.449849817|15.73229538|0.861843195|6700.839465|40.17530387|0.034594361|-117.53490990000002|2330.167624|766.4854363|24.24160725|1.0|0.0|1.0|4.96|0.0|17.0|-6.79|2.83|1.9|87.66|1.0|136.74|7.0|33.0|6.0|0.0|0.0|-4.15|7.13e-05|0.0315|0.0|1.6100000000000005e-07|7.11e-05|2.68|3.6095|-1461.990465|-1461.962459|737.12|1252.18|0.4383|319.03|576.54|0.69385|0.70333|-1461.686269|6.3778|-0.19846|7.2366|7.2366
11a_a31|0.0|1|0|0|0.0|0|1|0.610138462|0.0|-0.045290366|-0.02376325|-0.259732443|-0.087576474|-0.8792402579999999|-0.022093578|-0.1217573119999999|10.31170041|2|-0.149933348|-0.563537536|0|0.861302755|0.022073976|0.910334509|0.819138461|0|0.486754956|-0.151872243|0.271818874|-81.26889906|0.513245044|259.0291941|-0.056833284|-41.01552988|71.03772901|2288.9694010000003|-975.2267888|-14.47606937|0.264745055|5.791411901|10.5643234|0.8241360790000001|4940.657452|39.01114987|0.031626337|-237.4612264|1326.379096|302.14325319999995|15.96146849|0.0|1.0|0.0|3.26|2.16|16.0|-4.65|3.93|2.94|125.57|0.0|83.12|3.0|23.0|6.0|0.0|0.0|-3.79|0.000161|0.0531|0.0|2.22e-05|0.00731|3.97|3.8042|-1441.452616|-1441.411622|529.63|860.74|0.2797|325.92|407.76|0.69222|0.69222|-1441.327731|6.4691|-0.20589|6.7212|6.7212
6_a27|0.0|1|0|0|0.0|1|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|-0.072298665|-0.237047381|-0.330715016|0.00526746|0.075248207|10.93737136|1|-0.406859288|-0.541168953|2|0.678057835|-0.1322552659999999|0.849515128|0.650575651|1|0.785047616|-0.0786267609999999|0.344065059|-44.56839492|0.214952384|106.4156743|-0.034625042|-22.06430895|61.10118428|2196.1151210000003|-668.5259238|-8.486272674|0.2251796019999999|5.010042219|9.500048379|0.896201262|4761.820508|22.12343713|0.01635203|-272.1086175|862.8140479|373.9912084|8.095338503999999|0.0|0.0|0.0|3.0|2.49|21.0|-6.67|3.48|2.79|76.46|0.0|92.65|2.0|24.0|4.0|0.0|1.0|-3.82|0.000153|0.0485|0.0|2.16e-07|6.86e-05|4.27|4.1391|-1043.831559|-1043.806618|526.9|896.68|0.1915|223.61|401.49|0.3366099999999999|0.61083|-1043.678244|2.7521|-218.0|9.0|9.0
