molecula|NaaNH|n9FaHRing|SaaNH|NaasN|SRW09|nARing|AATSC1c|n6HRing|JGI4|SaaaC|AATSC1are|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|pIC50
9i_a40|0|0|0.0|1|7.515889085|0|-0.0071562119999999|0|0.045555556|0.891973262|0.004532692|2|0.004019925|0.333430103|0.105172175|0.187399127|-0.542471361|0.831946443|0.762774506|-0.154977678|0.7947633409999999|1|0.830980762|-0.092881258|-46.80087537|-44.58600513|5.548036224|213.7117392|0.169019238|2.795536563|62.68854553|0.8590224540000001|-23.58195819|49.81256531|-18.57750214|52.34891159|0.477626156|2056.370683|-668.7900768999999|-9.360805225|0.140977546|7.700852478|14.74203307|4201.058793|-336.98898810000003|0.010372658|-361.8074422|778.5478408|351.4600612|1.0|1.0|1.0|1.0|3.25|20.0|3.84|4.02|2.99|91.11|0.0|1.0|2.0|22.0|306.38|0.0|3.52|4.79e-06|0.00147|1.97e-05|0.00603|0.0|9.31e-07|0.000285|3.2|-1273.334714|-1273.31399|883.84|0.5012|284.3|417.75|0.70339|-1273.167389|0.3362|-0.11967|2.0895|-1273.217301|5.9031
13c_a5|1|0|2.944180713|0|6.605297921|1|-0.005082338|3|0.024822695|0.0|0.005288472|1|0.006110714|-0.017427549|-0.092592608|-0.150963534|-0.324868153|0.705487111|0.770478689|0.003545487|0.6775573359999999|0|0.80019672|-0.077308234|-50.97293525|-50.50012762|15.25960958|158.67712230000004|0.19980328|10.06137448|51.93687546|0.551328235|-33.60884086|70.46156718|-16.50965711|66.23254483|0.46617977|2793.480751|-858.5021696|-10.8855893|0.448671765|8.492261628|15.90846721|5989.714507|-566.0506435|0.0302745689999999|-67.68621352|1557.152554|656.208474|0.0|1.0|1.0|1.0|3.13|23.0|4.23|3.29|1.16|120.88|0.0|1.0|5.0|31.0|411.46|0.0|2.68|0.0002839999999999|0.1169999999999999|0.000109|0.0446|0.0|8.170000000000001e-09|3.36e-06|3.99|-1351.274441|-1351.2369640000002|1153.36|509.0|263.46|513.33|0.51479|-1351.008469|0.1666|-0.17324|2.3276|-1351.067237|6.9101
11b_a5|1|0|2.943854668|0|6.605297921|0|-0.003900104|2|0.023988604|0.0|0.006121601|1|0.005685558|-0.108457009|-0.0109928619999999|-0.017658026|-0.252164213|0.735954089|0.805760343|-0.0497097529999999|0.682032125|0|0.8737310509999999|-0.07633373|-45.82509318|-48.42513182|9.829471091|55.25128526|0.126268949|5.900883275|1.880682804|0.66824472|-27.50997723|62.16286481|-17.60913884|55.65456427|0.456131351|2434.505303|-774.8021092|-10.5712171|0.33175528|8.936258446|16.43091298|5107.577902|-465.13355250000006|0.0228838029999999|-202.0032297|1159.458633|504.9898148|1.0|1.0|1.0|1.0|2.99|23.0|5.38|4.82|2.01|106.58|0.0|1.0|6.0|27.0|376.84|0.0|3.68|2.26e-05|0.00853|2.04e-05|0.00767|0.0|7.109999999999997e-10|2.68e-07|3.31|-1564.761898|-1564.72614|1063.35|0.5806|275.55|511.28|0.6284|-1564.56504|0.2013|-0.17107|1.9569|-1564.621301|7.7212
4j_a46|0|0|0.0|1|7.825245291|1|-0.002284836|1|0.048126615|0.0|0.011968098|1|0.011684396|-0.078783783|-0.0589746909999999|-0.087688953|-0.226712003|0.72796254|0.7298040140000001|-0.061823242|0.728293097|0|0.949893337|-0.05924408|-34.99059698|-43.95227197|8.812983129|70.56141095|0.0501066629999999|5.205103062|71.98911503|0.776932317|-20.66606288|50.26191521|-14.65075732|43.80358011|0.402450715|2260.870095|-791.1408955|-8.652995323999999|0.223067683|6.274010655|10.49957018|5077.124695|-467.2617475|0.0106831269999999|-327.122208|1018.288052|642.1335502000001|0.0|1.0|1.0|1.0|4.0|17.0|5.18|5.33|3.28|110.24|0.0|1.0|4.0|27.0|361.48|0.0|4.5|4.16e-06|0.0015|4.86e-06|0.00176|0.0|2.03e-08|7.33e-06|4.93|-1132.043677|-1132.018764|1112.13|0.2783|229.82|572.31|0.69413|-1131.761156|0.1418|-0.18387|2.9043|-1131.817578|6.0942
8a_a8|1|0|3.150966553|1|7.535296702|1|-0.014658222|1|0.040243056|0.0|-0.0075336219999999|1|-0.005306541|0.044579097|0.055198015|0.089375589|-0.5028388229999999|0.76592324|0.762577159|0.089031731|0.7318727540000001|0|0.550829475|-0.131795179|-78.93428863|-71.12928513|20.58762475|170.9592896|0.449170525|12.33026525|84.91322996|0.76420633|-47.27503672|86.57328508|-29.37948733|99.52191337|0.481294455|2802.374154|-1351.456417|-17.59585557|0.23579367|7.533378788999999|14.52342059|6193.891189|-809.4093564|0.025786572|-316.4749864|1768.444416|529.053307|0.0|0.0|1.0|0.0|3.37|23.0|3.13|2.72|1.9|109.21|0.0|1.0|4.0|30.0|400.39|0.0|2.56|3.99e-05|16.0|7.28e-05|0.0292|0.0|1.74e-07|6.96e-05|6.1|-1367.776863|-1367.744724|1061.5|0.2035|269.43|476.69|0.7036899999999999|-1367.539526|0.1729|-0.13015|5.4201|-1367.595683|4.9454
1e_a5|1|0|2.953259375|0|6.605297921|0|-0.001975193|2|0.027873016|0.0|0.008031558|1|0.007357977|-0.133677441|0.034752304|0.0578378779999999|-0.201027861|0.71274658|0.771487328|0.045376705|0.6977404359999999|0|0.8805795|-0.06795194|-35.30075748|-36.22202792|4.461204261000001|159.537038|0.1194205|2.317577542|0.0|0.7473936259999999|-18.33860051|44.38364879|-14.48881117|39.76196174|0.482579989|2107.092939|-579.5524467|-7.526878708|0.2526063739999999|6.41473183|12.39753333|4342.827698|-301.0751483|0.0157106539999999|-257.0399733|775.4313476|409.0289917|1.0|1.0|1.0|1.0|2.83|23.0|4.99|4.51|2.13|95.45|0.0|1.0|3.0|24.0|312.37|0.0|3.44|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|0.0|3.87e-09|1.21e-06|3.17|-990.6320386|-990.6006645|935.47|0.5156|261.24|427.87|0.51802|-990.471803|0.1355|-0.18105|1916.0|-990.522307|6719.0
14w_a23|0|1|0.0|2|7.423568444|0|-0.006481882|2|0.046678487|0.6813799420000001|0.003379755|2|0.003906274|0.126238077|-0.073958723|-0.206574435|-0.427696371|0.5788469970000001|0.802520527|0.059273664|0.558482531|1|0.7880718659999999|-0.070714528|-46.76570273|-58.53311596|14.84036772|43.30287556|0.211928134|9.814393755|90.15900589|0.743451788|-30.92760432|72.23920014|-23.66232347|61.60607046|0.4972095239999999|3071.908367|-1112.129203|-15.648625699999998|0.256548212|7.833745658|15.58053709|6998.078982999999|-735.4854078|0.020725002|-322.004381|1495.89956|597.2903597999999|0.0|0.0|1.0|0.0|3.42|26.0|4.2|5.14|3.78|120.2|0.0|1.0|5.0|32.0|447.46|0.0|4.05|2.09e-06|0.0009369999999999|5.41e-06|0.00242|0.0|1.17e-08|5.23e-06|3.97|-1828.385903|-1828.363862|1150.31|0.3855|338.46|535.54|0.6219399999999999|-1828.161957|0.3855|-0.14844|7.0157|-1828.222578|8.6737
27_a47|0|1|0.0|1|6.842683282|1|-0.003631596|3|0.0304347829999999|1.807806182|0.001861676|1|0.002350172|-0.137440913|-0.077485193|-0.157688306|-0.280944221|0.6636125860000001|0.804224077|0.0436226579999999|0.634406338|1|0.846469886|-0.0630454209999999|-40.35526807|-50.87821306|10.56549582|20.73428323|0.153530114|6.762956126000001|3.180329084|0.700732763|-25.8313393|63.02085767|-18.2393594|50.9207639|0.475450742|2804.020752|-966.6860481|-11.67498331|0.299267237|7.083168776|13.50334344|6433.288104|-618.7741154|0.018969968|-256.9774086|1379.535965|682.9868225|1.0|1.0|1.0|1.0|3.37|21.0|4.18|5.07|3.11|125.17|0.0|1.0|5.0|31.0|436.91|0.0|3.91|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|0.0|1.5e-09|6.55e-07|2.97|-1778.1049670000002|-1778.078632|1165.54|0.4007|251.19|517.82|0.69381|-1777.830739|0.1839|-0.1578|4.0365|-1777.891054|5.6
4o_a46|0|0|0.0|1|7.825245291|1|-0.000627744|1|0.043320988|0.0|0.010870588|1|0.010144781|-0.376106593|-0.018058762|-0.028735607|-0.096073163|0.626333846|0.7699448320000001|-0.121466731|0.6418406720000001|0|0.950732618|-0.0648126359999999|-35.54402423|-36.03345669|5.332434441|5.821925821000001|0.049267382|2.9243708|31.19780621|0.7510206490000001|-19.49276784|42.00638612|-12.01115223|40.87645867|0.460981009|2195.436986|-576.535307|-6.587059484|0.248979351|5.527567399|10.25486577|4966.476822|-316.1788552|0.0108913189999999|-275.3254498|767.6690487000001|544.7877262000001|1.0|0.0|1.0|1.0|3.73|17.0|4.77|4.94|2.72|103.66|0.0|1.0|2.0|26.0|342.44|0.0|3.92|1.23e-05|0.00422|1.34e-05|0.0045899999999999|0.0|5.5e-08|1.88e-05|3.76|-1070.456878|-1070.428722|1022.29|0.1598|286.64|501.08|0.6843|-1070.223416|0.1598|-0.18282|3.4494|-1070.276387|6.7905
11d_a5|1|0|2.9590700880000003|0|6.605297921|0|-0.003373937|2|0.0228184279999999|0.0|0.008307337|1|0.008809179|-0.202307745|-0.12451554|-0.200646773|-0.22897714|0.786587307|0.783891527|-0.018747485|0.755793189|0|0.87090286|-0.063028408|-40.04753555|-53.84338206|8.151092424|61.45330587|0.12909714|5.179111638|0.0|0.712305422|-25.44574968|65.35645739|-18.63809379|48.19862797|0.49396568|2540.78984|-969.1808771|-11.84243331|0.287694578|8.920296087|17.62784804|5283.02167|-615.8065323|0.018119737|-269.7929124|1360.625438|631.9206508|1.0|1.0|1.0|1.0|3.13|23.0|4.41|4.14|1.42|114.29|0.0|1.0|7.0|29.0|385.46|0.0|3.28|7.2e-05|0.0278|5.14e-05|0.0198|0.0|2.31e-09|8.909999999999999e-07|2.59|-1239.127458|-1239.093739|1154.67|507.0|280.66|594.45|0.6533399999999999|-1238.855022|0.2068|-0.16762|2.8731|-1238.914819|7.8239
