molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
8e_a8|0.0|1|0|0|7.05012252|0|0|1.394799502|1.311619189|-0.018155171|-0.010579355|4.844187086|0|0.0427891159999999|-0.000766016|0.0|-0.005310149|10.94332438|-0.051339286|-0.004224671|0.090898585|0.183313231|-0.475941912|0|0.650073857|0.7233950809999999|0.02023118|0.661490276|-0.105450888|0.280304418|0.0211004739999999|-70.49962428|-64.32539698|12.87136047|106.0087621|0.338509724|76.40535608|0.803307236|-43.00500847|75.57562034|-26.80224874|2692.975753|403.5112981|-1286.50794|-16.34946208|0.196692764|0.935150832|6095.6213210000005|119.9832494|-784.77418|33.36487904|0.0184428869999999|-370.0368722|1601.514194|561.882658|11.25022336|0.0|2.98|0.04|23.0|-7.78|4.33|4.17|2.0|0.0|111.81|1.0|-5.27|30.0|4.0|-6.14|403.41|0.0|5.34e-06|0.00215|0.0|0.0|6.63e-06|-0.06253|7.22|3.2737|-1376.957298|639.38|1090.07|378.73|0.3731|526.86|0.50055|0.1671|-0.19972|-1376.766245|7.7951|4.7014
12aw_a36|0.0|1|0|0|7.412764017000001|2|2|1.297044239|0.0|-0.135690414|-0.008293935|5.351858133|2|0.043383838|0.066435701|0.0|-0.006877664|10.96021804|-0.034663063|-0.004358975|-0.098027247|-0.250781298|-0.4191703539999999|1|0.653741315|0.836170906|-0.022464907|0.706174871|-0.114701005|0.373775982|0.023038651|-56.73814908|-73.52224315|14.76755422|54.50894809|0.2938251289999999|1.343623915|0.749052287|-36.36860892|87.37742985|-26.46800754|2901.451841|452.6513136|-1323.400377|-16.96573876|0.250947713|0.898338973|6370.06138|160.8550748|-848.2869380000001|35.33532702|0.02161528|-319.2802512|1766.7663510000002|593.6088758|13.8551867|0.0|0.0|0.14|17.0|-7.12|3.55|3.0|1.0|0.0|123.67|1.0|-3.99|31.0|6.0|-6.8|417.41|0.0|0.000102|0.0424|0.0|0.0|3.17e-05|-0.05513|3.66|3.8763|-1431.404673|666.09|1120.43|319.85|0.4088|507.71|0.38905|0.3892|-0.21201|-1431.239759|6.5278|8.0458
14q_a23|0.0|0|1|1|7.423568444|0|0|1.19796338|3.292130907|0.141057047|-0.0101981219999999|5.351858133|2|0.044138322|0.064903564|0.720966302|0.002243702|10.31321757|-0.056324491|0.002496501|-0.017918675|-0.033435987|-0.573130981|2|0.77007911|0.808928963|0.067394607|0.773194598|-0.096370719|0.227948491|0.02158178|-61.51997721|-66.16349731|14.81701129|350.836102|0.226805402|97.13675614|0.777340899|-42.23665548|79.42966327|-27.24379301|3097.399651|530.8381985000001|-1389.433443|-18.70427707|0.222659101|0.893957277|6982.066379000001|152.86702240000002|-953.9181308|35.04742005|0.01932289|-380.8178266000001|1787.418422|693.3423458|13.26616596|0.0|2.66|0.04|26.0|-6.96|2.57|3.12|1.0|1.0|128.38|1.0|-5.21|33.0|5.0|-7.33|454.51|0.0|6.11e-06|0.00278|0.0|0.0|5.03e-05|-0.08159|4.19|3.6431|-1798.645459|714.22|1222.17|340.33|0.4943|554.59|0.5949|0.4943|-0.23013|-1798.433122|12.0503|7.8069
18_a34|0.0|0|0|0|7.423568444|1|1|1.4547811819999998|1.801574074|-0.063113846|-0.014733513|5.351858133|1|0.040527066|-0.100548575|0.0|-0.001615187|10.9595763|-0.136990511|0.002183342|-0.3102088839999999|-0.478810922|-0.493450778|1|0.759292258|0.805756513|0.0468829359999999|0.68981472|-0.129784908|0.295523326|0.040845819|-49.86847383|-71.65163761|22.55015528|66.6880793|0.31018528|54.26737825|0.695849945|-27.53138148|86.77082535|-23.32844015|2424.18137|380.8328339|-1003.122927|-12.87916264|0.304150055|0.789096743|5296.289007|167.9151283|-553.8039936|33.52510165|0.027385869|-216.2496321|1441.579371|428.6241319|15.11918774|1.0|3.61|0.21|17.0|-5.65|3.13|3.15|1.0|0.0|93.91|2.0|-4.32|26.0|6.0|-6.26|351.36|1.0|4.77e-05|0.0167|0.0|0.0|0.000781|-0.03925|5.07|4.1234|-1199.288654|592.04|991.93|300.68|0.3525|483.87|0.56101|0.0303|-0.21474|-1199.158044|6.7806|5.6144
14a_a10|0.0|0|0|0|7.535296702|2|2|1.3438495730000002|2.156210368|-0.2090476269999999|-0.002047597|5.4161004020000005|3|0.035660377|0.027446544|2.070512208|0.011509975|10.92970798|-0.00421565|0.012272222|-0.220250238|-0.344811314|-0.168193178|2|0.76857495|0.7348225290000001|-0.011977878|0.911549451|-0.070610745|0.43555903|0.0135610389999999|-32.23041637|-51.23835032|9.840503082|67.52851799|0.088450549|134.15514270000003|0.542015878|-23.38784787|67.14248252|-13.76552695|3075.550631|661.4615097|-922.2903058|-9.988888957|0.457984122|0.8833450959999999|6754.660977|332.3339934|-669.2555601|25.39690722|0.0219172279999999|-60.97724212|1701.592784|1003.968547|15.9041322|1.0|4.4|0.39|21.0|-8.18|4.16|3.36|1.0|0.0|146.76|1.0|-4.21|35.0|6.0|-6.82|468.59|0.0|6.159999999999999e-05|0.0288|0.0|0.0|3.07e-06|-46.0|2.25|3802.0|-1489.655581|800.01|1380.89|326.1|0.2835|645.26|0.34245|0.0005|0.19621|-1489.487381|4.8004|7.1308
17_a12|0.0|0|0|0|6.823286122000001|1|1|0.610029543|0.0|0.132275232|-0.00864055|4.727387819|3|0.035816993|-0.210594127|0.0|-0.002523977|10.31157659|-0.070249784|-0.000651751|-0.113649923|-0.202276514|-0.559137213|2|0.918713011|0.8198617429999999|-0.043392747|0.858119365|-0.096209886|0.318309599|0.011226177|-36.25249721|-50.13411606|5.849860887999999|69.36398419|0.141880635|0.0|0.786701219|-18.89085387|57.97616997|-18.34174978|2246.161353|447.1583691000001|-752.0117408|-9.557722681|0.213298781|0.8728564259999999|4866.339908|111.1480977|-391.8666299|23.31475957|0.015049295|-298.7949107|955.9051425|431.5987143|7.842053909|1.0|2.97|0.17|17.0|-7.16|4.51|2.56|0.0|0.0|103.12|1.0|-4.51|24.0|4.0|-6.07|333.41|1.0|3.1e-05|0.0103|0.0|0.0|2.32e-05|-0.06322|2.87|3.7723|-1366.804178|560.09|933.62|328.67|0.2213|419.49|0.39539|148.0|-0.21781|-1366.689546|2.9806|7.7959
12b_a32|0.0|1|1|1|7.765993078999999|0|0|0.609420757|0.0|0.115940697|-0.009432679|5.733341277|0|0.0388738739999999|-0.044307211|2.153718992|-0.003484915|10.31100269|-0.053480599|-0.001662219|-0.0852122769999999|-0.1534110109999999|-0.584995111|0|0.788133615|0.838021287|-0.0533240309999999|0.782593|-0.097525366|0.2996018789999999|0.016282332|-50.88975159|-60.93328667|10.17310723|90.57560878|0.217407|65.29222164|0.60420609|-31.79562339|76.65746734|-17.22027667|2573.006963|488.9595947|-792.1327267000001|-10.75912958|0.39579391|0.756331814|5653.268811|247.2897528|-494.9199607|28.50066715|0.025166975|-130.2147289|1311.0306890000002|557.1050635|15.72418067|1.0|2.9|0.26|19.0|-7.65|6.49|4.19|1.0|0.0|110.47|1.0|-5.9|27.0|4.0|-6.4|397.52|1.0|1.27e-06|0.000505|0.0|0.0|8.86e-06|-0.05173|4.12|3.5703|-1880.770588|663.89|1109.93|347.27|0.2865|541.49|0.70258|0.2865|-0.19976|-1880.599158|4.1080000000000005|7585.0
22_a10|0.0|0|0|0|7.535296702|1|1|1.343837143|2.113627059|-0.067641834|-0.005035102|5.4161004020000005|2|0.036101695|-0.026750502|1.880539113|0.008350227|10.92966136|-0.020475007|0.008903905|-0.129989728|-0.208132084|-0.356699217|2|0.670763832|0.747363443|-0.02603707|0.8698299140000001|-0.0649866779999999|0.775071808|0.016720696|-41.96631248|-50.61577509|13.023146|75.58376652|0.130170086|60.10354816|0.564323334|-32.68604442|71.13124588|-17.4251029|3241.833491|677.4790907|-1062.931277|-13.57178303|0.435676666|0.730649641|7414.102179|339.3328129|-827.8787647|30.87787063|0.026340252|-100.1982412|1883.550109|916.8601445|20.51547079|1.0|4.14|0.17|27.0|-9.37|4.64|5.6|2.0|0.0|139.53|1.0|-5.34|36.0|5.0|-6.29|475.54|0.0|4.55e-06|0.00217|0.0|0.0|2.03e-07|-0.05712|5.65|3.8517|-1544.237634|770.92|1339.48|321.89|0.2624|602.93|0.4483899999999999|0.1922|-0.2180699999999999|-1543.959333|6.5841|5.9586
11_a3|0.0|0|0|0|6.823286122000001|0|0|0.605020608|0.0|0.119431379|-0.01008647|4.727387819|3|0.042795699|-0.101436441|1.710245969|-0.008037672|10.31163053|-0.023103765|-0.005959152|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|0.724492061|0.132535663|0.777803048|-0.099420732|0.175996916|0.014376713|-45.19136777|-47.02715152|6.800350988|253.1353625|0.222196952|80.34769756|0.752484736|-21.37603754|57.08178682|-18.52584757|2097.896727|367.9098016|-611.3529698|-8.76293931|0.2475152639999999|0.8799677029999999|4487.967272999999|117.0775712|-289.1769972|24.61956593|0.021256639|-238.8563772|812.4456757999999|311.6695405|10.0546353|1.0|2.07|0.0|21.0|-6.51|3.79|3.41|0.0|0.0|88.28|1.0|-4.08|22.0|4.0|-6.59|305.36|1.0|8.37e-05|0.0256|0.0|0.0|9.35e-05|-69.0|2.12|3.2232|-1288.195105|508.58|834.82|384.66|0.4441|346.18|0.6966600000000001|0.4441|-0.20018|-1288.10577|4.4522|7.3979
33_a47|0.0|0|1|1|6.823286122000001|0|0|1.409403453|1.758479676|-0.229935275|-0.004263267|4.727387819|3|0.034691358|-0.11544858|1.688794654|0.002212256|10.98214099|0.0741098479999999|0.003634698|-0.147591116|-0.338113214|-0.270498605|3|0.63155995|0.82821379|0.065468525|0.8197001309999999|-0.083739854|0.404334141|0.022346992|-32.1568697|-44.81989209|11.96072985|30.94680001|0.1802998689999999|0.0|0.57681348|-17.2112484|60.65229445|-14.56646493|2311.28828|438.726241|-582.6585971|-7.79637597|0.42318652|0.854471925|4889.09585|226.5011607|-311.85503880000005|25.25333652|0.029580684|-82.22540944|1010.133461|388.178924|15.83240237|1.0|2.76|0.11|21.0|-7.08|2.96|4.04|0.0|0.0|94.28|1.0|-3.26|25.0|5.0|-6.78|334.35|1.0|0.000546|183.0|0.0|0.0|2.79e-05|-0.05462|2.06|4.1869|-1123.16428|566.29|934.34|296.13|0.2566|423.52|0.67508|0.2566|-0.21447|-1123.04547|6.2284|8.4
