molecula|SddssS|n9FaHRing|SaaNH|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|RASA|FNSA3|FNSA5|PBF|PNSA5|RPSA|TPSA_x|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Oscillator Force (max. Transition)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
14ab_a23|0.0|1|0.0|2|7.423568444|1.197962873|3.4171257980000003|0.065530542|-0.0050415|2|0.04314059|0.021287386|-0.287365522|0.013012022|0.010803172|10.313217300000002|-0.03821899|2|-0.074579388|-0.13397874|-0.449699921|0.725358161|0.75434493|-0.085303124|-0.05990912|0.92422233|-0.051974369|-0.076243539|0.20155691|-52.21744789|0.07577767|51.89838547|82.79560776|0.797837067|-1.677357849|-24.37891748|61.60741239|-21.67516705|47.90644969|0.4695727329999999|2941.47118|632.9786397|-1148.783854|-14.84482393|14.76864227|0.885272615|6654.62616|138.4567483|-786.7756682999999|27.16741043|0.013710439|1439.872753|733.3886349999999|9.389964491|0.0|1.0|3.82|0.12|-8.16|4.4|2.0|130.22|0.0|1.0|5.0|-6.23|32.0|-5.92|439.54|0.0|0.0|4.12|2.81e-06|4.31|0.0|6.9799999999999995e-09|-0.07146|3.6587|3.6587|0.3893|595.23|-1708.277193|0.3893|-0.14778|-0.21924|0.02013145|-1708.3414239999995|8.4721|8.4012
2_a1|0.0|0|0.0|1|7.535296702|1.348828131|2.233384354|-0.049975995|-0.004621682|1|0.0409444439999999|-0.1056298369999999|-0.175623923|0.001576763|-0.0619710709999999|10.9520472|0.101798469|1|-0.145015842|-0.326716897|-0.422863867|0.571324013|0.795932678|0.079586368|0.1766333219999999|0.808210065|-0.0622285999999999|-0.077270452|0.220315042|-35.17029414|0.191789935|87.29479691|84.54541681|0.6944040029999999|-0.927245426|-12.89184641|43.24570924|-12.05838656|33.45925305|0.39830426|1884.85038|367.8635872|-422.0435297|-5.488475744|8.779158091000001|0.6619695520000001|3920.383175|139.0945801|-192.096651|17.36508791|0.017741989|607.7780769999999|299.6692382|8.075415099999999|1.0|0.0|2.69|0.18|-6.18|4.0|0.0|79.77|0.0|1.0|2.0|-3.06|21.0|-6.04|279.31|0.0|1.0|3.21|0.000167|2.76|0.0|6.64e-07|-0.02966|4.0877|4.0877|0.2991|355.79|-920.078239|0.2991|-0.1686|-0.19826|0.024658671|-920.123726|5.2754|5.2366
28_a20|0.0|0|0.0|1|6.842683282|1.417203216|1.837209467|-0.013841559|-0.006492092|3|0.0396875|0.091462964|-0.363557127|0.002234763|0.0313932529999999|10.94963925|-0.039965901|1|-0.016955137|-0.028782305|-0.447096101|0.715067047|0.755701837|-0.104458316|-0.06654421|0.7817507370000001|-0.086299346|-0.091179288|0.3962228229999999|-60.85602167|0.218249263|145.66665480000003|88.39175809|0.773641727|-1.823585765|-38.44343857|71.98460956|-23.40616218|67.39863895|0.468838001|2865.917291|521.7658603|-1217.120433|-15.62203369|14.28413212|0.8826648009999999|6348.941881000001|151.0788711|-812.3457521|30.25452396|0.016673728|1573.2352460000002|684.5377542|11.12858789|0.0|1.0|2.86|0.08|-8.8|3.93|1.0|122.8|0.0|1.0|5.0|-4.42|32.0|-6.96|420.47|0.0|0.0|3.04|3.72e-05|2.68|0.0|1.57e-09|-0.06242|4.7905|3.5798|0.2354|531.85|-1368.085242|0.0153|-0.15572|-0.21814|0.03534166|-1368.146882|4.7428|6.5935
12ar_a36|0.0|0|3.46014932|0|7.412764017000001|1.297042582|0.0|-0.064363806|-0.007046017|2|0.040839506|0.083451772|-0.40866901|0.000939229|-0.1073795209999999|10.95407427|-0.036002609|1|-0.096853381|-0.169341326|-0.4194638229999999|0.86559137|0.8371588959999999|-0.017348015|-0.064014394|0.8365428659999999|-0.080760277|-0.098732471|0.317338373|-66.9989409|0.163457134|110.9204982|0.0|0.705591187|-1.875916952|-37.18892821|82.17472548|-23.57370143|69.99622854|0.4743067589999999|2902.67985|567.6702443|-1272.979877|-15.99689556|16.68371115|0.902250063|6155.432771|199.7830951|-863.83236|33.4098581|0.0223636779999999|1804.132337|708.5476357999999|15.17578458|1.0|2.0|0.0|0.17|-7.05|3.14|1.0|133.27|0.0|1.0|6.0|-3.92|32.0|-7.21|420.47|0.0|0.0|1.8|0.000122|2.33|0.0|8.95e-08|-0.0566|5225.0|3.8489|0.5586|580.53|-1364.235126|0.2372|-0.15631|-0.21291|0.04327285|-1364.2977050000002|8.7322|7.6021
21_a47|0.0|1|0.0|1|6.86171134|1.408713027|1.2247108|0.072733799|-0.010650348|2|0.037801932|-0.034419528|-0.511216716|-0.006808306|-0.004063946|10.95058272|0.057225853|1|-0.1049885469999999|-0.277479519|-0.5406500129999999|0.612295986|0.826796636|-0.080213904|0.0927058819999999|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|-53.76411184|0.29417845|166.049938|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|70.10126935|-19.11612865|59.46768095|0.463113582|2691.697803|398.4031618|-860.2257893999999|-10.79015808|13.17102891|0.862591353|6103.311635|200.4681737|-485.55711339999993|29.64451905|0.028943339|1334.003357|482.9384172|16.33715751|0.0|2.0|3.32|0.1|-7.7|2.94|1.0|104.49|0.0|1.0|6.0|-4.44|29.0|-6.58|394.38|0.0|0.0|3.43|4.84e-05|3.0|0.0|1.98e-08|-0.06339|3917.0|3917.0|0.2249|441.93|-1374.858663|0.2249|-0.16158|-0.2249699999999999|0.03299607|-1374.914223|4.9172|8.3
8m_a46|0.0|0|0.0|1|7.727094485|1.160371261|2.126524943|-0.044830187|-0.00517896|1|0.047345679|-0.134230003|-0.248590088|0.0063680119999999|-0.120972269|10.94650201|-0.064176245|1|0.010184776|0.015631887|-0.380393836|0.783187801|0.7699708959999999|-0.084989948|-0.090247845|0.876210355|-0.0911455|-0.085204935|0.280198209|-45.17474201|0.123789645|65.63194084|0.0|0.8854896870000001|-1.448483903|-25.62105988|48.72163155|-17.06601365|52.0671834|0.425802465|2045.330306|464.5573228999999|-767.9706141|-9.04821721|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|-407.1697745|19.27296714|0.006689855|867.2835213999999|463.1469765|3.546889545|0.0|1.0|2.92|0.3|-6.46|4.16|1.0|96.16|0.0|1.0|2.0|-4.48|24.0|-5.61|319.4|0.0|1.0|3.53|2.78e-05|3.72|0.0|3.5e-07|-0.01818|5.3062|4.2881|0.3905|489.57|-1013.91158|0.1441|-0.17897|-0.19715|0.03472717|-1013.962913|3.1675|6.6402
5d_a40|0.0|0|0.0|1|8.149890544|0.6049133329999999|1.601200869|-0.071479892|-0.005662681|0|0.044526749|-0.1031436519999999|-0.1868684619999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|-0.0038660009999999|-0.009744685|-0.399968083|0.496945486|0.8092726020000001|0.145024458|0.0451110059999999|0.754010052|-0.086193996|-0.094277694|0.049855551|-43.26473143|0.245989948|112.88660690000002|53.85026982|0.8111805740000001|-1.131332331|-18.15211073|49.97858532|-17.30589257|49.66367051|0.479931934|1974.583878|346.0207917|-519.1767771000001|-7.94180214|12.09256826|0.922825231|4051.712713|86.65063178|-238.2540642|21.3342049|0.014630084|640.0261471|243.4287716|6.713853887999999|1.0|0.0|2.56|0.21|-4.32|4.08|0.0|74.11|0.0|2.0|3.0|-4.23|20.0|-5.94|287.31|0.0|1.0|3.1|0.000152|2.98|0.0|4.7600000000000005e-05|-0.06796|3.7374|3.7374|0.4493|365.74|-1276.751174|0.4493|-0.14851|-0.2164699999999999|0.01667985|-1276.797751|9.2439|7.7212
16a_a10|0.0|0|0.0|1|7.535296702|1.325756911|2.041062372|-0.187414728|-0.00230615|2|0.0334858389999999|-0.085711535|-0.152205915|0.011207938|0.014886502|10.92947902|-0.0048530629999999|1|-0.162508526|-0.254024476|-0.1948324069999999|0.748039584|0.772481675|-0.068377262|-0.008879187|0.916148686|-0.052574986|-0.076950669|0.3637074329999999|-53.28817038|0.083851314|58.06685151|99.81657855|0.7270593190000001|-1.615964058|-25.21250404|63.53441386|-18.049219|46.01490333|0.4629532229999999|2862.681038|634.4309626|-1119.0515779999998|-12.4990447|15.88633689|0.862035195|6366.0631060000005|189.0108247|-774.9407716|24.82496066|0.014796066|1539.147561|879.8636987|10.24624348|1.0|0.0|4.46|0.3|-8.5|4.73|3.0|133.66|0.0|1.0|9.0|-5.22|33.0|-5.91|439.55|0.0|1.0|4.24|6.76e-06|4.33|0.0|3.18e-09|-0.04647|5.6019|3.8718|0.3843|629.65|-1394.797092|0.0841|-0.1605|-0.20697|0.02819643|-1394.861824|4.6574|7.3279
8f_a12|0.0|1|0.0|0|6.580639137|0.609895166|0.0|0.110310585|-0.008295703|2|0.038347953|-0.013400998|-0.3981937339999999|-0.002596875|0.028505422|10.31134658|-0.024023866|1|-0.070713228|-0.125424286|-0.560548116|0.902669729|0.7475224290000001|-0.13747286|-0.042014638|0.869823177|-0.072634742|-0.098932601|0.285353468|-56.220383|0.130176823|73.97552223|0.0|0.8381234340000001|-1.6818542230000002|-23.45595611|63.05721575|-21.72151161|48.82707007|0.460344828|2541.921472|494.2940092|-955.746511|-12.34367323|13.00131176|0.853035146|5481.952981|91.98952021|-543.1216218999999|25.9168408|0.012030968|1140.340995|524.0516742|6.836832748|1.0|1.0|3.26|0.1|-8.42|4.99|2.0|115.66|0.0|1.0|3.0|-5.7|27.0|-5.47|369.44|0.0|1.0|3.82|5.72e-06|4.34|0.0|3.79e-09|-0.06179|4.1744|3.6536|312.0|441.97|-1480.955408|0.2466|-0.15061|-0.2124|0.03056355|-1481.008909|1.4701|6.1898
16_a20|0.0|0|3.485659565|0|6.842683282|1.401259527|0.0|-0.014660441|-0.004705049|2|0.0388043479999999|0.126359252|-0.254072625|8.23e-05|-0.061975089|10.93301779|-0.062750442|1|-0.070208458|-0.117308016|-0.458484451|0.7582110409999999|0.7478675859999999|-0.085041518|-0.10978034|0.915005572|-0.066137353|-0.077793092|0.382481746|-51.18223058|0.084994428|55.92018945|3.46788153|0.780108103|-1.47806874|-28.6288015|60.02453683|-19.44924762|51.14820251|0.464473378|2722.728332|602.0075202|-972.4623811|-12.79619894|15.24926152|0.8673208|5896.394536|144.672972|-639.8099471|24.9314775|0.013439632|1246.573875|664.4562602999999|8.84230625|0.0|1.0|3.13|0.08|-10.52|6.38|2.0|121.69|0.0|0.0|4.0|-6.06|31.0|-5.42|401.46|0.0|0.0|4.37|2.17e-06|4.69|0.0|3.0500000000000005e-11|-0.05909|5.9837|3.5704|0.3431|554.41|-1275.636924|0.1958|-0.1481299999999999|-0.20722|0.03385502|-1275.6960869999998|6.5609|7585.0
11b_a31|0.0|0|3.248213341|0|7.765993078999999|0.610137403|0.0|0.078614731|-0.01950528|0|0.043380952|-0.078907688|-0.838727032|-0.014385937|-0.1488994619999999|10.31169957|-0.046362952|2|-0.101934423|-0.16780872|-0.564706551|0.833717183|0.834596039|0.067031897|-0.074254978|0.545458754|-0.143839236|-0.148709304|0.26165445|-82.80602396|0.454541246|253.1028809|87.78853803|0.669723835|-1.784511651|-44.59898223|100.3071755|-24.84180719|101.1192111|0.473305522|2410.572158|303.7286124|-993.6722875|-13.83270059|12.96936635|0.8986339170000001|5202.545866|183.9081702|-553.3080237|37.09261324|0.0314298879999999|1483.70453|397.3137532|17.50115151|1.0|2.0|2.29|0.24|-5.45|4.67|1.0|92.51|0.0|2.0|5.0|-4.74|25.0|-6.73|357.38|0.0|0.0|2.69|0.000178|2.46|0.0|3.59e-06|-0.03574|3.8437|3.8437|0.2634|479.66|-1519.909742|0.2634|-0.15936|-0.1951|0.04215313|-1519.967224|4.7518|6.2757
12w_a30|0.0|0|0.0|0|7.412764017000001|0.604983445|0.0|0.063514061|-0.007019432|2|0.044197531|-0.0999572419999999|-0.372029919|0.002431329|0.028815747|10.31162873|-0.04950715|1|-0.0493878409999999|-0.0857954809999999|-0.477636454|0.8149999040000001|0.83236194|-0.032835151|-0.080971844|0.8522163970000001|-0.076611264|-0.096032733|0.4274948739999999|-65.85056003|0.147783603|101.3366249|0.0|0.8077976990000001|-1.824621925|-36.02242934|75.77366969|-25.53389062|63.12469722|0.451478593|2999.810425|584.3729039|-1251.160641|-17.50883211|14.70077638|0.8230829059999999|6888.291006999999|131.7949495|-857.9327732|31.60926388|0.014471302|1548.85393|685.6665849999999|9.923109661|1.0|1.0|0.0|0.14|-7.8|5.11|2.0|137.3|0.0|1.0|5.0|-6.58|31.0|-5.52|467.37|0.0|0.0|3.59|9.14e-07|5.12|0.0|1.58e-08|-0.05682|5.0632|3.5585|0.2639|577.06|-2494.743475|0.1614|-0.15073|-0.20755|0.0345723|-2494.807027|3.0068|7821.0
12bh_a36|0.0|0|3.50075137|0|7.412764017000001|1.297043258|0.0|-0.052761366|-0.006687484|2|0.044197531|0.001012669|-0.401249012|0.003676818|0.075747971|10.94728093|-0.035747988|1|-0.101854847|-0.169994208|-0.43574839|0.902377067|0.78699829|-0.211972014|-0.0591586759999999|0.833491953|-0.070687668|-0.09959401|0.317612728|-66.28126709|0.166508047|110.81353529999998|0.0|0.783294222|-1.991880197|-31.30825225|76.46867897|-23.6718811|58.77476595|0.482052584|2773.193279|554.7010591|-1325.625342|-15.75398235|14.56834609|0.930697921|5957.443236|144.22085800000002|-882.2230117|30.2209316|0.015307571|1692.3721690000002|729.1873176|10.18741188|1.0|2.0|0.0|0.21|-7.34|3.76|1.0|133.68|0.0|1.0|5.0|-4.54|31.0|-6.38|409.49|0.0|1.0|2.42|2.5e-05|3.41|0.0|4.55e-08|-0.0525299999999999|3.8811|3.6255|0.4386|575.23|-1311.293683|11.0|-0.14915|-0.20168|0.03071385|-1311.356102|7.7975|7.8539
12bb_a36|0.0|0|3.3296932480000003|0|7.412764017000001|1.29704416|0.0|-0.07834963|-0.008239316|2|0.04625323|0.096309833|-0.444923056|-0.006877664|-0.018516159|10.96022185|-0.027636036|1|-0.098027247|-0.250781298|-0.421445726|0.653741315|0.836170906|0.0534307559999999|-0.045186455|0.6888482109999999|-0.090660196|-0.114330726|0.314702945|-73.39466247|0.311151789|199.7440352|0.0|0.719294078|-1.943622342|-37.36110291|88.14984373|-24.95418524|72.36704599|0.4808928389999999|2902.055617|442.2064275|-1247.709262|-16.01935076|15.13083401|0.926384521|6285.088971|180.1992964|-800.967538|34.69260487|0.022984922|1734.6302440000002|593.6088758|14.75518126|1.0|2.0|0.0|0.14|-7.12|3.55|1.0|123.67|0.0|1.0|5.0|-3.99|31.0|-6.8|417.41|0.0|1.0|2.44|4.81e-05|2.88|0.0|7.599999999999999e-08|-0.0566799999999999|5.2382|3.8001|0.4172|515.92|-1431.178978|0.0736|-0.15507|-0.21175|0.03421884|-1431.238418|8657.0|8.0
9h_a24|0.0|0|2.916716427|1|7.153833802|1.428198245|1.726213624|-0.203768024|-0.002864393|2|0.023854167|0.078066659|-0.105982525|0.013595277|-0.209618231|10.96661419|-0.002471577|2|-0.02551563|-0.047269812|-0.207206943|0.687815726|0.78742035|0.183289617|-0.004960317|0.883775278|-0.060337884|-0.0687348109999999|0.4016070679999999|-32.48899638|0.1162247219999999|54.93613103|1.773520599|0.572371258|-0.8935525440000001|-13.48059881|47.51520531|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|-422.3569529|-5.871651668999999|11.11300329|0.914204295|4170.098082|202.1279819|-199.6361567|21.70315707|0.031789952|737.9073405|295.8603625|15.02620893|1.0|1.0|1.96|0.0|-6.05|2.42|0.0|82.17|0.0|1.0|3.0|-2.83|22.0|-6.85|288.31|0.0|1.0|1.97|0.000575|1.7|0.0|8.95e-07|-0.0435399999999999|5.1739|4.3437|0.3844|363.48|-945.153352|0.0073|-0.18239|-0.22593|0.0305020989999999|-945.200628|7.7741|7.1135
8j_a46|0.0|0|0.0|1|7.727094485|1.160371125|2.1279894180000003|-0.13040237|-0.0017688329999999|2|0.043903904|-0.129276363|-0.081366324|0.011852046|-0.174853546|10.96391738|-0.053618988|1|-0.084266433|-0.133413527|-0.229679821|0.645146311|0.789844634|-0.223292257|-0.074207717|0.934648421|-0.054707287|-0.068971544|0.308052557|-37.04976799|0.065351579|35.10521457|64.83187221|0.822112519|-1.103544698|-15.7861518|41.80044861|-13.78596018|34.04593326|0.427798746|2121.846387|502.0694817|-592.7962878|-7.405468973|9.817783823|0.747636856|4759.107832|95.55665364|-318.43516580000005|16.76894569|0.008843828|721.0646647000001|453.1959065|4.750680627|1.0|0.0|3.25|0.32|-7.26|4.71|1.0|96.94|0.0|1.0|2.0|-4.59|24.0|-5.55|338.83|0.0|1.0|3.82|1.47e-05|3.97|0.0|5.46e-08|-0.04068|4.9636|4.4107|0.1728|493.89|-1414.349865|0.1427|-0.18531|-0.22599|0.02408052|-1414.402087|6.4463|5.9108
