molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
8b_a32|0.0|1|1|0.0|0|0.609420757|0.0|0.113639567|-0.009362305|5.733341277|-0.057200812|0.03995614|2.123714284|-0.458752924|10.31100269|-0.0684566009999999|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.788133615|0.845443342|0.060636167|-0.1152380009999999|0.7507116140000001|-0.108971309|-53.36442734|-68.4085006|10.49093175|102.4297669|0.211781902|-0.03079624|68.21751748|0.669149204|-33.50038167|81.73293254|0.458155153|2573.703546|494.8166492|2275.886421|14.95918599|0.845546757|5619.400983|28.89166873|0.021225152|-212.3722924|1329.016762|1.0|1.0|1.0|2.0|3.46|3.04|0.26|-7.65|4.19|140.04|1.1|110.47|7.0|27.0|-6.44|397.52|0.0|-4.39|1.47e-06|0.000583|4.06e-05|0.0161|3.22|0.0|0.0|2.23e-08|4.22|3.5442|-1880.735397|1114.24|0.2943|0.70285|-0.14717|846.0|-0.20121|0.03602276|-1880.602014|1.2797|12.0|7.9208
3g_a32|0.0|1|1|-0.047725143|0|0.60942078|0.0|0.015803466|-0.006258272|5.733341277|-0.072619634|0.05052381|2.2144733530000003|-0.2816222539999999|10.31100273|-0.125170068|3|3|0.002565215|-0.074808287|-0.133675401|0|0.833981748|0.755211939|-0.1015732219999999|-0.1719626169999999|0.786074011|-0.098311343|-38.9071564|-54.47722347|6.647498326|42.56199385|0.112304055|-0.030429702|0.0|0.8007401590000001|-21.55960626|60.55421302|0.447358137|2271.746759|491.89858160000006|1886.244271|10.70834299|0.809490137|5058.622432|21.05801434|0.01096673|-333.29803589999995|884.4366022|0.0|1.0|1.0|1.0|3.43|3.44|0.28|-7.29|5.42|110.94|2.18|102.55|3.0|24.0|-4.9|354.49|0.0|-5.59|8.12e-08|2.88e-05|2.58e-06|0.000915|5.02|0.0|0.0|5.08e-08|4.13|3.5456|-1712.036238|998.86|0.2859|0.70275|-0.14715|3.3082|-0.20065|0.02384763|-1711.919273|5.5816|14.0|7.8539
12x_a36|0.0|0|0|0.0|0|0.629399587|0.0|-0.058295476|-0.007008724|5.351858133|-0.046532211|0.041767677|0.0|-0.40650598|10.33556641|-0.023932402|1|1|0.003710345|-0.07550872|-0.133106642|1|0.906423012|0.828393514|0.056034339|-0.041914045|0.855081905|-0.104368092|-49.60929169|-70.20305027|11.85578416|81.81168174|0.163597165|-0.036722107|0.8295471390000001|0.7768535409999999|-33.36962015|81.1499815|0.458792701|2884.428214|562.6051882|2391.802689|16.20591229|0.847720832|6193.10485|31.79630645|0.016274369|-372.4502879|1717.000548|0.0|1.0|1.0|2.0|4.87|0.0|0.17|-7.05|2.61|94.5|2.51|135.47|6.0|31.0|-6.64|427.52|0.0|-4.51|1.4300000000000002e-05|0.0061|3.09e-05|0.0132|3.19|0.0|0.0|8.95e-08|3.37|3.7364|-1670.419519|1209.23|0.3901|0.68112|-0.1517099999999999|5.6653|-0.2048199999999999|0.03331471|-1670.244307|7.2812|7.0|8.1549
4f_a49|0.0|0|0|0.0|1|1.343848013|2.066693174|0.010266272|-0.008903208|5.4161004020000005|-0.087045007|0.038839506|1.5830545580000002|-0.418450768|10.92775957|0.0705130559999999|1|1|0.001714014|-0.015845165|-0.025995042|2|0.69044503|0.7927086309999999|-0.00953448|0.114367229|0.670594896|-0.089955514|-55.88123394|-48.83888562|9.007637695|193.615884|0.262938196|-0.033471819|59.72286429999999|0.718306291|-30.33918719|60.18871783|0.437355335|2458.261097|400.1675422|1629.651745|11.20071713|0.7773206840000001|5422.650822|25.29924744|0.020905063|-237.0468572|1087.86764|1.0|1.0|0.0|1.0|3.07|2.35|0.14|-6.54|3.8|80.9|2.03|102.08|3.0|27.0|-6.6|356.38|0.0|-4.09|0.000102|0.0365|8.120000000000001e-05|0.0289|2.64|0.0|0.0|2.92e-07|4.07|3.7098|-1179.201105|982.46|0.2368|0.68474|-0.15517|1.7833|-0.22471|0.03476467|-1179.080799|1.8254|0.04|7.3979
12q_a36|0.0|0|0|0.0|0|1.29701394|0.0|-0.0543475329999999|-0.00761082|5.351858133|-0.043678703|0.042804233|0.0|-0.410984299|10.9598352|-0.0433009009999999|1|1|0.0010871589999999|-0.103922055|-0.177407665|1|0.8941919290000001|0.828371596|-0.017640538|-0.074349074|0.8065052890000001|-0.1060430969999999|-49.18227989|-68.5549152|12.00048565|82.68142965|0.17088073|-0.038175515|0.0|0.768692389|-31.79544084|80.15866795|0.486620426|2786.514757|536.0103834|2380.245597|14.69971555|0.947876484|6040.52496|32.10617123|0.017949083|-347.4093916|1605.308562|0.0|0.0|0.0|2.0|4.74|0.0|0.14|-7.18|2.54|69.2|2.51|128.76|5.0|30.0|-6.49|415.88|1.0|-4.59|3.64e-05|0.0151|2.55e-05|0.0106|3.31|0.0|0.0|6.65e-08|3.79|3.8653|-1692.5102989999998|1148.35|0.4239|0.6863199999999999|-0.1566|4.6718|-0.2126199999999999|0.03415678|-1692.370918|6.4226|6.0|8.2218
1b_a5|0.0|0|0|0.0|0|1.4258024619999998|0.0|-0.250420203|-0.00279809|4.59511985|-0.061874543|0.0248765429999999|0.0|-0.111923619|10.94890233|-0.028797464|1|1|0.003708988|0.019611905|0.045204303|2|0.567806811|0.759794937|0.122747292|-0.054153474|0.558485747|-0.077221824|-39.38248661|-38.87394276|5.438378717999999|168.30518769999998|0.191171377|-0.031306145|0.769931305|0.7324812509999999|-19.82538668|48.55415504|0.474445758|2171.716467|407.1693177|919.9167129|11.64312636|0.90275317|4577.125071|21.51550842|0.019229427|-234.0649914|796.0738116|1.0|0.0|1.0|1.0|2.75|1.81|0.0|-8.3|4.76|54.46|2.29|90.44|3.0|24.0|-5.99|316.33|1.0|-4.3|0.000106|0.0336|4.970000000000001e-05|0.0157|3.16|0.0|0.0|4.99e-09|3.1|4.6481|-1050.506509|892.61|0.3101|0.43728|-0.1892|2891.0|-0.23055|0.03246637|-1050.462425|4.3687|59.0|7.2291
17a_a25|0.0|0|0|0.0|1|1.373200859|1.826085128|0.0055894319999999|-0.004137083|4.727387819|-0.036457743|0.043274232|2.008884939|-0.248224991|10.93106298|0.006360768|1|1|0.006423059|-0.047099434|-0.07654898|2|0.6741827509999999|0.748718056|0.168247187|0.0114970419999999|0.659740852|-0.079378741|-44.46905084|-56.61512986|9.033070252|93.75234138|0.125413071|-0.0297670279999999|80.30332825|0.755980502|-31.71656603|67.57985355|0.468791604|2907.309477|623.7797651000001|2432.071525|16.93624014|0.882500365|6250.571217000001|28.08362601|0.015373381|-365.1448527|1572.683056|1.0|1.0|1.0|1.0|3.48|3.47|0.11|-9.98|5.31|72.7|2.67|131.06|7.0|33.0|-6.18|433.5|0.0|-5.13|7.5e-06|0.00325|7.44e-06|0.00323|3.9|0.0|0.0|1.05e-10|6.04|3.9347|-1391.588873|1271.9|0.4076|0.6722|-0.16304|3.4677|-0.21559|0.0362293|-1391.385492|5.1401|25.0|7.6021
IN1233_a59|0.0|0|0|0.0|0|1.400923654|0.0|0.1160337319999999|-0.008841844|4.727387819|-0.12050413|0.0396875|1.983673343|-0.5039851160000001|10.93301779|-0.054458882|1|1|-0.004071701|0.001996439|0.003282792|2|0.809917509|0.74801464|-0.107446431|-0.090732503|0.778639593|-0.095213818|-61.73167061|-63.36348363|7.208329477|318.5587088|0.238675351|-0.035929742|83.1557517|0.810795898|-41.08157616|72.32484741|0.483639625|2809.840422|506.6510632|1822.396842|15.51626497|0.936631949|6206.818668|29.49046561|0.0134658889999999|-413.6607749|1562.994677|1.0|1.0|1.0|2.0|3.48|2.76|0.08|-10.0|4.69|97.55|2.06|125.07|5.0|32.0|-6.13|419.48|0.0|-5.16|2.54e-06|0.00107|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|5.35|3.5355|-1352.326849|1204.16|0.2623|0.6953699999999999|-0.14684|5.4004|-0.20289|0.02473496|-1352.135303|7.6059|34.0|7.4685
25c_a34|0.0|0|0|0.0|1|1.377881974|1.958290974|0.024837617|-0.014384932|5.351858133|-0.047513652|0.037424242|0.0|-0.834326082|10.95957635|-0.041629027|1|1|0.001433865|-0.3609280379999999|-0.563411433|1|0.809687672|0.80135608|0.118901861|-0.072907053|0.760055383|-0.113392997|-59.0359041|-75.6298008|29.22363765|183.6812574|0.316768377|-0.031498055|93.28638171|0.537428437|-39.37521522|100.6665476|0.4356106729999999|2884.104654|455.6954382|2439.174137|13.26192888|0.77182656|6306.980593|39.09037289|0.037538004|-49.9273377|2110.880136|1.0|1.0|1.0|1.0|3.64|3.17|0.32|-5.71|1.98|90.74|1.0|116.0|6.0|31.0|-7.95|421.45|0.0|-3.28|0.00156|659.0|0.000523|0.22|1.3|0.0|0.0|1.97e-06|4.32|4.2095|-1426.666471|1180.85|0.2239999999999999|0.69247|-0.17424|7.12|-0.2069599999999999|0.03817361|-1426.48597|9.8087|1.78|5.7496
13_a47|0.0|1|1|0.0|0|1.417757826|0.0|-0.174238791|-0.0049262279999999|4.59511985|-0.0777650159999999|0.036632997|1.5940801480000002|-0.20197533|10.9452934|0.038682232|1|1|-0.000211465|-0.0101047869999999|-0.0233277889999999|2|0.6427334020000001|0.794037882|0.030290722|0.065869272|0.626280497|-0.088128939|-41.79730418|-45.39284663|9.13564442|63.12660940000001|0.2183244369999999|-0.032468557|0.0|0.688261242|-21.52866736|57.38622954|0.472007922|2190.316257|402.6200617|669.2729199|13.33103985|0.8939678120000001|4542.479565|24.29844849|0.023284817|-193.936606|923.3410426|1.0|0.0|1.0|2.0|2.9|1.75|0.06|-7.9|4.63|66.49|2.34|91.59|3.0|24.0|-6.0|319.34|1.0|-4.27|5.79e-05|0.0185|5.41e-05|0.0173|3.17|0.0|0.0|1.26e-08|2.7|4.0302|-1067.78457|895.21|0.3382|0.67466|-166.0|3.5455|-0.22065|0.03639189|-1067.71601|4.8308|16.0|7.8
