molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|GATS1are|nFaHRing|PBF|PNSA3|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
47s_a18|0|0|0|0.0|0.0|0|1.251176205|-0.0054038509999999|4.844187086|-0.045792331|0.035632184|0.0|-0.394481152|0.0134295589999999|-0.031515152|0|0|0.003686393|-0.168728915|-0.252119673|-0.46304239|0.724028067|0|0.306379663|-53.18668656|6.394119331000001|0.15456221|117.0051929|-0.030108416|-46.45326408|4.840414512|51.05656345|0.820470855|-2.107589125|59.58080589|2992.734821|640.0051571|-1595.466781|1529.863965|-17.25406952|0.179529145|6968.705069|135.90542109999998|-1207.784866|0.010481057|-485.1995077|1093.725912|7.934268528|1.0|1.0|0.0|1.0|2.0|4.41|0.3|18.0|-9.42|4.06|3.93|76.5|3.33|1.0|149.34|0.0|1.0|10.0|-5.95|36.0|3.0|-5.96|0.0|3.19|0.000539|0.0017|1.84e-07|-0.0491399999999999|3218.0|8.41|-1534.196027|385.29|0.5203|385.29|0.6926800000000001|0.6926800000000001|-1533.737579|0.5203|-0.13195|2.3134|-0.18109|-1533.809351|616.0|6.2104
8g_a8|1|0|0|3.073183107|0.0|1|1.39137364|-0.014340328|5.4161004020000005|-0.222784884|0.0438779959999999|0.0|-0.731356723|-0.025002199|-0.03728368|1|1|-0.007047583|0.0794962979999999|0.162134281|-0.508072694|0.6784762320000001|0|0.298992226|-83.78686741|19.06725815|0.466064505|285.5736014|-0.052430233|-48.6934008|11.68315869|67.54104396|0.8330608209999999|-2.464220973|102.8541256|2889.141422|327.1604688|-1509.912147|2148.49832|-19.68456628|0.166939179|6581.432140999999|102.2893227|-925.1746152|0.017636126|-408.1554248|551.1746801|10.80625499|0.0|0.0|1.0|0.0|2.0|3.31|0.04|23.0|-7.4|4.11|3.89|99.34|3.01|0.0|111.38|0.0|1.0|4.0|-5.3|31.0|5.0|-6.34|0.0|3.5|0.00209|0.00483|1.67e-05|-0.05849|3.7495|7.17|-1450.9549470000002|330.67|0.3904|330.67|0.69221|0.69221|-1450.728709|0.3904|-0.15542|6.0697|-0.21391|-1450.787398|4.2|5.3768
12x_a30|0|0|0|0.0|0.0|0|0.604984021|-0.006008579|5.351858133|-0.0335688279999999|0.043383838|0.0|-0.3545061539999999|0.027312213|-0.1066694919999999|1|1|0.006346396|-0.053700437|-0.0922059569999999|-0.458718546|0.842068099|0|0.398925866|-47.48669555|9.745611551|0.151155723|99.81775209|-0.035022402|-39.99960559|6.435648079|0.0|0.824674971|-1.926232129|57.2323071|2845.417984|560.5459455|-1272.013771|2374.777496|-15.27257668|0.175325029|6359.545311|115.7782842|-839.9917174000001|0.012044556|-428.8071293|754.3941655|7.953787804|1.0|0.0|1.0|0.0|1.0|4.86|0.21|17.0|-7.38|4.87|3.23|81.65|3.25|0.0|137.21|0.0|1.0|5.0|-6.04|31.0|4.0|-5.64|0.0|3.19|0.00039|0.00148|1.76e-05|-0.05093|3.4831|4.45|-1654.40976|355.95|0.1517|355.95|0.68589|0.68589|-1654.1207|0.1517|-0.14783|4.3702|-0.19876|-1654.183467|22.0|7.6556
13h_a6|1|0|0|3.464247528|0.0|0|1.424099498|-0.006619944|4.727387819|0.004767264|0.04393617|1.656132209|-0.3839567379999999|-0.01698365|-0.090944829|1|1|-0.000644109|-0.12414699|-0.215607882|-0.468842137|0.836982172|1|0.300800177|-51.85624128|12.1971464|0.132089259|92.37313621|-0.032362302|-44.98170701|8.529752344|0.0|0.736918588|-1.747564296|64.05338768|2926.745635|606.9504647000001|-1222.112956|2829.19698|-15.82689691|0.263081412|6302.785260000001|183.9790404|-854.6524332|0.017825256|-331.36552|744.1359788|12.4656221|1.0|1.0|1.0|1.0|2.0|3.64|0.12|27.0|-10.57|5.41|4.79|103.17|1.13|0.0|128.63|0.0|0.0|6.0|-5.56|33.0|5.0|-6.31|1.0|3.61|0.0012|0.0038|1.15e-08|-0.07435|4.8701|3.83|-1386.613707|365.52|1.0978|254.58|0.50716|0.69001|-1386.302668|0.2121|-0.14097|7.2872|-0.2153199999999999|-1386.3651|47.0|7.3279
12aw_a36|1|0|0|3.28940051|0.0|0|1.297044239|-0.008293935|5.351858133|-0.115864198|0.043383838|0.0|-0.4478724979999999|-0.1066959869999999|-0.034663063|1|1|-0.004358975|-0.098027247|-0.250781298|-0.4191703539999999|0.653741315|0|0.373775982|-56.73814908|14.76755422|0.2938251289999999|188.3390873|-0.041292362|-47.12705211|9.4658605|1.343623915|0.749052287|-2.06461809|71.5057033|2901.451841|452.6513136|-1323.400377|2380.579051|-16.96573876|0.250947713|6370.06138|160.8550748|-848.2869380000001|0.02161528|-319.2802512|593.6088758|13.8551867|1.0|0.0|0.0|0.0|2.0|4.73|0.14|17.0|-7.12|3.55|3.0|69.2|2.78|0.0|123.67|0.0|1.0|5.0|-3.99|31.0|6.0|-6.8|0.0|2.44|0.0424|0.0201|3.17e-05|-0.05513|5.2313|3.66|-1431.404673|319.85|0.4088|237.0|0.38905|0.69109|-1431.180191|0.3892|-0.15688|4.8181|-0.21201|-1431.239759|9.0|8.0458
2_a20 (SB-505124)|1|0|0|3.485765306|-0.09011519|0|1.183764955|-0.010175551|5.351858133|-0.076310057|0.05042042|0.0|-0.498602014|-0.177905025|-0.137383329|1|1|0.003789399|-0.150708132|-0.229461916|-0.520284161|0.827730504|0|0.214264156|-45.98170774|15.71798823|0.230563934|126.8667205|-0.0382594189999999|-35.52365346|8.648749117000001|441.9400248|0.831919306|-1.759933279|61.69969596|2195.369524|423.3785776|-968.3950117|1709.9571620000002|-11.58380004|0.1680806939999999|4762.83693|92.48561162|-532.854802|0.011470204|-365.2740749|477.95809620000006|6.311425784|1.0|1.0|1.0|1.0|1.0|3.4|0.3|17.0|-7.22|5.16|4.47|60.03|2.06|0.0|97.55|0.0|1.0|3.0|-5.24|25.0|4.0|-5.31|1.0|3.81|0.0019199999999999|0.0040799999999999|2.03e-05|-0.03717|3.6404|4.57|-1089.371784|340.58|0.3267|340.58|0.69947|0.69947|-1089.147716|0.3267|-0.14928|2.5584|-0.18645|-1089.201587|169.0|6.7721
12ab_a36|1|0|0|3.458948649|0.0|0|1.297042596|-0.007034881|5.351858133|0.000258844|0.039951691|0.0|-0.408023082|-0.032623802|-0.029080933|1|1|0.002112069|-0.096853381|-0.169341326|-0.4186639029999999|0.86559137|0|0.452078227|-54.63243106|16.62527454|0.158944244|109.6369437|-0.033434841|-45.21303385|11.46782191|15.55386871|0.679025324|-1.805481415|71.2577056|2902.39241|580.1454645|-1245.389318|2390.849902|-15.90828969|0.320974676|6314.697413|221.4026852|-859.0476432|0.024384271|-246.9770378|708.5476357999999|16.81984117|1.0|0.0|0.0|0.0|2.0|4.86|0.17|17.0|-7.05|3.14|1.95|92.99|1.59|0.0|133.27|0.0|1.0|6.0|-3.92|32.0|5.0|-7.21|0.0|1.8|0.0503|0.0515|3.76e-05|-0.0523799999999999|3.8845|3.23|-1364.509957|319.17|0.4451|319.17|0.69294|0.69294|-1364.236757|0.4451|-0.15699|3.6976|-0.2093699999999999|-1364.300531|11.0|7.9586
16_a47|1|1|1|2.890539668|0.0|0|1.417579067|-0.0056780519999999|4.59511985|-0.1246612469999999|0.042285714|1.491023983|-0.23280014|0.001426202|0.0506476009999999|1|1|-0.004153659|-0.02006804|-0.0574194159999999|-0.3379683979999999|0.591929006|1|0.421094692|-48.30620628|9.676588112|0.308139547|159.6978638|-0.034261359|-24.97833451|5.0150344780000005|0.0|0.697929921|-1.301931629|57.9827944|2315.178558|358.566882|-674.7452647999999|833.8646097|-9.202544293|0.302070079|4952.972679|156.55227280000005|-349.69668310000003|0.0234786339999999|-205.1602001|357.35851410000004|12.16814835|1.0|1.0|0.0|1.0|2.0|2.93|0.06|21.0|-8.17|4.47|5.19|66.49|2.72|0.0|91.55|0.0|1.0|3.0|-4.34|25.0|5.0|-6.04|1.0|3.52|0.0154|13.0|2.3e-06|-0.05717|4.4393|2.95|-1167.046301|303.84|0.3182|279.29|0.59209|0.6743899999999999|-1166.901251|0.0909|-0.16851|2.3795|-0.22568|-1166.951551|1.0|9.0
21_a12|0|0|0|0.0|0.0|0|0.609915045|-0.008833375|4.59511985|-0.058516436|0.037992832|0.0|-0.362168355|-0.01367083|-0.0546514309999999|1|1|-0.001825446|-0.116098308|-0.211367878|-0.522951134|0.923855679|0|0.192026642|-34.60932333|6.154473157000001|0.15172224|76.35009799|-0.036878492|-25.34833425|3.097071518|0.0|0.770818357|-1.401382713|40.76379649|2185.835701|426.8727514|-705.2078018999999|1080.052791|-9.338859985|0.229181643|4652.242111|115.3294396|-354.8766794|0.017360942|-272.5639702|380.2468615|8.736422872|1.0|1.0|1.0|1.0|1.0|4.05|0.12|17.0|-6.78|4.01|2.25|78.41|1.82|0.0|98.16|0.0|1.0|3.0|-3.82|23.0|4.0|-6.45|1.0|2.68|48.0|0.0551|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|-1327.479547|310.18|0.3665|264.64|0.59386|0.57644|-1327.347724|0.1668|-0.16784|2327.0|-0.22253|-1327.397348|22.0|7.6576
18_a10|0|0|0|0.0|0.0|1|1.243178376|-0.00309846|5.733341277|0.0307177839999999|0.035770975|2.026949641|-0.1859075939999999|-0.052165302|-0.0280813039999999|1|1|0.010573165|-0.091730492|-0.143149563|-0.220292492|0.7155022459999999|1|0.656664457|-36.52271591|12.12013168|0.114447045|72.64119073|-0.024889861|-30.63863373|7.692822451|123.3621791|0.641615544|-1.368942347|48.64284759|2788.499133|562.0732377|-868.8874593|2137.914113|-10.02718922|0.358384456|6213.631543|227.471785|-551.4954071000001|0.020666062|-179.7708584|713.2632062000001|13.11704755|0.0|1.0|1.0|1.0|0.0|4.07|0.32|21.0|-7.88|4.65|4.66|62.06|2.14|0.0|119.81|0.0|1.0|5.0|-4.48|31.0|5.0|-6.34|1.0|3.67|0.0138|0.00705|5.44e-06|-0.0495699999999999|5.7687|2.65|-1336.433782|326.47|0.2962|214.93|0.37729|0.6866300000000001|-1336.126835|0.1637|-0.15735|4.7596|-0.20692|-1336.185978|0.13|6.8861
