molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|BIC2|MATS8s|GATS1pe|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|Mor01p|PPSA5|CYP2D6 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
43_a18|0.0|0|0.0|0|7.03438793|2|1.251175234|0.032999679|-0.005099385|-0.01369899|1|-0.05314954|0.0|-0.397752066|0.002712865|0.031746165|10.94702053|-0.032429984|0|0.003801459|-0.140532044|-0.460675034|0|0.713379703|-0.023109314|0.712848727|-0.070166168|-0.0822489459999999|0.3439906129999999|-54.49271386|5.35147222|0.66443384|-0.0311212229999999|4.156080507|21.60709738|0.8743733490000001|-2.302970476|69.46280937|59.84418608|3172.923606|661.9512957999999|-1788.541603|1579.614523|-18.77059344|0.125626651|19.33108376|0.930331529|-1389.023915|27.64206062|1228.492038|5.5863235410000005|1.0|0.0|0.34|18.0|-9.6|4.08|76.5|3.7|1.0|160.76|0.0|9.0|38.0|508.65|0.0|0.0|3.48|-5.96|0.00018|0.000554|5.1|0.0|1.0|2.52e-10|1.28e-07|-0.04949|8.79|3.2233|-1611.621186|-1611.598032|843.1|1493.25|384.65|384.65|702.4|0.6926800000000001|0.6926800000000001|-1611.126246|-0.13196|-0.18145|0.02315412|3.6943|6.2041
12b_a30|0.0|0|0.0|0|7.412764017000001|2|0.604984682|0.047132642|-0.007353271|-0.06631353|2|-0.074391852|0.0|-0.3897233479999999|0.001139238|-0.037209579|10.31162898|-0.072247675|1|0.002064369|-0.0541804029999999|-0.468842459|1|0.824373792|-0.009146339|0.64876559|-0.08354129|-0.09915679|0.383979687|-53.05077947|11.01246349|86.84905288|-0.038448551|6.99318589|0.0|0.798520682|-1.883979001|73.02913136|64.06324295|2849.095245|485.6272203|-1196.373126|2347.979099|-15.50462119|0.201479318|13.88809428|0.878381889|-759.7264385|30.57626261|618.6004214|10.06212472|0.0|0.0|0.14|17.0|-6.9|3.18|81.65|3.2|0.0|127.24|0.0|5.0|30.0|416.47|0.0|0.0|2.92|-5.01|0.00171|0.00405|3.97|0.0|0.0|1.26e-07|5.260000000000001e-05|-0.05351|4.07|3.5207|-1675.0107779999998|-1674.977262|673.18|1130.68|352.16|245.19|516.78|0.3159099999999999|0.68496|-1674.7778119999998|-0.1493799999999999|-0.20289|0.03351603|4.5545|8.1543
14o_a23|0.0|1|-4.758526534|2|7.423568444|0|1.197958066|0.18835477|-0.014680137|-0.301504331|2|0.135737344|0.6669152279999999|-0.807407518|-0.002390707|-0.029012777|10.3132174|-0.049105045|2|-0.0004039459999999|-0.0962526|-0.653629157|2|0.802854174|0.000891427|0.575188253|-0.072435569|-0.094138958|0.328340215|-51.49843925|12.835973699999998|110.3941788|-0.042454824|9.125801389|0.8929505459999999|0.800301554|-2.165196042|80.64694246|64.33441296|3399.6213840000005|642.7588542000001|-1539.35724|2297.392496|-21.45909668|0.199698446|17.66041891|0.958697036|-1094.413931|37.71512766|676.4530574|13.71836682|0.0|3.62|0.09|26.0|-7.95|6.18|114.25|3.04|1.0|126.97|0.0|7.0|35.0|495.48|1.0|0.0|4.31|-6.0|6.38e-05|0.0004969999999999|4.76|0.0|0.0|1.12e-08|5.57e-06|-0.08059|5.17|3.6989|-2042.184285|-2042.161288|729.11|1236.72|335.19|335.19|582.89|0.58581|0.58581|-2041.934645|-0.1517|-0.23229|0.02299729|8.3591|8.4815
47o_a18|0.0|0|0.0|0|7.03438793|1|1.251177005|0.052875948|-0.006476544|-0.055408687|0|-0.006238734|0.0|-0.4339284229999999|-0.00046896|0.011121222|10.94702017|-0.038296569|0|0.000787517|-0.103458566|-0.490807196|0|0.7435044540000001|0.001673737|0.733228144|-0.077288013|-0.088436375|0.261785105|-56.13142962|6.313168526|77.37089184|-0.034545459|4.585021184|82.54478365|0.872753077|-2.210909375|70.23090572|62.44459815|2857.120021|586.0020642999999|-1605.70184|1393.529823|-18.22128055|0.127246923|19.35260972|0.972958142|-1166.161955|28.74706708|931.8364349|6.002832126|1.0|0.0|0.25|18.0|-9.37|3.0|85.29|2.94|1.0|139.63|0.0|9.0|34.0|454.56|0.0|1.0|2.76|-5.08|0.000996|0.00381|4.16|0.0|0.0|4.26e-10|1.93e-07|-0.0502|7.62|3.22|-1455.574672|-1455.547304|783.22|1352.29|385.04|385.04|706.49|0.69248|0.69248|-1455.162559|-0.13203|-0.18223|0.02736851|2.8284|7.3279
12ah_a36|0.0|0|0.0|0|7.412764017000001|2|1.297013411|-0.050415481|-0.007648622|-0.043678703|2|0.078459408|0.0|-0.41302559|0.0005016269999999|-0.083956827|10.95983779|-0.050147748|1|0.0010871589999999|-0.103922055|-0.444563583|1|0.835013502|0.011674455|0.8065052890000001|-0.0758457179999999|-0.1059368909999999|0.271553945|-49.0084977|11.93961081|82.70705743|-0.038137281|7.714903458999999|0.0|0.768906425|-1.906864035|80.02464883|60.9481085|2786.56479|535.2826672|-1232.13999|2334.380591|-15.92320089|0.231093575|15.54445187|0.8802726820000001|-796.1600443|32.04915319|629.5017194000001|11.57242717|0.0|0.0|0.14|17.0|-7.18|2.54|69.2|2.51|0.0|128.76|0.0|5.0|30.0|415.88|0.0|1.0|2.34|-4.59|0.0151|0.0106|3.31|0.0|0.0|6.65e-08|2.77e-05|-0.05637|3.79|3.7792|-1692.545871|-1692.512868|682.21|1148.39|328.07|237.25|532.36|0.40051|0.6970000000000001|-1692.3109559999998|-0.15434|-0.2107099999999999|0.03300341|7.6265|7.9586
19l_a38|0.0|0|0.0|0|7.412764017000001|2|1.297043246|-0.086107169|-0.007360265|-0.10490608|2|0.103904811|0.0|-0.426895387|-0.001197042|-0.02967593|10.94917392|-0.032264281|1|0.000347207|-0.091460175|-0.4224000739999999|1|0.839953955|-0.032569307|0.700181525|-0.079681862|-0.100870929|0.51306986|-51.6277901|14.19254029|133.9992534|-0.037359603|9.195687319|19.55998015|0.7374102309999999|-2.017418574|79.04689476|65.82033039|2921.048554|518.0872716|-1307.13389|2934.313773|-15.68376675|0.262589769|11.52660233|0.754730276|-846.9234048000001|32.82593886|696.3887025|13.69020024|0.0|2.7|0.12|17.0|-7.28|3.09|81.23|2.75|0.0|135.78|0.0|6.0|32.0|427.48|0.0|1.0|3.22|-4.72|0.0049|0.00807|3.55|0.0|0.0|5.27e-08|2.25e-05|-0.0603299999999999|4.08|3354.0|-1409.5865199999998|-1409.557954|660.04|1164.34|369.66|337.75|502.31|0.69413|0.7044|-1409.309206|-0.13977|-0.2001|0.02856649|9026.0|7.8633
7f_a10|0.0|0|-4.8022906380000006|1|7.535296702|1|1.240141822|0.103083789|-0.011104817|-0.2347037789999999|2|-0.104120245|0.740070757|-0.5663456689999999|0.00189949|-0.000498274|10.92948443|-0.0971900919999999|1|0.0030999659999999|-0.058093287|-0.5846516820000001|2|0.796084921|-0.009545801|0.5209683970000001|-0.064238302|-0.095196098|0.7359022890000001|-35.78096407|4.441786155|15.96885516|-0.03645808|2.474090768|0.3440879|0.8217865520000001|-1.713529756|60.16185231|40.22275023|2803.359424|519.0013298|-954.4422004|2375.702381|-11.31122804|0.178213448|10.23679556|0.6738319429999999|-531.6277179|24.71113795|527.8079877|7.137285626000001|0.0|2.97|0.23|21.0|-8.13|6.57|52.83|2.64|0.0|106.77|0.0|4.0|30.0|410.39|1.0|0.0|4.39|-5.6|0.00119|0.00103|4.7|0.0|0.0|7.38e-09|3.03e-06|-0.0613|4.93|3.6256|-1442.216293|-1442.200124|597.28|1034.38|341.96|214.67|426.07|0.34467|0.6833600000000001|-1442.001311|-0.15627|-0.2175699999999999|0.01616879|3.2524|6.8508
8b_a32|0.0|1|0.0|0|7.765993078999999|0|0.609420757|0.113639567|-0.009362305|-0.057200812|0|-0.008128765|2.123714284|-0.458752924|-0.003484915|-0.024375676|10.31100269|-0.0684566009999999|3|-0.001662219|-0.0852122769999999|-0.577864293|0|0.845443342|0.060636167|0.7507116140000001|-0.0850068559999999|-0.108971309|0.253018806|-53.36442734|10.49093175|102.4297669|-0.03079624|6.585851946|68.21751748|0.669149204|-1.4166270230000002|81.73293254|63.85535908|2573.703546|494.8166492|-889.3105078|2275.886421|-12.13650094|0.330850796|14.95918599|0.845546757|-558.2790432999999|28.89166873|557.1050635|13.32443194|1.0|3.04|0.26|19.0|-7.65|4.19|140.04|1.1|0.0|110.47|1.0|7.0|27.0|397.52|1.0|1.0|3.61|-4.39|0.000583|0.0161|3.22|0.0|0.0|2.23e-08|8.86e-06|-0.05404|4.22|3.5442|-1880.77142|-1880.735397|671.54|1114.24|349.82|349.82|558.16|0.70285|0.70285|-1880.539698|-0.14717|-0.20121|0.03602276|1.2797|7.9208
3d_a49|0.0|0|0.0|1|7.535296702|1|0.406515615|-0.0960135969999999|-0.003398408|-0.3456333889999999|2|-0.087308534|1.775376197|-0.173318804|-0.00918253|-0.068390038|10.35020259|0.017871379|1|-0.004253844|-0.075636705|-0.202380888|2|0.808676284|0.01450704|0.846953747|-0.099295364|-0.094384452|0.464410121|-57.52001036|5.561916586000001|137.78978830000003|-0.036147237|3.221917789|0.0|0.756622045|-1.698920144|65.59130031|63.08192694|2809.9605100000003|424.6551631|-984.1537446|1660.7054380000002|-12.12984007|0.243377955|12.87442833|0.946920034|-570.1024832|27.67490257|549.3593871|10.91609228|0.0|0.0|0.15|21.0|-6.15|4.46|121.39|1.07|0.0|111.41|0.0|4.0|28.0|392.45|0.0|1.0|1.85|-4.44|0.00252|0.0142|2.98|0.0|0.0|7.1e-07|0.000278|-0.05766|4.02|3.8907|-1594.595995|-1594.552258|615.3|1044.19|318.67|239.15|455.47|0.3523699999999999|0.67215|-1594.380348|-0.16147|-0.21913|0.04373784|2.3278|5.6308
16b_a32|-3.3094926630000003|1|0.0|0|7.765993078999999|0|0.2980105389999999|0.0873104119999999|-0.008469352|-0.3723824429999999|0|-0.012739425|2.033356859|-0.423467596|-0.008277865|-0.018753196|10.31100078|-0.0657820279999999|3|-0.00180101|-0.1202046419999999|-0.586122949|0|0.852956281|0.056127969|0.6762731040000001|-0.088716278|-0.1083060409999999|0.559199331|-56.84546999|10.12961779|53.96132589|-0.0345657579999999|6.490611388|9.827907321|0.7476362679999999|-1.624590613|80.37824892|66.97508778|3037.795494|478.3482386|-1040.965864|3264.235184|-14.19159402|0.252363732|11.05406524|0.709394251|-667.0049190000001|29.62431176|597.8890744|10.98052464|0.0|2.48|0.28|19.0|-7.6|4.88|165.49|0.41|0.0|114.43|1.0|7.0|28.0|433.57|1.0|1.0|3.26|-4.55|0.000225|0.0123|3.14|0.0|0.0|2.54e-08|1.1e-05|-0.05946|6.37|3.6211|-2315.990437|-2315.951437|676.92|1137.73|342.39|342.39|567.01|0.70233|0.70233|-2315.757928|-0.14995|-0.2094099999999999|0.03900066|7.0093|7.7696
