molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|FPSA5|DPSA2|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|Log S (ESOL)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12k_a36|0.0|0|0|3.483171769|7.412764017000001|2|1.297043952|0.0|-0.076124222|5.351858133|2|0.039061728|0.096315593|0.0|0.002782748|10.94908765|1|0.003724542|0.163804836|-0.095253274|-0.1619981409999999|1|0.856135378|0|0.8427704640000001|-0.075717305|-0.101946803|-49.87227128|-67.14870046|11.90012613|46.79001927|103.5614526|-44.22843899|7.838185977999999|0.0|0.7806817009999999|-32.84907515|78.24529096|-24.86988906|555.1026569|-1342.974009|-16.38090333|0.219318299|13.89698356|-884.5687799000001|0.016847116|1720.258086|1.0|1.0|0.0|2.0|0.12|-7.01|3.62|2.42|2.38|133.84|0.0|6.0|-4.58|31.0|407.47|0.0|-4.55|3.45|0.0|9.66e-08|3.83|3.6631|-1310.3453949999998|697.92|530.51|0.70031|-1310.072976|-0.15053|5.7818|-0.20023|0.03274587|-1310.134752|14.0|7.8539|7.8539
13k_a6|0.0|0|0|3.423411754|7.412764017000001|1|1.42421381|0.0|0.031525207|5.351858133|1|0.04162037|0.051404465|0.0|-0.009326562|10.95129637|1|-0.006280295|0.08217847|-0.045794891|-0.073210645|1|0.827754203|0|0.641032542|-0.11937574|-0.127178105|-82.8774254|-88.29427104|20.6185734|183.1261118|249.215618|-61.29890279999999|14.31458589|113.5526088|0.7971316940000001|-57.53822059|100.7779947|-31.53366823|445.0412356000001|-1765.8854210000002|-21.89246528|0.202868306|14.58291125|-1225.9780560000002|0.017981419|2215.299472|1.0|1.0|1.0|3.0|0.16|-8.89|4.55|3.8|1.39|124.98|0.0|7.0|-5.49|33.0|441.48|0.0|-4.77|3.39|0.0|1.29e-09|5.41|3.5476|-1465.862962|731.25|577.68|0.70536|-1465.557346|-0.14589|8.1639|-0.1944|0.0308324|-1465.621288|46.0|7.3372|7.3372
15a_a50|0.0|1|1|0.0|7.934155233999999|1|1.3530592819999998|4.126145086|-0.113976703|5.82008293|1|0.035694444|-0.0446629609999999|2.020652006|0.005366038|10.94500663|2|0.005828749|-0.072976638|-0.128070491|-0.209259615|1|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|-46.91098865|-50.56454577|10.77967103|275.287923|97.06405493|-30.25705388|6.450390922|0.0|0.705410595|-28.07082095|61.78266878|-17.54280159|501.3207109|-859.5972780999999|-10.49734522|0.294589405|14.65582885|-514.369916|0.018747341|1218.577214|0.0|1.0|1.0|1.0|0.23|-6.09|3.23|3.57|1.87|110.43|0.0|5.0|-3.6|28.0|371.44|0.0|-3.92|2.51|0.0|8.070000000000001e-07|2.66|4.0408|-1199.818129|644.4|519.38|0.66132|-1199.572081|-0.16693|6.6307|-0.19948|0.03314629|-1199.629702|41.0|7.3872|7.3872
36_a18|0.0|0|0|0.0|7.03438793|2|1.25117638|0.0|0.050448408|4.844187086|1|0.036625514|-0.05224259|0.0|-0.000451777|10.94702093|0|0.000825855|-0.079553246|-0.079721028|-0.12139648|0|0.721836103|0|0.804293867|-0.07777765|-0.079805761|-55.38202488|-56.82615305|6.722004572|110.8288932|139.3536816|-40.46339026|4.786442152|83.34177364|0.812056067|-39.43509046|65.59412783|-22.73046122|572.70209|-1477.479979|-16.1853561|0.187943933|18.21710397|-1052.048147|0.0123136069999999|1819.430996|1.0|1.0|1.0|3.0|0.28|-9.16|3.73|2.96|3.13|146.24|0.0|7.0|-5.68|35.0|466.57|0.0|-5.28|4.18|0.0|6.87e-10|7.75|3.1908|-1493.686737|769.73|636.33|0.69372|-1493.266344|-0.13133|1.9944|-0.18124|0.02564498|-1493.333297|32.0|7.4949|7.4949
1l_a5|0.0|0|0|2.964063799|6.605297921|0|1.270375394|0.0|-0.244609612|4.59511985|2|0.025672515|-0.111303801|0.0|0.008244856|10.94421389|1|0.007613233|-0.179824092|0.0271820189999999|0.043915678|2|0.71872376|0|0.890289002|-0.068685233|-0.067755283|-38.79937717|-38.27406105|4.43679678|167.86839980000002|61.974288|-21.62050954|2.506287665|0.0|0.769406114|-21.91725365|45.64819758|-14.9768065|502.9124512|-688.9330988|-8.460199385|0.230593886|14.03493287|-389.1691717|0.013054186|895.4089219|1.0|1.0|1.0|1.0|0.14|-8.83|5.56|5.32|2.57|105.07|0.0|4.0|-5.04|26.0|340.42|0.0|-4.98|4.19|0.0|1.4800000000000003e-09|3.89|4.3664|-1069.261615|609.85|486.81|0.57392|-1069.047151|-0.1779|2.1987|-0.21939|0.03182983|-1069.101032|32.0|7.4949|7.4949
14_a47|0.0|1|1|2.871076328|6.605297921|0|1.417758105|0.0|-0.126490693|4.59511985|2|0.036632997|0.017068634|1.484493371|-0.008212621|10.95058279|1|-0.006335783|0.05124606|-0.020596219|-0.061837113|2|0.579833096|1|0.681598464|-0.093553938|-0.094132436|-47.18187618|-47.47362906|10.1400648|64.60629385|160.57883|-23.9422834|5.113919242|0.0|0.664709719|-23.79514424|61.62381153|-17.63306222|343.7492333|-617.1571777|-8.892848121|0.335290281|13.15643085|-311.2496842|0.028057496|928.4611922|1.0|1.0|1.0|2.0|0.0|-7.79|3.97|4.88|2.49|86.58|0.0|3.0|-3.97|24.0|323.3|0.0|-4.13|2.91|0.0|1.63e-08|2.64|3.9671|-1127.737484|519.55|375.43|0.68345|-1127.610422|-0.16377|2.2485|-0.22434|0.03679054|-1127.6593779999998|8.0|8.1|8.1
15b_a50|0.0|1|1|0.0|7.934155233999999|1|1.353059441|4.112770601|-0.144363623|5.82008293|1|0.032843915|-0.103807905|2.018777006|0.004641091|10.94501702|2|0.005203263|-0.17223348|-0.131737048|-0.2185722769999999|1|0.764606364|1|0.8209134840000001|-0.082576068|-0.080700307|-47.20879251|-46.13641893|11.48191704|274.85729960000003|102.3838797|-26.37622116|6.564219549|0.0|0.639017342|-26.98929785|60.03646705|-16.04745006|469.3167805|-738.1827030000001|-9.174337796|0.3609826579999999|13.22671714|-422.0195386|0.024313507|1155.184146|1.0|1.0|1.0|1.0|0.19|-5.72|2.71|3.26|1.66|105.46|0.0|5.0|-3.18|27.0|357.41|0.0|-3.6|2.11|0.0|1.92e-06|2.08|4.0561|-1160.4989460000002|613.37|475.99|0.65917|-1160.275856|-0.16737|6.9054|-0.20071|0.03528279|-1160.330621|79.0|7.1024|7.1024
28_a47|0.0|1|1|0.0|6.842683282|0|1.4201653580000002|1.408016295|-0.053792245|4.727387819|2|0.038387534|0.023813594|1.121067445|-0.013020816|10.95058275|1|-0.010153352|0.06536499|-0.046265509|-0.126992366|2|0.614975047|1|0.605349345|-0.1132830309999999|-0.106779291|-67.33744077|-63.47150284|15.50250691|365.2310214|234.5873429|-37.72858603|9.214964819|83.61576722|0.65225927|-40.02656804|82.27079846|-22.66839387|359.8303775|-952.0725426|-13.47449501|0.34774073|14.91533234|-565.9287905|0.031626405|1459.653524|0.0|1.0|1.0|2.0|0.05|-6.92|2.49|3.84|1.67|99.2|0.0|5.0|-3.67|28.0|380.35|0.0|-3.66|1.97|0.0|1.2099999999999998e-07|3.51|3675.0|-1335.759232|599.88|461.73|0.69002|-1335.571655|-0.15049|6.0847|-0.2052|0.03698465|-1335.6279869999998|25.0|7.6|7.6
4c_a46|0.0|0|0|0.0|7.825245291|1|1.134637091|2.137504882|-0.068543882|5.587248657999999|1|0.0440307329999999|-0.111750026|0.0|0.010177371|10.94298307|1|0.010040825|-0.165951544|-0.056422062|-0.083788154|1|0.65145414|0|0.890777395|-0.063644365|-0.087503927|-40.22007179|-55.2981278|8.799732282999999|35.22734468|69.02325225|-34.9456654|5.56099297|53.13410852|0.840753785|-25.41708422|60.67664538|-18.76186479|562.9269925|-1050.664428|-11.85656505|0.159246215|13.06174141|-663.9676426|0.008510983|1249.669579|1.0|1.0|1.0|0.0|0.38|-7.62|5.11|5.24|3.4|115.03|0.0|5.0|-5.55|29.0|389.49|0.0|-5.28|4.63|0.0|2.39e-08|6.38|4.1026|-1245.4159619999998|683.75|617.56|0.6986600000000001|-1245.114575|-0.17085|4.1039|-0.21466|0.02299741|-1245.176359|2008.0|5.6972|5.6972
1n_a5|0.0|0|0|2.91912867|6.605297921|0|1.427557749|0.0|-0.1387762669999999|4.59511985|2|0.024388889|0.002508727|0.0|0.004367323|10.94528897|1|0.004754079|0.004115733|-0.00966135|-0.015850084|2|0.656280207|0|0.785210014|-0.082180848|-0.081950989|-47.1725036|-47.04056285|13.27640087|63.58796786|123.2912732|-27.00168194|7.620766672|55.29041202|0.627751746|-27.07741706|63.57058627|-17.50346525|450.71720610000006|-752.6490056|-10.04713747|0.372248254|15.27080096|-432.02691110000006|0.028797525|1198.959638|1.0|1.0|1.0|1.0|0.05|-8.07|4.41|3.99|1.72|101.77|0.0|5.0|-4.27|27.0|356.38|0.0|-4.18|2.91|0.0|8.43e-09|4.19|4.3838|-1179.209088|607.15|481.06|0.44786|-1179.018429|-0.17092|0.6234|-0.23278|0.03956123|-1179.073189|27.0|7.5686|7.5686
