molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
15_a47|0.0|1|1|1|0|6.605297921|0|1.304329657|0.0|-0.00516949|4.59511985|2|-0.130885389|1.56205245|-0.21194909|-0.0026314909999999|0.086682657|0.0506476009999999|1|-0.002377481|-0.299654464|-0.007670908|-0.017562097|-0.332654104|0.644280611|0.830688568|0.081171071|0.897881853|1|-0.084413593|-0.0904066519999999|0.016669157|-45.1562696|-48.36220049|8.917011222000001|61.0548099|-0.033307714|-25.87091101|4.770072524|0.711630105|-1.265693121|59.79410145|-17.81765281|54.07328082|2327.320914|423.5412927|869.1027727|0.288369895|13.37174753|0.914412511|154.260803|-362.1927541|0.021370407|-226.4191275|951.4364299|383.4213189|11.43190096|1.0|1.0|0.0|2.89|2.1|0.06|21.0|-8.49|5.28|66.49|2.0|0.0|4.0|-5.76|0.0|3.74|0.00455|0.00499|3.8|0.0|0.0|3.22e-09|1.14e-06|-0.0591799999999999|3.33|-1527.4104|-1527.376145|552.16|305.43|0.2828|286.26|419.75|0.67203|2.2271|0.03425526|-1527.316555|3.7709|16.0|7.8
12s_a36|0.0|1|0|0|0|7.412764017000001|2|1.297044029|0.0|-0.007059109|5.351858133|2|0.037454164|0.0|-0.4023692|0.002951176|0.0056370119999999|-0.050363149|1|0.003962098|0.063448144|-0.104118159|-0.1763783589999999|-0.434472457|0.90414347|0.8060798779999999|-0.086791463|0.856677627|0|-0.07216709|-0.1000534719999999|0.019457471|-46.58030248|-64.57958827|12.55883918|110.6090028|-0.035868226|-41.6829437|8.106112169|0.754198383|-1.901015959|76.34126108|-23.15117315|59.13914165|2710.355028|535.942162|2294.468358|0.245801617|13.98635088|0.853487672|158.6528381|-791.9759303|0.018222417|-328.1450742|1626.909053|662.0530478999999|11.76167282|1.0|0.0|0.0|4.85|0.0|0.17|17.0|-6.97|2.19|69.2|1.0|0.0|4.0|-6.55|0.0|2.14|0.0274|0.02|3.04|0.0|0.0|1.08e-07|4.270000000000001e-05|-0.04908|3.48|-1272.270833|-1272.236664|683.24|329.71|0.4501|319.95|523.72|0.6843600000000001|6.6068|0.03416928|-1272.061111|8.7738|9.0|8.0458
8c_a31|0.0|1|0|0|0|7.765993078999999|1|0.610137334|0.0|-0.01275867|5.733341277|0|-0.106461724|0.0|-0.574140137|-0.0080009219999999|-0.1903992189999999|-0.1029580369999999|2|-0.004832959|-0.178276512|-0.053983462|-0.09039853|-0.513257014|0.922486359|0.847752299|-0.1759864119999999|0.896193695|0|-0.1170607269999999|-0.128067781|0.029669107|-64.57121646|-70.64275621|16.3656112|133.3100368|-0.039640027|-38.96685783|9.027343766|0.72308253|-1.66488115|82.77037329|-21.86561502|80.93682766|2251.08563|345.3445134|1678.6836239999998|0.27691747|12.99457133|0.90508624|152.7489054|-506.5691518|0.021986076|-246.1066271|1270.056726|423.1367008|12.12761708|1.0|1.0|1.0|3.51|2.9|0.29|16.0|-6.13|3.13|114.29|0.0|0.0|5.0|-6.7|0.0|2.83|13.0|0.0811|2.38|0.0|0.0|7.45e-07|0.0002549999999999|-0.03222|1.83|-1426.166503|-1426.129055|595.67|322.11|0.2597|322.11|475.72|0.7005|3.3453|0.03744829|-1426.024361|5.1815|0.81|6.0915
12c_a31|0.0|1|0|0|0|7.765993078999999|1|0.6101358029999999|0.0|-0.013026643|5.733341277|0|-0.030192572|0.0|-0.690412101|-0.003618466|-0.094991098|-0.056866055|2|-0.000813398|-0.048694677|-0.138799714|-0.223856622|-0.54466023|0.8083148840000001|0.842823186|-0.098452311|0.8856644770000001|0|-0.104643824|-0.129736755|0.030543026|-66.41224264|-82.33748068|19.38414321|153.400467|-0.036326291|-52.25551342|12.30215386|0.6817087|-1.816314565|97.28775086|-23.05449459|85.79638585|2592.4503010000003|422.3366652|1894.297124|0.3182913|14.67172662|0.813278739|202.0036947|-731.5771879|0.023556702|-230.6429907|1690.934456|583.9691392000001|14.95027019|1.0|1.0|1.0|3.69|3.1|0.35|16.0|-7.24|3.7|117.37|2.0|0.0|5.0|-6.53|0.0|3.32|0.00233|0.0277|3.1|0.0|0.0|5.79e-08|2.31e-05|-0.0338399999999999|4.6|-1618.1530810000002|-1618.112841|679.71|323.48|0.2625|323.48|578.69|0.7007399999999999|1.6786|0.04023903|-1617.951882|2.2908|0.38|6.4202
47g_a18|0.0|0|0|0|0|7.03438793|1|1.251175676|0.0|-0.005817448|4.844187086|0|-0.048472184|0.0|-0.477030713|0.0036509859999999|0.033759227|-0.008224928|0|0.00531392|-0.071877686|-0.264839041|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|-0.014370598|0.780474694|0|-0.065225536|-0.08547236|0.013404131|-55.35188184|-72.53379954|11.37505183|111.5517627|-0.029212072|-61.55384106|9.653129118|0.731870777|-2.307753726|86.33162323|-24.79003275|66.72693367|3367.0578530000003|708.1114197|2268.439188|0.268129223|20.32265524|0.966014041|227.5405903|-1661.953709|0.016259076|-393.5416883|2675.8994190000003|1347.416568|13.79782369|1.0|1.0|0.0|4.87|0.0|0.34|18.0|-9.22|3.6|88.97|3.0|2.0|4.0|-6.4|0.0|2.83|0.000421|0.00163|4.52|1.0|1.0|6.04e-10|3.27e-07|-0.04413|8.13|-1743.375845|-1743.346243|905.71|400.4|0.5955|400.4|874.26|0.69828|4966.0|0.02960182|-1742.847918|5.9864|9.0|8.0458
47l_a18|0.0|0|0|0|0|7.03438793|1|1.251176792|0.0|-0.006400878|4.844187086|0|-0.0057783619999999|0.0|-0.428858819|-0.00046896|-0.010426981|-0.056270425|0|0.000787517|-0.008768679|-0.103458566|-0.156998637|-0.4925232479999999|0.7452092359999999|0.7435044540000001|-0.0973326269999999|0.781148177|0|-0.08034939|-0.083884237|0.009199889|-57.15119372|-59.6654726|6.543729374|11.54768766|-0.031456589|-42.43906517|4.654446622|0.796109347|-2.0132216990000003|68.83398609|-22.37455223|63.6949231|2852.093627|571.4972966|1427.032023|0.203890653|18.46922943|0.959883341|145.02405359999997|-1018.537564|0.012890098|-421.235376|1798.711882|931.8364349|9.168513486|1.0|1.0|0.0|4.17|0.0|0.25|18.0|-9.37|3.19|85.29|3.0|1.0|3.0|-6.39|0.0|2.72|0.00247|0.0066099999999999|3.78|0.0|0.0|4.26e-10|1.93e-07|-0.0520399999999999|7.71|-1455.5758039999998|-1455.5497369999998|764.74|387.13|0.5019|387.13|667.5|0.69291|2.4594|0.02606651|-1455.233431|3.3864|32.0|7.4949
12a_a30|0.0|0|0|0|0|7.412764017000001|2|0.604984824|0.0|-0.006711725|5.351858133|2|-0.096804291|0.0|-0.3557214489999999|0.005050384|0.009586623|-0.094932667|1|0.005458948|-0.171649606|-0.053309522|-0.094526372|-0.454270252|0.8421237309999999|0.7885597609999999|-0.171895425|0.842671963|0|-0.07699057|-0.097138462|0.016292604|-47.73588073|-60.22802588|10.10177981|85.47365107|-0.037665934|-37.34272719|6.263330101|0.805190202|-1.845630786|69.45678454|-23.35372432|57.83766054|2722.217443|518.4718832|2256.680391|0.194809798|13.88603128|0.88607758|120.786445|-709.5118166|0.014884556|-378.4495438|1421.195251|620.9195447000001|9.228758655|1.0|0.0|1.0|4.65|0.0|0.14|17.0|-6.64|2.62|81.65|2.0|0.0|4.0|-5.98|0.0|2.63|0.00208|0.0056|3.87|0.0|0.0|2.3100000000000002e-07|9.21e-05|-0.05184|3.82|-1575.7783980000002|-1575.745502|668.81|355.41|0.1866|245.76|507.17|0.35338|4.1875|0.03289568|-1575.597759|4.7368|11.0|7.9469
11_a15|0.0|0|0|0|0|0.0|1|1.435688956|0.0|-0.0064953419999999|0.0|3|-0.036023137|0.0|-0.402711212|0.001806571|-0.0856783419999999|0.023543401|0|0.003766915|-0.056500144|-0.173728081|-0.272482143|-0.363940085|0.843715005|0.718800243|0.0432314409999999|0.76664841|0|-0.064429158|-0.0974577669999999|0.018519054|-44.15161868|-66.78526188|12.69062406|143.8088883|-0.033606127|-45.76619542|8.696553172|0.739315684|-1.949155337|79.1792768|-23.02940065|56.84224275|3022.859488|613.0036107000001|2565.707165|0.260684316|11.76226306|0.8869452090000001|178.640152|-915.3239085|0.018086221|-327.9935744|1806.677804|830.7967967000001|12.39401492|1.0|1.0|1.0|4.1|4.25|0.07|24.0|-8.9|6.69|59.51|2.0|0.0|4.0|-5.26|1.0|4.62|0.000214|0.000357|5.32|0.0|0.0|1.27e-09|5.7e-07|-0.03877|5.04|-1450.740771|-1450.705737|739.57|418.94|0.2657|263.2|568.22|0.58935|812.0|0.03503399|-1450.457814|1.3581|739.0|6.1314
1f_a5|0.0|1|0|0|0|6.605297921|0|1.218960329|0.0|-0.00645569|4.59511985|2|-0.118028278|0.0|-0.277594656|-0.0012491689999999|-0.174016111|-0.000625|1|-0.000700145|-0.389011185|0.001493879|0.004923698|-0.401165734|0.525406088|0.771487328|-0.000969932|0.834250802|0|-0.091412569|-0.083857856|0.008403353|-50.98614411|-46.77243802|4.687041957|201.7057715|-0.035639589|-26.08772825|2.614237829|0.757522389|-1.425583552|57.83835135|-19.87828616|55.67318607|2482.949545|495.3305784|979.2285994|0.242477611|13.35549635|0.8764524309999999|135.2439659|-443.4913802|0.01983997|-287.2706403|1049.647453|403.396385|11.06591332|1.0|1.0|0.0|2.9|2.61|0.05|23.0|-8.88|6.37|54.46|2.0|0.0|6.0|-5.73|1.0|4.23|0.00589|0.00396|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|-0.05346|3.58|-1288.353339|-1288.3196369999998|577.11|270.96|0.6959|261.1|442.04|0.47267|3.7852|0.03370206|-1288.263745|4.9879|0.24|6.6198
32_a47|0.0|0|1|1|1|6.842683282|1|1.216307925|1.998170616|-0.003573735|4.727387819|3|-0.013510009|1.6507707980000002|-0.2037028839999999|0.001861676|-0.026022099|-0.044598914|1|0.002350172|-0.0274939029999999|-0.077485193|-0.157688306|-0.2749014|0.6636125860000001|0.810444864|-0.078006445|0.858292442|1|-0.05770007|-0.0726950079999999|0.019295804|-41.57905445|-52.38450683|13.90468487|28.55112477|-0.026060474|-37.74862456|10.01980854|0.64116122|-1.381205148|68.76811937|-18.77935151|55.48373932|2808.210157|613.6886524|2255.632049|0.35883878|15.53902041|0.794977846|258.5816152|-717.2238666000001|0.022735861|-203.4434306|1552.348456|682.9868225|16.38361254|1.0|1.0|0.0|3.35|3.67|0.26|21.0|-8.82|5.07|67.66|2.0|0.0|5.0|-6.34|0.0|3.94|0.00674|0.0038799999999999|3.7|0.0|0.0|1.5e-09|6.55e-07|-0.05682|2.97|-1778.127634|-1778.0970140000002|692.49|336.65|0.2969|252.79|548.86|0.48011|4.8234|0.03062031|-1777.90286|6.3139|0.1|7.0
