molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|MATS1c|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|PBF|RPSA|FNSA4|WNSA5|WPSA3|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|TASA|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
13e_a6|0.0|1|0|3.433539068|6.842683282|0|0|1.429020445|0.0|-0.089778965|-0.006882528|4.727387819|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|-0.001446486|-0.462344944|0.841211811|0.765593573|0.102257199|0.827254552|0.790249345|1|0.175643236|0.138323399|-0.032929004|-41.68507499|8.211609879|-33.17101912|75.42629799|-22.01054293|61.91072885|2868.489025|575.965487|-14.71237941|0.277469482|14.346067199999998|6147.8097210000005|-750.3313497|0.019543118|1553.619759|676.2770877|1.0|1.0|2.0|2.79|4.53|103.17|0.92|1.0|0.0|123.82|0.0|5.0|-6.52|417.47|0.0|1.0|3.31|-4.78|7.74e-06|0.00323|1.65e-05|0.00688|3.27|0.0|2.75e-08|5.9885|3.2475|-1347.297639|-1347.25954|1202.5|381.78|207.04|567.24|0.38609|0.7034199999999999|-0.20804|-1347.074898|13.2999|7.9208|7.9208
18c_a25|0.0|0|0|0.0|6.842683282|0|0|1.193723817|1.959418462|-0.087958541|-0.002704524|4.727387819|-0.008080236|2|0.043274232|0.007241543|2.069766482|-0.162271435|0.007804726|-0.038865826|0.006360768|0.007488918|-0.282103688|0.7644072209999999|0.748718056|0.084188427|0.8005589320000001|0.7357918440000001|1|0.385593349|0.05198276|-0.026975264|-31.07074762|4.140476673999999|-21.00757374|56.83666555|-17.72859578|38.26446885|2917.369488|623.0528232|-11.65153036|0.2520795489999999|14.65844196|6736.25597|-652.4856999|0.014546814|1327.415719|831.3429628|1.0|1.0|1.0|3.89|6.11|87.72|3.08|2.0|1.0|138.65|0.0|7.0|-5.85|449.57|0.0|1.0|4.77|-5.6|8.86e-07|0.000398|2.51e-06|0.00113|4.49|0.0|3.0499999999999995e-08|5.4858|3.3396|-1714.597797|-1714.5777670000002|1243.76|371.26|226.01|547.87|0.31993|0.70516|-0.19532|-1714.342386|7.9283|7.0555|7.0555
11c_a31|0.0|1|0|3.336985072|7.765993078999999|1|1|0.6101368770000001|0.0|0.069254998|-0.0184155389999999|5.733341277|-0.141329185|0|0.037731481|-0.031640011|0.0|-0.847114804|-0.011679927|-0.137912959|-0.085216451|-0.008375297|-0.572548808|0.825336018|0.839810365|0.013528742|0.8906705429999999|0.787929678|0|0.3608415239999999|0.435856737|-0.042457317|-48.16624372|11.74927853|-47.33176279|99.31985763|-24.864808|100.8824395|2470.585429|330.3862551|-14.56188764|0.323910768|13.95917988|5329.481371|-626.1611682999999|0.029155542|1581.428448|449.7512005|0.0|1.0|2.0|2.66|3.64|125.57|1.03|1.0|0.0|97.32|2.0|6.0|-6.56|371.41|0.0|1.0|3.04|-3.98|7.68e-06|0.00285|0.000105|39.0|2.82|0.0|0.000537|3.8551|3.8551|-1559.3980869999998|-1559.353434|1022.77|321.61|321.61|512.9|0.7005899999999999|0.7005899999999999|-0.19526|-1559.253116|7.5091|6.8861|6.8861
4e_a49|0.0|0|0|0.0|7.535296702|1|1|1.343847746|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|-0.080255074|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|0.018857363|0.000660956|-0.403194204|0.7541604690000001|0.803344301|0.0063958109999999|0.856023531|0.731643066|1|0.433385455|0.242937669|-0.029288891|-33.05708028|6.449206277999999|-35.44835874|68.38360061|-17.96482878|68.30753733|2675.626006|464.3567821|-11.01902676|0.349671525|15.01788083|5950.361470000001|-561.9703647000001|0.023622273|1408.836153|620.5697596|1.0|1.0|2.0|2.89|2.83|92.93|1.25|1.0|0.0|114.08|1.0|6.0|-7.52|399.45|0.0|1.0|2.42|-3.52|0.000528|211.0|0.000305|122.0|1.71|0.0|1.74e-05|5.7301|3.7876|-1313.199448|-1313.158118|1128.64|327.34|216.37|504.63|0.4078199999999999|0.68043|-0.2231199999999999|-1312.98289|4.8707|7.4685|7.4685
14_a47|0.0|1|1|2.871076328|6.605297921|0|0|1.417758105|0.0|-0.126490693|-0.006070958|4.59511985|-0.136491228|2|0.036632997|0.017068634|1.484493371|-0.2306964|-0.008212621|-0.01670074|0.0295267039999999|-0.006335783|-0.33240126|0.5975877820000001|0.777675668|-0.085385518|0.8467634620000001|0.579833096|1|0.2662137639999999|0.318401536|-0.034963476|-23.9422834|5.113919242|-23.79514424|61.62381153|-17.63306222|57.32194098|2254.664317|343.7492333|-8.892848121|0.335290281|13.15643085|4695.98899|-311.2496842|0.028057496|928.4611922|310.8026328|1.0|1.0|2.0|1.53|4.88|66.49|2.49|0.0|0.0|86.58|1.0|3.0|-6.21|323.3|1.0|1.0|3.16|-4.13|0.000108|0.0349|7.46e-05|0.0241|2.91|0.0|5.27e-06|3.9671|3.9671|-1127.737484|-1127.700693|849.76|312.53|312.53|375.43|0.68345|0.68345|-0.22434|-1127.6593779999998|3665.0|8.1|8.1
9o_a24|0.0|1|0|2.9340792330000003|6.605297921|1|1|1.294229152|0.0|-0.064667223|-0.007052095|4.59511985|-0.044044637|3|0.028472222|-0.087807028|0.0|-0.387865233|0.0012214139999999|-0.097596429|-0.000236595|0.002019902|-0.38043264|0.738419215|0.785672769|-0.0062180169999999|0.846075714|0.7086274779999999|0|0.6253256110000001|0.229726192|-0.032911684|-29.61546471|6.1994599720000005|-29.69744072|66.24061038|-19.05574986|61.99847688|2892.333138|445.9858336|-11.03321234|0.331953623|11.83284872|6697.297449000001|-562.6938294|0.026064002|1454.754155|663.2688909|0.0|1.0|2.0|2.84|4.36|92.79|1.23|1.0|0.0|120.73|1.0|6.0|-6.83|421.45|0.0|0.0|3.01|-4.4|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|2.88|0.0|5.23e-06|5.8802|4.2643|-1388.147972|-1388.094657|1126.94|290.75|210.85|432.84|0.41688|0.65292|-0.22353|-1387.945865|5.9089|6.3507|6.3507
18_a10|0.0|0|0|0.0|7.78113851|2|2|1.243178376|2.142254323|-0.182332901|-0.00309846|5.733341277|0.0307177839999999|2|0.035770975|-0.092424959|2.026949641|-0.1859075939999999|0.009941402|-0.052165302|-0.0280813039999999|0.010573165|-0.220292492|0.7155022459999999|0.785539083|0.048377088|0.832812971|0.6886547670000001|1|0.656664457|0.114447045|-0.024889861|-30.63863373|7.692822451|-23.18149476|61.38857307|-15.79795381|48.64284759|2788.499133|562.0732377|-10.02718922|0.358384456|13.51828833|6213.631543|-551.4954071000001|0.020666062|1354.218219|713.2632062000001|1.0|1.0|0.0|3.41|4.66|62.06|2.14|1.0|0.0|119.81|1.0|5.0|-6.34|412.48|1.0|1.0|3.67|-4.77|3.34e-05|0.0138|1.7100000000000002e-05|0.00705|3.49|0.0|5.44e-06|5.7687|3.7977|-1336.433782|-1336.404041|1181.5|326.47|214.93|504.61|0.37729|0.6866300000000001|-0.20692|-1336.185978|5.9029|6.8861|6.8861
9s_a24|0.0|1|0|2.9568988810000003|6.605297921|1|1|1.4275963180000002|0.0|-0.222173285|-0.003599664|4.59511985|-0.00570386|4|0.023585859|-0.050919714|0.0|-0.190782186|0.006748865|-0.060407836|0.013901071|0.007695726|-0.248704391|0.799076569|0.773544454|0.030228027|0.8327425070000001|0.748077475|0|0.483170382|0.116650168|-0.019465646|-24.51900941|6.474925237000001|-19.21235005|61.19761205|-12.08741583|41.36694069|2747.809842|548.5261887|-7.505819207999999|0.554839231|17.24354813|5767.9102490000005|-367.7851412|0.03496522|1330.4932|604.8829955|1.0|1.0|1.0|2.78|4.29|77.21|0.81|1.0|0.0|115.67|1.0|4.0|-7.2|393.44|0.0|0.0|2.63|-4.06|0.000434|171.0|8.71e-05|0.0343|2.11|0.0|3.04e-06|3.0726|2.6707|-1271.031372|-1270.994965|1121.42|464.24|403.51|521.4|0.69475|0.6907300000000001|-0.14462|-1270.796154|7.0312|7.4949|7.4949
14aa_a23|0.0|0|1|0.0|7.423568444|0|0|1.19796312|3.4143268310000003|0.066582026|-0.005050361|5.351858133|-0.026892547|2|0.046678487|0.031136154|0.758549568|-0.287870566|0.013012022|-0.029037128|-0.044957534|0.012103325|-0.4506138879999999|0.725358161|0.75434493|0.055269665|0.8072028240000001|0.693959193|1|0.204831806|0.075891958|-0.03159178|-35.2984572|8.355923226|-24.18971469|61.21989213|-21.51484958|47.78906871|2941.302235|629.3423691|-14.65218978|0.203340553|15.78173785|6651.23042|-776.5660584|0.013786041|1431.335599|733.3886349999999|0.0|1.0|1.0|3.68|4.63|105.02|3.45|2.0|1.0|130.22|1.0|5.0|-5.92|439.54|0.0|0.0|4.1|-5.55|5.9e-07|0.000259|2.81e-06|0.00123|4.31|0.0|3.07e-06|3.5934|3.5934|-1708.5626|-1708.5422620000002|1231.11|345.03|345.03|588.45|0.6805899999999999|0.6805899999999999|-0.21573|-1708.338059|8.3532|8451.0|8451.0
14f_a23|0.0|0|1|0.0|7.423568444|0|0|1.197963246|3.366063739|-0.002304087|-0.006791105|5.351858133|-0.027380305|2|0.04255787|0.056215377|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|-0.041351617|0.010508236|-0.399688849|0.756252127|0.796412133|0.070514687|0.854683662|0.71381683|1|0.2096108239999999|0.105837608|-0.031450478|-38.58595734|12.40242234|-27.39103254|74.08536976|-21.26277654|58.85981824|3014.916135|604.5178506|-14.37516058|0.334221706|15.58565565|6768.918745|-733.1331894|0.025162423|1628.77284|683.7405759|0.0|1.0|1.0|3.61|4.03|114.25|2.72|2.0|1.0|126.78|1.0|6.0|-6.47|441.51|0.0|0.0|3.46|-5.02|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|3.55|0.0|1.3699999999999998e-05|5.8184|3.5753|-1744.452086|-1744.429532|1210.19|346.78|213.09|572.35|0.60917|0.6733399999999999|-0.21743|-1744.2443850000002|9.1089|8.6459|8.6459
