molecula|SddssS|NaaNH|n9FaHRing|SRW09|nAHRing|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|SIC2|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50
14b_a3|0.0|0|0|6.823286122000001|0|0|0.0|-0.009130444|-0.1160619169999999|3|0.039799383|-0.1551678719999999|1.7086790859999998|-0.00603969|-0.008040839|-0.102362298|1|1|-0.288944272|-0.050943323|-0.575695827|3|0.882394075|0.7809478329999999|0.848135222|1|-0.090994113|0.379746504|0.012828558|-44.49789848|6.273415527999999|252.49572540000003|0.2135234869999999|104.4171556|-0.036469822|3.067822725|82.79166784|0.766915433|-21.76034149|57.87172082|-17.83445545|50.77131401|0.487615651|-642.0403962|1289.104749|-8.721397057|9.738358819|0.951659927|4803.535505|-313.9702941|0.017348996|-261.0537205|837.1723509999999|358.3503513|8.483998032|1.0|1.0|3.18|2.5|0.06|21.0|-6.89|4.28|3.71|1.04|0.0|1.0|2.0|4.0|-6.42|1.0|-3.99|0.0113|0.000103|0.0327|0.0|0.0|4.08e-05|-0.06676|3.0724|-1327.514377|879.19|403.54|0.2276|368.39|0.70123|0.70123|2.8743|0.02844675|0.38|6.4202
27_a47|0.0|0|1|6.842683282|1|1|2.041063341|-0.003631596|0.006768957|3|0.0304347829999999|-0.067535989|1.807806182|0.001861676|0.0427469459999999|0.013336016|1|1|-0.137440913|-0.077485193|-0.280944221|2|0.6636125860000001|0.804224077|0.8517043879999999|1|-0.0630454209999999|0.337815064|0.016506051|-40.35526807|10.56549582|20.73428323|0.153530114|98.27436776|-0.028494622|6.762956126000001|3.180329084|0.700732763|-25.8313393|63.02085767|-18.2393594|50.9207639|0.475450742|-966.6860481|2181.236691|-11.67498331|13.50334344|0.906398657|6433.288104|-618.7741154|0.018969968|-256.9774086|1379.535965|682.9868225|12.14264461|1.0|0.0|3.37|3.52|0.26|21.0|-8.82|4.18|5.07|3.11|0.0|1.0|5.0|5.0|-6.34|1.0|-5.05|0.00674|8.89e-06|0.0038799999999999|0.0|0.0|6.55e-07|-0.05814|4.9358|-1778.1049670000002|1165.54|325.21|0.4007|517.82|0.40976|0.69381|4.0365|0.02633483|2512.0|5.6
14a_a5|0.0|1|0|6.605297921|1|1|0.0|-0.0053665219999999|-0.005002101|3|0.027375887|-0.132625457|0.0|0.002956745|-0.086229994|0.024793388|1|1|-0.213526163|-0.010147323|-0.36152442|2|0.7333482170000001|0.79661948|0.847379958|0|-0.080875277|0.4398855029999999|0.0173669719999999|-54.69145586|11.74431806|134.62273080000003|0.209074444|141.38542919999998|-0.0271808479999999|7.942029745|55.04914434|0.629783335|-36.98479273|69.71575554|-18.38089729|66.43577392|0.470085022|-1010.949351|1315.573182|-12.42997952|15.89694877|0.88709518|6177.303329|-683.6488737000001|0.024411136|-175.53051609999997|1605.23357|723.0631751|16.50789498|1.0|1.0|3.24|2.41|0.2|23.0|-8.84|4.56|4.38|1.37|0.0|1.0|6.0|5.0|-7.08|1.0|-4.22|0.0304|6.02e-05|0.0256|0.0|0.0|6.16e-07|-0.0507699999999999|4.1501|-1390.592722|1195.01|298.75|0.5853|508.64|0.65789|0.65789|2.7115|0.04629687|112.0|6.9508
4o_a46|0.0|0|0|7.825245291|1|1|2.138144369|-0.000627744|0.042766097|1|0.043320988|-0.2363624889999999|0.0|0.010870588|-0.203025042|-0.06855792|1|1|-0.376106593|-0.018058762|-0.096073163|1|0.626333846|0.7699448320000001|0.8176134690000001|0|-0.0648126359999999|0.372146122|0.00972341|-35.54402423|5.332434441|5.821925821000001|0.049267382|27.01882145|-0.021901697|2.9243708|31.19780621|0.7510206490000001|-19.49276784|42.00638612|-12.01115223|40.87645867|0.460981009|-576.535307|1705.3950960000002|-6.587059484|10.25486577|0.855222204|4966.476822|-316.1788552|0.0108913189999999|-275.3254498|767.6690487000001|544.7877262000001|5.972929428|0.0|1.0|3.73|3.12|0.32|17.0|-7.26|4.77|4.94|2.72|0.0|1.0|2.0|3.0|-5.51|1.0|-4.87|0.00422|1.34e-05|0.0045899999999999|0.0|0.0|1.88e-05|-0.04627|4.3255|-1070.456878|1022.29|286.64|0.1598|501.08|0.6843|0.6843|3.4494|0.02815574|162.0|6.7905
13i_a6|0.0|1|0|7.412764017000001|1|1|0.0|-0.0149593219999999|-0.154502515|1|0.042560386|0.035242754|0.0|-0.011017781|0.034304189|-0.032549318|1|1|0.057038772|-0.045418125|-0.560601136|1|0.8744720490000001|0.7771558909999999|0.8287956870000001|0|-0.120457274|0.221116773|0.031178586|-80.75190740000001|20.90143854|181.1128483|0.375953882|252.0312146|-0.046433945|14.01186473|116.5456632|0.783597763|-54.13430283|100.2320567|-31.12829557|101.6533459|0.429711323|-1649.799665|2880.134143|-20.86772478|14.54375165|0.753497905|6306.951561999999|-1105.989413|0.019989461|-380.2354072|2105.416507|673.8038326000001|13.40049533|1.0|1.0|3.59|2.7|0.12|23.0|-8.5|4.16|3.54|1.18|0.0|1.0|6.0|5.0|-6.81|1.0|-4.48|0.00398|3.28e-05|14.0|0.0|0.0|1.36e-06|-0.0481399999999999|3.6668|-1426.549926|1196.21|348.14|0.2903|553.67|0.7004600000000001|0.70517|7.8342|0.03191957|21.0|7.6778
12u_a36|0.0|1|0|7.412764017000001|2|2|0.0|-0.006461999|-0.0407717229999999|2|0.042560386|0.033763276|0.0|0.0042553209999999|-0.063855309|-0.010669561|1|1|0.055588998|-0.099596099|-0.438988314|1|0.901715152|0.8101678720000001|0.855176759|0|-0.07260571|0.3765068079999999|0.017639065|-50.53295452|12.27663887|86.1184622|0.157772171|109.8080843|-0.03452119|8.544435884|5.944854912|0.77938748|-35.17050511|78.06218646|-24.02645378|62.80959338|0.486156325|-1417.5607730000002|2455.7556010000003|-16.72220679|14.90088936|0.946117173|6127.402572|-986.6102007|0.015171583|-388.9026034|1818.813889|799.5563855|10.55929252|0.0|1.0|5.05|0.0|0.24|17.0|-7.38|3.85|3.01|2.66|0.0|1.0|6.0|4.0|-6.19|1.0|-4.86|0.0047799999999999|1.39e-05|0.00589|0.0|0.0|1.7800000000000002e-05|-53.0|3.8847|-1350.8981130000002|1254.5|337.37|0.4267|590.18|0.69258|0.70272|5.8702|0.03260752|16.0|7.7959
15a_a22|0.0|0|0|6.842683282|0|0|1.646649187|-0.0050042229999999|-0.052476637|2|0.038167849|0.021482585|1.614660505|0.005288335|-0.057308195|-0.015194063|1|1|0.036467904|-0.097476465|-0.360663314|2|0.6819423609999999|0.7392451729999999|0.794858486|1|-0.061755825|0.410151945|0.02126757|-41.92018177|14.43653926|96.58317516|0.13335968|90.52525878|-0.031425179|9.799599501|65.53409434|0.702735071|-28.45564196|70.12529157|-21.33157831|56.35672103|0.444668211|-1109.242072|2169.226845|-14.47998862|14.6895113|0.800725296|6322.278103000001|-752.9594081|0.0216014629999999|-275.2352849|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|3.42|2.86|0.08|27.0|-9.21|3.87|4.31|1.73|0.0|1.0|6.0|5.0|-6.61|1.0|-4.68|0.00945|2.1e-05|0.00881|0.0|0.0|2.56e-07|-0.0600399999999999|5.0577|-1368.35331|1189.31|339.72|312.0|541.27|0.41078|0.69076|5.2588|0.03153544|143.0|6.8447
22_a47|0.0|0|1|6.86171134|0|0|1.202720059|-0.010579222|-0.150248628|2|0.043695652|-0.029311184|1.016903613|-0.006808306|-0.075111395|0.002716049|1|1|-0.077468004|-0.1049885469999999|-0.538310301|2|0.612295986|0.831122912|0.890264057|1|-0.080744803|0.573087958|0.022154032|-47.64347429|13.07198749|12.19999546|0.301350868|177.81209280000002|-0.031744149|7.713126784|54.21581266|0.6096864479999999|-28.11203407|71.28682035|-18.73063655|60.71546178|0.4614909829999999|-842.8786448999999|1494.441201|-11.05201291|12.91589555|0.8569791179999999|6107.923371|-497.3405809|0.031534452|-129.440987|1382.478891|482.9384172|18.60690504|1.0|1.0|3.31|3.16|0.1|21.0|-7.69|3.07|4.85|2.97|0.0|1.0|5.0|6.0|-6.58|1.0|-4.38|0.0142|4.16e-05|0.0164|0.0|0.0|8.11e-06|-0.0612399999999999|4.7954|-1375.05033|1027.32|308.65|0.3367|466.95|0.50316|0.68312|4.2485|0.02840507|1.0|9.0
14t_a23|0.0|0|1|7.423568444|0|0|3.410065804|-0.005383494|-0.024472753|2|0.045277778|0.073534004|0.758345646|0.01269616|-0.041339801|-0.093434862|2|2|0.134446672|-0.074441567|-0.4515027279999999|2|0.725800261|0.7629258809999999|0.820002545|1|-0.0553915009999999|0.361071229|0.017433037|-36.09926385|11.36130649|36.6149406|0.079043164|51.51331913|-0.033286443|7.404291213|42.20767549|0.799945841|-23.52629623|61.0040156|-21.69314909|47.46057034|0.465981891|-1084.657455|2286.063655|-14.13766923|14.13931199|0.872595673|6523.656379|-706.8834616|0.014352462|-390.9561553|1355.9136119999998|666.0036144999999|9.353660614|0.0|1.0|3.52|3.49|0.09|26.0|-7.78|3.88|4.33|3.24|1.0|1.0|5.0|4.0|-6.1|0.0|-5.25|0.000608|5.61e-06|0.0023899999999999|0.0|0.0|7.03e-06|-0.06666|3.9855|-1669.240512|1184.43|386.72|0.2061|534.86|0.5824199999999999|0.68886|5.8672|0.02135191|4.0|8.3979
47o_a18|0.0|0|0|7.03438793|1|1|0.0|-0.006476544|-0.055408687|0|0.037484277|-0.006238734|0.0|-0.00046896|0.011121222|-0.038296569|0|0|-0.009467295|-0.103458566|-0.490807196|0|0.7452092359999999|0.7435044540000001|0.781148177|0|-0.077288013|0.261785105|0.008692675|-56.13142962|6.313168526|77.37089184|0.193127002|140.2610102|-0.034545459|4.585021184|82.54478365|0.872753077|-40.76618466|70.23090572|-25.08909125|62.44459815|0.493146875|-1605.70184|1393.529823|-18.22128055|19.35260972|0.972958142|6462.6049570000005|-1166.161955|0.008265369|-541.4335917000001|1839.812293|931.8364349|6.002832126|1.0|0.0|4.17|0.0|0.25|18.0|-9.37|3.69|3.0|2.94|1.0|1.0|9.0|3.0|-6.12|1.0|-5.08|0.000996|8.38e-06|0.00381|0.0|0.0|1.93e-07|-0.0502|3.22|-1455.574672|1352.29|385.04|0.5065|706.49|0.69248|0.69248|2.2316|0.02736851|47.0|7.3279
10_a1|0.0|1|0|6.86171134|0|0|0.0|-0.014135827|-0.23385288|1|0.037578348|0.049971022|0.0|-0.012672753|-0.020225596|0.010430299|1|1|0.107434253|-0.019835038|-0.623957903|1|0.674381582|0.7227844929999999|0.783467165|0|-0.116648443|0.126889306|0.014751098|-65.97424138|8.34295348|212.8090837|0.330036242|186.6625065|-0.045402319|4.718623023|64.49041745|0.8340962559999999|-37.31383317|70.6564636|-25.67872721|74.31719486|0.459673515|-1052.827816|1768.2330920000002|-14.52342192|13.65143394|0.850732895|5192.858899|-595.4602985|0.015427326|-377.9175542|1262.237791|433.2550452|8.725415617000001|1.0|0.0|3.0|2.18|0.0|23.0|-8.02|4.86|5.06|2.78|0.0|1.0|4.0|5.0|-5.91|1.0|-4.73|0.00372|1.87e-05|0.00673|0.0|0.0|3.42e-06|-0.06802|3.4067|-1223.159954|979.35|363.94|0.6754|464.77|0.70345|0.70345|5.3861|0.03426532|1.5|5.8239
