molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|BCUTs-1|SaasN|MATS2c|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|MATS8s|MATS8d|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GRAV|DPSA4|FPSA5|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Molecular Mass|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
9c_a31|0.0|1|0|0|3.410619646|0.0|0|0.610135804|0.0|0.031715924|-0.055520387|0|-0.0384827639999999|0.0|-0.6933757159999999|-0.003618466|-0.1047269419999999|10.311698300000002|-0.062737615|2|2|-0.000813398|-0.138799714|-0.223856622|0|-0.000533581|-0.108617754|0|-0.128097622|0.287455956|0.030296721|-65.84728287|19.30758668|153.5739377|-0.035867334|-52.02424796|12.30439782|-41.96335759|-22.85764436|85.15486955|0.4558841429999999|2592.448925|429.9685721|-14.56678943|0.329283294|8.188627935|5658.985169|34.07943198|0.024456662|-217.5897278|15.58581614|1.0|1.0|1.0|1.0|1.0|2.0|3.66|3.09|16.0|-7.24|5.64|1.08|0.0|108.16|0.0|1.0|398.48|0.0|3.32|5.85e-06|0.00233|0.0277|3.1|2.31e-05|-0.03249|4.94|3849.0|-1618.157698|322.12|322.12|0.7007399999999999|-1617.892493|-0.15975|-0.19224|0.04177078|-1617.9568470000002|2.2323|0.42|6.3768
3b_a49|0.0|0|0|0|0.0|0.0|1|1.343850026|2.104186262|-0.003115526|-0.055724324|2|-0.090939066|1.844602991|-0.322592863|0.000607064|-0.010613212|10.92976559|0.00361222|1|1|0.001356445|0.000511959|0.000850823|2|0.021506499|0.006213385|1|-0.0846496|0.482434361|0.013576151|-54.04959517|8.304484449|325.6896751|-0.0276739079999999|-31.67356498|5.07982433|-33.06194987|-16.92803342|62.35407961|0.477583842|2660.339607|458.224537|-10.35481932|0.3431340539999999|7.236413572000001|5934.158315|25.77091035|0.021477952|-191.9087104|13.13798859|1.0|1.0|1.0|1.0|1.0|2.0|3.37|2.43|21.0|-7.58|3.16|1.25|0.0|116.94|0.0|1.0|398.46|0.0|2.38|0.000293|0.1169999999999999|102.0|1.84|1.05e-05|-0.06115|3.4|3.8418|-1293.3286859999998|322.72|265.67|0.5798|-1293.048179|-0.1587|-0.21985|0.0368692|-1293.106236|3.1637|25.0|7.6021
16f_a32|0.0|1|1|1|3.354832924|0.0|0|0.609420741|0.0|0.1767304639999999|-0.054907428|0|0.008658653|2.082564316|-0.77158995|-0.003511776|-0.081644236|10.31100265|-0.000291262|3|3|-0.001202032|-0.120440534|-0.211019184|0|0.085125293|-0.000510986|1|-0.111152081|0.522247991|0.024434011|-56.53102601|16.90955989|89.03402347|-0.035568666|-53.23443736|11.7022626|-39.12230215|-24.61529877|73.4405859|0.384656622|2772.212354|558.6750754999999|-17.03501995|0.30526292|8.79158776|6235.040893|35.43109972|0.022983292|-269.5356315|15.90558963|1.0|1.0|1.0|1.0|1.0|2.0|3.76|3.4|19.0|-7.77|6.42|1.34|0.0|116.75|1.0|1.0|427.54|0.0|4.05|1.12e-07|4.79e-05|0.00457|4.11|7.26e-06|-0.04997|4.99|3.6272|-1995.307736|341.82|341.82|0.70204|-1995.054457|-0.15003|-0.2|0.02889673|-1995.117771|4.2764|9.0|8041.0
13e_a6|0.0|1|0|0|3.433539068|0.0|0|1.429020445|0.0|-0.089778965|-0.008507023|2|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|1|-0.001446486|-0.126749697|-0.223618825|2|0.102257199|-0.067328767|1|-0.093298845|0.175643236|0.0183790889999999|-49.62570093|12.28502792|66.59852278|-0.032929004|-41.68507499|8.211609879|-33.17101912|-22.01054293|61.91072885|0.4442079679999999|2868.489025|575.965487|-14.71237941|0.277469482|7.973429837999999|6147.8097210000005|30.46313253|0.019543118|-297.4895642|13.06309302|1.0|1.0|1.0|1.0|1.0|2.0|3.51|2.79|27.0|-10.18|5.01|0.92|0.0|123.82|0.0|0.0|417.47|0.0|3.31|7.74e-06|0.00323|0.00688|3.27|2.75e-08|-0.07534|3.36|3.2475|-1347.297639|381.78|207.04|0.38609|-1347.014564|-0.1327|-0.20804|0.03809808|-1347.074898|13.2999|12.0|7.9208
14r_a23|0.0|0|1|1|0.0|0.0|2|1.197963203|3.201732471|-0.009140243|-0.06921746|2|0.014148395|0.7087588690000001|-0.322513347|0.007671236|-0.079935667|10.31321824|-0.064006338|2|2|0.0075222369999999|-0.073945564|-0.17267308|2|0.03753491|-0.1050445769999999|1|-0.085881409|0.375360556|0.019185345|-40.32463891|12.35476415|47.26552456|-0.03654528|-35.61466281|7.956082857|-25.96781003|-23.53402098|52.67940305|0.4661909429999999|2945.137191|557.8203557999999|-15.15517566|0.211777163|7.555307147000001|6744.848704999999|29.85706563|0.017092103|-371.2130393|11.00678143|0.0|0.0|1.0|1.0|0.0|1.0|3.47|3.06|26.0|-7.67|3.78|3.4|1.0|120.24|0.0|1.0|429.47|0.0|3.7|2.66e-06|0.00114|0.00332|3.68|9.18e-06|-0.06842|3.72|3.1797|-1729.1556449999998|389.92|208.71|0.30482|-1728.924789|-0.15536|-0.22378|0.02296354|-1728.98403|8.8722|5.0|8.2684
20_a31|0.0|1|1|1|3.3852303|0.0|0|0.609420757|0.0|0.0469387759999999|-0.057200812|0|-0.013040402|2.114008068|-0.476400874|-0.003484915|-0.020082435|10.31100269|-0.078213611|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0|0.028036914|-0.131662689|1|-0.110195543|0.246878555|0.019334605|-53.79798102|12.1160662|64.42171513|-0.033537774|-43.27297051|7.592555532|-33.71260536|-21.01650877|65.91404723|0.464597945|2576.1287230000003|498.4558574|-13.1700345|0.289292958|8.289864307|5678.167489|29.5712685|0.019624081|-264.0799235|12.29746712|1.0|1.0|1.0|1.0|1.0|2.0|3.46|2.74|19.0|-7.65|6.49|1.1|0.0|110.47|1.0|1.0|397.52|0.0|3.6|1.24e-06|0.000493|0.0146|3.29|8.86e-06|-0.06065|4.78|3.5381|-1880.768349|350.43|350.43|0.7036600000000001|-1880.538664|-0.1483|-0.20895|0.0336943|-1880.599777|4.9218|8.0|8.0862
8m_a46|0.0|0|0|0|0.0|0.2148468989999999|1|1.160371261|2.126524943|-0.044830187|-0.085284636|1|-0.134230003|0.0|-0.248590088|0.0063680119999999|-0.120972269|10.94650201|-0.064176245|1|1|0.005865049|0.010184776|0.015631887|1|-0.084989948|-0.090247845|0|-0.085204935|0.280198209|0.007059399|-48.32436573|3.742817678|166.8508795|-0.032188531|-23.9511632|1.984401749|-25.62105988|-17.06601365|52.0671834|0.425802465|2045.330306|464.5573228999999|-9.04821721|0.114510313|5.684332261000001|4439.758321|19.27296714|0.006689855|-408.7649869|3.546889545|0.0|1.0|0.0|1.0|1.0|1.0|3.24|2.92|17.0|-6.46|4.16|2.62|0.0|96.16|0.0|1.0|319.4|1.0|3.53|3.3e-05|0.0105|0.0088799999999999|3.72|0.000112|-0.01818|4.12|4.2881|-1014.126693|289.14|233.66|0.43001|-1013.91158|-0.17897|-0.19715|0.03472717|-1013.962913|3.1675|229.0|6.6402
17_a47|0.0|1|1|1|3.011740664|0.0|0|1.4168589319999998|0.0|-0.181485377|-0.019259259|3|-0.105849578|1.699575434|-0.2032813319999999|0.0042378929999999|0.075303828|10.9385382|-0.006331624|1|1|0.004477366|-0.0184347939999999|-0.031505291|3|-0.034891905|-0.010871607|1|-0.082994667|0.522140199|0.01291694|-43.82821253|7.87914003|68.64478326|-0.02987808|-30.88080199|4.806157636|-26.73455447|-18.22518223|51.70735256|0.46147021|2672.497352|519.8795281|-11.11708872|0.2542482339999999|7.055517075|5854.9736840000005|24.43867122|0.0159160889999999|-299.80980739999995|9.708576558|1.0|1.0|0.0|1.0|1.0|2.0|3.44|2.39|27.0|-10.1|5.12|2.26|0.0|119.83|0.0|0.0|392.46|0.0|3.85|3.98e-06|0.00156|0.0024|4.03|3.12e-08|-0.04873|3.07|4.2784|-1254.985125|289.79|289.79|0.6844100000000001|-1254.737546|-0.17606|-0.22479|0.04130125|-1254.795084|5.6949|5.0|8.3
13_a1|0.0|1|0|0|3.409865599|0.0|0|1.430073963|0.0|-0.046530797|-0.144782061|1|0.1129747169999999|0.0|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|-0.084271845|1|1|-0.005924486|-0.07665159|-0.120034915|1|-0.051729721|-0.150485437|0|-0.10668313|0.207843387|0.033737733|-64.94184903|19.62059449|148.7311076|-0.040302516|-36.08180773|11.41059871|-37.76773325|-23.43842502|84.56244352|0.477212829|2555.623166|395.1486144|-13.63090514|0.291737016|7.493979856|5456.353212|33.09282789|0.026679865|-242.2358135|15.51600461|1.0|1.0|1.0|1.0|1.0|2.0|3.35|2.83|23.0|-7.94|4.75|1.74|0.0|104.88|0.0|1.0|371.39|0.0|3.23|5.16e-05|0.0192|17.0|2.94|4.24e-06|-0.04962|3.17|3.4483|-1238.395767|359.55|304.01|0.65363|-1238.174491|-0.13921|-0.18883|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0
9d_a40|0.0|0|0|0|0.0|0.0|1|0.604992329|1.839557351|0.007834411|-0.022152094|0|0.153818743|0.89023715|-0.146575228|0.011823978|0.15723868|10.3119722|-0.137738587|2|2|0.010101686|0.0116099239999999|0.019621984|0|-0.3969541689999999|-0.223631751|1|-0.071656839|0.002088915|0.010749826|-31.08478865|5.539796446|108.1468558|-0.031613312|-19.03015798|2.854868966|-16.01918037|-16.29154841|36.6245851|0.467275972|2109.570685|485.2567189|-8.395657932|0.133579429|8.023385851|4401.742338|18.80327978|0.0087217999999999|-377.6610668|4.49467719|1.0|0.0|1.0|0.0|0.0|0.0|3.25|3.63|20.0|-7.0|5.2|4.07|0.0|91.71|0.0|1.0|325.82|1.0|4.63|7.37e-07|0.0002399999999999|0.000727|5.16|3.3e-05|-0.06906|4.7|3.3464|-1677.551678|370.51|269.1|0.4557199999999999|-1677.429981|-0.13875|-0.20781|0.01113991|-1677.48058|7.9502|107.0|6.9706
