molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|AATSC8d|n5aRing|AATSC7i|AATSC1i|n6aHRing|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|FPSA3|PNSA3|PNSA5|FNSA4|WPSA3|RPCS|FNSA2|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12b_a32|1|1|1|0|7.765993078999999|0|0|0.609420757|-0.009432679|5.733341277|-0.055500132|0|0.0388738739999999|-0.044307211|2.153718992|-0.031446256|-0.053480599|3|-0.079768013|-0.1534110109999999|0|-0.0533240309999999|0.8887585240000001|0.7507116140000001|1|0.782593|-0.097525366|0.016282332|-50.88975159|-60.93328667|-0.027561517|6.356098747000001|65.29222164|-1.267829764|2573.006963|488.9595947|-792.1327267000001|3148.185476|-10.75912958|7.076348793999999|12.42841652|0.756331814|5653.268811|247.2897528|-494.9199607|28.50066715|-130.2147289|1311.0306890000002|557.1050635|15.72418067|1.0|1.0|1.0|1.0|3.47|0.26|19.0|6.49|140.04|1.1|110.47|1.0|1.0|7.0|-6.4|397.52|1.0|0.0|3.59|-4.43|1.27e-06|3.28|0.0|0.0|-0.05173|4.12|3.5703|663.89|1109.93|347.27|0.2865|541.49|0.70258|0.2865|-0.14803|3208.0|0.0385132|4.1080000000000005|26.0|7585.0
13f_a6|1|0|0|0|6.842683282|0|0|1.429020649|-0.006930367|4.727387819|-0.008507023|2|45.0|0.04505613|1.651047524|-0.071478789|-0.049928822|1|0.079490516|-0.223618825|2|-0.028317736|0.834167942|0.790249345|1|0.863222493|-0.092939631|0.018554018|-49.2635105|-62.41821579999999|-0.032802223|8.368715213|0.0|-1.672913351|2869.925064|579.7398537|-1123.527884|3253.287533|-14.79531062|9.050440345|15.13042752|0.6717890999999999|6128.208571|187.5697972|-754.5608419|30.56694343|-296.4599736|1558.914115|676.2770877|13.19352214|1.0|1.0|1.0|1.0|3.56|0.08|27.0|5.01|103.17|0.92|123.82|0.0|0.0|5.0|-6.52|417.47|0.0|0.0|3.19|-4.78|7.74e-06|3.27|0.0|0.0|-0.07786|3.36|3139.0|711.29|1202.78|394.98|901.0|568.41|0.70541|0.0048|-0.12805|10.8469|0.03437105|13.9612|42.0|7.3768
9a_a31|1|0|0|0|7.765993078999999|1|1|0.6101356720000001|-0.01391798|5.733341277|-0.093457477|0|0.036891534|-0.05057805|0.0|0.03406986|-0.0007638889999999|2|-0.084652799|-0.15653721|0|0.045292529|0.837697452|0.76226755|0|0.691768132|-0.122626525|0.033245595|-64.75697831|-78.6954713|-0.043430228|13.69193237|95.14995868|-2.0846509230000003|2855.751316|443.941629|-1337.8230119999998|1955.13855|-17.886392|7.812278516|15.15483138|0.939873412|6273.506211999999|168.29310269999996|-858.5468158|37.77835579999999|-305.16297060000005|1813.361078|597.3075924999999|15.33993762|1.0|1.0|1.0|1.0|3.6|0.14|22.0|5.51|117.37|1.58|113.64|0.0|1.0|6.0|-6.39|418.47|0.0|0.0|3.47|-4.77|2.42e-06|3.47|0.0|0.0|-0.04275|5.27|3.7892|680.72|1145.99|327.21|0.7028|540.01|0.7028|0.7028|-0.15757|5.0244|0.03885662|6.2203|0.15|6.8239
12z_a36|1|0|0|0|7.412764017000001|2|2|1.297044126|-0.007671785|5.351858133|-0.010732275|2|0.041767677|0.037307819|0.0|-0.010881947|-0.030529442|1|0.066366917|-0.175397741|1|0.103551178|0.886776351|0.8212311840000001|0|0.834790405|-0.102674964|0.023371488|-54.11489962|-68.09761735|-0.036238222|10.28066212|15.59091678|-1.848149347|2841.692299|553.6621150000001|-1225.757112|2451.657399|-15.940487699999998|8.016303367999999|14.78435842|0.844286292|6146.834385|190.5590792|-812.9648725|33.72393432|-282.1167226|1719.920651|642.3830552000001|14.97465267|0.0|0.0|1.0|0.0|4.76|0.13|17.0|2.75|92.99|1.38|128.47|0.0|1.0|5.0|-7.08|406.44|0.0|0.0|1.66|-3.95|0.000101|2.4|0.0|0.0|-0.05642|2.98|3.8969|686.33|1153.7|318.16|0.4423|539.36|0.69397|0.4423|-0.1575|4814.0|0.03845474|6.5892|5.0|8301.0
14a_a10|0|0|0|1|7.535296702|2|2|1.3438495730000002|-0.002047597|5.4161004020000005|0.0437538159999999|3|0.035660377|0.027446544|2.070512208|-0.045759336|-0.00421565|1|0.042968756|-0.344811314|2|-0.011977878|0.770129205|0.740051323|1|0.911549451|-0.070610745|0.0135610389999999|-32.23041637|-51.23835032|-0.018970051|7.140714112|134.15514270000003|-1.270993412|3075.550631|661.4615097|-922.2903058|1774.8853399999998|-9.988888957|10.0292632|18.88856367|0.8833450959999999|6754.660977|332.3339934|-669.2555601|25.39690722|-60.97724212|1701.592784|1003.968547|15.9041322|1.0|1.0|1.0|1.0|3.98|0.39|21.0|4.16|59.31|1.94|146.76|0.0|1.0|7.0|-6.82|468.59|0.0|1.0|3.43|-4.8|6.159999999999999e-05|3.29|0.0|0.0|-46.0|2.25|3802.0|800.01|1380.89|326.1|0.2835|645.26|0.7047100000000001|0.0005|0.2422099999999999|3.1205|-0.14757681|4.8004|74.0|7.1308
4g_a49|0|0|0|2|8.228176896|2|2|1.343847279|-0.003686314|6.107022888|-0.008414823|4|0.036761229|-0.085731041|3.4246879480000003|0.003456679|0.08591712|2|-0.146265064|-0.066023903|4|-0.027032199|0.81242269|0.626581708|2|0.8601878270000001|-0.0666753309999999|0.018944337|-61.24875669|-66.44036383|-0.0250032489999999|18.81105094|74.95505057|-2.000259924|4706.348867000001|857.1564845|-1993.210915|4747.967275999999|-24.82733433|9.28937554|18.19125978|0.958286615|11516.07629|371.3295653|-1986.186746|39.71443299|-253.8168226|3177.154639|1714.878736|23.67887448|0.0|0.0|1.0|0.0|4.83|0.1|42.0|6.09|116.3|2.87|198.32|0.0|0.0|7.0|-6.6|663.73|1.0|0.0|5.23|-7.43|3.3700000000000004e-08|5.28|0.0|1.0|-0.06458|6.35|3.6269|985.89|1766.47|341.84|0.1389|662.84|0.69238|0.0265|-0.15087|3.4099|0.05838924|4.5147|106.0|6.9747
7g_a8|1|0|0|1|7.535296702|1|1|1.39137419|-0.01002363|5.4161004020000005|-0.067360394|0|0.0448526079999999|-0.030968098|0.0|-0.027838247|-0.027717137|1|-0.065174707|0.046246982|0|0.098510683|0.79995525|0.606087461|0|0.699376143|-0.1122315669999999|0.031841955|-64.55562181|-67.26263865|-0.045912914|11.43714084|56.75323443|-2.020168201|2802.2242920000003|419.1502102|-1210.7274960000002|2079.55195|-16.4912131|7.588498875|14.3346384|0.8889952590000001|6293.364606|115.825531|-725.6133762000001|34.10836993|-367.6690814|1500.768277|509.2753308|11.15541466|0.0|1.0|1.0|0.0|3.29|0.04|23.0|4.94|80.04|3.4|108.0|0.0|1.0|3.0|-5.63|399.37|0.0|0.0|4.14|-5.44|1.67e-06|4.38|0.0|0.0|-0.06621|6.26|3.7874|620.67|1053.9|327.36|0.5165|507.78|0.62073|0.5165|-0.15508|10.1546|0.03974865|12.9547|21.03|4.6772
37_a18|0|0|0|0|7.03438793|2|2|1.251176176|-0.005351023|4.844187086|-0.018808538|1|0.036746032|-0.018268775|0.0|-0.034593342|-0.011713125|0|-0.0276034839999999|-0.224171123|0|0.020848396|0.761336899|0.699483099|0|0.831783747|-0.074857954|0.009098426|-50.09028298|-54.7389628|-0.0286221589999999|4.865006968|60.1335413|-1.946306811|3055.795406|608.2316837999999|-1423.213033|1571.7484060000002|-15.30451633|9.460456975|18.49074823|0.954530133|7035.839448000001|171.9311063|-1040.70711|27.36337253|-387.3755475|1860.709332|1056.535856|10.41657856|1.0|0.0|1.0|1.0|4.31|0.3|18.0|3.68|76.5|3.33|151.14|0.0|1.0|7.0|-6.14|480.6|0.0|1.0|2.93|-5.47|2.08e-06|4.36|0.0|0.0|-0.04925|8.11|3.2127|794.5|1395.35|385.91|499.0|673.45|0.69305|499.0|-0.13194|2.2872|0.02274574|3.0375|35.0|7.4559
26_a47|0|1|1|1|6.86171134|0|0|1.304328272|-0.012090143|4.727387819|-0.200192886|2|0.045681818|-0.110530752|0.956774672|-0.046771537|0.0081426509999999|1|-0.24731748|-0.079370393|2|-0.11288313|0.910081385|0.651797437|1|0.7104381999999999|-0.101679756|0.020884606|-57.01987795|-59.08415114|-0.038735145|7.0517889060000005|60.07342336|-1.626876095|2625.572598|412.8219782|-945.3464183|1341.904566|-13.07911017|6.945070057000001|13.22794532|0.90465254|5994.406615|164.0744453|-549.3226272|31.36429668|-252.9318822|1317.300461|457.1122177|14.3059247|1.0|1.0|0.0|1.0|3.13|0.05|21.0|2.84|98.72|2.59|104.8|0.0|1.0|4.0|-6.51|396.81|0.0|0.0|3.18|-4.56|1.3699999999999998e-05|3.12|0.0|0.0|-0.06279|4.37|3992.0|592.84|1006.59|310.58|0.3197|443.78|0.68707|77.0|-0.16642|3.6825|0.02111593|4.8242|13.0|7.9
5_a4|0|0|0|1|7.535296702|1|1|1.343864516|-0.001215982|5.4161004020000005|0.02257929|2|0.035994832|0.012532807|2.189593648|-0.050389825|-0.134215501|1|0.0202481919999999|-0.076189222|2|-0.165454845|0.820886786|0.650346601|1|0.943148502|-0.0681917309999999|0.008047242|-27.26045038|-36.64215945|-0.025201292|2.323516519|46.53110402|-1.159259431|2282.291204|506.7916175|-622.9167106000001|1896.178084|-7.276482574|5.758733969|9.823391314|0.7058248159999999|5059.243919|103.5177395|-334.71819839999995|16.77294978|-330.3047347|771.5556899000001|518.5792364|5.125482045|1.0|1.0|1.0|1.0|3.27|0.23|21.0|4.89|43.6|2.88|104.89|0.0|1.0|3.0|-5.57|340.42|0.0|1.0|3.89|-4.84|2.72e-05|3.95|0.0|0.0|-0.04892|3.71|4.0239|595.55|1013.0|308.12|0.1106|421.24|0.6019899999999999|67.0|-0.16965|2.7859|0.02251645|3.1619|71.0|7.1487
