molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|MATS2c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|MATS8s|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
13_a1|0.0|1|0|0|3.409865599|-0.046530797|5.351858133|1|0.1129747169999999|0.0|-0.597786194|-0.008672236|-0.0594321759999999|-0.084271845|-0.005924486|0.1769162319999999|-0.07665159|-0.120034915|-0.485427571|-0.051729721|-0.10668313|0.207843387|0.033737733|-64.94184903|-62.04288975|148.7311076|0.320539533|186.4137189|-36.08180773|11.41059871|528.3795274|0.7082629840000001|-37.76773325|-23.43842502|84.56244352|0.477212829|2555.623166|-1054.729126|0.291737016|14.33466671|0.912824292|5456.353212|169.6632599|-613.3907313999999|33.09282789|0.026679865|15.51600461|1.0|1.0|1.0|2.0|3.35|0.09|4.75|3.87|80.26|1.74|1.0|0.0|104.88|1.0|4.0|28.0|5.0|371.39|0.0|1.0|5.16e-05|0.0192|4.58e-05|2.94|0.0|0.0|1.14e-08|4.24e-06|-0.04962|3.4483|613.52|1035.04|359.55|0.5339|304.01|472.52|0.65363|0.69782|-1238.174491|-0.13921|2.7595|0.0284695999999999|3.9446|0.26|6585.0|6585.0
2_a27|0.0|0|0|0|0.0|0.09890645|4.59511985|2|-0.196529806|1.267636369|-0.276758209|0.009338889|0.11675125|0.017751479|0.00988756|-0.337316432|-0.21066171|-0.361571905|-0.475677812|0.137868605|-0.081513931|0.408120957|0.019809599|-29.42169804|-41.03489597|9.194894069|0.153130039|77.08713259|-20.65736087|5.020172886|53.58106492|0.6684621829999999|-14.81116546|-14.73047548|39.39404027|0.4424192289999999|2210.487938|-574.4885436000001|0.331537817|9.527176544|0.7934621359999999|4774.521748|166.89932209999998|-289.2030522|22.03636323|0.022639983|11.39718489|0.0|0.0|1.0|0.0|2.9|0.11|2.43|2.49|65.6|2.42|0.0|0.0|92.58|2.0|2.0|24.0|4.0|317.34|1.0|1.0|0.000644|204.0|0.0002009999999999|2.18|0.0|0.0|1.45e-06|0.0004599999999999|-0.04933|4.1624|538.57|906.48|297.87|0.3217|297.87|420.7|0.55857|0.55857|-1043.665151|-0.16769|4.7049|0.02268519|6.8854|13.0|7.8861|7.8861
13a_a30|0.0|0|0|0|0.0|0.113424769|5.351858133|2|-0.036541822|0.0|-0.627166322|-0.003436924|0.0317047379999999|-0.0351777|-0.002215642|-0.065043716|0.003429114|0.006103754|-0.5640209589999999|0.019603815|-0.113507021|0.478381813|0.01856512|-74.02777574|-76.60916637|381.9643801|0.303605444|204.9120824|-51.70573895|8.456950359|102.6479456|0.799862466|-49.96348386|-28.90911938|86.55791128|0.4661332179999999|3002.811441|-1532.183327|0.2001375339999999|15.1104742|0.873126469|6675.344631|135.07860209999998|-1034.114779|36.14261279|0.017212819|11.6174288|1.0|0.0|0.0|2.0|4.76|0.13|3.04|1.72|124.74|2.06|1.0|0.0|135.37|1.0|6.0|32.0|5.0|441.51|0.0|0.0|9.68e-06|0.00427|5e-05|2.74|0.0|0.0|6.520000000000001e-07|0.000288|-0.0555|3.5288|721.66|1211.54|351.35|0.1788|245.34|541.59|0.26119|0.6845600000000001|-1744.217986|-0.14953|0.7158|0.04590378|1.4855|14.0|7.8665|7.8665
8a_a32|0.0|1|1|1|3.217128449|-0.0755556459999999|5.733341277|0|-0.0281981579999999|2.059960334|-0.497414715|-0.003484915|-0.020716518|-0.128684642|-0.001662219|-0.050766252|-0.0852122769999999|-0.1534110109999999|-0.591393096|-0.184419911|-0.109412858|0.221908108|0.018321589|-52.34893512|-68.61558335|73.64907732|0.185446274|116.298071|-43.03057598|7.205629442999999|66.81560596|0.7490845290000001|-32.82934751|-22.37464674|63.83886888|0.480024324|2574.085885|-1029.23375|0.250915471|14.26997798|0.923166883|5659.295213|157.3554684|-645.4586397|29.86932167|0.017733503|11.12113054|1.0|1.0|1.0|2.0|3.48|0.26|6.49|4.65|140.04|1.37|2.0|0.0|110.69|1.0|7.0|27.0|4.0|397.52|0.0|1.0|1.5199999999999998e-07|6.03e-05|1.02e-05|4.17|0.0|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|667.29|1110.23|348.07|0.4315|348.07|566.07|0.70316|0.70316|-1880.536478|-0.1445|4.8933|0.03498398|7.6703|45.0|7.3468|7.3468
13k_a6|0.0|1|0|0|3.423411754|0.031525207|5.351858133|1|0.051404465|0.0|-0.8554679409999999|-0.009326562|0.0809333929999999|-0.072504783|-0.006280295|0.08217847|-0.045794891|-0.073210645|-0.5627624379999999|0.1373649019999999|-0.127178105|0.212093198|0.0296987679999999|-82.8774254|-88.29427104|183.1261118|0.3589674579999999|249.215618|-61.29890279999999|14.31458589|113.5526088|0.7971316940000001|-57.53822059|-31.53366823|103.4959988|0.426031882|2966.890288|-1765.8854210000002|0.202868306|14.58291125|0.7422570490000001|6492.211639|140.8427117|-1225.9780560000002|39.55891914|0.017981419|12.48372364|1.0|1.0|1.0|3.0|3.68|0.16|4.55|3.8|115.15|1.39|1.0|0.0|124.98|1.0|7.0|33.0|5.0|441.48|0.0|1.0|3.26e-06|0.00144|1.7100000000000002e-05|3.39|0.0|0.0|1.29e-09|5.7e-07|-0.04851|3.5476|731.25|1246.69|349.49|0.3971|242.53|577.68|0.4547|0.70536|-1465.557346|-0.14589|8.1639|0.0308324|10.5079|46.0|7.3372|7.3372
12ak_a36|0.0|1|0|0|3.501132553|-0.052930979|5.351858133|2|0.12041792|0.0|-0.407322296|0.0042553209999999|-0.116440196|-0.015708652|0.005035022|0.198260132|-0.099596099|-0.163978382|-0.439326642|0.051506104|-0.091761476|0.537460657|0.019931266|-49.87483724|-66.15829243|113.186508|0.151294857|109.0807368|-47.69888026|10.36054668|25.9007405|0.737439195|-35.95881638|-23.5478668|64.24490364|0.423822657|2830.816014|-1389.324141|0.262560805|13.86156772|0.735576751|6240.396899|189.3013851|-1001.676485|31.93194362|0.018055095|13.01738243|1.0|0.0|1.0|2.0|5.05|0.24|3.85|3.01|69.2|2.66|2.0|0.0|138.33|1.0|6.0|32.0|4.0|423.51|1.0|1.0|1.13e-05|0.0047799999999999|1.39e-05|3.8|0.0|0.0|4.2e-08|1.7800000000000002e-05|-0.04929|3.6895|730.3|1247.89|336.05|0.4514|320.09|584.05|0.69463|0.7034699999999999|-1350.57563|-0.15275|6.3682|0.03471045|8.5394|46.0|7.3372|7.3372
14j_a23|0.0|0|1|1|0.0|0.074424082|5.351858133|2|0.037350515|0.722606603|-0.322724299|0.007671236|-0.026319216|-0.055708465|0.0075222369999999|0.087218599|-0.073945564|-0.17267308|-0.463194548|0.143567854|-0.082226482|0.226990358|0.020485263|-40.35191855|-53.34139172|40.38957571|0.154547838|100.2571987|-34.60325668|8.620784882999999|83.17168000000001|0.7739671709999999|-26.17681598|-22.69846456|53.64097592|0.497137467|2943.385528|-1066.827834|0.226032829|15.57933561|0.988615047|6597.039681|146.63044480000002|-692.0651337|29.32742551|0.017787992|11.53930239|0.0|0.0|1.0|1.0|3.39|0.05|3.78|4.58|105.02|3.4|2.0|1.0|120.24|1.0|5.0|31.0|5.0|429.47|0.0|0.0|2.66e-06|0.00114|7.73e-06|3.68|0.0|0.0|2.14e-08|9.18e-06|-0.07581|3.6671|670.6|1142.37|338.1|0.3886|338.1|528.18|0.65128|0.65128|-1728.9293280000002|-0.14816|5.8037|0.02207124|8.3233|4.0|8.3883|8.3883
3_a47|0.0|0|0|0|0.0|0.013076203|0.0|2|-0.013350303|1.416887578|-0.367098851|-0.008828261|0.103847816|0.013073797|-0.007967014|-0.021029826|-0.015388793|-0.024240921|-0.457330633|0.104873188|-0.0948001|0.4661246329999999|0.008609292|-43.59237092|-49.71258151|98.29790989|0.145272519|76.18000386|-26.06896797|2.367459086|1.139378223|0.7849694909999999|-22.85956767|-19.12022366|48.10703|0.403777634|2243.894237|-745.6887227000001|0.2150305089999999|10.84023999|0.67722658|5022.029588|112.7606591|-391.0345195|24.35791949|0.016230658|8.511255722000001|1.0|1.0|0.0|2.0|2.59|0.0|4.32|5.4|58.04|2.88|1.0|0.0|101.55|1.0|3.0|25.0|3.0|347.8|1.0|1.0|2.86e-06|0.000995|4.49e-06|4.6|0.0|0.0|3.829999999999999e-09|1.33e-06|-0.05717|3.7284|556.65|941.44|332.54|0.2342|217.52|402.58|0.52977|0.69138|-1469.969304|-0.15473|4.0226|0.03619487|5.3274|316.0|6.5|6.5
14a_a25|0.0|0|0|0|0.0|-0.092005241|4.727387819|2|0.051906412|1.975771616|-0.255585831|0.006085806|-0.046802062|-0.019985937|0.006158124|0.085350921|-0.0469914379999999|-0.077269115|-0.365062041|-0.085643386|-0.084207356|0.326595394|0.012870836|-45.72658614|-55.27820709|107.22698590000002|0.149573695|98.18816423|-36.28756839|5.546443318|58.18995584|0.8067529940000001|-30.017374100000005|-21.90268583|54.17569023|0.492236681|2844.993903|-1160.842349|0.193247006|14.55676745|0.969421506|6315.975408|126.8576588|-762.0389362000001|27.14918443|0.01323706|8.689513304|1.0|1.0|1.0|1.0|3.43|0.08|4.44|4.92|72.7|2.47|2.0|0.0|126.26|1.0|6.0|32.0|4.0|419.48|0.0|1.0|4.03e-06|0.0016899999999999|5.13e-06|4.16|0.0|0.0|2.58e-10|1.08e-07|-0.05083|3.9479|689.55|1202.13|314.05|0.3529|231.18|548.29|0.42461|0.6714|-1352.024616|-0.16347|3.0824|0.03250632|4.1656|207.0|6684.0|6684.0
8b_a12|0.0|0|0|0|0.0|0.190292199|0.0|2|0.028584223|0.0|-0.618894925|-0.010117477|-0.036536396|-0.1090955359999999|-0.007926474|0.047425677|0.003898807|0.006468729|-0.659952678|-0.010950243|-0.116554734|0.4384536329999999|0.011257065|-60.97837482|-67.44287685|319.0086845|0.259073691|149.9096134|-39.02494133|3.769098814|76.80174559999999|0.888936354|-35.28434152|-26.39069094|67.49212879999999|0.480938153|2388.888334|-1213.971783|0.111063646|12.27845608|0.926552694|5217.318476|64.26553043|-702.4489440000001|29.68794201|0.009361504|5.416912474|0.0|1.0|1.0|2.0|4.11|0.1|3.11|1.9|80.37|2.23|1.0|0.0|110.58|1.0|4.0|27.0|4.0|355.39|0.0|0.0|7.890000000000001e-05|28.0|9.74e-05|2.76|0.0|0.0|3.56e-08|1.26e-05|-0.0589|3.7446|611.93|1020.47|331.1|0.3179|293.37|460.08|0.53425|0.57773|-1159.188228|-0.15294|4.2554|0.03936706|6.1286|263.0|6.58|6.58
