molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
18_a31|0.0|1|0|3.281949877|0.0|0|7.401841579|0|0|0.610137226|0.0|0.0690370959999999|-0.013634202|5.351858133|0|0.0427124179999999|-0.051184519|0.0|-0.640807491|-0.001973566|10.31169929|2|2|-0.065041042|-0.107017926|-0.604728055|0.868704545|0.8595579409999999|0.022160691|-0.1647054359999999|0.838968212|0.72588713|-0.11789212|-0.129469649|0.258135789|-69.19879619|-75.99442464|8.49194438|160.8952371|-0.040279446|0.0|85.81723707|0.4492048839999999|2241.561812|426.0718665|-1063.9219449999998|1935.374782|-624.4871824|1.0|1.0|1.0|3.0|3.41|2.85|0.28|4.9|3.48|0.0|99.32|-4.62|25.0|356.44|0.0|1.0|2.89|2.42e-05|0.00862|2.47|0.000104|-0.03702|5.0092|4.81|3.9105|-1465.528656|-1465.4803960000002|630.26|444.0|247.51|-1465.300904|0.2457|-0.16212|0.04825999|-1465.359325|6.8861|6.8861
14c_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|1.197962449|3.349976042|0.06596946|-0.005822256|5.351858133|2|0.043538647|0.04174584|0.743546646|-0.296935034|-0.047853455|10.31321813|2|2|-0.071484865|-0.13187015|-0.4589840189999999|0.722187957|0.793551289|0.1114214519999999|-0.077808321|0.659570836|0.922935039|-0.0567889659999999|-0.0800086929999999|0.2273163289999999|-37.73933093|-53.17009158|12.52192141|51.21382308|-0.034046252|81.41541733|64.05912299|0.459622824|2955.304496|613.3401089|-1063.401832|2379.221378|-706.6878684999999|0.0|1.0|1.0|1.0|3.4|3.6|0.05|4.0|4.67|1.0|125.29|-6.13|31.0|445.93|0.0|0.0|4.0|7.49e-07|0.000334|4.21|4.55e-06|-0.0795299999999999|3.7031|4.1|3.7031|-2089.523959|-2089.501598|693.64|356.0|334.81|-2089.293299|356.0|-0.15143|0.02236136|-2089.354057|8.6253|8.6253
3b_a49|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.343850026|2.104186262|-0.003115526|-0.0057605869999999|5.4161004020000005|2|0.034155556|-0.090939066|1.844602991|-0.322592863|-0.010613212|10.92976559|1|1|0.000511959|0.000850823|-0.405529602|0.7745859279999999|0.794997634|0.021506499|0.006213385|0.749565191|0.749104358|-0.0883601469999999|-0.0846496|0.482434361|-54.04959517|-51.77986692|8.304484449|153.4719941|-0.0276739079999999|81.60358988|64.91785551|0.477583842|2660.339607|458.224537|-880.2577376|1796.6760370000002|-538.4506046|1.0|1.0|1.0|2.0|3.37|2.43|0.22|3.16|3.2|0.0|116.94|-3.53|30.0|398.46|0.0|1.0|2.38|0.000293|0.1169999999999999|1.84|1.05e-05|-0.06115|4.6669|3.4|3.8418|-1293.3286859999998|-1293.291817|664.15|0.1978|265.67|-1293.048179|0.0759|-0.1587|0.0368692|-1293.106236|7.6021|7.6021
13_a1|0.0|1|0|3.409865599|0.0|0|7.423568444|1|1|1.430073963|0.0|-0.046530797|-0.012199718|5.351858133|1|0.036382114|0.1129747169999999|0.0|-0.597786194|-0.0594321759999999|10.94989555|1|1|-0.07665159|-0.120034915|-0.485427571|0.87703849|0.76714213|-0.051729721|-0.150485437|0.833702788|0.6794604670000001|-0.111667908|-0.10668313|0.207843387|-64.94184903|-62.04288975|19.62059449|186.4137189|-0.040302516|528.3795274|77.55889436|0.477212829|2555.623166|395.1486144|-1054.729126|1786.445642|-613.3907313999999|1.0|1.0|1.0|2.0|3.35|2.83|0.09|4.75|3.87|0.0|104.88|-4.29|28.0|371.39|0.0|1.0|3.23|5.16e-05|0.0192|2.94|4.24e-06|-0.04962|4.0783|3.17|3.4483|-1238.395767|-1238.367298|613.52|0.5339|304.01|-1238.174491|0.3535|-0.13921|0.0284695999999999|-1238.22919|6585.0|6585.0
16_a15|-3.726252327|0|0|0.0|0.0|0|0.0|0|0|0.300207157|0.0|0.072882981|-0.008593957|0.0|2|0.035555556|-0.003882928|0.0|-0.4898555739999999|-0.109386268|10.31928197|0|0|-0.046871961|-0.0764246109999999|-0.528097878|0.787100127|0.729432583|0.080837546|-0.018331526|0.72660548|0.723597405|-0.08870471|-0.101500719|0.7427725270000001|-60.63825695|-69.38556779999999|4.848103252|188.9479321|-0.039472502|17.68542055|76.07332645|0.419910645|3173.773379|494.6488764|-1457.096924|3014.308422|-996.0668068|1.0|1.0|1.0|2.0|3.59|2.93|0.08|3.37|6.02|0.0|124.45|-6.0|32.0|446.52|0.0|1.0|3.59|9.89e-07|0.000442|3.88|2.72e-07|-0.04082|4.1731|8.26|4.1295|-1770.509465|-1770.448668|716.79|0.3809|297.1|-1770.217907|0.1409|-0.16871|0.06079704|-1770.281427|7.6778|7.6778
6a_a31|0.0|1|0|3.3855253210000003|0.0|0|7.703007682000001|1|1|0.610184884|0.0|0.038376178|-0.01694403|5.6869753560000005|0|0.0357275129999999|0.08881108|0.0|-0.779425376|-0.0225412779999999|10.31170939|2|2|0.0006473469999999|0.001117583|-0.568500407|0.848282918|0.784022685|-0.07385392|-0.0436046509999999|0.803505125|0.57216168|-0.132158278|-0.126430958|0.259133072|-77.60012959|-74.23718620000001|20.08876284|251.216265|-0.045153913|98.49408082|92.52963742|0.478330896|2713.694431|335.9594356|-1113.557793|1671.917893|-653.8540772999999|1.0|1.0|1.0|2.0|3.42|2.51|0.05|4.68|3.69|0.0|104.73|-5.22|28.0|390.42|0.0|1.0|2.96|6.09e-06|0.00238|2.8|4.3200000000000007e-05|-0.05563|3.5428|4.03|3.5428|-1613.34153|-1613.295461|607.79|0.6404|349.96|-1613.1416|0.6404|-0.1428|0.04606915|-1613.198178|5.9586|5.9586
8d_a8|0.0|1|0|3.190160226|0.0|1|7.05012252|0|0|1.395657339|1.41693287|-0.12349902|-0.0111144189999999|4.844187086|1|0.042323232|0.071729931|0.0|-0.633521883|-0.077977198|10.94649761|1|1|0.016471091|0.025642021|-0.4385133129999999|0.76211539|0.757805416|0.0780635059999999|-0.179357354|0.734212688|0.6932924890000001|-0.1072746469999999|-0.103150936|0.377028311|-69.95878302|-67.26951954|18.28507531|200.0182229|-0.03820405|92.49576602|86.29065071|0.483207744|2863.968296|452.1282556|-1345.390391|2093.380666|-877.3916055999999|0.0|1.0|1.0|2.0|3.61|2.92|0.12|3.93|3.32|0.0|121.1|-4.91|32.0|430.46|0.0|0.0|3.0|1.24e-05|0.00533|2.89|1.03e-05|-0.0600299999999999|4.6765|6.22|3.2963|-1447.595474|-1447.559429|690.78|0.3|265.12|-1447.2928029999998|0.1879|-0.13754|0.03604461|-1447.354662|4.7303|4.7303
12ax_a36|0.0|1|0|3.429529478|0.0|0|7.412764017000001|2|2|1.280791885|0.0|-0.0943348109999999|-0.007681676|5.351858133|2|0.043383838|0.075802407|0.0|-0.414810497|-0.057017299|10.958822|1|1|-0.101451485|-0.1716508239999999|-0.440372791|0.884841888|0.836170906|-0.0394369539999999|-0.056676035|0.771220556|0.846837721|-0.073739612|-0.107815607|0.375647684|-49.32384393|-72.11700812|12.79462904|102.4490387|-0.038813619|1.236876307|84.58859134|0.488501696|2926.929456|566.4430628|-1298.106146|2471.295987|-868.2929481000001|1.0|1.0|0.0|2.0|4.74|0.0|0.14|3.99|3.19|0.0|133.77|-5.08|31.0|450.32|1.0|1.0|2.82|8.27e-06|0.00372|3.93|7.83e-06|-0.05596|5.2372|4.42|3.8889|-2152.130959|-2152.100515|699.67|0.5236|236.74|-2151.910753|0.4167|-0.15728|0.03044421|-2151.971761|7.9208|7.9208
14aa_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|1.19796312|3.4143268310000003|0.066582026|-0.005050361|5.351858133|2|0.046678487|0.031136154|0.758549568|-0.287870566|-0.029037128|10.313217300000002|2|2|-0.074579388|-0.13397874|-0.4506138879999999|0.725358161|0.75434493|0.055269665|-0.070471939|0.693959193|0.924108042|-0.052155763|-0.076107469|0.204831806|-35.51947393|-51.83122853|12.26959478|51.68445972|-0.03159178|83.27171526|61.21989213|0.4930525229999999|2941.302235|629.3423691|-1140.287028|2263.821505|-776.5660584|0.0|1.0|1.0|1.0|3.63|3.68|0.12|4.4|4.63|1.0|130.22|-6.23|32.0|439.54|0.0|0.0|4.1|5.9e-07|0.000259|4.31|3.07e-06|-0.0708299999999999|3.5934|4.1|3.5934|-1708.5626|-1708.5422620000002|715.57|0.4157|345.03|-1708.276011|0.4157|-0.1449|0.02033777|-1708.338059|8451.0|8451.0
13m_a6|0.0|1|0|3.415695704|0.0|0|6.842683282|0|0|1.429020166|0.0|0.031719435|-0.010840005|4.727387819|2|0.0446875|0.021526267|1.617900191|-0.628720289|0.054340057|10.9505335|1|1|-0.068956229|-0.118693789|-0.568024162|0.870730542|0.7767360059999999|0.156982046|-0.031564227|0.82642394|0.715612461|-0.0989137669999999|-0.107644789|0.429009107|-68.97140339|-75.05944278|12.95736535|198.3000783|-0.0378750189999999|95.67846949|89.65257305|0.48094941|2951.567781|498.9881336|-1426.129413|2574.030011|-994.4232282|1.0|1.0|1.0|3.0|3.59|2.18|0.08|4.19|3.76|0.0|127.2|-4.64|33.0|435.48|0.0|1.0|2.67|2.27e-05|0.00987|2.43|9.35e-08|-0.07137|3.9127|4.27|3.3359|-1423.762467|-1423.712909|726.28|275.0|316.88|-1423.448957|0.1924|-0.13817|0.04955777|-1423.511471|8.0|8.0
12a_a36|0.0|1|0|3.4715209280000003|0.0|0|7.412764017000001|2|2|1.297044783|0.0|-0.0632801509999999|-0.007471648|5.351858133|2|0.040166667|0.078063311|0.0|-0.403468978|-0.070252245|10.96083376|1|1|-0.1063550619999999|-0.183140926|-0.432975237|0.907322874|0.7934042040000001|-0.012112722|-0.119322074|0.855821486|0.820684627|-0.076154312|-0.104828755|0.436020272|-46.76212019|-64.36949846|12.03249549|110.1075804|-0.037738352|5.277117996|76.09903547|0.470444928|2647.835699|503.9367075|-1158.650972|2258.5909920000004|-711.4630111|1.0|0.0|0.0|2.0|4.75|0.0|0.14|2.72|1.88|0.0|123.75|-3.79|29.0|381.43|1.0|0.0|1.86|0.000164|0.0625|2.68|9.78e-05|-0.04946|3.8343|3.16|3.6682|-1232.951968|-1232.916523|653.94|0.4435|323.35|-1232.707754|0.0012|-0.1519299999999999|0.03544528|-1232.764108|7.8861|7.8861
14e_a23|0.0|0|1|0.0|-4.45581912|2|7.423568444|0|0|1.197957573|3.052208981|0.059967018|-0.008865361|5.351858133|2|0.044241453|0.023369734|0.650989437|-0.4787294729999999|0.021081733|10.3132176|2|2|-0.07256543|-0.226146643|-0.5232404310000001|0.560094237|0.791790895|0.133270225|-0.014216155|0.5415996160000001|0.925392058|-0.073376247|-0.089453046|0.267882223|-51.07141556|-62.2612068|12.5437807|51.92870134|-0.03935934|0.5612316039999999|74.75779594|0.49543439|3255.313968|644.0923882999999|-1369.74655|2428.874279|-953.3724859|0.0|1.0|1.0|1.0|3.54|3.62|0.09|4.42|6.19|1.0|125.29|-6.38|34.0|479.48|0.0|0.0|4.5|4.1200000000000004e-07|0.000198|4.46|2.85e-06|-0.08122|3.7033|4.2|3.7033|-1966.96594|-1966.943431|706.39|0.3178|334.8|-1966.720803|0.3178|-153.0|0.02250947|-1966.785007|8.5214|8.5214
12i_a36|0.0|1|0|3.27619957|-4.787087299|0|7.412764017000001|2|2|1.2401347459999998|0.0|0.043792895|-0.016027043|5.351858133|2|0.0438779959999999|0.048138468|0.0|-0.929568494|0.128325344|10.96020192|1|1|-0.1187503719999999|-0.3344729369999999|-0.608318386|0.647732719|0.820041835|0.141564781|-0.01509434|0.624142499|0.830964232|-0.0850745409999999|-0.117424873|0.332782117|-54.81607619|-75.66036485|12.71877085|108.9148111|-0.045665229|0.52902639|90.11282843|0.460246812|3231.030388|535.4151566|-1588.867662|2351.232652|-1023.755049|1.0|1.0|0.0|2.0|4.8|0.0|0.17|3.31|4.04|0.0|130.43|-5.2|34.0|465.43|0.0|0.0|2.65|6.26e-06|0.00291|3.86|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.2030949999998|-1645.171438|666.79|0.5402|237.08|-1644.954647|0.1516|-0.1541|0.03165678|-1645.017702|7.9208|7.9208
