molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|AATSC1c|SRW07|AATSC1s|n6HRing|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|SIC2|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|TPSA_x|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GRAVp|TASA|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
28_a47|0|1|0.0|0.0|1|0|1.4201653580000002|-0.009689834|4.727387819|-0.23494583|2|-0.436042548|-0.013020816|-0.00496711|10.95058275|0.0467853809999999|1|1|-0.010153352|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|-0.175007067|0.896193695|1|0.605349345|-0.1132830309999999|-0.106779291|0.026080156|-67.33744077|-63.47150284|365.2310214|234.5873429|9.214964819|83.61576722|-1.601689367|-40.02656804|82.83994768|2616.1598940000003|359.8303775|0.34774073|7.864990866|0.8964208090000001|206.7032519|-565.9287905|34.75365534|0.031626405|-181.0112167|1459.653524|1.0|1.0|1.0|1.0|2.0|3.08|0.05|21.0|-6.92|3.84|98.72|1.67|1.0|0.0|5.0|-3.67|28.0|-7.22|0.0|0.0|1.0|2.4|-3.66|0.000214|0.0816|0.000217|0.0824|1.97|0.0|1.2099999999999998e-07|4.59e-05|-0.05471|3675.0|3.51|3675.0|-1335.759232|599.88|995.5|461.73|0.69002|-1335.571655|-0.2052|0.03698465|-1335.6279869999998|7.6|7.6
19j_a38|1|0|3.235947106|0.0|0|2|1.29704352|-0.007976154|5.351858133|-0.04575843|2|-0.438688445|-0.004442319|0.003554228|10.95429182|-0.036248822|1|1|-0.002443797|0.23209815|-0.09493054|-0.20848518|-0.42133715|1|-0.001131945|0.908721232|0|0.8071763829999999|-0.0844479869999999|-0.108006563|0.0250587|-57.80349365|-73.92901683|131.29876370000002|131.9851314|11.74054073|29.18585028|-1.944118135|-39.565701700000005|74.95583121|2969.234865|552.5012068|0.285630155|7.506210369|0.6907121629999999|195.5099392|-910.8612362|36.5253298|0.023555355|-293.4664598|1862.79182|0.0|1.0|1.0|1.0|3.0|4.81|0.13|17.0|-6.92|2.42|105.02|1.76|1.0|0.0|5.0|-4.35|32.0|-7.13|0.0|0.0|0.0|2.44|-4.12|4.46e-05|19.0|7.55e-05|0.0322|2.5|0.0|1.2099999999999998e-07|5.14e-05|-0.06447|6.0361|3.23|3.6886|-1424.426858|686.26|1163.3|533.97|0.69435|-1424.183388|-0.21629|0.03678378|-1424.24494|8.1146|8.1146
4d_a46|0|0|0.0|0.173086735|1|1|1.134637067|-0.001749881|5.587248657999999|-0.017469934|2|-0.085744171|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|1|0.010756749|-0.206000242|-0.0814707009999999|-0.1271933999999999|-0.240143042|2|-0.213089038|0.8075680409999999|0|0.936057958|-0.056384895|-0.070772596|0.008652238|-30.95621863|-38.85529917|8.241078584|35.10521457|2.607946825|74.62074724|-1.132361533|-16.99546444|35.70643728|2181.291783|513.9109507000001|0.186572035|5.757075209|0.7893441379999999|102.4310631|-341.3149976|16.6147308|0.0086574759999999|-344.15403910000003|764.2776167999999|0.0|1.0|1.0|1.0|0.0|3.78|0.35|17.0|-7.41|5.11|43.6|2.84|2.0|1.0|2.0|-4.93|25.0|-5.4|0.0|1.0|1.0|4.11|-5.11|1.18e-05|0.00416|7.8e-06|0.00275|4.3|0.0|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|4.4265|-1453.840712|588.18|1009.78|503.76|0.69884|-1453.635434|-0.22603|0.02292966|-1453.688943|6.2865|6.2865
14c_a23|0|1|0.0|0.0|2|0|1.197962449|-0.005822256|5.351858133|-0.024758731|2|-0.296935034|0.010682694|-0.047853455|10.31321813|-0.047410593|2|2|0.009263715|0.077009731|-0.071484865|-0.13187015|-0.4589840189999999|2|0.1114214519999999|0.857184548|1|0.922935039|-0.0567889659999999|-0.0800086929999999|0.018842596|-37.73933093|-53.17009158|38.43627129|51.21382308|8.321492112|81.41541733|-1.600173862|-25.07982076|50.26125234|2955.304496|613.3401089|0.2165924689999999|7.832948614|0.8505592829999999|143.9373772|-706.6878684999999|28.88097191|0.016385474|-376.6791777|1357.40568|0.0|1.0|0.0|1.0|1.0|3.4|0.05|26.0|-7.99|4.67|105.02|3.51|2.0|1.0|5.0|-6.13|31.0|-6.03|0.0|0.0|0.0|4.0|-5.55|7.49e-07|0.000334|2.83e-06|0.00126|4.21|0.0|1.02e-08|4.55e-06|-0.0795299999999999|3.7031|4.1|3.7031|-2089.523959|693.64|1177.63|549.86|0.56781|-2089.293299|-0.23096|0.02236136|-2089.354057|8.6253|8.6253
14a_a25|0|0|0.0|0.0|1|0|1.420015394|-0.004483962|4.727387819|-0.05112778|2|-0.255585831|0.006085806|-0.046802062|10.93106303|-0.019985937|1|1|0.006158124|0.085350921|-0.0469914379999999|-0.077269115|-0.365062041|2|-0.085643386|0.792935475|1|0.850426305|-0.069657015|-0.084207356|0.012870836|-45.72658614|-55.27820709|107.22698590000002|98.18816423|5.546443318|58.18995584|-1.76835447|-30.017374100000005|54.17569023|2844.993903|558.2652611000001|0.193247006|7.39139255|0.969421506|126.8576588|-762.0389362000001|27.14918443|0.01323706|-402.7381076|1438.906775|1.0|1.0|1.0|1.0|1.0|3.43|0.08|27.0|-9.59|4.92|72.7|2.47|2.0|0.0|6.0|-5.39|32.0|-5.91|0.0|0.0|1.0|3.81|-5.29|4.03e-06|0.0016899999999999|5.13e-06|0.00215|4.16|0.0|2.58e-10|1.08e-07|-0.05083|5.3631|5.79|3.9479|-1352.298438|689.55|1202.13|548.29|0.6714|-1352.024616|-0.2143|0.03250632|-1352.086073|6684.0|6684.0
14_a4|0|0|0.0|0.0|1|1|1.399909181|-0.001935612|5.4161004020000005|-0.04986736|1|-0.069682036|0.009588001|-0.08389836|10.94612798|0.117232935|1|1|0.008943549|-0.031578333|-0.016862096|-0.039321879|-0.199315317|1|0.158051825|0.843811017|0|0.8510382459999999|-0.065776751|-0.071074269|0.013047382|-29.91067393|-32.31961528|12.12963775|67.73740575|2.697931638|85.72299913|-0.995039765|-13.60128622|35.84371234|1911.448021|386.9927769|0.231542789|5.304461808|0.6701974079999999|105.2894945|-205.7538638|17.84270058|0.015779688|-244.1511936|588.8091192|0.0|0.0|1.0|0.0|0.0|3.14|0.06|17.0|-5.71|4.09|30.71|2.82|0.0|0.0|2.0|-3.4|21.0|-5.8|0.0|1.0|1.0|3.2|-3.97|0.000396|0.11|0.000106|0.0295|3.09|0.0|1.95e-06|0.000539|-0.03639|4.5233|3.22|4.2312|-918.9507745|475.32|794.51|353.16|0.55975|-918.851356|-0.2102|0.020300099|-918.896242|5.8794|5.8794
12z_a30|0|0|0.0|0.0|0|2|0.604983642|-0.008819424|5.351858133|-0.026703371|2|-0.537984876|0.003529389|0.018796341|10.31162784|-0.045463448|1|1|0.005111479|0.05890953|-0.12254489|-0.207153446|-0.39205163|1|-0.02232319|0.855880335|0|0.832920077|-0.071429418|-0.107776943|0.030875938|-49.68145417|-74.96232552|54.40462246|116.2094523|14.93669572|0.0|-1.939984979|-34.55504699|71.1566605|3112.622632|579.3226647000001|0.3691601439999999|8.071510779|0.950863559|256.7627363|-938.4966892|37.52507564|0.029109145|-182.00664430000003|2138.929312|0.0|1.0|1.0|1.0|1.0|4.86|0.21|17.0|-6.83|2.63|100.11|2.2|2.0|0.0|7.0|-5.61|33.0|-6.39|0.0|0.0|0.0|2.52|-5.0|2.47e-06|0.00113|9.94e-06|0.00456|3.81|0.0|1.47e-07|6.720000000000001e-05|-0.04679|4.8063|3.34|3.4438|-1804.814868|739.33|1266.9|580.6|0.6853199999999999|-1804.51674|-0.19279|0.02895763|-1804.581882|7.3615|7.3615
3e_a32|1|1|3.501917045|0.0|0|0|0.609420788|-0.006553709|5.733341277|-0.058503168|0|-0.275255791|0.000655875|-0.114649277|10.31100276|-0.080731823|3|3|0.002004382|-0.1046390059999999|-0.076494363|-0.1395294259999999|-0.551661318|0|-0.061561535|0.85921771|1|0.8681696109999999|-0.073411249|-0.100056595|0.0124235339999999|-39.56206964|-53.92151824|47.09895162|71.04473954|3.608094688|0.0|-1.200679139|-21.32040233|46.25723848|2212.661182|467.865447|0.224744634|5.863649531|0.822602107|121.1171726|-348.70626539999995|21.40099522|0.012891628|-296.6758413|834.6388134|1.0|1.0|1.0|1.0|1.0|3.33|0.24|19.0|-6.92|5.24|110.94|1.94|1.0|0.0|3.0|-6.52|23.0|-5.2|0.0|0.0|1.0|4.3|-5.18|3.02e-07|0.000103|6.6e-06|0.00225|4.47|0.0|1.2099999999999998e-07|4.13e-05|-0.0534399999999999|3.5589|3.52|3.5589|-1672.748189|578.77|956.67|456.76|0.7025399999999999|-1672.576776|-0.20098|0.02588637|-1672.62984|8.0862|8.0862
26_a20|0|0|0.0|0.0|1|0|1.4165417530000002|-0.00578453|4.727387819|-0.104520106|2|-0.3297182369999999|0.003085806|-0.054222344|10.93106273|-0.033102079|1|1|0.003149352|0.249416844|0.0346782989999999|0.057022334|-0.446730587|2|-0.070815554|0.8096894440000001|1|0.79337253|-0.0862808009999999|-0.082729415|0.012753218|-58.21621279|-55.81998701|299.8332395|139.417676|5.806030949|80.47551422|-1.737317706|-39.28020352|66.82118688|2825.254798|535.3119506|0.215111274|7.598632688999999|0.8952138340000001|145.1419493|-790.9313788|28.17896678|0.014879363|-384.4457279|1493.485239|1.0|1.0|1.0|1.0|1.0|3.42|0.08|27.0|-9.18|4.62|86.69|2.47|2.0|0.0|5.0|-5.14|32.0|-6.28|0.0|0.0|1.0|3.66|-5.02|7.27e-06|0.00305|9.51e-06|0.00399|3.63|0.0|6.64e-10|2.780000000000001e-07|-0.05097|4.8421|4.97|3.8894|-1352.315376|715.27|1211.34|543.96|0.68167|-1352.036122|-0.21226|0.03774288|-1352.098465|6.8827|6.8827
14a_a5|1|0|2.948727373|0.0|0|1|1.226142247|-0.0053665219999999|4.59511985|-0.005002101|3|-0.316624785|0.002956745|-0.086229994|10.9488747|0.024793388|1|1|0.003668464|-0.213526163|-0.010147323|-0.016337128|-0.36152442|2|0.144729708|0.847379958|0|0.7909255559999999|-0.080875277|-0.078681402|0.0173669719999999|-54.69145586|-53.20786056|134.62273080000003|141.38542919999998|7.942029745|55.04914434|-1.494946644|-36.98479273|66.43577392|2836.468636|534.8590069|0.370216665|8.424031251|0.88709518|250.3569601|-683.6488737000001|29.18606491|0.024411136|-175.53051609999997|1605.23357|1.0|1.0|1.0|1.0|2.0|3.24|0.2|23.0|-8.84|4.38|92.79|1.37|1.0|0.0|6.0|-4.15|32.0|-7.08|0.0|0.0|1.0|3.05|-4.22|7.15e-05|0.0304|6.02e-05|0.0256|2.55|0.0|1.45e-09|6.16e-07|-0.0507699999999999|4.1501|4.3|4.1501|-1390.592722|692.8|1195.01|508.64|0.65789|-1390.29207|-0.2183699999999999|0.04629687|-1390.352729|6.9508|6.9508
