molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|nAHRing|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8d|GATS1pe|nFaHRing|FPSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
15c_a22|0.0|0|0|0|0.0|0|1.596256692|4.727387819|-0.018518519|2|-0.026986769|1.568396937|-0.298463715|10.9464374|0.006275578|1|1|0.004362505|-0.047249795|-0.160566657|0.667111824|0.773044788|0.010828071|0.639264982|1|0.024561528|-57.66130245|17.68362419|0.133414786|-41.51455167|12.731723|78.22334636|0.661775114|-34.97658951|75.52188549|-21.75898206|0.462157867|3079.491787|623.9175171|-1153.226049|2092.620825|0.338224886|8.626398368|16.03890406|6882.442370999999|243.5126145|-830.2910335|32.87972244|0.0248073129999999|-232.9472639|1742.625289|17.86058304|0.0|1.0|1.0|1.0|3.49|27.0|3.9|1.08|1.0|0.0|128.77|0.0|6.0|445.48|0.0|0.0|0.00618|2.4e-05|2.9|5.269999999999997e-10|2.35e-07|-0.07399|5.7361|4.79|3674.0|-1460.602657|-1460.571156|715.42|1241.07|337.46|216.15|575.8|0.30831|-1460.324493|0.0694|7.382000000000001|-0.22807|0.03150096|-1460.387718|6.1325|6.1325
4_a38 (LY-2157299)|0.0|0|0|0|0.0|1|2.0959524330000003|5.4161004020000005|-0.080432741|2|-0.0501467259999999|1.721297609|-0.325515636|10.9277672|-0.020954339|1|1|0.003107816|-0.083399128|0.0481706809999999|0.702976795|0.8099394329999999|-0.032369326|0.6848692759999999|1|0.01243241|-51.11565158|7.104736984|0.2456862269999999|-29.21101111|4.060137052|71.22674185|0.7861170609999999|-30.23133173|58.99645489|-18.48863993|0.487041509|2501.945802|431.0669496|-868.9660769|1686.693134|0.213882939|6.54753874|12.76426621|5566.495502000001|122.2274724|-496.5871888|23.51893991|0.01379043|-327.0140711|1105.390176|7.880803302999999|0.0|1.0|1.0|1.0|3.27|21.0|3.69|1.84|1.0|0.0|108.18|0.0|3.0|369.42|0.0|0.0|52.0|0.000102|2.39|7.45e-08|2.75e-05|-0.06|4.65|3.95|3.78|-1198.683473|-1198.64695|617.61|1048.31|327.69|266.68|449.44|0.4|-1198.442536|0.06|5.9043|-0.22|0.03652312|-1198.49738|7.1586|7.1586
12a_a32|0.0|1|1|1|0.0|0|0.0|5.733341277|-0.057200812|0|-0.0134169989999999|2.136609567|-0.463563696|10.31100269|-0.074344282|3|3|-0.001662219|-0.024155151|-0.1534110109999999|0.788133615|0.845443342|-0.125149165|0.7507116140000001|1|0.016535497|-68.06885478|10.31184223|0.211297677|-42.44899997|6.430656017|62.28768050000001|0.667706375|-33.18255791|81.41372467|-19.23685026|0.456641145|2572.916338|491.8493928|-884.8951120999999|3030.946307|0.332293625|7.083688576|13.03685125|5656.0082|207.2244662|-551.8369996|28.81034388|0.021399091|-209.1696096|1325.275819|13.34486989|1.0|1.0|1.0|2.0|3.45|19.0|6.49|1.1|1.0|0.0|110.47|1.0|7.0|397.52|1.0|0.0|0.000389|3.17e-05|3.39|2.23e-08|8.86e-06|-0.05222|3576.0|4.63|3576.0|-1880.771042|-1880.734215|667.68|1114.3|346.71|346.71|548.66|0.7025600000000001|-1880.539078|0.2908|3.0517|-0.20049|0.03682626|-1880.600043|7.6021|7.6021
6g_a40|0.0|0|0|0|0.0|1|1.628664494|6.401917197|-0.261952754|0|-0.120745388|0.607999575|-1.09669629|10.30179936|-0.251161616|2|2|-0.018182514|-0.221674172|0.05728593|0.8316888240000001|0.832499949|-0.340429901|0.808096413|1|0.017750905|-101.5916383|11.53799852|0.3946532929999999|-66.03405036|7.499640603|47.36081569|0.824204189|-69.68682788|114.7475987|-38.37906336|0.425569146|3142.74733|393.4722933000001|-1727.0578510000005|3198.69909|0.175795811|6.95079805|12.10032156|7822.892656|114.2663866|-1122.578856|46.56499428|0.020240097|-421.4621621|2095.424743|13.1559604|0.0|0.0|1.0|3.0|4.06|14.0|3.43|0.59|1.0|2.0|124.18|1.0|5.0|474.53|1.0|0.0|2.87e-05|1.93e-05|3.06|0.0013599999999999|0.6459999999999999|-0.08622|3.3197|7.38|2.8135|-2522.023752|-2521.990118|669.8|1144.59|440.68|373.48|514.77|0.58454|-2521.8114530000003|0.1307|6.7231|-0.20479|0.03363483|-2521.87499|7.3279|7.3279
19h_a38|0.0|1|0|0|0.0|2|0.0|5.351858133|-0.082283951|2|0.14165187|0.0|-0.420209249|10.96083376|-0.070688288|1|1|-0.000673716|0.303981987|-0.217394466|0.724208473|0.819222745|-0.121374121|0.698414933|0|0.021234963|-64.79649453|12.51014765|0.225371198|-38.17354026|7.370099699|0.0|0.75379331|-28.533396600000003|76.70128100000001|-23.32673803|0.47459722|2774.611523|456.3568442|-1166.336902|1839.424968|0.24620669|6.820483788|12.98143834|6253.901215|145.047677|-687.1237247|30.94580137|0.020207411|-299.0343596|1547.290068|11.90478646|1.0|1.0|1.0|3.0|4.8|17.0|3.13|2.4|1.0|0.0|125.69|0.0|5.0|401.44|0.0|0.0|29.0|6.77e-05|2.78|1.4e-07|5.610000000000001e-05|-0.05708|3.7384|3.41|3.5358|-1332.187847|-1332.1538779999998|626.65|1092.17|350.65|331.65|452.01|0.68472|-1331.941646|88.0|6.9749|-0.20379|0.03396934|-1331.999352|8.0348|8.0348
18d_a25|0.0|0|0|0|0.0|0|1.918453956|4.727387819|0.024310576|2|-0.031867489|2.029297802|-0.180590503|10.31285314|0.016982601|1|1|0.0062422|-0.055336237|-0.061965108|0.722349659|0.780221059|0.029728702|0.696372329|1|0.011158458|-57.45144813|8.39885106|0.062186295|-43.24308488|6.3217245360000005|0.389087507|0.75793699|-34.85786147|68.15463481|-21.166323|0.476833495|3113.122552|705.8822532|-1206.480411|2625.142499|0.24206301|9.479218984|18.11893325|6876.316137000001|182.1982146|-908.1047824|27.92623037|0.014219928|-388.2927768|1591.795131|10.70318668|1.0|1.0|1.0|1.0|3.66|27.0|6.33|2.4|2.0|1.0|143.37|0.0|7.0|474.58|1.0|0.0|0.00026|2.86e-06|4.21|5.92e-11|2.81e-08|-0.07287|5.6512|4.56|3.6392|-1806.848384|-1806.812778|792.79|1358.25|340.69|219.39|664.72|0.41694|-1806.514606|0.0389|3.2353|-0.2201|0.03560672|-1806.582751|6.6345|6.6345
22_a4|0.0|0|0|0|0.0|1|1.987636054|5.4161004020000005|-0.115883451|1|0.004808337|0.0|-0.257448045|10.94586213|-0.023072107|1|1|0.004237768|0.00771584|0.034720243|0.774689758|0.7797803109999999|-0.037423832|0.755510052|0|0.010702353|-43.23011833|5.1432274630000006|0.138796849|-20.77508795|2.47167963|0.0|0.8444670409999999|-21.92150631|48.65880447|-17.52572365|0.4359219589999999|1950.173729|413.8681986|-648.451775|1477.437886|0.155532959|5.495481464|9.742413394|4074.564287|74.7444381|-311.62631919999995|20.75359108|0.011296354|-331.080892|767.88287|5.428686137000001|1.0|1.0|0.0|1.0|3.3|17.0|3.19|2.09|0.0|0.0|87.12|0.0|2.0|289.33|0.0|1.0|0.0497|0.000104|3.03|5.77e-06|0.0016699999999999|-0.03046|4.468999999999999|3.38|4.0537|-934.2706743999998|-934.240411|519.39|860.77|305.85|277.43|400.29|628.0|-934.12356|0.1293|3.5548|-198.0|0.030263407|-934.171365|7.3279|7.3279
16g_a32|0.0|1|1|1|0.0|0|0.0|5.733341277|-0.0429252429999999|0|-0.049658216|2.084553994|-0.771439265|10.31100263|0.004735761|3|3|-0.00030659|-0.085591073|-0.202656848|0.79965447|0.83902731|0.008494733|0.762429418|1|0.023959586|-77.75914881|17.659402|0.1793577589999999|-57.31234426|13.01585399|43.37912747|0.6863323440000001|-42.58335004|94.54074206|-24.94161377|0.3972359179999999|2833.521937|604.8539801|-1321.90553|3497.469035|0.313667656|9.3963701|15.58880229|6372.261243999999|231.1885989|-974.3098525|36.34043182|0.02276861|-274.67233460000006|1926.042887|16.78159325|1.0|1.0|1.0|2.0|3.87|19.0|6.81|1.57|3.0|0.0|121.56|1.0|10.0|441.57|1.0|0.0|1.36e-05|4.83e-06|4.65|6.890000000000001e-09|3.04e-06|-0.05|3.6161|5.38|3.6161|-2034.621991|-2034.593036|752.29|1245.25|342.86|342.86|639.49|0.70222|-2034.342619|0.2879|3.7346|-0.19968|0.02895494|-2034.408165|7.9586|7.9586
10_a1|0.0|1|0|0|0.0|0|0.0|4.727387819|-0.23385288|1|0.049971022|0.0|-0.621976404|10.94957578|0.010430299|1|1|-0.0106277489999999|0.107434253|-0.042643966|0.674381582|0.7227844929999999|0.017498337|0.658433571|0|0.014751098|-61.93104798|8.34295348|0.330036242|-35.02707638|4.718623023|64.49041745|0.8340962559999999|-37.31383317|70.6564636|-25.67872721|0.459673515|2432.447088|378.9193385|-1052.827816|1768.2330920000002|0.165903744|7.376231317999999|13.65143394|5192.858899|93.83214542|-595.4602985|30.78628757|0.015427326|-377.9175542|1262.237791|8.725415617000001|1.0|1.0|0.0|2.0|3.0|23.0|4.86|2.78|2.0|0.0|99.61|0.0|4.0|359.35|0.0|0.0|0.00372|1.87e-05|3.64|9.53e-09|3.42e-06|-0.06802|3.4067|5.81|3.4067|-1223.159954|-1223.125689|585.51|979.35|363.94|363.94|464.77|0.70345|-1222.969096|0.6754|5.3861|-0.20378|0.03426532|-1223.022387|5.8239|5.8239
20_a47|0.0|0|1|1|0.0|0|1.1934608|4.727387819|-0.161476442|2|0.031814023|1.010373001|-0.505699304|10.95058273|0.071506228|1|1|-0.006342241|0.087325054|-0.297094867|0.61847122|0.7962508290000001|0.113432542|0.59534794|1|0.023587109|-50.14789824|12.85623208|0.311171398|-27.33327788|7.00733184|49.00609086|0.595234209|-24.89884887|69.09296541|-17.90996366|0.4642647929999999|2630.63609|375.4483088|-752.2184736|1219.306754|0.404765791|7.022502229|13.10815891|5896.060936|220.6189341|-409.9991682|30.08893541|0.034758191|-103.815441|1263.735287|18.94506718|0.0|1.0|1.0|2.0|3.19|21.0|2.56|2.75|1.0|0.0|99.68|0.0|5.0|380.35|0.0|0.0|0.0332|8.32e-05|2.63|4.89e-08|1.86e-05|-0.06357|3.9808|4.08|3.9808|-1335.742176|-1335.708279|557.84|964.94|311.45|311.45|426.08|0.68219|-1335.566785|0.2807|3.1747|-0.22734|0.03389691|-1335.620783|8.6|8.6
