molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|GATS1are|MATS8s|MATS8d|nFaHRing|PBF|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|CYP2C9 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
7_a47|0.0|0|0|0.0|0|0.0|-0.008206422|0.0|2|0.04030303|-0.128433676|1.303301032|-0.3939082339999999|-0.0091074509999999|-0.085507035|0|0|-0.00794321|-0.021071408|-0.04311702|0.6995252890000001|-0.04402021|-0.124285418|1|0.427432212|-54.113260200000006|5.027768049|-0.036250645|-30.51603217|0.0|0.816979353|61.47335819|-20.44278719|50.85512286|0.405265781|477.8297898|-919.9254234|-11.52827882|0.1830206469999999|0.681423344|5958.904826|103.2106353|-518.7725468|25.02240371|0.0130514639999999|0.0|1.0|3.14|0.09|22.0|58.04|3.69|0.0|111.28|1.0|-6.47|28.0|4.0|-4.8|393.84|4.89|-6.06|3.41e-07|0.000134|0.0|3.52e-10|1.3900000000000001e-07|-0.05297|3.7203|5.08|3.7203|-1647.996662|-1647.963177|604.84|1043.33|333.26|0.2144|333.26|0.69314|-1647.7863539999998|0.2144|-0.1544|-0.2073699999999999|0.03348545|4.4255|25.0|7.6
17_a47|0.0|1|1|0.0|0|0.0|-0.003764469|4.59511985|3|0.031802469|-0.105849578|1.699575434|-0.2032813319999999|0.0042378929999999|0.075303828|1|1|0.004477366|-0.0184347939999999|-0.031505291|0.8007970640000001|-0.034891905|-0.010871607|1|0.522140199|-50.62550618|7.87914003|-0.02987808|-30.88080199|0.0|0.7457517659999999|60.33408274|-18.22518223|51.70735256|0.46147021|519.8795281|-911.2591113|-11.11708872|0.2542482339999999|0.8569074879999999|5854.9736840000005|155.087622|-555.8544359|24.43867122|0.0159160889999999|0.0|1.0|2.39|0.08|27.0|79.38|2.26|0.0|119.83|0.0|-5.4|30.0|4.0|-5.83|392.46|3.85|-5.21|3.98e-06|0.00156|0.0|7.96e-11|3.12e-08|-0.04873|4.2784|3.07|4.2784|-1254.985125|-1254.943823|656.78|1127.7|289.79|0.4308|289.79|0.6844100000000001|-1254.737546|0.4308|-0.17606|-0.22479|0.04130125|5.6949|5.0|8.3
3c_a12|0.0|0|0|0.0|0|0.0|-0.009252756|4.59511985|2|0.039605735|-0.14679559|0.0|-0.379362977|-0.003879878|-0.008931246|1|1|-0.001825446|-0.116098308|-0.211367878|0.923855679|-0.0461654159999999|-0.10295082|0|0.242114395|-50.25579322|6.688634392000001|-0.033980537|-25.42738988|0.0|0.7055242159999999|61.16334136|-17.19277136|42.97583906|0.427357986|426.9566009|-653.3253118|-8.698843907999999|0.2944757839999999|0.746291708|4629.005722|148.9927848|-330.5560685|24.36878988|0.02155815|1.0|0.0|2.78|0.12|17.0|78.41|1.82|0.0|98.16|1.0|-4.22|23.0|4.0|-6.18|319.38|2.76|-4.0|6.06e-05|0.0194|0.0|1.67e-07|5.3200000000000006e-05|-0.07463|3.9848|2.56|3.5862|-1327.498519|-1327.471862|544.65|894.36|345.72|0.4687|311.14|0.68067|-1327.351991|0.1193|-0.14572|-0.22035|0.02665687|2.3061|0.02|7699.0
6g_a40|0.0|0|0|0.0|1|1.628664494|-0.022381557|6.401917197|0|0.039863946|-0.120745388|0.607999575|-1.09669629|-0.019683422|0.07194868|2|2|-0.018182514|0.0312035079999999|0.05728593|0.8316888240000001|0.075283207|-0.340429901|1|0.400587529|-101.5916383|11.53799852|-0.059045173|-66.03405036|47.36081569|0.824204189|114.7475987|-38.37906336|118.7493383|0.425569146|393.4722933000001|-1727.0578510000005|-24.9461968|0.175795811|0.740853565|7822.892656|114.2663866|-1122.578856|46.56499428|0.020240097|1.0|0.0|2.28|0.21|14.0|213.89|0.59|2.0|124.18|3.0|-7.22|31.0|7.0|-7.02|474.53|2.37|-4.71|6.049999999999999e-08|2.87e-05|1.0|0.0013599999999999|0.6459999999999999|-0.08622|3.3197|7.38|2.8135|-2522.023752|-2521.990118|669.8|1144.59|440.68|0.4971|373.48|0.5794199999999999|-2521.8114530000003|0.1307|-0.11857|-0.20479|0.03363483|8.9454|47.0|7.3279
12a_a32|0.0|1|1|0.0|0|0.0|-0.009460484|5.733341277|0|0.036711712|-0.0134169989999999|2.136609567|-0.463563696|-0.003484915|-0.031249617|3|3|-0.001662219|-0.0852122769999999|-0.1534110109999999|0.788133615|-0.018578911|-0.125149165|1|0.288267255|-68.06885478|10.31184223|-0.0308471429999999|-42.44899997|62.28768050000001|0.667706375|81.41372467|-19.23685026|63.52154605|0.456641145|491.8493928|-884.8951120999999|-11.99645651|0.332293625|0.840404348|5656.0082|207.2244662|-551.8369996|28.81034388|0.021399091|1.0|1.0|2.85|0.26|19.0|140.04|1.1|0.0|110.47|1.0|-6.01|27.0|4.0|-6.32|397.52|3.6|-4.5|9.78e-07|0.000389|0.0|2.23e-08|8.86e-06|-0.05222|3576.0|4.63|3576.0|-1880.771042|-1880.734215|667.68|1114.3|346.71|0.2908|346.71|0.7025600000000001|-1880.539078|0.2908|-0.14827|-0.20049|0.03682626|4.2371|25.0|7.6021
14p_a23|0.0|1|1|0.0|2|3.3252287430000003|-0.005975594|5.351858133|2|0.045165485|0.041987653|0.733042138|-0.310730878|0.009895793|-0.060144819|2|2|0.009266617|-0.0686282459999999|-0.131709531|0.708395022|0.099883916|-0.090287278|1|0.223758613|-54.50240143|14.91710363|-0.033660197|-36.77082544|84.65359899|0.751638299|67.36602512|-22.70933393|57.44364296|0.464933687|623.0226425|-1090.0480289999998|-15.32117727|0.248361701|0.868927227|6696.264498|167.5607773|-735.4165088|30.21311441|0.0190667019999999|1.0|1.0|3.28|0.04|26.0|128.81|2.39|1.0|125.0|1.0|-5.68|32.0|5.0|-6.62|436.49|3.25|-4.9|2.09e-06|0.0009109999999999|0.0|3.39e-08|1.4800000000000002e-05|-0.09046|3.5752|3.29|3.5752|-1722.181612|-1722.152257|699.61|1191.08|346.79|0.3802|346.79|0.6816|-1721.933314|0.3802|-0.14774|-0.2382|0.02935511|9986.0|3.0|8.5302
17b_a6|0.0|0|0|0.0|0|0.0|-0.01272079|5.351858133|1|0.042739018|0.139594234|0.0|-0.6869226490000001|-0.00460563|-0.0385646|1|1|-0.00194781|-0.10896749|-0.180339002|0.850080948|0.002947625|-0.138423611|0|0.318652397|-71.65078895|20.48861696|-0.041494349|-47.0150166|557.7093661|0.7706671740000001|84.71888279|-27.2272998|83.12058064|0.4548818979999999|494.7179214|-1361.36499|-17.86570631|0.229332826|0.834464855|5985.963521|150.48105900000002|-893.2853154999999|35.32951798|0.019915748|1.0|1.0|2.89|0.12|23.0|95.85|1.7|0.0|116.79|1.0|-5.81|31.0|5.0|-5.89|409.44|3.6|-5.17|1.56e-06|0.000637|0.0|9.77e-10|4e-07|-0.05736|3.5444|4.04|2.9964|-1350.102764|-1350.078181|690.98|1168.62|413.78|0.3949|349.8|0.7016100000000001|-1349.830814|0.0033|-0.12545|-0.18281|0.02458322|7.3188|153.0|6.8153
7s_a46|0.0|0|0|0.218897825|1|2.117265684|-0.005351046|5.533389489|1|0.044509804|-0.210750635|0.0|-0.240797051|0.0060802|-0.005405515|1|1|0.005577925|0.012197837|0.018964141|0.778692012|-0.036284605|-0.030371026|0|0.249893305|-41.72189594|4.458665639|-0.031623562|-20.9694955|0.0|0.8198874559999999|47.36217237|-15.894055599999998|53.07188519|0.433822088|431.6285339|-667.5503351|-7.988379237|0.1801125439999999|0.7662292690000001|4245.390306|90.5248694|-335.5119279|19.38565529|0.01122216|0.0|1.0|2.33|0.26|17.0|50.94|2.39|0.0|91.19|1.0|-4.07|23.0|3.0|-5.81|305.37|3.12|-4.24|8.590000000000001e-05|0.0262|0.0|8.39e-07|0.000256|-0.02024|5.2972|3.54|4293.0|-974.8067569|-974.7707066|539.99|916.7|288.81|0.4164|234.06|0.69976|-974.615216|0.1186|-0.17923|-0.19947|0.036050328|3.6655|1985.0|5.7022
3d_a32|0.0|1|1|0.0|0|0.0|-0.006420365|5.733341277|0|0.041161616|-0.0620110029999999|2.230648962|-0.269655316|0.000655875|-0.113314811|3|3|0.002004382|-0.076494363|-0.1395294259999999|0.8315372|-0.069007775|-0.100251236|1|0.2214902789999999|-50.45435743|7.807299836|-0.02867299|-27.31750365|0.0|0.720540286|59.15151032|-15.52441767|45.000975700000005|0.427813496|483.4133562|-605.4522892000001|-8.405385739|0.2794597139999999|0.747681906|4752.534658|151.30787800000002|-327.8100438|21.54552351|0.0160633|1.0|1.0|3.11|0.24|19.0|110.94|1.94|0.0|97.86|1.0|-6.55|23.0|3.0|-5.18|340.47|4.32|-5.13|2.81e-07|9.58e-05|0.0|5.13e-08|1.75e-05|-0.05482|3.5105|3.42|3.5105|-1672.758552|-1672.733979|569.29|959.11|353.18|0.5031|353.18|0.7035100000000001|-1672.585902|0.5031|-0.14189|-0.19671|0.02457348|5.1728|8.0|8.0915
10_a3|0.0|0|0|0.0|0|0.0|-0.010609861|4.727387819|3|0.034166667|0.017396832|1.684975382|-0.381954986|-0.008037672|0.018484177|1|1|-0.005959152|-0.0495219879999999|-0.0947326669999999|0.8947911009999999|-0.140523767|0.078405316|1|0.518341632|-45.8148076|6.768239856|-0.0359752729999999|-21.21655855|80.37219813|0.7066293240000001|56.68388955|-16.65993003|53.41368558|0.41220272|346.1193167|-549.7776912|-7.715112198|0.293370676|0.701266803|4600.496436|135.8581743|-254.5987025|23.57661855|0.023470578|0.0|1.0|1.78|0.0|21.0|105.82|1.2|0.0|88.28|1.0|-4.3|22.0|4.0|-6.44|305.36|2.52|-3.84|5.07e-05|0.0155|0.0|3.06e-07|9.35e-05|-0.06238|5375.0|1.64|3.4217|-1288.190838|-1288.150029|498.67|830.63|362.35|0.2124|230.67|0.68995|-1288.050987|0.0463|-0.15011|-0.21249|0.04080931|9.3381|7943.0|5.1
