molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|SIC2|nFaHRing|RASA|FNSA3|FPSA3|RNCS|RPSA|FNSA4|WNSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
22_a10|0|0|0|0.0|7.535296702|1|1|2.113627059|-0.067641834|-0.017163935|2|0.036101695|-0.026750502|1.880539113|-0.332316729|0.008350227|0.01204992|-0.020475007|1|0.008903905|-0.042831367|-0.129989728|-0.208132084|2|0.747363443|0.79665945|1|0.8698299140000001|-0.053881447|0.016720696|75.58376652|0.130170086|-0.022372463|-39.42279832|-17.4251029|54.98945848|0.422182297|3241.833491|677.4790907|2668.5420940000004|0.435676666|8.84228648|0.730649641|7414.102179|-827.8787647|30.87787063|0.026340252|916.8601445|20.51547079|1.0|1.0|4.14|0.17|-9.37|4.64|5.6|2.8|2.0|139.53|1.0|6.0|36.0|5.0|-6.29|0.0|0.0|0.0|4.26|-5.53|0.0014|0.0|4.27e-10|-0.05712|4.8251|5.65|-1544.203968|1339.48|321.89|602.93|0.4483899999999999|0.6834100000000001|-1543.893507|0.1922|-0.16095|4.8409|-1543.959333|6.5841|1.1|5.9586
8g_a12|1|1|1|0.0|6.580639137|1|1|0.0|0.10205033|-0.029907264|2|0.038347953|-0.038463841|1.714060666|-0.40429396|0.005898773|-0.094550033|-0.040257632|1|0.005405355|-0.068810076|0.068559367|0.122649613|1|0.7475224290000001|0.80546986|1|0.8576253690000001|-0.076856227|0.008910823|84.95000993|0.142374631|-0.042752517|-31.79592789|-23.58177591|47.30807670000001|0.463772637|2506.427441|473.055878|1356.883205|0.09833304|6.882798206|0.864880588|5327.736626|-572.326702|26.15353224|0.007890315|480.0590283|4.352203029|0.0|1.0|2.51|0.1|-8.0|3.31|2.07|2.89|1.0|109.93|1.0|3.0|27.0|5.0|-6.28|0.0|0.0|0.0|2.77|-4.34|0.0163|0.0|9.98e-09|-0.06432|4.2057|3.68|-1154.281986|989.66|332.31|418.41|462.0|0.55027|-1154.121362|0.1601|-0.1520099999999999|2.9986|-1154.173831|4.2131|3715.0|5.43
8b_a12|0|0|0|0.0|0.0|1|1|0.0|0.190292199|-0.1676879319999999|2|0.03977208|0.028584223|0.0|-0.618894925|-0.010117477|-0.036536396|-0.1090955359999999|0|-0.007926474|0.047425677|0.003898807|0.006468729|1|0.7407532059999999|0.792160599|0|0.740926309|-0.1053827859999999|0.011257065|319.0086845|0.259073691|-0.045608374|-39.02494133|-26.39069094|67.49212879999999|0.480938153|2388.888334|428.7273481000001|1437.536303|0.111063646|6.373278096|0.926552694|5217.318476|-702.4489440000001|29.68794201|0.009361504|510.3677388|5.416912474|0.0|1.0|2.57|0.1|-7.45|3.11|1.9|2.23|1.0|110.58|1.0|4.0|27.0|4.0|-6.51|0.0|0.0|0.0|2.51|-4.01|0.0346|0.0|3.56e-08|-0.0589|4.2263|5.11|-1159.365835|1020.47|331.1|460.08|0.53425|0.57773|-1159.188228|127.0|-0.15294|4.2554|-1159.2425119999998|6.1286|263.0|6.58
38_a18|0|0|0|0.0|7.03438793|2|2|0.0|0.059724697|-0.009006798|1|0.035478927|-0.066676644|0.0|-0.448742607|0.000520558|-0.020056674|-0.003893067|0|0.001602741|-0.0993372269999999|-0.074661643|-0.11123356|0|0.719168079|0.751875124|0|0.8310704529999999|-0.076974444|0.00838904|100.7046282|0.1689295469999999|-0.0322355079999999|-52.08807522|-25.65190078|67.92930461|0.4666657999999999|3162.36475|661.3370874|1855.157022|0.119072105|10.98254153|0.874996952|7261.130718|-1510.554181|29.11918324|0.007165119|1228.492038|5.701753365|1.0|1.0|0.0|0.34|-10.33|4.94|4.13|3.7|3.0|160.66|0.0|10.0|38.0|3.0|-5.55|0.0|0.0|1.0|3.64|-6.11|0.000399|1.0|4.68e-11|-0.0483699999999999|3.2241|8.95|-1611.60375|1515.64|384.55|734.93|0.69235|0.69235|-1611.133158|0.5147|-0.13229|1.9877|-1611.206669|2.7244|91.0|7041.0
10_a47|0|0|0|0.0|0.0|0|0|0.0|-0.003570214|-0.166367455|2|0.042276423|-0.169242585|1.329777427|-0.384667159|-0.008120645|0.0814897|0.007193585|0|-0.0065562469999999|-0.349569106|-0.021926603|-0.045289209|2|0.754096463|0.8077565520000001|1|0.841070966|-0.076311525|0.00951788|103.41137940000002|0.158929034|-0.035388634|-26.77924406|-18.9212254|45.89037038|0.411647394|2355.515804|449.6950454|1567.859561|0.198117368|6.277122171|0.699661037|5482.319019|-455.247149|23.5960035|0.014051737|498.0016816|7.51303623|1.0|1.0|2.97|0.09|-8.85|5.12|5.92|3.21|2.0|106.43|1.0|3.0|27.0|4.0|-5.08|1.0|0.0|1.0|4.41|-5.5|0.00114|0.0|1.4199999999999999e-09|-0.0486399999999999|5.7693|4.37|-1188.3744|997.16|332.97|426.55|0.53909|0.69212|-1188.1907199999998|0.2175|-0.15445|1.9281|-1188.244739|2.8795|13.0|7.9
14c_a22|0|0|0|0.0|6.842683282|0|0|1.596256692|-0.134137693|-0.018518519|2|0.038137255|-0.026986769|1.568396937|-0.298463715|0.003784292|-0.023927419|0.006275578|1|0.004362505|-0.047249795|-0.0917078119999999|-0.160566657|2|0.773044788|0.8353837409999999|1|0.866576459|-0.067475189|0.024569649|36.22825261|0.133423541|-0.030217952|-41.50359456|-21.75466672|66.26540251|0.462147828|3079.4894480000003|623.8702703|2092.7515510000003|0.33831271|8.626337592|0.8592469290000001|6882.45|-830.0718911|32.87756477|0.024813755|731.8178649|17.86404838|0.0|1.0|2.85|0.08|-9.28|3.9|4.18|1.08|1.0|128.77|1.0|6.0|34.0|6.0|-6.96|0.0|0.0|0.0|2.98|-4.62|0.0107|0.0|5.269999999999997e-10|-0.07399|5.7361|4.79|-1460.571156|1241.55|337.45|575.8|0.3078|0.69113|-1460.324494|0.0694|-0.15408|7.3824|-1460.38772|9.04|153.0|6.8153
1o_a5|1|0|0|0.0|6.605297921|0|0|0.0|-0.266637757|0.033105871|2|0.025987654|-0.033273504|0.0|-0.1079910069999999|0.0057302559999999|-0.102739602|-0.008511304|1|0.0051989459999999|-0.05876042|0.038275248|0.06759341|2|0.78144982|0.85693939|0|0.88430372|-0.079346457|0.01325562|167.3051756|0.11569628|-0.028770932|-21.04383087|-15.45942012|49.75766514|0.470590799|2238.291862|475.1609233|833.537568|0.300086449|7.522366517000001|0.8888980340000001|4572.818263|-315.657463|22.08761368|0.020380352|393.5487205|10.95092849|1.0|1.0|2.2|0.0|-8.11|4.48|4.07|1.23|0.0|95.2|1.0|3.0|25.0|4.0|-6.3|0.0|0.0|1.0|2.95|-4.08|27.0|0.0|7.85e-09|-0.07037|4.5011|2.66|-1043.536121|938.37|297.38|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|0.0071|-0.1693599999999999|4.7435|-1043.472984|5.4919|35.0|7.4559
8b_a8|1|0|0|0.0|7.535296702|1|1|1.42474537|-0.023718767|-0.182065125|1|0.040054466|0.019958073|0.0|-0.733216119|-0.0055544409999999|-0.0422693659999999|-0.03443232|1|-0.003593429|0.031896755|0.049587543|0.079250224|1|0.778853499|0.8354024290000001|0|0.558354653|-0.130159955|0.032440348|172.84152849999998|0.441645347|-0.047457424|-43.64473805|-29.07602182|99.62129245|0.4835310479999999|2863.095568|342.0904577|1821.324722|0.218545278|7.507665421|0.936224813|6471.7604200000005|-872.8947609999999|37.20755791|0.022425382|589.263087|13.73949201|0.0|0.0|2.93|0.09|-7.13|3.65|3.03|2.12|1.0|114.18|1.0|4.0|31.0|5.0|-6.87|0.0|0.0|0.0|2.9|-4.43|0.0153|0.0|7.33e-08|-0.06114|4.5819|6.41|-1407.052256|1098.17|375.8|488.56|0.57234|0.70195|-1406.829227|0.1515|-0.13807|5.8389|-1406.887058|7.4497|5.08|5.2941
12ba_a36|1|0|0|0.0|7.412764017000001|2|2|0.0|-0.090865777|0.026411489|2|0.040566449|0.087201747|0.0|-0.423472625|-0.002123045|0.003750685|-0.011949092|1|-0.000621302|0.159880159|-0.091676619|-0.168084618|1|0.8256014690000001|0.890675195|0|0.849738126|-0.083210415|0.0246090489999999|100.798163|0.150261874|-0.037526591|-49.20258616|-25.28122447|72.63670824|0.49229954|3035.390784|572.4586103999999|2492.5731100000003|0.293104216|7.409667253999999|0.969665341|6722.60947|-885.6465508|35.76372225|0.023797439|688.1986357999999|16.03205543|1.0|0.0|0.0|0.12|-6.72|2.79|1.63|0.74|1.0|133.18|1.0|5.0|33.0|6.0|-7.04|0.0|0.0|0.0|1.57|-4.25|0.0244|0.0|1.91e-07|-0.08446|5.2506|2.79|-1417.426327|1187.56|411.71|547.82|0.3989999999999999|0.70432|-1417.187763|0.0009|-0.12587|3.1996|-1417.249741|4.5448|21.0|7.6778
2_a47|0|0|0|0.0|0.0|0|0|0.0|-0.002024001|-0.13117284|2|0.027058824|-0.004557357|1.454085483|-0.3581612489999999|-0.007479445|0.107297513|-0.013580367|0|-0.006079384|-0.007299676|-0.017113434|-0.0274111779999999|2|0.671819147|0.728066943|1|0.847324011|-0.083455669|0.008511123|99.5619537|0.152675989|-0.036790752|-23.74109633|-18.32875817|45.81686991|0.433425706|2105.761386|422.1277419|1242.745585|0.215021885|5.308758149|0.764993595|4559.060763|-356.116445|23.34938746|0.016376351|392.6099255|8.158522603|1.0|1.0|2.54|0.0|-7.82|3.7|4.75|2.39|1.0|96.54|1.0|3.0|24.0|3.0|-5.0|0.0|1.0|1.0|3.58|-5.11|0.00243|0.0|1.51e-08|-0.05285|3.7181|3.49|-1010.505024|902.07|333.46|371.19|0.69102|0.69102|-1010.364507|0.2143|-0.15446|2.1266|-1010.412694|3.1004|631.0|6.2
