molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|AATSC1are|BCUTi-1|AATSC7i|MATS1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|RPCS|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
14r_a23|0.0|0|1|1|0.0|2|7.423568444|0|3.201732471|-0.006323791|5.351858133|2|0.014148395|0.007671236|10.31321824|0.033038452|-0.073945564|-0.454010253|0.616699629|0.03753491|-0.1050445769999999|0.846632079|0.5935522360000001|1|0.8662226190000001|-0.062618931|-0.085881409|-55.30494931|12.35476415|86.14846171|-0.03654528|-35.61466281|55.62948521|-25.96781003|-23.53402098|52.67940305|2945.137191|557.8203557999999|-1106.098986|-15.15517566|0.211777163|7.555307147000001|14.15357616|29.85706563|0.017092103|-371.2130393|1403.282085|599.5697147999999|0.0|0.0|1.0|0.0|1.0|3.06|0.05|3.78|3.4|2.0|1.0|120.24|0.0|5.0|-5.58|31.0|5.0|-6.31|0.0|0.0|3.7|0.00114|7.73e-06|0.00332|3.68|0.0|9.18e-06|3.72|-1729.1556449999998|678.08|389.92|513.71|0.68115|-1728.924789|0.0008|-0.15536|6.2620000000000005|-0.22378|0.02296354|-1728.98403|8.8722|8.2684|8.2684
3d_a32|0.0|1|1|1|3.503398526|0|7.765993078999999|0|0.0|-0.006420365|5.733341277|0|-0.0620110029999999|0.000655875|10.31100276|-0.1131110759999999|-0.076494363|-0.539652902|0.8315372|-0.069007775|-0.100251236|0.90169022|0.77923808|1|0.892845502|-0.06869526|-0.093187219|-50.45435743|7.807299836|58.01666174|-0.02867299|-27.31750365|0.0|-20.13777259|-15.52441767|45.000975700000005|2213.978384|483.4133562|-605.4522892000001|-8.405385739|0.2794597139999999|6.15119195|10.75032687|21.54552351|0.0160633|-238.8142619|840.275417|421.3548777|1.0|1.0|1.0|1.0|1.0|3.11|0.24|6.97|1.94|1.0|0.0|97.86|0.0|4.0|-6.55|23.0|3.0|-5.18|0.0|1.0|4.32|9.58e-05|7.36e-06|0.00251|4.5|0.0|1.75e-05|3.42|-1672.758552|569.29|353.18|465.41|0.7035100000000001|-1672.585902|0.5031|-0.14189|3.2094|-0.19671|0.02457348|-1672.638515|5.1728|8.0915|8.0915
17f_a50|0.0|0|1|1|0.0|2|7.934155233999999|1|4.305828452|-0.002205848|5.82008293|1|-0.167275895|0.012475826|10.94501702|-0.275290802|-0.247590736|-0.204651539|0.758335704|-0.132153434|-0.2257632789999999|0.8314734309999999|0.7241275009999999|1|0.911458734|-0.047333916|-0.074859564|-46.03121141|10.09339793|54.44410182|-0.026836447|-28.30463221|82.90209608|-17.89709978|-16.50175503|39.19906437|2582.272632|560.4567739|-874.5930167000001|-10.14694362|0.278877895|7.200480876|13.65716648|22.88344084|0.01617809|-271.9363523|1212.822364|652.6793116|1.0|1.0|1.0|1.0|0.0|2.97|0.26|2.87|2.09|1.0|0.0|116.81|0.0|6.0|-3.58|29.0|4.0|-6.64|1.0|1.0|2.92|102.0|7.57e-05|0.0291|2.83|0.0|0.00016|2.5|-1219.2481369999998|653.63|304.9|564.52|0.6573899999999999|-1218.966516|0.1708|-0.16784|6.1931|-0.20148|0.0276719|-1219.02507|8.312999999999999|6.4001|6.4001
7_a15|0.0|0|0|0|0.0|0|0.0|0|0.0|-0.010310394|0.0|1|0.145944639|-0.0013239329999999|10.95880715|0.213947987|-0.211522056|-0.335491052|0.857287135|0.154068618|0.00364345|0.740089344|0.8115121240000001|0|0.841400327|-0.074406877|-0.110819329|-61.50761094|20.31436245|88.02694557|-0.026500274|-34.13832456|56.30310755|-22.92132733|-14.70834175|61.6121151|2330.667514|466.9990754|-676.5837204|-8.163512395|0.551335598|6.01738192|9.971755103|32.78250222|0.042799094|56.98518567|1507.995102|474.9756287|1.0|1.0|0.0|1.0|1.0|3.14|0.15|3.38|1.74|2.0|0.0|99.77|0.0|7.0|-4.83|26.0|5.0|-5.72|1.0|1.0|3.35|0.00516|3.2e-05|0.0113|3.84|0.0|2.26e-05|2.78|-1184.385377|580.73|330.67|499.86|0.70497|-1184.168094|0.0169|-0.15605|1.1115|-0.18454|0.01827873|-1184.224637|1631.0|6644.0|6644.0
12al_a36|0.0|1|0|0|3.469383582|0|7.412764017000001|2|0.0|-0.008463062|5.351858133|2|0.1030147719999999|0.00127667|10.96020817|0.172830414|-0.1430106119999999|-0.404703593|0.8913597320000001|0.125005134|-0.055405405|0.885733922|0.84179881|0|0.801179217|-0.077842923|-0.105915949|-69.69632923|17.71943397|130.8308989|-0.035305316|-45.86257662|0.0|-33.70669917|-23.23210974|68.94274882|2843.740855|527.2034213000001|-1254.533926|-15.28752554|0.328915355|8.774664332|16.15533063|34.61874732|0.025956027|-225.1591357|1869.412355|679.7230552999999|1.0|0.0|1.0|0.0|2.0|0.0|0.17|2.77|1.72|1.0|0.0|130.24|0.0|6.0|-3.95|31.0|5.0|-6.93|0.0|0.0|1.81|0.0464|8.499999999999999e-05|35.0|2.65|1.0|8.340000000000001e-05|2.92|-1347.479819|702.95|349.14|554.23|0.70417|-1347.196501|0.0095|-0.14558|6.4473|-0.1955599999999999|0.03469224|-1347.257936|8.1781|7.3188|7.3188
12h_a30|0.0|0|0|0|0.0|0|7.412764017000001|2|0.0|-0.00737961|5.351858133|2|-0.074988669|0.001139238|10.31162898|-0.166613751|-0.0541804029999999|-0.4708582289999999|0.669561738|0.008644634|-0.1240820219999999|0.888213143|0.64876559|0|0.763568404|-0.083127678|-0.09907575|-63.03519645|11.06352871|150.42542849999998|-0.038417127|-40.10503079|0.0|-33.64938551|-24.44221903|63.95204629|2848.98238|485.8069155|-1197.668733|-15.55093031|0.202025127|8.066818026|15.1759206|30.63031164|0.015886049|-379.1625034|1500.88527|618.6004214|1.0|0.0|1.0|0.0|1.0|0.0|0.14|4.25|3.2|2.0|0.0|127.24|0.0|5.0|-5.39|30.0|5.0|-6.02|0.0|0.0|2.92|0.00171|9.71e-06|0.00405|3.97|0.0|5.260000000000001e-05|4.07|-1675.011389|672.54|353.22|518.06|0.68543|-1674.777786|155.0|-0.14889|2.9684|-0.2023599999999999|0.03372393|-1674.838376|3.4138|8065.0|8065.0
8a_a32|0.0|1|1|1|3.217128449|0|7.773594467000001|0|0.0|-0.010151321|5.733341277|0|-0.0281981579999999|-0.003484915|10.31100269|-0.050766252|-0.0852122769999999|-0.591393096|0.788133615|-0.184419911|-0.2166242669999999|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|-68.61558335|11.48993376|116.298071|-0.035678106|-43.03057598|66.81560596|-32.82934751|-22.37464674|63.83886888|2574.085885|510.8273411|-1029.23375|-14.03170956|0.250915471|7.420041446|14.26997798|29.86932167|0.017733503|-312.4144752|1373.988797|557.1050635|1.0|1.0|1.0|1.0|2.0|3.67|0.26|6.49|1.37|2.0|0.0|110.69|1.0|7.0|-6.82|27.0|4.0|-5.76|0.0|1.0|4.07|6.03e-05|1.02e-05|0.00406|4.17|0.0|8.86e-06|4.98|-1880.767206|667.29|348.07|566.07|0.70316|-1880.536478|0.4315|-0.1445|4.8933|-0.2061599999999999|0.03498398|-1880.595748|7.6703|7.3468|7.3468
25b_a34|0.0|0|0|0|0.0|1|7.412764017000001|1|1.94553288|-0.015658012|5.351858133|1|-0.150946163|-0.00378755|10.95957635|-0.2360985169999999|-0.278635968|-0.623853334|0.832166825|0.08214612|-0.101529052|0.83883012|0.787858064|0|0.656573108|-0.1030760719999999|-0.137924163|-86.13394472|18.82143547|214.470853|-0.042438204|-53.79083879|49.2835599|-40.19997818|-26.50275222|83.19266998|2611.55928|410.0313565|-1378.143115|-16.55102732|0.23725451|6.383564979|11.00434095|34.74652105|0.019067452|-328.1702779|1806.819095|595.8522372|0.0|1.0|1.0|1.0|2.0|3.39|0.29|2.63|1.56|1.0|0.0|108.21|0.0|7.0|-3.82|29.0|5.0|-7.07|0.0|0.0|2.58|59.0|0.000202|0.0796|2.29|0.0|0.00015|5.06|-1313.388114|668.48|293.43|562.84|0.6925600000000001|-1313.132261|0.2259|-0.17564|7.0586|-0.21103|0.02655501|-1313.194808|9.0174|5.6819|5.6819
19_a31|0.0|1|0|0|3.2411335510000003|0|7.401841579|0|0.0|-0.01001901|5.351858133|0|-0.044625452|-0.005956522|10.31169935|-0.095997335|-0.081398052|-0.615878515|0.656654981|0.019858798|-0.138769819|0.902130276|0.6427749970000001|0|0.7312647940000001|-0.0909201569999999|-0.113333675|-66.3863707|8.596058678|157.414423|-0.036060715|-38.88650245|67.42915967|-31.1960848|-21.12293613|61.85348014|2265.6917350000003|428.3459076|-929.4091898|-12.37297805|0.223788196|7.0760696020000005|12.77501178|27.21285095|0.0152483439999999|-323.5878356|1197.365442|460.3754405|1.0|1.0|1.0|1.0|2.0|2.62|0.28|5.8|1.68|1.0|0.0|97.25|0.0|7.0|-4.67|25.0|4.0|-6.41|0.0|1.0|3.47|0.0076799999999999|0.0001199999999999|0.0431|2.93|0.0|1.46e-05|5.24|-1489.532192|625.93|314.06|537.66|0.7005600000000001|-1489.323855|0.2271|-0.16367|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|5.7447|5.7447
16d_a32|0.0|1|1|1|3.311658163|0|7.765993078999999|0|0.0|-0.017249763|5.733341277|0|0.0115077539999999|-0.00839148|10.31100273|0.021406827|-0.128753933|-0.68301199|0.816581223|0.107238939|-0.0847953219999999|0.916850163|0.7689748270000001|1|0.7554930740000001|-0.091212351|-0.11491796|-67.07571683|18.67986534|142.7146582|-0.036437402|-39.15098916|48.61700321|-31.07481011|-21.26791022|71.91900971|2588.214866|440.9688416|-871.9843187999999|-12.41372827|0.384250302|6.221435089|11.16880283|34.53986301|0.0332953229999999|-135.1223777|1416.134383|457.7130665|1.0|0.0|1.0|1.0|2.0|3.01|0.18|5.26|0.65|1.0|0.0|102.33|1.0|6.0|-5.65|26.0|5.0|-6.62|0.0|1.0|3.12|0.000856|6.659999999999999e-05|0.0257|2.86|0.0|9.84e-05|3.78|-1877.360551|621.59|341.83|489.97|0.70217|-1877.185022|0.2915|-0.15009|3.2048|-0.20077|0.02818209|-1877.241687|3.8853|8.1135|8.1135
