molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|GATS1are|MATS8d|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
9h_a24|0.0|1|0|2.916716427|0.0|1|7.153833802|0|1.428198245|5.209486153|2|0.023854167|0.078066659|0.0|-0.105982525|0.013595277|-0.209618231|10.96661419|2|0.012380829|-0.047269812|2|0.687815726|-0.004960317|0.656172477|0|-0.060337884|-0.0687348109999999|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|8.724425117000001|-0.026280957|-15.35662744|1.773520599|0.572371258|47.51520531|-12.42226332|37.24443236|0.477589721|2062.34011|417.7355164|-422.3569529|768.1954692|0.427628742|11.11300329|4170.098082|202.1279819|-68.41568372|737.9073405|295.8603625|15.02620893|1.0|1.0|2.84|1.96|0.0|-6.05|2.72|72.28|1.07|0.0|0.0|1.0|3.0|22.0|-6.85|0.0|1.0|1.0|0.00147|0.000575|166.0|0.0|0.0|8.95e-07|-0.0435399999999999|1.16|4.3437|-945.2337612|285.43|239.63|0.61928|-945.153352|0.0073|5.6654|-0.22593|0.0305020989999999|-945.200628|7.7741|77.0|7.1135|7.1135
12a_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0.604990853|5.4161004020000005|0|0.036587302|0.17758258|0.8332127109999999|-0.14667395|0.01039129|0.100414476|10.31197265|2|0.007890601|0.031326603|0|0.58630452|-0.375724138|0.525051106|1|-0.064340227|-0.074840643|0.000279043|0.011766311|-32.81611621|-38.17175304|6.001293955|-0.033799|-19.46913691|49.24750281|0.85136964|43.65970865|-17.23885621|38.81741016|0.476055146|2185.594734|479.8867095|-534.4045424999999|600.1247016|0.14863036|14.43505064|4873.458436|75.8074911|-358.4254366|627.699788|323.26151960000004|5.487955617999999|1.0|0.0|3.2|3.39|0.0|-7.21|5.43|58.43|4.34|1.0|0.0|1.0|2.0|22.0|-4.56|0.0|1.0|1.0|3.86e-07|1.13e-06|0.00039|0.0|1.0|6.15e-08|-0.08015|5.01|3.0966|-2097.8163050000003|400.39|400.39|0.6998800000000001|-2097.7296100000003|0.3701|2491.0|-0.2091|0.0104658999999999|-2097.779499|3.8054|1778.0|5.7501|5.7501
11a_a50|0.0|0|1|0.0|0.0|2|7.927685046000001|1|1.397733996|5.82008293|1|0.038040936|-0.04339705|2.114272566|-0.134056065|0.011959339|-0.108592708|10.94500606|2|0.012037198|-0.277408878|1|0.701976536|-0.200986578|0.667956827|1|-0.048213112|-0.071180382|0.2931724189999999|0.01848869|-25.48858279|-37.63057389|9.774322692|-0.025421565|-19.89396594|67.28055926|0.6543614329999999|48.67321197|-13.43949068|35.26290548|0.463749257|2286.226222|484.8529701000001|-564.4586084|1550.320581|0.345638567|11.123941699999998|4858.670497|182.7270002|-163.21096210000002|862.6098364|439.9973344|11.04263807|0.0|1.0|3.44|2.8|0.15|-5.87|3.73|48.53|2.25|0.0|0.0|2.0|2.0|25.0|-6.24|0.0|1.0|1.0|0.000263|6.97e-05|0.0228|0.0|0.0|1.35e-06|-0.03284|3.05|4.0636|-1045.954278|305.11|305.11|0.65485|-1045.794689|0.1761|5.4342|-0.2005299999999999|0.02431947|-1045.84627|7.5619|59.0|7.2291|7.2291
35_a18|0.0|0|0|0.0|0.0|0|7.03438793|2|1.251175948|4.844187086|1|0.03531746|-0.069149293|0.0|-0.44784362|-7.44e-05|0.027469086|10.94702087|0|0.00113101|-0.117857059|0|0.737701788|-0.017913121|0.7277482059999999|0|-0.081822342|-0.084219749|0.3888901179999999|0.008853796|-60.302584200000005|-62.06945887|6.525195505|-0.033440195|-45.74482543|74.92670772|0.874573807|67.9315105|-24.64522632|66.82777970000001|0.465531336|3038.429834|590.1597827|-1675.875389|1761.858479|0.125426193|17.18442554|6995.248058|92.43836482|-552.1173777|1916.219506|1056.535856|5.862051629|1.0|1.0|4.3|0.0|0.3|-9.55|3.35|85.29|3.33|3.0|1.0|1.0|8.0|36.0|-6.0|0.0|0.0|1.0|8.629999999999999e-07|2.96e-06|0.0014199999999999|0.0|0.0|2.81e-10|-0.04879|8.09|3.2146|-1532.976969|385.69|385.69|0.69279|-1532.557542|0.4981|2.0432|-0.18079|0.02600607|-1532.627182|2.7788|24.0|7.6198|7.6198
13_a1|0.0|1|0|3.409865599|0.0|0|7.423568444|1|1.430073963|5.351858133|1|0.036382114|0.1129747169999999|0.0|-0.597786194|-0.008672236|-0.0594321759999999|10.94989555|1|-0.005924486|-0.120034915|1|0.87703849|-0.150485437|0.833702788|0|-0.111667908|-0.10668313|0.207843387|0.033737733|-64.94184903|-62.04288975|19.62059449|-0.040302516|-36.08180773|528.3795274|0.7082629840000001|77.55889436|-23.43842502|84.56244352|0.477212829|2555.623166|395.1486144|-1054.729126|1786.445642|0.291737016|14.33466671|5456.353212|169.6632599|-242.2358135|1489.177255|505.2124255|15.51600461|1.0|1.0|3.35|2.83|0.09|-7.94|3.87|80.26|1.74|1.0|0.0|1.0|4.0|28.0|-6.48|0.0|0.0|1.0|5.16e-05|4.58e-05|17.0|0.0|0.0|1.14e-08|-0.04962|3.17|3.4483|-1238.367298|359.55|304.01|0.69782|-1238.174491|0.3535|2.7595|-0.18883|0.0284695999999999|-1238.22919|3.9446|0.26|6585.0|6585.0
18a_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.604987543|5.351858133|2|0.040166667|-0.041327798|0.0|-0.353677943|0.005050384|-0.01286191|10.31163887|1|0.005458948|-0.094526372|1|0.8421237309999999|-0.171895425|0.7961424690000001|0|-0.072474599|-0.095397479|0.294303776|0.017060045|-45.11907802|-59.38972262|10.62073502|-0.036990859|-36.97308547|0.0|0.7904991659999999|69.35818061|-23.02866795|55.73981304|0.445995681|2721.874248|534.88346|-1128.40473|2814.429655|0.209500834|12.72666325|5942.293347|130.4247923|-361.7006453|1427.458469|620.9195447000001|9.968457988|1.0|1.0|4.75|0.0|0.14|-6.64|2.62|81.65|2.82|2.0|0.0|1.0|5.0|29.0|-5.98|0.0|0.0|0.0|5.23e-06|1.4e-05|0.0056|0.0|0.0|2.3100000000000002e-07|-0.05605|3.82|3.4712|-1575.755101|357.18|357.18|0.69033|-1575.54671|0.3781|4.2514|-0.19785|0.03180853|-1575.604922|5.2813|25.0|7.6108|7.6108
16_a15|-3.726252327|0|0|0.0|0.0|0|0.0|0|0.300207157|0.0|2|0.035555556|-0.003882928|0.0|-0.4898555739999999|-0.009769916|-0.109386268|10.31928197|0|-0.00379317|-0.0764246109999999|2|0.787100127|-0.018331526|0.72660548|0|-0.08870471|-0.101500719|0.7427725270000001|0.0070920509999999|-60.63825695|-69.38556779999999|4.848103252|-0.039472502|-47.4317527|17.68542055|0.868460507|76.07332645|-26.98327637|65.48636021|0.419910645|3173.773379|494.6488764|-1457.096924|3014.308422|0.131539493|11.720499900000002|6931.531554000001|89.91997762|-503.7568532|1677.792959|728.353441|6.687758643|1.0|0.0|3.59|2.93|0.08|-9.21|6.02|115.58|1.72|2.0|0.0|1.0|6.0|32.0|-6.27|1.0|0.0|1.0|9.89e-07|6.14e-06|0.00274|0.0|0.0|6.1e-10|-0.04082|8.26|4.1295|-1770.448668|300.24|297.1|0.66615|-1770.217907|0.1409|8.0361|-0.20953|0.06079704|-1770.281427|11.7447|21.0|7.6778|7.6778
12an_a36|0.0|1|0|3.489959714|0.0|0|7.412764017000001|2|0.6294007110000001|5.351858133|2|0.042739018|0.0966393909999999|0.0|-0.407702102|0.00285431|-0.131674913|10.33556631|1|0.003710345|-0.133106642|1|0.906423012|-0.055405405|0.855081905|0|-0.073519599|-0.105145528|0.270501913|0.0173118669999999|-49.67568778|-71.0446809|11.69727417|-0.036995649|-48.0034364|0.0|0.783512615|81.70091433|-24.99720254|61.37296195|0.44576647|2881.978785|565.1654879|-1349.848937|2399.367452|0.216487385|15.82907093|6162.848939|146.2760938|-383.1273396|1722.817107|725.9470896|10.65623343|1.0|1.0|4.85|0.0|0.17|-7.05|2.61|94.5|2.51|1.0|0.0|1.0|6.0|31.0|-6.64|0.0|0.0|0.0|1.4300000000000002e-05|3.09e-05|0.0132|0.0|0.0|8.95e-08|-0.05561|3.37|3.7872|-1670.417726|327.38|239.49|0.69094|-1670.182102|0.0644|4.3963|-0.21035|0.0345115999999999|-1670.244686|6.2182|0.04|7.3979|7.3979
12w_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|2|0.604983445|5.351858133|2|0.044197531|-0.0999572419999999|0.0|-0.372029919|0.002431329|0.028815747|10.31162873|1|0.001805829|-0.0857954809999999|1|0.8149999040000001|-0.080971844|0.711738503|0|-0.076611264|-0.096032733|0.4274948739999999|0.015446225|-52.53307388|-65.85056003|10.59162334|-0.037237182|-45.15435649|0.0|0.8077976990000001|75.77366969|-25.53389062|63.12469722|0.451478593|2999.810425|584.3729039|-1251.160641|2783.769563|0.192202301|14.70077638|6888.291006999999|131.7949495|-422.1196298|1548.85393|685.6665849999999|9.923109661|1.0|1.0|4.63|0.0|0.14|-7.8|3.92|81.65|3.79|2.0|0.0|1.0|5.0|31.0|-5.52|0.0|0.0|1.0|2.64e-07|9.14e-07|0.0004269999999999|0.0|0.0|1.58e-08|-0.05682|5.08|3.5585|-2494.932002|348.42|244.87|0.68423|-2494.743475|0.1614|2.4229|-0.20755|0.0345723|-2494.807027|3.0068|15.0|7821.0|7821.0
4i_a46|0.0|0|0|0.0|0.19654443|1|7.825245291|1|1.1346370959999998|5.587248657999999|1|0.049498645|-0.088884176|0.0|-0.127450387|0.012211602|-0.160741899|10.94638684|1|0.011931187|-0.091288438|1|0.7204791309999999|-0.17856753|0.7172344890000001|0|-0.058565229|-0.075208437|0.263514985|0.015663081|-33.08099617|-42.48203383|8.847405392999999|-0.025069479|-23.99628633|70.55661087|0.763831778|49.04951810000001|-14.16067794|41.92840157|0.406629719|2200.19132|531.4066842|-722.1945751000001|2253.484644|0.2361682219999999|10.47951666|4893.587424|133.40134070000002|-298.0546045|945.4890404|579.2365607|6.567484272000001|1.0|1.0|3.88|3.5|0.36|-7.3|5.07|39.94|3.06|1.0|0.0|1.0|3.0|26.0|-5.31|0.0|1.0|1.0|1.16e-05|9.13e-06|0.00317|0.0|0.0|5.04e-08|-0.01646|4.46|4.4232|-1092.70435|280.31|229.66|0.69035|-1092.473422|0.1421|2.8538|-0.20084|0.02614355|-1092.528145|3.8696|612.0|6.2132|6.2132
