molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|GATS1pe|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
12v_a30|0.0|0|0|0.0|0.0|0.604983445|0.037440652|-0.006974714|5.351858133|2|0.04625323|-0.099831334|0.0|-0.369659818|0.002431329|0.020607357|-0.04950715|1|1|-0.173424818|-0.0493878409999999|-0.0857954809999999|-0.471153275|1|0.83236194|-0.080971844|0.711738503|0.8501212029999999|-0.077138874|0.404950755|0.015823709|-52.18846092|-65.72041011|10.70556236|82.09302037|0.1498787969999999|101.4008026|-0.037666615|0.806069067|-1.845664126|-35.30820865|-25.48342433|3001.758432|575.1512171|0.917675298|6952.110426|131.2043645|-844.8022477|0.014801518|-414.1432908000001|1549.107692|0.0|1.0|1.0|0.0|0.0|0.14|-7.8|3.79|2.0|0.0|137.3|1.0|-6.58|31.0|-5.52|467.37|0.0|1.0|2.64e-07|5.12|0.0|7.39e-06|3.5507|-2494.963646|715.58|1209.1|349.18|349.18|0.68405|-2494.739831|0.1601|-0.1505099999999999|-0.20681|0.03495552|4105.0|22.0|7.6596|7.6596
12bf_a36|0.0|0|0|3.31325137|0.0|1.297043948|-0.024689509|-0.00832865|5.351858133|2|0.044197531|0.140577067|0.0|-0.4497470879999999|-0.006877664|-0.096665166|-0.0206090089999999|1|1|0.359635716|-0.098027247|-0.250781298|-0.433281391|1|0.836170906|-0.033696875|0.632625562|0.6791406640000001|-0.090461753|0.356652646|0.0217611939999999|-58.26326838|-71.01192632|14.01562806|87.14111344|0.320859336|206.6543367|-0.037486972|0.7054709690000001|-1.874348624|-37.52534442|-24.14405495|2902.591295|437.4108773|0.904134124|6271.550446|189.6959033|-777.5172959|0.02371294|-264.6734075|1711.2011699999998|0.0|0.0|1.0|0.0|0.0|0.14|-7.12|2.78|1.0|0.0|123.67|1.0|-3.99|31.0|-6.8|417.41|1.0|0.0|0.000102|2.88|0.0|3.17e-05|5.2319|-1431.413697|670.85|1120.94|320.04|236.98|0.69292|-1431.187555|0.4006|-0.15677|-0.2139|0.03299488|7.5932|6.0|8.2218|8.2218
5a_a49|0.0|0|0|0.0|0.0|1.343848751|0.079751437|-0.009147269|5.777652323|2|0.034466231|-0.072902329|1.878067786|-0.493952547|0.007647515|-0.046327135|0.076610236|1|1|-0.1205081119999999|-0.158356406|-0.26176436|-0.51958118|2|0.7979412790000001|0.127914587|0.632463498|0.800090055|-0.072109357|0.6254267029999999|0.028578361|-42.1802818|-46.04810561|16.71687776|124.92862240000002|0.199909945|116.9370825|-0.027311576|0.6069287529999999|-1.338267206|-24.67330519|-15.97587337|2797.737637|468.0117167|0.962527525|6294.404170000001|229.9265537|-457.9083293000001|0.0270848489999999|-125.09569170000002|1289.801795|0.0|1.0|1.0|1.0|2.93|0.22|-6.92|2.07|1.0|0.0|116.62|1.0|-3.84|30.0|-6.84|397.43|1.0|1.0|0.000146|2.65|0.0|4.72e-05|5.2443|-1311.995327|625.06|1082.25|316.13|236.42|0.66225|-1311.743648|0.0529|-0.16176|-0.21238|0.03478454|7.0102|43.0|7.3665|7.3665
1m_a5|0.0|0|0|2.934162514|0.0|1.3047206409999998|-0.252787668|-0.002410445|4.59511985|2|0.026339869|-0.07112464|0.0|-0.096417794|0.006422789|-0.10797859|-0.011848312|1|1|-0.118494698|0.042813643|0.07132816|-0.2274929269999999|2|0.7824502320000001|-0.022280685|0.63664685|0.8823955520000001|-0.070959368|0.429612762|0.009030414|-37.380714700000006|-37.65438054|4.7571353730000006|154.6334216|0.117604448|61.95289543|-0.028977918|0.73847373|-1.072182971|-19.69180207|-15.26528941|2183.167528|464.8375158|0.932913201|4584.808374|137.7695311|-297.5394992|0.0172594319999999|-251.2513491|764.8419772000001|1.0|0.0|1.0|1.0|2.11|0.0|-8.63|2.4|1.0|0.0|95.5|1.0|-4.52|24.0|-5.71|332.79|1.0|1.0|2.99e-05|3.69|0.0|7.82e-07|4.6678|-1410.912452|553.42|926.13|281.89|265.61|0.45426|-1410.783167|0.2373|-0.1778|-0.22857|0.03223201|2.4582|43.0|7.3665|7.3665
7b_a8|0.0|0|0|3.213855584|0.0|1.395658671|-0.119760914|-0.009659873|5.4161004020000005|1|0.040873016|-0.024156447|0.0|-0.4829936279999999|0.002074537|-0.052309137|-0.0254956129999999|1|1|-0.039357491|-0.021509048|-0.035044152|-0.415894017|1|0.7812177770000001|-0.040994467|0.677544268|0.7223476129999999|-0.101439013|0.282366236|0.033167971|-60.75943432|-59.93853201|19.86678613|145.0783004|0.277652387|166.30684230000003|-0.041332642|0.753935657|-1.901301524|-36.39338307|-24.75721974|2776.185773|432.6681725|0.918644854|6185.0105140000005|147.3863936|-682.1319788|0.022982731|-304.2022276|1510.516312|0.0|1.0|1.0|1.0|3.37|0.09|-7.65|2.23|2.0|0.0|110.8|1.0|-5.25|30.0|-6.15|396.4|0.0|1.0|5.64e-06|3.61|0.0|8.94e-06|4.5945|-1330.622441|621.4|1067.73|380.32|269.85|0.7025100000000001|-1330.392289|139.0|-0.13639|-0.20472|0.0273745|12.7344|13.53|4.8687|4.8687
3i_a32|0.0|1|1|2.417426304|-4.547725143|0.6094207970000001|-0.157360524|-0.012358668|5.733341277|0|0.05052381|-0.21362765|1.711001131|-0.4449120629999999|-0.0131506889999999|-0.26785886|0.022524712|3|3|-0.8373173840000001|-0.054335108|-0.212967423|-0.537667101|0|0.833699527|0.030060554|0.54844677|0.893827987|-0.093279684|0.259644227|0.015296821|-49.17963359|-59.72706743|8.064907632|60.99385995|0.106172013|55.97682661|-0.044627482|0.77072347|-1.472706897|-25.92886531|-23.52884474|2471.4299920000003|471.2508776000001|0.732035793|5656.349227000001|120.8809386|-409.3669403|0.021905206|-285.465827|1007.432506|0.0|1.0|1.0|1.0|2.49|0.13|-6.96|2.09|2.0|0.0|88.28|1.0|-6.27|24.0|-5.53|366.38|0.0|1.0|5.37e-07|4.23|0.0|4.01e-05|3642.0|-1891.833327|530.5|876.0|340.43|340.43|0.70322|-1891.738614|0.4765|-0.1476|-0.21278|0.02199999|3.8572|6.0|8.2366|8.2366
4e_a46|-3.742323661|0|0|0.0|0.092094405|0.300205548|0.1369980459999999|-0.005995748|5.587248657999999|2|0.041636905|-0.08224348|0.0|-0.4017151029999999|-0.001404912|-0.058626723|-0.05803828|1|1|-0.135489528|-0.030065705|-0.049530834|-0.514537262|2|0.77019676|-0.076733489|0.69063113|0.753715041|-0.0835371459999999|0.68427144|0.010671173|-63.39469142|-64.33855433|8.098142567|105.0139519|0.246284959|186.9007941|-0.030951758|0.7951078540000001|-1.949960781|-48.10898007|-23.48867857|3411.457836|571.9794684|0.905854609|7615.063066|155.48860530000002|-1122.980957|0.0125621839999999|-447.9030518999999|1861.114491|0.0|0.0|1.0|1.0|2.68|0.27|-8.81|2.06|2.0|0.0|137.28|1.0|-6.08|35.0|-6.6|488.6|0.0|0.0|8.29e-07|3.78|0.0|7.64e-07|4.2446|-1884.613031|757.1|1343.97|296.81|292.1|0.56481|-1884.255802|0.3109|-0.17112|-0.21005|0.04805633|3.2466|154.0|6.8125|6.8125
12bi_a36|0.0|0|0|3.466222049|0.0|1.297042566|-0.088734077|-0.00902707|5.351858133|2|0.043854875|0.03474497|0.0|-0.559678363|0.000482522|-0.067142264|0.041834838|1|1|0.056936052|-0.176729938|-0.289604649|-0.37220074|1|0.812921349|0.071329141|0.8350231859999999|0.7850011179999999|-0.082914301|0.382000949|0.034602166|-57.89562053|-75.1419557|24.16125901|129.685076|0.214998882|150.12481100000002|-0.027831043|0.4996603229999999|-1.614200516|-40.42611289999999|-19.43326441|3044.149713|548.1337538|0.85865094|6572.410403|349.3664649|-787.0277122|0.037590587|0.474365004|2255.791153|0.0|0.0|1.0|1.0|0.0|0.21|-6.79|1.42|1.0|0.0|136.74|1.0|-4.11|33.0|-7.13|441.49|0.0|0.0|7.75e-05|2.62|0.0|7.11e-05|3.8855|-1461.997992|742.94|1256.37|336.45|319.1|0.69207|-1461.69263|0.0252|-0.15078|-0.2018|0.0318395999999999|8.8903|14.0|7.8539|7.8539
13n_a6|0.0|0|0|3.425442623|0.0|1.4290206230000002|0.030890422|-0.010884884|4.727387819|2|0.04393617|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|1|0.100294804|-0.068956229|-0.118693789|-0.57091314|2|0.7767360059999999|-0.056293641|0.82642394|0.70890216|-0.100363599|0.307384948|0.017758385|-68.88015714|-75.07706271|12.18768927|90.97854097|0.29109784|199.7822434|-0.038490115|0.748967057|-2.078466222|-47.27287681|-26.41600355|2952.259627|486.5239262|0.889160748|6386.381394|172.28545730000002|-978.9911754|0.019904118|-341.7352549|1904.575345|1.0|1.0|1.0|1.0|1.9|0.08|-9.67|0.81|1.0|0.0|127.2|1.0|-4.64|33.0|-7.23|435.48|0.0|1.0|2.27e-05|2.43|0.0|9.35e-08|4.8185|-1423.765005|727.69|1232.6|369.99|257.31|0.64027|-1423.451366|0.1945|-0.13863|-0.20994|0.05026727|10.1967|75.0|7.1249|7.1249
41_a18|0.0|0|0|0.0|0.0|1.251176562|0.115127295|-0.007587553|4.844187086|1|0.038034188|-0.089781154|0.0|-0.500778516|-0.0034878|0.022493846|0.0212700929999999|0|0|-0.137860739|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.733589101|0.037097204|0.745631286|0.7349388459999999|-0.1020290859999999|0.3888308139999999|0.009550224|-69.94639412|-61.10986894|6.547189171|347.42621339999994|0.2650611539999999|181.7135945|-0.037381065|0.903239484|-2.317626057|-47.95199341|-25.62671923|2899.29167|503.8398786|0.950261611|6605.095612|66.33450764|-1089.246155|0.006896617|-552.8844577000001|1759.064589|1.0|0.0|1.0|1.0|0.0|0.25|-8.38|2.94|2.0|1.0|141.34|1.0|-5.56|34.0|-6.38|452.55|0.0|1.0|2.76e-06|3.78|0.0|1.89e-06|3.2123|-1454.374793|736.59|1294.52|385.97|385.97|0.69308|-1453.980175|482.0|-0.1319|-0.1814599999999999|0.0280471999999999|2721.0|369.0|6433.0|6433.0
