molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|SaasN|AATSC1c|SRW07|AATSC1s|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|DPSA2|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w WLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
4b_a49|0.0|0|7.535296702|1|1|2.075628989|-0.0074627159999999|5.4161004020000005|-0.077626337|1.645329244|-0.402986655|0.02907541|1|0.002557204|-0.0563571629999999|-0.089371493|2|0.720824193|0.798826417|0.005818676|0.049923437|0.852400617|0.6967593559999999|1|-0.090284437|0.438784865|-55.5653235|14.84890147|41.97072627|148.84640819999998|-0.030696709|-34.19753462|9.138717999|64.87087098|0.645330839|-1.534835437|-34.74338731|71.2971749|-18.89220999|0.477868186|2708.998101|-944.6104994|1701.832352|-11.62716177|7.588962922|14.53457293|0.915225186|6025.790417|218.2802175|29.27523192|1463.761596|15.73185141|1.0|1.0|1.0|1.0|3.37|3.1|-7.05|3.26|1.0|112.36|1.0|6.0|-7.12|400.43|2.8|-3.88|0.000155|2.28|0.0|0.0|8.91e-08|3.570000000000001e-05|4.6422|3.56|3.7413|-1333.063439|664.86|1121.45|331.39|509.78|0.68242|-1332.800229|0.0615|-0.22366|2.2306|79.0|7.1024|7.1024
21a_a23|0.0|1|7.525639975|0|0|3.43622302|-0.005708466|5.4161004020000005|-0.038876045|0.773970837|-0.3082571839999999|-0.083864151|2|0.01180744|-0.074441567|-0.136106024|2|0.725800261|0.7367638240000001|0.1022509819999999|-0.137122549|0.79188323|0.6906097959999999|1|-0.082341001|0.224766417|-54.35891011|7.634348008|39.56172507|48.49696614|-0.03458322|-35.88602363|5.039953753|82.08958626|0.842121383|-1.729161021|-22.45408125|61.73864319|-22.83074225|0.492301762|2880.257677|-1141.537112|2272.736256|-15.07212993|7.950891003|15.66066298|0.969673962|6464.524241|104.2264415|27.11098744|1355.5493720000002|7.379733085|0.0|1.0|1.0|1.0|3.53|3.48|-7.78|4.33|2.0|125.25|1.0|5.0|-6.07|425.51|3.78|-5.28|1.3e-06|3.98|0.0|0.0|1.65e-08|7.03e-06|3.6993|3.75|3.6993|-1669.250866|701.01|1189.63|335.16|558.61|0.60824|-1668.989671|0.3692|-0.2226699999999999|7.9309|102.0|6.9914|6.9914
5b_a40|0.0|0|8.149890544|0|1|1.616656116|-0.0049439079999999|6.167516491000001|0.064329005|0.7222376540000001|-0.163148971|0.020344828|2|0.006372485|0.007986879|0.013573521|0|0.537115914|0.817071232|-0.400500595|0.029485257|0.88618123|0.503365018|1|-0.091267779|0.313503463|-45.78637031|9.59023102|169.18694230000003|59.56617021|-0.036507111|-22.96968039|4.811137897|49.25022097|0.829018186|-1.095213344|-19.38687321|52.08187888|-18.31454812|0.477304896|2126.9310920000003|-549.4364437|764.9528181|-9.187872156|6.521443259|12.47657231|0.913161214|4813.179854|85.77656597|22.09185326|662.7555978999999|6.2955085660000005|0.0|1.0|0.0|0.0|3.13|2.82|-5.25|4.39|1.0|84.17|2.0|3.0|-5.42|338.21|3.83|-4.84|3.69e-06|4.14|0.0|0.0|5.65e-06|0.00191|3.9759|5.62|3.9759|-2096.782087|515.23|847.01|311.84|411.1|0.59928|-2096.707754|0.3005|-0.23068|9.3069|64.0|7.1938|7.1938
18_a31|0.0|0|7.401841579|0|0|0.0|-0.013634202|5.351858133|-0.138136629|0.0|-0.640807491|-0.096301845|2|-0.007811355|-0.065041042|-0.107017926|0|0.868704545|0.8595579409999999|0.022160691|-0.1647054359999999|0.904870098|0.838968212|0|-0.129469649|0.258135789|-75.99442464|8.49194438|238.9516432|160.8952371|-0.040279446|-44.60622732|4.984491996|0.0|0.7774768320000001|-1.81257508|-40.61741697|85.81723707|-23.64270989|0.4492048839999999|2241.561812|-1063.9219449999998|1935.374782|-13.87749294|7.076684189|12.84812443|0.8155571290000001|4856.251645|130.6137795|30.40953623|1368.42913|9.822812434|1.0|1.0|1.0|1.0|3.41|2.85|-6.54|3.48|1.0|99.32|1.0|7.0|-6.72|356.44|2.89|-3.62|2.42e-05|2.47|0.0|0.0|2.9e-07|0.000104|5.0092|4.81|3.9105|-1465.528656|630.26|1041.21|317.05|541.33|0.70058|-1465.300904|0.2457|-0.19914|4.6746|0.13|6.8861|6.8861
15_a3|0.0|0|6.823286122000001|1|1|0.0|-0.006742751|4.727387819|-0.092127078|1.809035179|-0.289938297|0.021805556|0|-0.004459728|-0.022386155|-0.039798975|3|0.968837995|0.813015336|-0.103599654|0.036380489|0.866559772|0.911346861|1|-0.107619999|0.451058529|-55.08588323|4.04445331|315.5421792|113.1667185|-0.037667|-28.19600959|2.070175472|0.0|0.850327497|-1.50667999|-24.19332693|60.30684851|-19.28005913|0.461565365|2116.88728|-771.2023653|1433.713715|-9.868603355|5.371119692000001|9.975434973|0.85723565|4617.470007|76.61068671|22.67368656|906.9474625|5.220965278|1.0|0.0|1.0|1.0|4.12|0.0|-5.78|1.56|0.0|94.29|2.0|2.0|-7.35|321.4|1.2|-3.02|0.0017|1.28|0.0|0.0|1.66e-06|0.000535|6.0077|2.33|3.7072|-1328.688126|553.81|916.07|334.44|398.12|0.67902|-1328.531138|0.0173|-0.22079|2.3271|25.0|7.6021|7.6021
9b_a36|0.0|0|7.412764017000001|2|2|0.0|-0.0058276019999999|5.351858133|-0.023369916|0.0|-0.308862918|-0.06502499|1|0.005458948|-0.053309522|-0.094526372|1|0.8421237309999999|0.7885597609999999|-0.034830997|-0.1177413269999999|0.842671963|0.7961424690000001|0|-0.098301686|0.2602997|-61.73294817|10.68084402|67.12293326|97.10089515|-0.036110824|-38.76797062|6.707514535|0.0|0.78242217|-1.769430355|-29.25555061|71.70079424|-22.67740953|0.453252346|2715.020034|-1111.193067|2464.2160510000003|-14.24129533|7.549264797|13.80758516|0.828997331|5838.085413000001|136.63774650000002|28.98359786|1420.196295|9.967846072|0.0|1.0|1.0|0.0|4.73|0.0|-6.64|2.76|1.0|126.17|1.0|5.0|-6.46|398.48|2.48|-4.43|2.49e-05|3.2|0.0|0.0|2.3100000000000002e-07|9.21e-05|3.8535|3.82|3.8535|-1575.7800140000002|666.01|1127.85|321.74|514.45|0.69763|-1575.557248|0.5392|-0.20979|8.4288|21.0|7.6778|7.6778
12p_a30|0.0|0|7.412764017000001|2|2|0.0|-0.0063403159999999|5.351858133|-0.031328052|0.0|-0.3550576729999999|-0.128484994|1|0.005965451|-0.053644471|-0.09353607|1|0.8414737059999999|0.7867133140000001|-0.051402518|-0.2210072669999999|0.8371763179999999|0.7991060659999999|0|-0.094870978|0.371591982|-60.65858419|9.659715461|75.21136863|100.1386407|-0.0364888379999999|-38.78387161|6.176226649|0.0|0.8199554720000001|-1.897419563|-30.39737673|68.98315679|-23.33022469|0.469983155|2783.628159|-1213.171684|2326.5244390000003|-14.91687369|7.392482526|13.94763694|0.886732486|6166.812731|115.116829|28.4530386|1479.558007|8.3245726|0.0|1.0|1.0|0.0|4.76|0.0|-7.01|2.93|2.0|132.24|1.0|5.0|-5.81|412.51|2.91|-5.15|2.21e-06|4.23|0.0|0.0|9.75e-08|4.02e-05|5.1922|4.14|3.4955|-1615.094336|685.08|1167.16|354.69|526.91|0.68561|-1614.830085|0.1527|-0.19992|4.6103|17.0|7.7721|7.7721
18c_a22|0.0|0|6.842683282|0|0|1.804590026|-0.003749104|4.727387819|0.013131848|1.642882533|-0.213698903|0.006275578|1|0.005597023|-0.078828791|-0.143402172|2|0.7290394929999999|0.7669483559999999|-0.032031791|0.010828071|0.8287956870000001|0.6922232890000001|1|-0.076388478|0.5003904610000001|-52.84635017|13.72808419|30.63947336|47.68404831|-0.028825841|-36.55965924|9.49723261|15.22791009|0.682690024|-1.52776956|-27.73804808|67.73280290000001|-19.94201893|0.4777430589999999|3090.601885|-1056.927003|2574.178324|-13.79609783|7.332936064|14.04085897|0.914766316|7101.057047|219.5183688|29.21094233|1548.179944|14.88645273|1.0|1.0|1.0|1.0|3.56|3.3|-9.46|4.98|1.0|136.36|1.0|6.0|-6.63|461.54|3.72|-5.1|1.6e-06|3.5|0.0|0.0|3.4299999999999995e-10|1.58e-07|5655.0|3.5|3.7222|-1783.562578|707.08|1249.84|333.1|583.88|0.60449|-1783.277296|0.0817|-0.22365|1.0733|26.0|7585.0|7585.0
18_a34|0.0|0|7.423568444|1|1|1.801574074|-0.014733513|5.351858133|-0.101546926|0.0|-0.677741618|-0.136990511|1|0.002183342|-0.3102088839999999|-0.478810922|1|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.8584852479999999|0.713979177|0|-0.129784908|0.295523326|-71.65163761|22.55015528|66.6880793|171.24705480000003|-0.0422555509999999|-39.55742812|12.44948722|54.26737825|0.695849945|-1.816988713|-27.53138148|86.77082535|-23.32844015|0.441058733|2424.18137|-1003.122927|1774.550004|-12.87916264|6.282442545|11.23989749|0.789096743|5296.289007|167.9151283|33.52510165|1441.579371|15.11918774|1.0|1.0|0.0|1.0|3.28|3.61|-5.65|3.15|1.0|93.91|2.0|5.0|-6.26|351.36|2.89|-4.11|4.77e-05|3.07|0.0|0.0|2.22e-06|0.000781|4.4335|5.07|4.1234|-1199.288654|592.04|991.93|300.68|483.87|0.60488|-1199.101028|0.0303|-0.21474|6.7806|2.43|5.6144|5.6144
8d_a8|0.0|0|7.05012252|0|0|1.41693287|-0.0111144189999999|4.844187086|-0.155313194|0.0|-0.633521883|-0.117111249|1|-0.001038264|0.016471091|0.025642021|1|0.76211539|0.757805416|0.0780635059999999|-0.179357354|0.804372443|0.734212688|0|-0.103150936|0.377028311|-67.26951954|18.28507531|57.93693239|200.0182229|-0.03820405|-43.86958028|11.92454747|92.49576602|0.675359878|-2.063018716|-45.62337399|86.29065071|-24.91463687|0.483207744|2863.968296|-1345.390391|2093.380666|-16.2479927|7.507839835|14.52777156|0.935013517|6596.888351|211.7129122|36.89090464|1992.108851|19.02113117|0.0|1.0|1.0|1.0|3.61|2.92|-7.62|3.32|1.0|121.1|1.0|6.0|-6.87|430.46|3.0|-4.47|1.24e-05|2.89|0.0|0.0|2.38e-08|1.03e-05|4.6765|6.22|3.2963|-1447.595474|690.78|1185.65|376.13|572.21|0.70165|-1447.2928029999998|0.1879|-0.19757|7.5674|18.61|4.7303|4.7303
