molecula|SddssS|NaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|MOMI-Z|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
8_a1 (SB-202620)|0.0|1|0|6.86171134|0|0|1.4323973840000002|0.0|0.106916453|-0.013785521|4.727387819|-0.0443137679999999|0.0|-0.012672753|10.94957568|1|-0.0106277489999999|-0.019835038|-0.042643966|-0.612004804|1|0.674381582|0.743088715|-0.042789124|0.063001656|0.805476065|0.658433571|0|-0.105271458|0.174628594|0.015526845|-66.76765693|208.2071465|199.1596945|-0.041081545|0.7742395870000001|-1.684343335|-37.88089785|70.8721358|-23.30777912|75.57687443|0.4564697679999999|1736.664204|13.67402758|0.839824062|128.0860757|-542.1742393|-311.18185800000003|1234.267739|433.2550452|11.1459518|1.0|1.0|0.0|1.0|2.74|2.21|0.0|5.06|78.87|2.0|99.61|0.0|1.0|-4.94|27.0|359.35|0.0|3.7|-4.7|0.00713|0.0|0.0|3.42e-06|-0.0736899999999999|3.4052|5.32|-1223.117248|586.27|364.11|0.5339|460.4|0.7026600000000001|0.7026600000000001|0.5339|-0.13683|-0.2105199999999999|0.16177304|-1223.014114|6.3979
12d_a30|0.0|0|0|7.412764017000001|2|2|0.604984421|0.0|0.041181359|-0.006335328|5.351858133|-0.092984185|0.0|0.005613018|10.31162861|1|0.005965451|-0.053644471|-0.09353607|-0.4562256979999999|1|0.8414737059999999|0.8017873000000001|-0.0430927579999999|-0.130412856|0.8532172109999999|0.7991060659999999|0|-0.094239701|0.366319099|0.015567102|-47.69710881|85.1932288|101.4221952|-0.036246039|0.8143892140000001|-1.884794029|-30.81433963|69.55534551|-23.41646662|57.75411196|0.4572733479999999|2323.480646|13.92427286|0.84254817|119.91237920000002|-786.6571918999999|-406.2173266|1495.177298|686.039456|8.672532296|1.0|0.0|1.0|1.0|4.75|0.0|0.17|2.93|81.65|2.0|132.24|0.0|1.0|-5.66|30.0|412.51|0.0|2.91|-5.15|0.00291|0.0|0.0|4.02e-05|-0.05119|3.4821|4.14|-1615.063947|695.57|356.06|149.0|545.94|0.68608|0.68608|149.0|-0.1479099999999999|-0.1991|0.03187624|-1614.894406|7.9508
1n_a5|0.0|1|0|6.605297921|0|0|1.427557749|0.0|-0.1387762669999999|-0.007315978|4.59511985|0.002508727|0.0|0.004367323|10.94528897|1|0.004754079|-0.00966135|-0.015850084|-0.393928416|2|0.6805709409999999|0.77828693|-0.013686011|-0.087019366|0.8402078140000001|0.656280207|0|-0.081950989|0.428980979|0.023129277|-47.1725036|63.58796786|123.2912732|-0.030493391|0.627751746|-1.311215832|-27.07741706|63.57058627|-17.50346525|60.44890447|0.483868192|889.4388375|15.27080096|0.937489579|213.67365440000003|-432.02691110000006|-146.6611704|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|1.0|2.88|2.67|0.05|3.99|80.76|1.0|101.77|0.0|1.0|-4.27|27.0|356.38|0.0|3.14|-4.18|0.0234|0.0|0.0|3.01e-06|-0.06186|4.3838|4.19|-1179.169527|607.15|282.82|0.3789|481.06|0.44786|0.44786|0.3789|-0.17092|-0.23278|0.03956123|-1179.073189|7.5686
12ag_a36|0.0|1|0|7.412764017000001|2|2|1.297044434|0.0|-0.042092217|-0.008085448|5.351858133|0.063109409|0.0|-0.002526241|10.96052849|1|-0.000673716|-0.101303149|-0.217394466|-0.445549431|1|0.724208473|0.835013502|0.124298337|-0.0861053359999999|0.8910146309999999|0.698414933|0|-0.1081585809999999|0.26896187|0.020136392|-52.02834065|85.84609192|159.6746787|-0.038937089|0.758897371|-1.946854457|-32.81436052|80.40643223|-24.55768654|64.72839664|0.481286668|2305.164626|15.13240062|0.927847116|152.06382680000002|-774.4286762999999|-326.5740008|1617.984688|595.8790650000001|12.1906363|1.0|0.0|0.0|1.0|4.72|0.0|0.14|2.44|69.2|1.0|123.71|0.0|1.0|-3.89|30.0|399.42|1.0|2.15|-4.16|0.0278|0.0|0.0|5.58e-05|-0.05486|3.8893|3.41|-1332.151245|658.68|334.04|0.4286|507.72|0.69204|0.7024699999999999|0.0191|-0.15227|-0.20713|0.03415856|-1332.003616|7.7696
10_a15|0.0|0|0|0.0|0|0|1.4356889780000002|0.0|-0.137104477|-0.006872984|0.0|-0.0869138469999999|0.0|0.001740635|10.95972828|0|0.0034254209999999|-0.120626133|-0.184255041|-0.391156537|2|0.8310685940000001|0.713794823|0.0107135269999999|0.018211609|0.7585998270000001|0.7933685340000001|0|-0.101494566|0.640780603|0.010485777|-30.73805622|6.497096666|38.90530741|-0.036384844|0.8301726490000001|-1.928396745|-17.88541558|65.80736417|-21.17108692|36.83936823|0.449323734|2305.991259|10.08767698|0.815948972|98.81668286|-652.8924702|-384.2321709|1351.607534|673.7288405|6.751174337|1.0|1.0|1.0|1.0|3.58|3.64|0.12|6.3|56.27|2.0|119.95|0.0|1.0|-6.22|30.0|397.47|0.0|4.69|-5.83|0.000584|0.0|0.0|5.99e-08|-0.03581|4.4682|5.16|-1281.061184|631.2|340.17|0.1412|487.16|0.66799|0.70313|0.0042|-0.15377|-0.18958|0.02738146|-1280.862627|8.1549
18b_a30|0.0|0|0|7.412764017000001|2|2|0.604987149|0.0|0.036563014|-0.006947027|5.351858133|-0.039831247|0.0|0.003099827|10.31163838|1|0.0036417359999999|-0.049287858|-0.090115975|-0.45633339|1|0.80330079|0.822401103|0.022695194|-0.089945913|0.8839272779999999|0.760234689|0|-0.09536285|0.413791511|0.019880184|-52.09100293|77.65678625|86.42600053|-0.036237883|0.759715688|-1.811894154|-34.45606603|75.30642440000001|-23.96987622|65.24093056|0.424912258|3057.267112|13.0644231|0.7388650920000001|158.9382363|-792.7545943|-343.5825913|1577.555697|666.0036144999999|12.22780277|1.0|0.0|1.0|1.0|4.78|0.0|0.13|2.49|105.44|2.0|131.99|0.0|1.0|-5.49|31.0|423.49|0.0|2.42|-4.8|0.0066599999999999|0.0|0.0|8.47e-05|-0.06142|3.5256|3.64|-1667.995173|697.37|351.66|0.3576|563.55|0.67715|0.67715|0.3576|-0.14385|-0.2052699999999999|0.03910602|-1667.849173|7.6003
21_a34|0.0|0|1|8.002694162000001|2|2|1.425532331|1.88614418|0.026135784|-0.012535886|5.860786223|-0.125881566|0.0|-0.001643445|10.94874873|1|0.00130996|-0.254686357|-0.407759867|-0.514364527|1|0.702772307|0.740092842|0.116926272|-0.015568862|0.796991578|0.660871869|0|-0.117789944|0.527371706|0.034163186|-63.96857813|168.9671187|217.1470086|-0.041572921|0.728260094|-2.120218984|-42.9239565|95.12565978|-27.89610644|86.89263143|0.4688149339999999|2429.6035|13.65523159|0.882583047|182.341897|-954.6558014|-306.332473|1953.562249|659.7484451|16.08669155|0.0|0.0|1.0|1.0|3.43|3.52|0.12|3.23|86.55|1.0|122.59|0.0|1.0|-4.5|33.0|438.43|0.0|3.03|-4.71|0.0085|0.0|0.0|9.06e-06|-0.07534|4.3011|7.78|-1483.305698|698.17|401.11|0.2174|530.93|0.6893199999999999|0.69292|0.0002|-0.13338|-0.20872|0.03023936|-1483.12009|5.4737
12c_a36|0.0|1|0|7.412764017000001|2|2|1.29696741|0.0|-0.087096843|-0.007667703|5.351858133|0.085843909|0.0|0.0005016269999999|10.95982545|1|0.0010871589999999|-0.103922055|-0.177407665|-0.4423430339999999|1|0.8941919290000001|0.819222745|-0.033217921|-0.097861598|0.8741648479999999|0.8065052890000001|0|-0.105624703|0.462597812|0.019582215|-47.12722334|60.79111287|102.2992907|-0.038024893|0.75500974|-1.901244658|-30.27053327|80.22754474|-24.42396797|59.70517794|0.473610011|2365.641348|12.86584957|0.899732176|157.3609748|-784.3943293|-327.5932797|1617.460455|629.5017194000001|12.38318928|1.0|0.0|0.0|1.0|4.74|0.0|0.14|2.54|69.2|1.0|128.76|0.0|1.0|-4.44|30.0|415.88|1.0|2.34|-4.59|0.0106|0.0|0.0|2.77e-05|-0.04992|3.8436|3.79|-1692.511019|672.74|322.58|0.3927|509.61|0.68913|0.68913|0.3927|-0.15835|-0.2082699999999999|0.02977602|-1692.3713309999998|8.0458
14o_a23|0.0|0|2|7.423568444|0|0|1.197958066|3.133942289|0.18835477|-0.014680137|5.351858133|0.135737344|0.6669152279999999|-0.002390707|10.3132174|2|-0.0004039459999999|-0.0962526|-0.2952674819999999|-0.653629157|2|0.598213287|0.802854174|0.000891427|-0.072078004|0.861597051|0.575188253|1|-0.094138958|0.328340215|0.018054548|-51.49843925|110.3941788|68.19627862|-0.042454824|0.800301554|-2.165196042|-36.61307972|80.64694246|-30.18347529|64.33441296|0.48945652|2297.392496|17.66041891|0.958697036|141.97663490000002|-1094.413931|-427.001863|1923.471511|676.4530574|13.71836682|0.0|0.0|1.0|0.0|3.55|3.62|0.09|6.18|114.25|2.0|126.97|0.0|1.0|-6.89|35.0|495.48|0.0|4.31|-6.0|0.0004969999999999|0.0|0.0|5.57e-06|-0.08059|3.6989|5.17|-2042.161288|729.11|335.19|385.0|582.89|0.58581|0.58581|385.0|-0.1517|-0.23229|0.02299729|-2042.000938|8.4815
18a_a30|0.0|0|0|7.412764017000001|2|2|0.604987543|0.0|0.045071414|-0.006673169|5.351858133|-0.041327798|0.0|0.005050384|10.31163887|1|0.005458948|-0.053309522|-0.094526372|-0.452377064|1|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.842671963|0.7961424690000001|0|-0.095397479|0.294303776|0.017060045|-45.11907802|79.18861306|87.66676984|-0.036990859|0.7904991659999999|-1.812552105|-28.08889239|69.35818061|-23.02866795|55.73981304|0.445995681|2814.429655|12.72666325|0.8050400790000001|130.4247923|-702.4886239|-361.7006453|1427.458469|620.9195447000001|9.968457988|1.0|0.0|1.0|1.0|4.75|0.0|0.14|2.62|81.65|2.0|127.28|0.0|1.0|-5.28|29.0|398.48|0.0|2.63|-4.85|0.0056|0.0|0.0|9.21e-05|-0.05605|3.4712|3.82|-1575.755101|665.12|357.18|0.3781|508.08|0.69033|0.69033|0.3781|-0.1418|-0.19785|0.03180853|-1575.604922|7.6108
