molecula|NaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
10_a32|1|0.0|0|7.765993078999999|0|0.6094207629999999|0.0|0.153272514|-0.016404762|5.733341277|-0.087497559|2.067772926|-0.771023817|10.31100271|-0.047619048|3|-0.00369116|-0.1260956869999999|-0.690879647|0.809370315|0.8607827790000001|0.012125768|0.7622839570000001|-0.088310158|0.266552538|0.02575778|-54.55170955|-75.59866726|15.91131724|57.97512956|0.237716043|146.8439966|-0.038939628|-46.69945835|52.24660367|-1.7133436169999998|-24.0541214|70.46302679|2649.882742|-1058.381342|2980.525719|0.305365257|7.079344111|0.81769605|5842.926058|34.62844557|0.025106509|-240.4628923|513.9156315|0.0|1.0|1.0|3.56|3.12|0.22|19.0|-6.99|5.64|4.21|149.27|0.88|1.0|7.0|27.0|5.0|0.0|1.0|-4.41|0.000366|3.89e-05|0.0155|3.23|0.0|4.13e-05|-0.05434|3.6441|3.6441|-1916.668776|-1916.631761|340.24|533.89|-0.15088|2.4919|-0.2052199999999999|0.03701539|3.2297|7.0|8.1427|8.1427
11_a15|0|0.0|0|0.0|1|1.435688956|0.0|-0.1758968389999999|-0.0064953419999999|0.0|-0.029665252|0.0|-0.402711212|10.95979791|0.023543401|0|0.003766915|-0.173728081|-0.363940085|0.843715005|0.718800243|0.0234789439999999|0.8945381259999999|-0.064429158|0.632319408|0.018519054|-44.15161868|-66.78526188|12.69062406|143.8088883|0.105461874|72.27026771|-0.033606127|-45.76619542|0.0|-1.949155337|-23.02940065|56.84224275|3022.859488|-1335.705238|2565.707165|0.260684316|6.233494755|0.8869452090000001|7002.915718000001|31.14961732|0.018086221|-327.9935744|830.7967967000001|1.0|0.0|0.0|4.1|4.25|0.07|24.0|-8.9|4.33|6.69|59.51|2.52|1.0|6.0|34.0|4.0|0.0|0.0|-6.1|0.000214|7.970000000000001e-07|0.000357|5.32|0.0|5.7e-07|-0.03877|4.7106|2.9595|-1450.740771|-1450.705737|418.94|568.22|-0.12134|812.0|-0.16011|0.03503399|1.3581|739.0|6.1314|6.1314
14m_a23|0|-4.405643132|2|7.423568444|0|1.197955072|3.1160758160000004|0.05521348|-0.008929306|5.351858133|-0.272389934|0.665608656|-0.482182526|10.3132176|-0.050626415|2|0.001951778|-0.07256543|-0.527662006|0.560094237|0.798384929|0.0266555739999999|0.9258118|-0.072795329|0.268552591|0.017992415|-50.63012925|-62.09952738|12.51396625|47.23604193|0.0741882|51.59888942|-0.039285786|-43.19105542|0.0|-1.964289314|-27.32379205|63.1440955|3255.247038|-1366.189602|2263.262957|0.204166091|8.595073462|0.911438824|7588.823133|34.33353583|0.017997351|-411.5129154|658.8108151|0.0|1.0|1.0|3.51|3.17|0.09|26.0|-8.23|4.42|6.19|105.02|3.82|1.0|6.0|34.0|7.0|0.0|0.0|-5.79|0.000198|1.61e-06|0.000773|4.46|0.0|2.85e-06|-0.08347|3.6774|3.6774|-1966.968005|-1966.945041|337.15|572.31|-0.15208|6.1522|-0.23555|0.02296475|8.5477|3.0|8.5171|8.5171
12av_a36|1|0.0|0|7.412764017000001|2|1.297042752|0.0|0.049150854|-0.009925128|5.351858133|-0.081537769|0.0|-0.605432791|10.96037173|-0.039627578|1|-0.000472698|-0.126068378|-0.507136551|0.859938421|0.8076780109999999|-0.018133027|0.752447733|-0.082283524|0.277834652|0.021666882|-57.31621925|-73.55299094|15.09249582|99.2415672|0.247552267|172.4374372|-0.035197712|-51.2347934|124.9387725|-2.006269572|-24.51766365|72.40871507|3011.024457|-1397.506828|2354.591519|0.328083083|8.975655204|0.965363947|6460.1184140000005|36.48912989|0.025779468|-239.5042702|757.7532208|0.0|1.0|0.0|4.96|0.0|0.17|17.0|-6.93|2.38|1.65|98.3|1.49|1.0|7.0|33.0|5.0|0.0|0.0|-3.64|128.0|0.000227|0.0997|1.85|0.0|5.18e-05|-0.05307|4.8408|3.4402|-1440.988179|-1440.945099|360.39|588.31|-0.14122|4.7666|-0.19429|0.04308001|6.1075|39.0|7.4089|7.4089
14x_a23|0|0.0|2|7.423568444|0|1.197963189|3.101221922|0.0944818319999999|-0.0065692219999999|5.351858133|-0.111315218|0.6753138120000001|-0.335030301|10.31321817|-0.0229244|2|0.003906274|-0.073958723|-0.443633823|0.5788469970000001|0.802520527|-0.035031888|0.7768288609999999|-0.0708831479999999|0.229141189|0.022095943|-46.97594633|-55.83053941|14.64350681|42.44114495|0.223171139|147.90081730000003|-0.034056109|-37.00022522|87.28077098|-1.6006371069999998|-22.56979253|61.61945314|3071.48868|-1060.780249|2382.851643|0.277788677|7.777802167999999|0.880126802|6989.569075|31.25095356|0.0219879679999999|-294.5294492|597.2903597999999|0.0|1.0|0.0|3.42|3.42|0.05|26.0|-7.93|4.2|5.14|105.02|3.78|1.0|5.0|32.0|6.0|0.0|0.0|-5.27|0.0009369999999999|5.41e-06|0.00242|3.78|0.0|5.23e-06|-0.08216|4.0641|3.6941|-1828.393372|-1828.371718|335.63|537.48|-0.15259|5.7933|-0.23475|0.02165405|8.1916|3.0|8.4949|8.4949
12a_a40|0|0.0|1|7.515889085|0|0.604990853|1.784989449|0.021610099|-0.00431394|5.4161004020000005|-0.012791297|0.8332127109999999|-0.14667395|10.31197265|-0.226763788|2|0.007890601|0.018655637|-0.4764003679999999|0.58630452|0.718281767|0.023863832|0.940879765|-0.064340227|0.000279043|0.011766311|-32.81611621|-38.17175304|6.001293955|107.5277007|0.059120235|30.15370934|-0.033799|-19.46913691|49.24750281|-1.047769006|-17.23885621|38.81741016|2185.594734|-534.4045424999999|600.1247016|0.14863036|7.563170499|0.908597808|4873.458436|20.24838026|0.010759845|-358.4254366|323.26151960000004|0.0|0.0|0.0|3.2|3.39|0.0|20.0|-7.21|5.33|5.43|58.43|4.34|1.0|2.0|22.0|2.0|1.0|1.0|-5.95|0.000134|1.13e-06|0.00039|5.43|0.0|2.13e-05|-0.08015|3.0966|3.0966|-2097.826771|-2097.8163050000003|400.39|429.21|-0.12895|2491.0|-0.2091|0.0104658999999999|3.8054|1778.0|5.7501|5.7501
LY364947_a10|1|0.0|0|6.605297921|0|1.390175303|0.0|-0.278922508|-0.00235945|4.59511985|-0.00390904|2.084955541|-0.084940213|10.9303125|-0.006198347|1|0.006909045|0.04209715|-0.204644982|0.706034038|0.711607778|-0.072740964|0.8431045490000001|-0.076999385|0.449473391|0.009678082|-34.01613475|-33.26705198|4.275500834|144.7228349|0.156895451|69.31194102|-0.029665114|-14.69643595|0.0|-0.978948758|-13.10520229|38.29163558|1896.845282|-432.4716757000001|839.5356408|0.276515344|4.702575386|0.948237326|3903.496845|18.1140017|0.018707677|-197.4583104|287.99188260000005|1.0|1.0|1.0|2.46|1.88|0.0|21.0|-7.2|3.97|3.69|54.46|1.74|1.0|2.0|21.0|3.0|1.0|1.0|-3.86|0.0789|0.000137|0.0374|2.74|0.0|1.7199999999999998e-05|||||||||||||59.0|7.2291|7.2291
1l_a5|1|0.0|0|6.605297921|0|1.270375394|0.0|-0.244609612|-0.00183668|4.59511985|-0.0052651969999999|0.0|-0.089997343|10.94421389|-0.05139414|1|0.007613233|0.0271820189999999|-0.21108114|0.7245669790000001|0.7656671279999999|-0.174469948|0.890289002|-0.068685233|0.357062421|0.0078543119999999|-38.79937717|-38.27406105|4.43679678|167.86839980000002|0.109710998|61.974288|-0.026512937|-21.62050954|0.0|-1.219595099|-14.9768065|43.23617395|2227.730859|-688.9330988|903.1631908|0.230593886|7.401206343999999|0.896303416|4665.793689|19.46541135|0.013054186|-304.3678822|518.5792364|1.0|1.0|1.0|2.98|2.67|0.14|23.0|-8.83|5.56|5.32|54.46|2.57|1.0|4.0|26.0|3.0|1.0|1.0|-4.98|0.00308|1.04e-05|0.00356|4.19|0.0|5.02e-07|-0.04149|4.6403|4.3664|-1069.261615|-1069.229786|283.95|486.81|-0.1779|2.1987|-0.21939|0.03182983|3.3694|32.0|7.4949|7.4949
3p_a32|1|0.0|0|8.02059915|1|0.609420752|0.0|0.007752757|-0.008735261|6.008813185|-0.028895521|2.1365141480000003|-0.419292538|10.31100269|-0.074544773|3|0.000920756|-0.146606489|-0.53666614|0.737842269|0.8599558070000001|0.058054833|0.8195708759999999|-0.070907174|0.366898545|0.021264377|-41.73212799|-58.13283248|12.5150622|40.28175307|0.180429124|106.1908248|-0.029183126|-34.21384146|57.82331968|-1.28405753|-17.1756096|54.24719019|2650.4178850000003|-755.7268222|3037.061498|0.380032117|6.243062200000001|0.713035367|5960.446219|27.70403125|0.025390655|-141.21321609999998|530.5658569|0.0|1.0|1.0|3.38|2.6|0.26|19.0|-6.79|6.06|3.71|131.25|1.1|1.0|4.0|27.0|4.0|0.0|1.0|-4.25|0.00308|5.629999999999999e-05|0.0222|2.7|0.0|6.4e-05|-0.04963|3.6436|3.6436|-1879.554272|-1879.527843|340.28|471.04|-0.15055|4.3094|-0.20018|0.02642856|5.4496|26.0|7585.0|7585.0
7_a15|0|0.0|0|0.0|0|1.419941457|0.0|-0.2269896539999999|-0.010310394|0.0|-0.038088878|0.0|-0.494898891|10.95880715|0.0019353679999999|0|0.002150323|-0.211522056|-0.335491052|0.857287135|0.70084115|0.154068618|0.841400327|-0.074406877|0.403524276|0.036600739|-41.29775265|-61.50761094|20.31436245|103.8062879|0.158599673|88.02694557|-0.026500274|-34.13832456|56.30310755|-1.2190126140000002|-14.70834175|61.6121151|2330.667514|-676.5837204|1624.468817|0.551335598|6.01738192|0.657158418|5097.868552|32.78250222|0.042799094|56.98518567|474.9756287|1.0|0.0|1.0|3.16|3.14|0.15|18.0|-7.19|3.38|4.64|61.84|1.74|1.0|7.0|26.0|5.0|1.0|1.0|-4.49|0.00516|3.2e-05|0.0113|3.84|0.0|2.26e-05|-0.0284899999999999|4.4386|3.7495|-1184.385377|-1184.367098|330.67|499.86|-0.15605|1.1115|-0.18454|0.01827873|1631.0|227.0|6644.0|6644.0
12ad_a36|1|0.0|0|7.412764017000001|2|1.297042846|0.0|-0.040810025|-0.01083262|5.351858133|-0.073048351|0.0|-0.649957196|10.95445455|0.010723827|1|0.000906224|-0.136151085|-0.478461478|0.817851296|0.832674224|0.1563642469999999|0.760267769|-0.082404548|0.423689705|0.030769062|-58.34300549|-76.30379737|21.78471426|94.12528108|0.239732231|169.7321223|-0.0365657189999999|-54.02363038|81.68309557|-2.047680239|-25.88878839|80.12771975|3041.082692|-1449.77215|2474.175727|0.343592539|8.770308295|0.912420081|6569.653402|39.44011905|0.028968808|-221.4751857|735.3783268|0.0|1.0|0.0|4.9|0.0|0.17|17.0|-6.62|2.7|1.67|95.5|1.89|1.0|7.0|33.0|6.0|0.0|0.0|-4.08|0.0289|8.36e-05|0.0367|2.53|0.0|0.000106|-0.05406|5733.0|3.8512|-1460.8311199999998|-1460.794632|321.93|588.2|-0.15638|5.3349|-0.21044|0.03648828|6.8996|17.0|7.7696|7.7696
34_a20|0|0.0|1|6.842683282|0|1.416932073|1.877209467|0.0305860929999999|-0.0057643419999999|4.727387819|-0.104520106|1.991704333|-0.328567476|10.93244905|-0.054458882|1|0.003149352|0.0346782989999999|-0.4478820739999999|0.7071284179999999|0.74801464|-0.101401966|0.7966571459999999|-0.0851907119999999|0.408491116|0.0130295999999999|-57.31821177|-57.49912174|8.766605631000001|297.5548445|0.203342854|136.81360859999998|-0.032248904|-38.68669181|80.66541842|-1.709191893|-21.69778179|66.0848174|2825.042137|-1149.982435|2319.742032|0.223585914|7.940146766|0.8614536140000001|6211.26199|27.94614651|0.01491516|-371.9551262|712.1606951|1.0|1.0|1.0|3.43|2.92|0.08|27.0|-9.18|4.5|4.62|86.69|2.47|1.0|5.0|32.0|4.0|0.0|1.0|-5.02|0.00305|9.51e-06|0.00399|3.63|0.0|2.780000000000001e-07|-0.05181|5.4132|3.8699|-1352.31921|-1352.2836220000002|320.38|544.93|-0.16103|3.8519|-0.21284|0.03558836|5.4994|61.0|7.2147|7.2147
14e_a23|0|-4.45581912|2|7.423568444|0|1.197957573|3.052208981|0.059967018|-0.008865361|5.351858133|-0.272389934|0.650989437|-0.4787294729999999|10.3132176|-0.009871698|2|0.001951778|-0.07256543|-0.5232404310000001|0.560094237|0.791790895|0.133270225|0.925392058|-0.073376247|0.267882223|0.018022127|-51.07141556|-62.2612068|12.5437807|48.244071000000005|0.074607942|51.92870134|-0.03935934|-43.33511299|0.5612316039999999|-1.96796702|-27.39493099|63.61519626|3255.313968|-1369.74655|2428.874279|0.203474128|8.020794334|0.981902808|7663.17288|34.39302091|0.017954325|-412.7765217|658.8108151|0.0|1.0|1.0|3.54|3.62|0.09|26.0|-8.23|4.42|6.19|105.02|3.82|1.0|6.0|34.0|7.0|0.0|0.0|-5.79|0.000198|1.61e-06|0.000773|4.46|0.0|2.85e-06|-0.08122|3.7033|3.7033|-1966.96594|-1966.943431|334.8|571.39|-153.0|3.7696|-0.2342199999999999|0.02250947|5.5469|3.0|8.5214|8.5214
4f_a46|0|0.2096617139999999|1|7.825245291|1|1.134637108|2.190536659|-0.2265364489999999|-0.001035775|5.587248657999999|-0.001868546|0.0|-0.053860324|10.96352592|-0.115631645|1|0.011806162|-0.079238184|-0.150189733|0.6901151990000001|0.74106323|-0.2076648489999999|0.934973206|-0.055836642|0.296072934|0.008734825|-30.29079362|-36.60887321|4.738551282|7.730129301|0.065026794|35.27635517|-0.022035297|-19.85993046|56.50645576|-1.079729539|-11.95391778|35.0293449|2103.214727|-585.7419712999999|1563.375755|0.240157725|5.654067072999999|0.7382488140000001|4661.569032|15.73210412|0.010341277|-281.9234274|538.4165208|1.0|1.0|1.0|3.88|3.16|0.38|17.0|-7.21|4.56|4.71|43.6|2.58|1.0|3.0|25.0|3.0|1.0|1.0|-4.58|0.0139|2.62e-05|0.00872|3.77|0.0|2.04e-05|-0.02947|4548.0|4548.0|-1033.550809|-1033.528421|272.61|493.53|-0.19079|3.2783|-0.2202599999999999|0.02238723|3.7419|183.0|6.7375|6.7375
15_a4|0|0.0|1|7.535296702|1|1.399867493|1.956386054|-0.159419214|-0.001986535|5.4161004020000005|-0.061469545|0.0|-0.077474847|10.94611612|0.022446689|1|0.00918585|-0.017259078|-0.226703465|0.5118792910000001|0.772721853|0.095534883|0.867716376|-0.062151785|0.2517542889999999|0.010893057|-29.80513879|-35.36161572|5.223809291|12.70877085|0.132283624|63.43714456|-0.030724393|-16.95780525|86.01453643|-1.106078158|-14.73400655|35.02894809|1973.978183|-530.4242358|1495.715718|0.156108698|5.459799482|0.7783994009999999|4134.603400999999|17.45960235|0.009743323|-329.8289177|324.5687005|0.0|1.0|0.0|3.28|3.01|0.11|17.0|-6.09|4.09|4.4|30.71|3.05|1.0|2.0|22.0|3.0|1.0|1.0|-4.28|0.0443|5.19e-05|0.0151|3.49|0.0|0.000235|-0.03539|4.5048|4.2148|-958.270023|-958.251931|294.16|396.58|-0.17373|2.1603|-0.2091199999999999|0.018092091|3.0091|175.0|6757.0|6757.0
12bf_a36|1|0.0|0|7.412764017000001|2|1.297043948|0.0|-0.024689509|-0.00832865|5.351858133|-0.119979424|0.0|-0.4497470879999999|10.96022305|-0.0206090089999999|1|-0.004358975|-0.098027247|-0.433281391|0.653741315|0.836170906|-0.0480253509999999|0.6791406640000001|-0.090461753|0.356652646|0.0217611939999999|-58.26326838|-71.01192632|14.01562806|87.14111344|0.320859336|206.6543367|-0.037486972|-45.73631152|0.0|-1.874348624|-24.14405495|72.27889645|2902.591295|-1207.2027480000002|2522.341812|0.294529031|7.546900716000001|0.904134124|6271.550446|34.22402339|0.02371294|-264.6734075|593.6088758|0.0|1.0|0.0|4.72|0.0|0.14|17.0|-7.12|3.55|3.0|69.2|2.78|1.0|5.0|31.0|6.0|1.0|0.0|-4.32|0.0424|4.81e-05|0.0201|2.88|0.0|3.17e-05|-0.0571299999999999|5.2319|3874.0|-1431.413697|-1431.380702|320.04|517.66|-0.15677|5.4787|-0.2139|0.03299488|7.5932|6.0|8.2218|8.2218
